city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T20:15:00Z,0.52,11.4,61.3,72,26,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T20:30:00Z,0.47,12,60.3,72,26,2.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T20:45:00Z,0.4,11.2,61.2,72,26,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:00:00Z,0.38,10.4,59.8,73,27,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:15:00Z,0.37,10.1,58.7,73,31,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:30:00Z,0.37,10,58.1,73,31,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:45:00Z,0.38,10.3,56.5,73,31,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:00:00Z,0.37,9.7,57.3,72,32,2.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:15:00Z,0.38,9.3,56.3,66,35,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:30:00Z,0.45,9.7,55,66,35,2.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:45:00Z,0.42,10.1,57.4,66,35,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:00:00Z,0.42,10.7,59.7,67,35,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:15:00Z,0.42,10.2,58.8,70,33,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:30:00Z,0.45,10.2,56.1,70,33,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:45:00Z,0.46,10.3,56.3,70,33,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:00:00Z,0.52,10.9,59.1,72,32,2.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:15:00Z,0.63,12.3,59.1,81,28,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:30:00Z,0.54,14.6,60.2,81,28,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:45:00Z,0.49,16.6,63.9,81,28,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:00:00Z,0.48,18.3,62.9,88,31,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:15:00Z,0.7,26.4,50.8,113,43,2.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:30:00Z,0.76,27.3,47.9,113,43,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:45:00Z,0.77,22.1,45,113,43,3.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:00:00Z,0.74,23.6,41.2,128,47,3.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:15:00Z,0.93,25.5,38.7,186,62,3.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:30:00Z,1.05,27.4,37.4,186,62,4.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:45:00Z,1,27.3,44.4,186,62,6.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:00:00Z,0.8,24.8,52.2,197,64,7.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:15:00Z,0.8,23.2,57.3,240,75,8.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:30:00Z,0.76,21.8,61.3,240,75,8.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:45:00Z,0.71,20.6,67.9,240,75,8.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:00:00Z,0.69,20.1,73.9,235,72,7.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:15:00Z,0.64,20.6,77.5,211,57,7.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:30:00Z,0.63,21.7,76.2,211,57,6.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:45:00Z,0.65,25.7,75.2,211,57,6.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:00:00Z,0.63,28.7,82.8,209,56,7.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:15:00Z,0.62,25.3,84.1,203,50,6.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:30:00Z,0.56,19.8,91.7,203,50,5.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:45:00Z,0.52,14.3,93.7,203,50,4.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:00:00Z,0.49,15.8,92.6,191,46,4.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:15:00Z,0.52,17,96.7,140,30,5.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:30:00Z,0.53,16.4,98.3,140,30,5.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:45:00Z,0.55,15.4,100.7,140,30,5.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:00:00Z,0.55,13.2,102.4,136,28,5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:15:00Z,0.53,12.5,105.6,122,22,4.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:30:00Z,0.52,12.5,103.4,122,22,4.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:45:00Z,0.54,12.5,94,122,22,3.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:00:00Z,0.5,12.5,95.3,134,21,3.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:15:00Z,0.46,12.5,105.7,186,19,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:30:00Z,0.47,12.5,107.7,186,19,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:45:00Z,0.46,13.6,107.8,186,19,3.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:00:00Z,0.44,15.1,111.3,186,19,4.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:15:00Z,0.48,18,114.8,186,19,6.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:30:00Z,0.46,18,116.3,186,19,6.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:45:00Z,0.45,16.1,113.6,186,19,4.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:00:00Z,0.49,16.8,110.3,186,19,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:15:00Z,0.45,14.7,108.2,215,19,2.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:30:00Z,0.34,13.3,103.8,215,19,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:45:00Z,0.29,12.9,96.8,215,19,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:00:00Z,0.31,12.3,91.5,203,21,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:15:00Z,0.41,13.6,89.1,158,27,3.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:30:00Z,0.35,14.3,90.5,158,27,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:45:00Z,0.48,15.2,86.8,158,27,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:00:00Z,0.46,16.3,85.5,151,26,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:15:00Z,0.47,17.6,80,124,23,3.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:30:00Z,0.42,19,78.2,124,23,3.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:45:00Z,0.49,20.3,76.4,124,23,3.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:00:00Z,0.65,19.9,75.2,116,23,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:15:00Z,0.46,18.3,80.3,81,26,3.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:30:00Z,0.44,16.2,81.5,81,26,3.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:45:00Z,0.34,14,81,81,26,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:00:00Z,0.37,13.2,80,90,25,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:15:00Z,0.38,13,79.6,124,18,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:30:00Z,0.37,12.9,78.5,124,18,2.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:45:00Z,0.35,12,81.7,124,18,2.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:00:00Z,0.35,12.1,80.5,116,15,1.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:15:00Z,0.35,13.2,80.2,85,2,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:30:00Z,0.34,12.4,81.7,85,2,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:45:00Z,0.33,11.8,81,85,2,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:00:00Z,0.33,11.8,80.2,85,4,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:15:00Z,0.33,11.5,79.8,89,10,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:30:00Z,0.33,11.6,78.7,89,10,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:45:00Z,0.33,10.9,78.8,89,10,1.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:00:00Z,0.32,11.1,78.5,81,11,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:15:00Z,0.32,11.1,78.9,51,16,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:30:00Z,0.33,13,71,51,16,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:45:00Z,0.32,13.5,66.5,51,16,1.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T18:00:00Z,0.31,11.5,61.4,48,15,1.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T18:15:00Z,0.22,12.2,58.2,39,11,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T19:15:00Z,0.16,9.6,51.5,27,15,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T19:30:00Z,0.16,10.4,50.6,27,15,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T19:45:00Z,0.17,10.8,50.5,27,15,0.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:00:00Z,0.16,11.1,48.5,26,15,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:15:00Z,0.16,11.3,47,22,14,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:30:00Z,0.15,11.8,46.4,22,14,0.9
