city,latitude,longitude,datetimeUtc,Temperature,Humidity,Wind Speed,Wind Direction
Ahmedabad,23.020509,72.579261,2025-02-18T00:00,22.8,60,8.5,294
Ahmedabad,23.020509,72.579261,2025-02-18T01:00,23.6,61,7.9,273
Ahmedabad,23.020509,72.579261,2025-02-18T02:00,23.5,63,8,293
Ahmedabad,23.020509,72.579261,2025-02-18T03:00,23.9,62,7,293
Ahmedabad,23.020509,72.579261,2025-02-18T04:00,26.1,52,6.6,305
Ahmedabad,23.020509,72.579261,2025-02-18T05:00,28.6,40,6.8,305
Ahmedabad,23.020509,72.579261,2025-02-18T06:00,30.6,32,8.9,302
Ahmedabad,23.020509,72.579261,2025-02-18T07:00,32,27,10.4,314
Ahmedabad,23.020509,72.579261,2025-02-18T08:00,32.8,25,10.2,314
Ahmedabad,23.020509,72.579261,2025-02-18T09:00,33.1,23,10.1,320
Ahmedabad,23.020509,72.579261,2025-02-18T10:00,33.3,23,9.8,325
Ahmedabad,23.020509,72.579261,2025-02-18T11:00,33.3,22,9.7,325
Ahmedabad,23.020509,72.579261,2025-02-18T12:00,33,22,10.8,327
Ahmedabad,23.020509,72.579261,2025-02-18T13:00,31.7,23,6.8,295
Ahmedabad,23.020509,72.579261,2025-02-18T14:00,30.4,26,4.4,277
Ahmedabad,23.020509,72.579261,2025-02-18T15:00,29.3,28,6.5,246
Ahmedabad,23.020509,72.579261,2025-02-18T16:00,28.1,32,9.1,253
Ahmedabad,23.020509,72.579261,2025-02-18T17:00,27.4,32,9,270
Ahmedabad,23.020509,72.579261,2025-02-18T18:00,26.6,32,9.3,280
Ahmedabad,23.020509,72.579261,2025-02-18T19:00,25.8,34,9.8,293
Ahmedabad,23.020509,72.579261,2025-02-18T20:00,25,35,10.6,302
Ahmedabad,23.020509,72.579261,2025-02-18T21:00,24.4,37,11,298
Ahmedabad,23.020509,72.579261,2025-02-18T22:00,23.5,40,10.5,301
Ahmedabad,23.020509,72.579261,2025-02-18T23:00,22.9,42,10.6,310
Ahmedabad,23.020509,72.579261,2025-02-19T00:00,22.4,43,10.1,319
Ahmedabad,23.020509,72.579261,2025-02-19T01:00,22,49,10.9,315
Ahmedabad,23.020509,72.579261,2025-02-19T02:00,21.7,50,10.7,319
Ahmedabad,23.020509,72.579261,2025-02-19T03:00,22.8,47,9.1,321
Ahmedabad,23.020509,72.579261,2025-02-19T04:00,25.2,40,5.2,329
Ahmedabad,23.020509,72.579261,2025-02-19T05:00,27.5,35,5.1,321
Ahmedabad,23.020509,72.579261,2025-02-19T06:00,27.6,35,4.7,317
Ahmedabad,23.020509,72.579261,2025-02-19T07:00,30.4,29,4.1,315
Ahmedabad,23.020509,72.579261,2025-02-19T08:00,30.9,28,5.8,324
Ahmedabad,23.020509,72.579261,2025-02-19T09:00,32.2,25,6.5,312
Ahmedabad,23.020509,72.579261,2025-02-19T10:00,33,23,6.1,282
Ahmedabad,23.020509,72.579261,2025-02-19T11:00,33.3,21,9,280
Ahmedabad,23.020509,72.579261,2025-02-19T12:00,32.7,21,14.1,274
Ahmedabad,23.020509,72.579261,2025-02-19T13:00,31.8,23,12.1,243
Ahmedabad,23.020509,72.579261,2025-02-19T14:00,30.3,26,12.7,243
Ahmedabad,23.020509,72.579261,2025-02-19T15:00,29.2,28,11.9,243
Ahmedabad,23.020509,72.579261,2025-02-19T16:00,28.7,29,10.4,238
Ahmedabad,23.020509,72.579261,2025-02-19T17:00,28.4,30,9.3,238
Ahmedabad,23.020509,72.579261,2025-02-19T18:00,27.3,32,11.9,248
Ahmedabad,23.020509,72.579261,2025-02-19T19:00,26.2,34,11,251
Ahmedabad,23.020509,72.579261,2025-02-19T20:00,25,37,11.8,258
Ahmedabad,23.020509,72.579261,2025-02-19T21:00,24.1,42,11,269
Ahmedabad,23.020509,72.579261,2025-02-19T22:00,23.5,46,10.7,276
Ahmedabad,23.020509,72.579261,2025-02-19T23:00,22.7,49,10.9,292
Ahmedabad,23.020509,72.579261,2025-02-20T00:00,22.2,51,10.4,302
Ahmedabad,23.020509,72.579261,2025-02-20T01:00,21.9,55,10.6,313
Ahmedabad,23.020509,72.579261,2025-02-20T02:00,21.5,56,10.3,313
Ahmedabad,23.020509,72.579261,2025-02-20T03:00,22.5,51,7.9,303
Ahmedabad,23.020509,72.579261,2025-02-20T04:00,24.6,44,5.5,293
Ahmedabad,23.020509,72.579261,2025-02-20T05:00,27,39,6,291
Ahmedabad,23.020509,72.579261,2025-02-20T06:00,28.9,37,6.7,294
Ahmedabad,23.020509,72.579261,2025-02-20T07:00,30.6,33,5.7,294
Ahmedabad,23.020509,72.579261,2025-02-20T08:00,31.9,28,5.8,300
Ahmedabad,23.020509,72.579261,2025-02-20T09:00,32.8,24,6.9,307
Ahmedabad,23.020509,72.579261,2025-02-20T10:00,33.2,21,7.6,313
Ahmedabad,23.020509,72.579261,2025-02-20T11:00,33.2,19,7.8,316
Ahmedabad,23.020509,72.579261,2025-02-20T12:00,32.8,19,8.5,314
Ahmedabad,23.020509,72.579261,2025-02-20T13:00,31.8,23,9.2,259
Ahmedabad,23.020509,72.579261,2025-02-20T14:00,30.5,28,9.7,248
Ahmedabad,23.020509,72.579261,2025-02-20T15:00,29.4,31,8.5,266
Ahmedabad,23.020509,72.579261,2025-02-20T16:00,28.4,34,7.9,294
Ahmedabad,23.020509,72.579261,2025-02-20T17:00,28,34,6.9,275
Ahmedabad,23.020509,72.579261,2025-02-20T18:00,27.2,36,6.1,300
Ahmedabad,23.020509,72.579261,2025-02-20T19:00,26.3,38,5.3,308
Ahmedabad,23.020509,72.579261,2025-02-20T20:00,25.3,40,7.5,281
Ahmedabad,23.020509,72.579261,2025-02-20T21:00,24.8,40,8.2,302
Ahmedabad,23.020509,72.579261,2025-02-20T22:00,24.1,41,8.6,306
Ahmedabad,23.020509,72.579261,2025-02-20T23:00,23.4,43,8.6,329
Ahmedabad,23.020509,72.579261,2025-02-21T00:00,22.5,46,7.9,336
Ahmedabad,23.020509,72.579261,2025-02-21T01:00,22,52,7.5,343
Ahmedabad,23.020509,72.579261,2025-02-21T02:00,22,51,7.6,359
Ahmedabad,23.020509,72.579261,2025-02-21T03:00,23.5,46,7.3,11
Ahmedabad,23.020509,72.579261,2025-02-21T04:00,26.5,37,5,19
Ahmedabad,23.020509,72.579261,2025-02-21T05:00,29.3,28,6.3,27
Ahmedabad,23.020509,72.579261,2025-02-21T06:00,31.2,23,7.6,19
Ahmedabad,23.020509,72.579261,2025-02-21T07:00,32.2,22,7.2,354
Ahmedabad,23.020509,72.579261,2025-02-21T08:00,32.9,21,8.8,340
Ahmedabad,23.020509,72.579261,2025-02-21T09:00,33.2,20,9.4,336
Ahmedabad,23.020509,72.579261,2025-02-21T10:00,33.2,19,10.6,330
Ahmedabad,23.020509,72.579261,2025-02-21T11:00,32.9,19,9.8,334
Ahmedabad,23.020509,72.579261,2025-02-21T12:00,32.5,20,8.7,342
Ahmedabad,23.020509,72.579261,2025-02-21T13:00,32,20,8.9,336
Ahmedabad,23.020509,72.579261,2025-02-21T14:00,31,23,9.4,336
Ahmedabad,23.020509,72.579261,2025-02-21T15:00,29.8,26,9.3,336
Ahmedabad,23.020509,72.579261,2025-02-21T16:00,29.3,26,8.3,327
Ahmedabad,23.020509,72.579261,2025-02-21T17:00,28.4,27,8.3,311
Ahmedabad,23.020509,72.579261,2025-02-21T18:00,27.4,28,7.7,330
Ahmedabad,23.020509,72.579261,2025-02-21T19:00,26.1,31,8.3,346
Ahmedabad,23.020509,72.579261,2025-02-21T20:00,24.5,36,6.2,41
Ahmedabad,23.020509,72.579261,2025-02-21T21:00,24,37,3.8,355
Ahmedabad,23.020509,72.579261,2025-02-21T22:00,23.8,37,3.5,291
Ahmedabad,23.020509,72.579261,2025-02-21T23:00,23,40,5.5,341
Ahmedabad,23.020509,72.579261,2025-02-22T00:00,21.6,43,6.8,3
Ahmedabad,23.020509,72.579261,2025-02-22T01:00,21.9,46,6.1,40
Ahmedabad,23.020509,72.579261,2025-02-22T02:00,21.4,45,7.3,52
Ahmedabad,23.020509,72.579261,2025-02-22T03:00,22.3,41,5.8,54
Ahmedabad,23.020509,72.579261,2025-02-22T04:00,24.6,36,4.6,54
Ahmedabad,23.020509,72.579261,2025-02-22T05:00,27.5,31,4.6,69
Ahmedabad,23.020509,72.579261,2025-02-22T06:00,30.1,25,4.3,85
Ahmedabad,23.020509,72.579261,2025-02-22T07:00,31.8,22,2.8,75
Ahmedabad,23.020509,72.579261,2025-02-22T08:00,33,20,2.9,356
Ahmedabad,23.020509,72.579261,2025-02-22T09:00,33.8,18,8,340
Ahmedabad,23.020509,72.579261,2025-02-22T10:00,33.5,18,11.6,339
Ahmedabad,23.020509,72.579261,2025-02-22T11:00,33,20,10.2,342
Ahmedabad,23.020509,72.579261,2025-02-22T12:00,32.8,20,7.4,347
Ahmedabad,23.020509,72.579261,2025-02-22T13:00,32,21,7.4,338
Ahmedabad,23.020509,72.579261,2025-02-22T14:00,31.8,21,5.5,11
Ahmedabad,23.020509,72.579261,2025-02-22T15:00,31.8,21,5.9,360
Ahmedabad,23.020509,72.579261,2025-02-22T16:00,30,23,4.2,313
Ahmedabad,23.020509,72.579261,2025-02-22T17:00,28.2,26,5.5,281
Ahmedabad,23.020509,72.579261,2025-02-22T18:00,26.9,30,5.6,299
Ahmedabad,23.020509,72.579261,2025-02-22T19:00,25.9,32,7.6,317
Ahmedabad,23.020509,72.579261,2025-02-22T20:00,25.3,31,9.2,329
Ahmedabad,23.020509,72.579261,2025-02-22T21:00,24.5,31,10.6,339
Ahmedabad,23.020509,72.579261,2025-02-22T22:00,23.5,33,10.7,340
Ahmedabad,23.020509,72.579261,2025-02-22T23:00,22.4,36,10.5,347
Ahmedabad,23.020509,72.579261,2025-02-23T00:00,21.6,37,10.5,352
Ahmedabad,23.020509,72.579261,2025-02-23T01:00,21.4,41,8.3,13
Ahmedabad,23.020509,72.579261,2025-02-23T02:00,20.9,42,7.6,38
Ahmedabad,23.020509,72.579261,2025-02-23T03:00,21.9,40,5.7,28
Ahmedabad,23.020509,72.579261,2025-02-23T04:00,24.9,32,2.7,20
Ahmedabad,23.020509,72.579261,2025-02-23T05:00,28.5,26,4,85
Ahmedabad,23.020509,72.579261,2025-02-23T06:00,30.9,21,6,99
Ahmedabad,23.020509,72.579261,2025-02-23T07:00,32.2,19,4,95
Ahmedabad,23.020509,72.579261,2025-02-23T08:00,33.2,16,0.7,76
Ahmedabad,23.020509,72.579261,2025-02-23T09:00,33.8,15,2.6,304
Ahmedabad,23.020509,72.579261,2025-02-23T10:00,34,15,5.9,317
Ahmedabad,23.020509,72.579261,2025-02-23T11:00,33.6,16,8.5,336
Ahmedabad,23.020509,72.579261,2025-02-23T12:00,33,17,8.1,4
Ahmedabad,23.020509,72.579261,2025-02-23T13:00,32.3,19,4.1,225
Ahmedabad,23.020509,72.579261,2025-02-23T14:00,30.8,22,3.5,171
Ahmedabad,23.020509,72.579261,2025-02-23T15:00,30.2,23,1,22
Ahmedabad,23.020509,72.579261,2025-02-23T16:00,29.7,25,5.2,295
Ahmedabad,23.020509,72.579261,2025-02-23T17:00,28.9,26,4.5,270
Ahmedabad,23.020509,72.579261,2025-02-23T18:00,27.4,29,5.5,322
Ahmedabad,23.020509,72.579261,2025-02-23T19:00,26.3,32,6,331
Ahmedabad,23.020509,72.579261,2025-02-23T20:00,25.2,35,7.2,357
Ahmedabad,23.020509,72.579261,2025-02-23T21:00,24.6,34,8.1,6
Ahmedabad,23.020509,72.579261,2025-02-23T22:00,24.2,32,9.2,17
Ahmedabad,23.020509,72.579261,2025-02-23T23:00,23.2,33,8.9,34
Ahmedabad,23.020509,72.579261,2025-02-24T00:00,22.5,34,9.8,40
Ahmedabad,23.020509,72.579261,2025-02-24T01:00,21.9,37,10.9,38
Ahmedabad,23.020509,72.579261,2025-02-24T02:00,21.4,39,11.3,48
Ahmedabad,23.020509,72.579261,2025-02-24T03:00,22,40,9.3,58
Ahmedabad,23.020509,72.579261,2025-02-24T04:00,24.1,38,7.6,62
Ahmedabad,23.020509,72.579261,2025-02-24T05:00,27.2,33,7.6,68
Ahmedabad,23.020509,72.579261,2025-02-24T06:00,30,27,8.1,73
Ahmedabad,23.020509,72.579261,2025-02-24T07:00,32,22,7.2,76
Ahmedabad,23.020509,72.579261,2025-02-24T08:00,33.2,19,7.7,74
Ahmedabad,23.020509,72.579261,2025-02-24T09:00,33.7,18,6.8,65
Ahmedabad,23.020509,72.579261,2025-02-24T10:00,34,17,6,51
Ahmedabad,23.020509,72.579261,2025-02-24T11:00,33.9,17,5.6,29
Ahmedabad,23.020509,72.579261,2025-02-24T12:00,33.5,18,5.6,6
Ahmedabad,23.020509,72.579261,2025-02-24T13:00,32.3,19,7.2,91
Ahmedabad,23.020509,72.579261,2025-02-24T14:00,31.5,21,8,115
Ahmedabad,23.020509,72.579261,2025-02-24T15:00,31,21,7.7,118
Ahmedabad,23.020509,72.579261,2025-02-24T16:00,30.8,21,5.1,67
Ahmedabad,23.020509,72.579261,2025-02-24T17:00,29.5,23,6.7,336
Ahmedabad,23.020509,72.579261,2025-02-24T18:00,27.9,26,7.6,7
Ahmedabad,23.020509,72.579261,2025-02-24T19:00,26.7,30,7.8,34
Ahmedabad,23.020509,72.579261,2025-02-24T20:00,25.1,32,9.4,38
Ahmedabad,23.020509,72.579261,2025-02-24T21:00,24,34,10.9,51
Ahmedabad,23.020509,72.579261,2025-02-24T22:00,23.5,33,11.2,45
Ahmedabad,23.020509,72.579261,2025-02-24T23:00,23,34,11.2,48
Ahmedabad,23.020509,72.579261,2025-02-25T00:00,22.5,35,11.2,55
Ahmedabad,23.020509,72.579261,2025-02-25T01:00,22.2,39,11.2,66
Ahmedabad,23.020509,72.579261,2025-02-25T02:00,21.8,39,11.2,68
Ahmedabad,23.020509,72.579261,2025-02-25T03:00,22.9,37,9.9,74
Ahmedabad,23.020509,72.579261,2025-02-25T04:00,25,33,8.7,76
Ahmedabad,23.020509,72.579261,2025-02-25T05:00,27.8,28,9.3,82
Ahmedabad,23.020509,72.579261,2025-02-25T06:00,30.4,25,9,85
Ahmedabad,23.020509,72.579261,2025-02-25T07:00,32.5,22,8.7,94
Ahmedabad,23.020509,72.579261,2025-02-25T08:00,33.8,19,8.6,98
Ahmedabad,23.020509,72.579261,2025-02-25T09:00,34.5,18,7.4,91
Ahmedabad,23.020509,72.579261,2025-02-25T10:00,34.7,18,6,80
Ahmedabad,23.020509,72.579261,2025-02-25T11:00,34.7,18,5.7,66
Ahmedabad,23.020509,72.579261,2025-02-25T12:00,34.3,18,5.9,52
Ahmedabad,23.020509,72.579261,2025-02-25T13:00,33,20,8.4,50
Ahmedabad,23.020509,72.579261,2025-02-25T14:00,31.9,22,10.1,49
Ahmedabad,23.020509,72.579261,2025-02-25T15:00,30.6,24,9,31
Ahmedabad,23.020509,72.579261,2025-02-25T16:00,29.9,25,8.2,33
Ahmedabad,23.020509,72.579261,2025-02-25T17:00,29.1,25,7.8,50
Ahmedabad,23.020509,72.579261,2025-02-25T18:00,28,27,7,87
Ahmedabad,23.020509,72.579261,2025-02-25T19:00,27,28,7.1,83
