location_id,name,locality,latitude,longitude,timezone,pollutants_available,isMobile,isMonitor,last_updated_utc
3,NMA - Nima,,5.58389,-0.19968,Africa/Accra,"pm10,pm25",False,True,
4,NMT - Nima,,5.58165,-0.19898,Africa/Accra,"pm10,pm25",False,True,
5,JTA - Jamestown,,5.5401139,-0.2103972,Africa/Accra,"pm10,pm25",False,True,
6,ADT - Asylum Down,,5.570722,-0.2120555,Africa/Accra,"pm10,pm25",False,True,
7,ADEPA - Asylum Down,,5.567833,-0.2040278,Africa/Accra,"pm10,pm25",False,True,
8,ADA - Asylum Down,,5.566722,-0.2077778,Africa/Accra,"pm10,pm25",False,True,
9,ELC - East Legon,,5.6335571,-0.1651875,Africa/Accra,"pm10,pm25",False,True,
10,ELT - East Legon,,5.6408995,-0.1695437,Africa/Accra,"pm10,pm25",False,True,
11,ELA - East Legon,,5.6408137,-0.1579063,Africa/Accra,"pm10,pm25",False,True,
12,SPARTAN - IIT Kanpur,,26.519,80.233,Asia/Kolkata,pm25,False,True,
13,"Delhi Technological University, Delhi - CPCB",,28.744,77.12,Asia/Kolkata,"no2,o3,pm25",False,True,2018-02-22T04:00:00Z
14,SPARTAN - CITEDEF,,-34.56,-58.506,America/Argentina/Buenos_Aires,pm25,False,True,2018-02-22T04:00:00Z
15,IGI Airport,,28.56,77.094,Asia/Kolkata,"co,no2,o3,pm10,pm25",False,True,2018-02-22T04:00:00Z
16,Civil Lines,,28.6787,77.2262,Asia/Kolkata,"co,no2,pm10,pm25",False,True,2018-02-22T04:00:00Z
17,"R K Puram, Delhi - DPCC",,28.563262,77.186937,Asia/Kolkata,"co,co,no,no2,no2,nox,o3,o3,pm10,pm10,pm25,pm25,relativehumidity,so2,so2,temperature,wind_direction,wind_speed",False,True,2026-03-03T10:30:00Z
18,SPARTAN - Vietnam Acad. Sci.,,21.048,105.8,Asia/Bangkok,pm25,False,True,2026-03-03T10:30:00Z
19,MNB,,47.929732,106.888629,Asia/Ulaanbaatar,"co,no2,o3,pm10,pm25,so2",False,True,2019-03-13T22:30:00Z
21,Beijing US Embassy,Beijing,39.95,116.47,Asia/Shanghai,pm25,False,True,2023-08-15T15:00:00Z
22,SPARTAN - Dhaka University,Beijing,23.728,90.398,Asia/Dhaka,pm25,False,True,2023-08-15T15:00:00Z
23,Amgalan,Beijing,47.913429,106.99790699999998,Asia/Ulaanbaatar,"co,no2,o3,pm10,pm25,so2",False,True,2019-03-13T22:30:00Z
24,SPARTAN - NUS,Beijing,1.298,103.78,Asia/Singapore,pm25,False,True,2019-03-13T22:30:00Z
25,Parque O'Higgins,Santiago,-33.464142,-70.660797,America/Santiago,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T09:00:00Z
