city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km
ahmedabad,23.0225,72.5714,2025-11-14 00:00:00,438.0,18.9,57.0,27.9,27.3,8.2,18.4,60,10.9,54,0.007048398,1.790890327,2.796919138142857,4.528032405
hyderabad,17.385,78.4867,2025-11-14 00:00:00,545.0,17.7,91.0,66.6,61.9,28.7,16.4,72,4.7,7,0.049294689,2.524003129,2.743138284,0.733079275
kolkata,22.5726,88.3639,2025-11-14 00:00:00,1135.0,27.2,46.0,162.1,154.1,27.7,18.0,83,5.1,337,0.039670495,1.279890984,3.135127452,5.103553246
delhi,28.6139,77.209,2025-11-14 00:00:00,776.0,20.7,61.0,107.1,98.5,19.5,13.5,74,6.0,279,0.032935737,2.819911278,1.916190044,5.043386383
lucknow,26.8467,80.9462,2025-11-14 00:00:00,664.0,10.1,75.0,120.6,112.9,19.2,14.4,78,7.1,308,0.024012069333333334,1.4206399887777779,2.796919138142857,3.3683221491111106
chennai,13.0827,80.2707,2025-11-14 00:00:00,381.0,1.9,127.0,42.4,34.8,4.7,26.1,62,15.5,31,0.026226771,0.597425124,2.796919138142857,5.048004541
mumbai,19.076,72.8777,2025-11-14 00:00:00,506.0,30.0,56.0,52.4,51.2,26.4,21.5,62,6.2,54,0.018564366,0.142870044,5.389741512,1.921696318
bengaluru,12.9716,77.5946,2025-11-14 00:00:00,417.0,5.7,100.0,18.4,18.2,4.3,19.2,95,11.5,67,0.020900529,0.366338108,0.832894641,3.479271967
pune,18.5204,73.8567,2025-11-14 00:00:00,453.0,10.4,64.0,33.9,32.0,7.8,16.7,75,0.8,117,0.015487218,1.425736123,0.581304391,2.048668042
jaipur,26.9124,75.7873,2025-11-14 00:00:00,551.0,20.1,50.0,92.0,79.6,11.4,12.2,67,3.6,357,0.005980421,1.838694782,4.980037643,2.409207165
ahmedabad,23.0225,72.5714,2025-11-14 01:00:00,462.0,20.1,54.0,21.9,21.4,8.9,18.5,58,11.2,62,0.007048398,1.790890327,2.796919138142857,4.528032405
bengaluru,12.9716,77.5946,2025-11-14 01:00:00,480.0,8.6,101.0,22.3,21.9,5.1,19.1,94,10.7,67,0.020900529,0.366338108,0.832894641,3.479271967
mumbai,19.076,72.8777,2025-11-14 01:00:00,653.0,33.9,52.0,52.9,51.7,27.6,21.2,63,5.4,64,0.018564366,0.142870044,5.389741512,1.921696318
jaipur,26.9124,75.7873,2025-11-14 01:00:00,873.0,25.0,44.0,99.4,85.2,11.7,12.1,66,2.0,355,0.005980421,1.838694782,4.980037643,2.409207165
lucknow,26.8467,80.9462,2025-11-14 01:00:00,734.0,11.4,75.0,122.9,114.6,19.9,14.4,78,6.3,290,0.024012069333333334,1.4206399887777779,2.796919138142857,3.3683221491111106
delhi,28.6139,77.209,2025-11-14 01:00:00,1090.0,27.4,52.0,107.6,101.0,21.2,13.3,75,5.6,270,0.032935737,2.819911278,1.916190044,5.043386383
chennai,13.0827,80.2707,2025-11-14 01:00:00,366.0,2.6,128.0,43.5,35.5,5.0,26.4,60,16.1,34,0.026226771,0.597425124,2.796919138142857,5.048004541
hyderabad,17.385,78.4867,2025-11-14 01:00:00,750.0,19.6,92.0,70.3,65.0,28.7,17.2,66,5.2,14,0.049294689,2.524003129,2.743138284,0.733079275
pune,18.5204,73.8567,2025-11-14 01:00:00,528.0,12.1,64.0,36.6,34.7,8.8,16.5,75,0.4,207,0.015487218,1.425736123,0.581304391,2.048668042
kolkata,22.5726,88.3639,2025-11-14 01:00:00,1184.0,25.4,64.0,159.3,152.3,28.0,18.2,82,5.4,334,0.039670495,1.279890984,3.135127452,5.103553246
bengaluru,12.9716,77.5946,2025-11-14 02:00:00,561.0,12.4,104.0,30.7,29.7,6.1,20.0,89,10.9,66,0.020900529,0.366338108,0.832894641,3.479271967
delhi,28.6139,77.209,2025-11-14 02:00:00,1499.0,36.3,42.0,112.0,107.1,23.6,13.6,74,6.7,261,0.032935737,2.819911278,1.916190044,5.043386383
chennai,13.0827,80.2707,2025-11-14 02:00:00,341.0,3.5,129.0,45.8,37.1,5.4,27.5,54,18.3,37,0.026226771,0.597425124,2.796919138142857,5.048004541
kolkata,22.5726,88.3639,2025-11-14 02:00:00,1220.0,22.7,89.0,152.7,147.6,28.4,20.0,73,3.4,328,0.039670495,1.279890984,3.135127452,5.103553246
pune,18.5204,73.8567,2025-11-14 02:00:00,618.0,14.3,66.0,41.7,39.8,10.2,17.1,71,2.1,15,0.015487218,1.425736123,0.581304391,2.048668042
hyderabad,17.385,78.4867,2025-11-14 02:00:00,1012.0,22.0,93.0,72.6,67.8,28.6,18.0,67,5.0,26,0.049294689,2.524003129,2.743138284,0.733079275
jaipur,26.9124,75.7873,2025-11-14 02:00:00,1286.0,31.3,37.0,107.8,92.7,12.2,13.2,63,0.4,333,0.005980421,1.838694782,4.980037643,2.409207165
lucknow,26.8467,80.9462,2025-11-14 02:00:00,818.0,13.0,75.0,124.3,115.0,20.9,15.0,75,6.2,280,0.024012069333333334,1.4206399887777779,2.796919138142857,3.3683221491111106
mumbai,19.076,72.8777,2025-11-14 02:00:00,840.0,39.1,48.0,55.5,54.2,29.3,21.6,62,6.9,59,0.018564366,0.142870044,5.389741512,1.921696318
ahmedabad,23.0225,72.5714,2025-11-14 02:00:00,514.0,21.5,50.0,20.8,20.3,10.0,18.5,58,10.7,68,0.007048398,1.790890327,2.796919138142857,4.528032405
jaipur,26.9124,75.7873,2025-11-14 03:00:00,1486.0,33.0,44.0,100.8,91.3,13.1,15.9,59,0.7,346,0.005980421,1.838694782,4.980037643,2.409207165
bengaluru,12.9716,77.5946,2025-11-14 03:00:00,601.0,14.2,109.0,38.4,37.1,6.7,21.5,77,11.3,63,0.020900529,0.366338108,0.832894641,3.479271967
chennai,13.0827,80.2707,2025-11-14 03:00:00,323.0,3.9,130.0,48.4,38.8,5.7,28.3,51,20.3,37,0.026226771,0.597425124,2.796919138142857,5.048004541
delhi,28.6139,77.209,2025-11-14 03:00:00,1706.0,40.3,45.0,109.4,105.9,26.1,15.6,67,6.2,260,0.032935737,2.819911278,1.916190044,5.043386383
mumbai,19.076,72.8777,2025-11-14 03:00:00,923.0,41.0,59.0,57.6,56.2,30.4,23.4,56,6.2,54,0.018564366,0.142870044,5.389741512,1.921696318
kolkata,22.5726,88.3639,2025-11-14 03:00:00,1172.0,19.2,117.0,145.8,138.3,28.6,22.8,61,3.8,329,0.039670495,1.279890984,3.135127452,5.103553246
hyderabad,17.385,78.4867,2025-11-14 03:00:00,1131.0,21.8,100.0,51.2,47.1,27.3,20.2,58,3.3,61,0.049294689,2.524003129,2.743138284,0.733079275
ahmedabad,23.0225,72.5714,2025-11-14 03:00:00,538.0,21.1,57.0,22.7,22.4,12.0,20.0,53,8.4,71,0.007048398,1.790890327,2.796919138142857,4.528032405
lucknow,26.8467,80.9462,2025-11-14 03:00:00,847.0,13.2,85.0,117.8,107.6,21.8,17.7,63,3.4,267,0.024012069333333334,1.4206399887777779,2.796919138142857,3.3683221491111106
pune,18.5204,73.8567,2025-11-14 03:00:00,652.0,14.6,75.0,38.2,36.8,11.5,19.5,59,2.8,50,0.015487218,1.425736123,0.581304391,2.048668042
