city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km,year,month,day,hour,day_of_week,season,road_proximity,industry_proximity,pollution_source,date
4,17.385,78.4867,1083,-0.760179128,-1.049244191,1.44268432,-0.568763,42,-0.301971408,0.915596589,-1.405352228,-0.569768738,84,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,29,8,0,0,19.88281506,0.396039113,Natural,1083
9,18.5204,73.8567,942,-0.965771843,-0.962688073,0.661945348,-1.172329319,14,-0.672302773,1.413626269,-1.745563542,0.186562978,81,-0.65500775,0.006122176,-1.523558817,-0.895962265,2025,12,23,10,1,0,60.6530465,0.700900457,Natural,942
1,12.9716,77.5946,1981,-0.559367639,-0.38734446,-0.728150869,-1.044045189,19,-0.854330055,-1.002739959,0.92752535,0.665573064,73,-0.239075493,-1.266572114,-1.350553765,0.075327959,2026,2,5,1,3,0,45.6609975,2.722287664,Natural,1981
4,17.385,78.4867,379,-0.60000806,-0.540090552,0.071630516,-0.526702629,44,0.106020775,-0.283363753,0.004094642,0.060507692,24,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,11,29,21,5,3,19.88281506,0.396039113,Natural,379
3,28.6139,77.209,247,0.100441538,-0.662287425,2.451932259,0.087378783,72.6,1.920016787,0.694250064,-1.405352228,-0.494135566,306,0.68565084,1.680996712,-0.605629918,1.137263421,2025,11,24,8,0,3,29.46746081,0.354495375,Natural,247
5,26.9124,75.7873,582,-0.965771843,-0.937230391,0.585775693,-1.163917245,12.9,-0.465168281,1.155388657,-2.037173239,-0.670612967,295,-1.385463387,0.502224792,1.501212903,-0.651178842,2025,12,8,9,0,0,143.257835,0.543568428,Natural,582
5,26.9124,75.7873,574,0.105222764,0.116717644,-1.280380874,-0.840052391,29.8,-0.565597126,-1.500769639,-0.141710207,-0.242024995,352,-1.385463387,0.502224792,1.501212903,-0.651178842,2025,12,8,1,0,0,143.257835,0.543568428,Natural,574
0,23.0225,72.5714,1102,0.131519506,0.233822981,-1.185168804,-0.400521517,50.1,-0.483998689,-0.726056803,0.392907571,0.010085577,69,-1.303405274,0.44479552,0,0.787370434,2025,12,30,3,1,0,124.2483287,0.558069869,Natural,1102
9,18.5204,73.8567,263,-0.18882263,-0.356795241,-0.785278111,-0.915761058,25.9,-0.898267675,-0.11735386,0.781720501,-1.729477369,236,-0.65500775,0.006122176,-1.523558817,-0.895962265,2025,11,25,0,1,3,60.6530465,0.700900457,Natural,263
4,17.385,78.4867,1528,1.642386898,0.692061257,-0.404429832,-0.068244588,65,0.570504183,-0.467819191,-0.287515056,-0.99835671,62,1.942592448,1.325511232,-0.036982194,-1.789164419,2026,1,17,2,5,0,19.88281506,0.396039113,Natural,1528
