Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,60.3,107.32,4.82,15.62,12.17,16.28,5.05,0.57,36.1,0.34,0.78,,,0.17,0.1,25.05,82.07,1.15,142.76,0.0,0.0,3.49,768.04,0.14
2024-01-01 01:00:00,50.98,89.1,4.67,12.02,10.15,16.19,5.57,0.57,34.63,0.34,0.78,,,0.17,0.1,24.96,82.56,1.1,141.43,0.0,0.0,3.54,767.4,0.14
2024-01-01 02:00:00,36.06,59.9,4.67,11.01,9.62,16.61,4.71,0.57,36.7,0.34,0.78,,,0.17,0.1,24.74,84.24,1.3,142.31,0.0,0.0,3.47,767.02,0.14
2024-01-01 03:00:00,40.23,67.88,4.67,10.3,9.24,16.93,4.77,0.57,37.05,0.34,0.78,,,0.17,0.1,24.67,84.05,1.08,134.71,0.0,0.0,3.4,766.79,0.14
2024-01-01 04:00:00,34.63,56.99,4.68,10.11,9.16,17.39,4.43,0.57,31.25,0.34,0.78,,,0.17,0.1,24.35,86.28,1.01,136.19,0.0,0.0,3.34,766.07,0.14
2024-01-01 05:00:00,41.73,70.66,4.67,8.42,8.26,17.36,4.13,0.57,31.61,0.34,0.78,,,0.17,0.1,24.29,86.69,1.08,135.84,0.0,0.0,3.41,766.92,0.14
2024-01-01 06:00:00,46.01,78.88,4.67,10.2,9.19,16.76,4.15,0.57,31.37,0.34,0.78,,,0.17,0.1,24.33,85.89,1.06,134.44,0.0,0.0,6.03,770.14,0.14
2024-01-01 07:00:00,32.28,52.35,4.73,10.05,9.16,17.02,4.8,0.58,33.47,0.34,0.78,,,0.17,0.1,24.53,84.35,1.43,133.16,0.0,0.0,39.26,774.36,0.14
2024-01-01 08:00:00,40.0,68.43,5.1,12.09,10.54,16.65,6.01,0.59,30.52,0.34,0.78,,,0.17,0.1,25.12,81.87,1.42,136.72,0.0,0.0,111.2,777.02,0.14
2024-01-01 09:00:00,45.05,80.33,5.08,11.28,10.03,17.37,7.18,0.56,42.09,0.33,0.78,,,0.17,0.09,26.35,73.6,1.28,148.66,0.0,0.0,226.97,776.87,0.15
2024-01-01 10:00:00,43.36,77.91,4.81,8.85,8.6,17.42,6.92,0.47,50.58,0.35,0.78,,,0.16,0.1,27.32,60.94,1.51,146.85,0.0,0.0,288.06,777.41,0.15
2024-01-01 11:00:00,51.9,94.15,4.79,13.97,11.25,16.38,7.12,0.47,53.88,0.35,0.78,,,0.16,0.1,27.94,53.16,1.92,144.73,0.0,0.0,405.06,779.17,0.16
