latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.81898,84.51827,77.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,10.1,0.00,96,1007.8,6.0,15.8,287,297
2024-01-01T01:00,9.9,0.00,98,1009.4,4.3,12.6,294,307
2024-01-01T02:00,10.6,0.00,97,1009.8,6.9,12.9,276,288
2024-01-01T03:00,12.2,0.00,90,1010.6,6.5,13.1,273,279
2024-01-01T04:00,14.7,0.00,79,1010.9,6.6,9.1,292,288
2024-01-01T05:00,17.1,0.00,69,1010.4,7.7,9.8,298,294
2024-01-01T06:00,18.9,0.00,62,1009.3,7.6,9.3,301,298
2024-01-01T07:00,20.3,0.00,57,1007.5,7.6,9.0,301,299
2024-01-01T08:00,21.3,0.00,54,1006.4,7.1,8.9,300,297
2024-01-01T09:00,21.8,0.00,52,1005.6,6.7,8.1,286,283
2024-01-01T10:00,21.7,0.00,52,1005.1,7.2,9.0,270,268
2024-01-01T11:00,19.9,0.00,61,1005.2,5.2,12.4,258,262
2024-01-01T12:00,17.0,0.00,69,1005.6,7.0,15.4,249,259
2024-01-01T13:00,14.5,0.00,79,1007.1,6.5,15.6,251,263
2024-01-01T14:00,13.7,0.00,83,1007.5,7.3,17.3,250,265
2024-01-01T15:00,13.1,0.00,86,1008.4,7.7,18.7,259,270
2024-01-01T16:00,12.3,0.00,90,1008.8,6.8,17.0,273,287
2024-01-01T17:00,11.7,0.00,93,1008.6,6.3,16.3,283,301
2024-01-01T18:00,11.3,0.00,95,1008.1,6.2,16.8,291,305
2024-01-01T19:00,11.3,0.00,95,1007.4,7.4,18.3,313,317
2024-01-01T20:00,11.1,0.00,97,1006.8,8.0,20.1,324,324
2024-01-01T21:00,10.7,0.00,98,1006.3,6.9,18.6,309,319
2024-01-01T22:00,10.1,0.00,98,1006.4,6.5,15.8,273,300
2024-01-01T23:00,10.1,0.00,98,1006.5,7.6,17.0,262,283
2024-01-02T00:00,10.0,0.00,96,1007.1,7.3,17.7,259,275
2024-01-02T01:00,9.5,0.00,97,1008.6,7.4,16.8,231,242
2024-01-02T02:00,10.0,0.00,96,1009.4,8.0,17.4,234,243
2024-01-02T03:00,12.0,0.00,90,1010.2,6.9,17.2,242,254
2024-01-02T04:00,14.7,0.00,80,1010.6,5.4,10.5,278,274
2024-01-02T05:00,17.1,0.00,73,1009.9,6.6,8.4,315,310
2024-01-02T06:00,18.6,0.00,67,1008.7,7.8,9.3,326,324
2024-01-02T07:00,19.9,0.00,62,1007.3,7.3,8.5,327,324
2024-01-02T08:00,20.9,0.00,57,1006.1,7.1,8.7,315,312
2024-01-02T09:00,21.5,0.00,53,1005.4,7.0,8.7,305,300
2024-01-02T10:00,21.4,0.00,51,1005.0,7.7,10.2,298,293
2024-01-02T11:00,18.9,0.00,66,1004.8,7.4,11.6,293,292
2024-01-02T12:00,15.8,0.00,71,1005.3,9.8,13.8,262,277
2024-01-02T13:00,14.7,0.00,77,1007.0,7.6,16.2,275,287
2024-01-02T14:00,13.4,0.00,83,1007.0,9.4,14.6,302,308
2024-01-02T15:00,12.5,0.00,87,1007.4,9.5,13.8,323,321
2024-01-02T16:00,12.0,0.00,88,1007.8,9.2,12.4,339,330
2024-01-02T17:00,11.9,0.00,87,1007.7,8.2,10.9,337,333
2024-01-02T18:00,12.1,0.00,87,1007.7,7.5,10.3,325,331
2024-01-02T19:00,13.0,0.00,85,1007.7,6.2,9.2,324,334
2024-01-02T20:00,12.4,0.00,89,1007.5,5.6,8.4,333,335
2024-01-02T21:00,10.7,0.00,93,1007.1,6.7,9.6,306,326
2024-01-02T22:00,9.5,0.00,95,1007.0,7.8,10.2,304,321
2024-01-02T23:00,8.9,0.00,96,1007.0,8.1,10.1,315,325
2024-01-03T00:00,8.8,0.00,96,1007.4,7.3,9.7,327,333
2024-01-03T01:00,8.3,0.00,100,1008.3,3.3,6.3,257,336
2024-01-03T02:00,9.1,0.00,100,1009.1,3.2,5.6,270,320
2024-01-03T03:00,11.0,0.00,96,1010.1,3.2,6.4,360,322
2024-01-03T04:00,12.6,0.00,91,1010.5,2.6,6.2,16,339
2024-01-03T05:00,15.8,0.00,78,1010.2,2.2,4.7,9,337
2024-01-03T06:00,18.9,0.00,65,1009.1,3.0,3.9,346,338
2024-01-03T07:00,20.6,0.00,55,1007.6,3.3,3.9,311,304
2024-01-03T08:00,21.7,0.00,47,1006.4,3.9,4.9,292,287
2024-01-03T09:00,22.1,0.00,45,1005.4,4.0,5.0,297,291
2024-01-03T10:00,21.9,0.00,45,1005.1,4.1,5.1,322,315
2024-01-03T11:00,19.1,0.00,62,1004.7,6.6,8.8,351,341
2024-01-03T12:00,18.6,0.00,57,1004.9,7.2,7.7,357,349
2024-01-03T13:00,15.0,0.00,73,1005.5,7.6,13.0,289,298
2024-01-03T14:00,14.6,0.00,72,1005.8,7.9,17.9,286,292
2024-01-03T15:00,13.6,0.00,80,1006.4,7.2,17.3,307,315
2024-01-03T16:00,12.4,0.00,88,1006.8,9.7,13.1,309,323
2024-01-03T17:00,13.3,0.00,85,1006.7,7.0,10.4,305,326
2024-01-03T18:00,13.4,0.00,85,1006.4,6.5,9.7,304,329
2024-01-03T19:00,12.2,0.00,90,1006.1,7.2,10.6,333,342
2024-01-03T20:00,11.0,0.00,94,1006.1,5.4,7.4,262,317
2024-01-03T21:00,9.8,0.00,98,1006.0,7.2,7.5,270,305
2024-01-03T22:00,9.8,0.00,99,1006.1,7.0,9.6,258,283
2024-01-03T23:00,9.1,0.00,99,1006.1,9.8,11.2,306,312
2024-01-04T00:00,8.8,0.00,99,1006.8,8.4,12.0,310,316
2024-01-04T01:00,9.2,0.00,99,1008.2,5.9,14.3,322,319
2024-01-04T02:00,9.9,0.00,99,1008.9,6.6,12.9,338,342
2024-01-04T03:00,11.2,0.00,97,1009.5,3.7,10.4,11,360
2024-01-04T04:00,14.3,0.00,87,1010.1,2.2,7.3,360,9
2024-01-04T05:00,17.7,0.00,72,1009.7,2.5,4.4,360,9
2024-01-04T06:00,20.4,0.00,60,1008.5,2.5,3.3,278,276
2024-01-04T07:00,22.0,0.00,53,1007.2,5.0,6.3,249,246
2024-01-04T08:00,23.1,0.00,48,1005.8,5.4,6.6,250,248
2024-01-04T09:00,23.5,0.00,44,1005.0,7.8,9.8,248,246
2024-01-04T10:00,23.3,0.00,43,1004.7,7.6,10.1,267,266
2024-01-04T11:00,20.5,0.00,57,1004.6,6.8,12.2,295,294
2024-01-04T12:00,17.9,0.00,59,1004.9,7.9,15.9,294,295
2024-01-04T13:00,16.9,0.00,63,1005.2,7.0,16.9,282,290
2024-01-04T14:00,15.8,0.00,70,1005.9,7.2,16.1,288,304
2024-01-04T15:00,14.4,0.00,78,1006.4,9.2,13.5,296,314
2024-01-04T16:00,13.7,0.00,82,1007.0,8.0,11.2,275,310
2024-01-04T17:00,13.3,0.00,84,1006.9,6.5,10.9,264,304
2024-01-04T18:00,12.7,0.00,89,1006.7,7.2,11.5,273,316
2024-01-04T19:00,12.3,0.00,91,1006.6,6.8,10.5,267,319
2024-01-04T20:00,12.1,0.00,92,1006.6,5.7,8.8,252,305
2024-01-04T21:00,11.5,0.00,94,1006.5,8.0,9.8,275,306
2024-01-04T22:00,11.4,0.00,95,1006.5,7.1,8.9,285,310
2024-01-04T23:00,12.3,0.00,92,1006.6,5.4,7.9,312,330
2024-01-05T00:00,12.1,0.00,94,1007.0,3.2,5.9,297,346
2024-01-05T01:00,12.0,0.00,94,1008.3,1.8,2.6,233,326
2024-01-05T02:00,11.6,0.00,97,1008.8,0.8,1.4,207,360
2024-01-05T03:00,14.0,0.00,87,1009.7,1.3,2.2,124,81
2024-01-05T04:00,16.9,0.00,76,1010.5,2.7,4.0,67,90
2024-01-05T05:00,19.6,0.00,65,1010.3,2.4,3.5,153,156
2024-01-05T06:00,21.5,0.00,58,1009.3,2.7,3.4,203,198
2024-01-05T07:00,22.8,0.00,53,1007.7,1.9,2.6,202,196
2024-01-05T08:00,23.6,0.00,51,1006.5,3.8,4.6,221,219
2024-01-05T09:00,23.9,0.00,50,1005.9,3.7,4.5,241,241
2024-01-05T10:00,23.5,0.00,51,1005.4,1.3,1.5,326,315
2024-01-05T11:00,21.6,0.00,71,1005.7,4.7,5.2,328,344
2024-01-05T12:00,18.8,0.00,72,1006.3,6.4,6.8,308,328
2024-01-05T13:00,16.8,0.00,82,1007.2,6.4,13.4,286,301
2024-01-05T14:00,17.1,0.00,81,1008.1,6.3,13.9,257,280
2024-01-05T15:00,16.9,0.00,83,1007.9,5.2,8.4,286,317
2024-01-05T16:00,15.6,0.00,90,1008.2,4.7,8.1,270,302
2024-01-05T17:00,14.1,0.00,94,1008.3,6.3,7.2,301,323
2024-01-05T18:00,14.5,0.00,93,1008.0,4.7,5.4,337,340
2024-01-05T19:00,14.3,0.00,92,1007.9,4.3,5.4,294,340
2024-01-05T20:00,13.2,0.40,96,1008.0,4.9,4.1,253,315
2024-01-05T21:00,13.4,0.30,96,1007.7,4.7,1.8,279,323
2024-01-05T22:00,13.1,0.00,97,1007.3,5.9,3.1,317,306
2024-01-05T23:00,13.5,0.00,95,1007.4,4.7,8.2,9,345
2024-01-06T00:00,13.4,0.00,93,1007.9,4.4,5.6,9,345
2024-01-06T01:00,11.8,0.00,95,1009.1,6.3,8.8,283,341
2024-01-06T02:00,13.0,0.00,92,1009.6,3.7,5.5,259,328
2024-01-06T03:00,14.9,0.00,86,1010.5,3.0,4.8,284,333
2024-01-06T04:00,17.4,0.00,78,1011.0,1.8,4.6,349,342
2024-01-06T05:00,19.9,0.00,67,1010.5,3.3,3.8,347,343
2024-01-06T06:00,21.7,0.00,60,1009.3,5.5,6.6,337,331
2024-01-06T07:00,22.7,0.00,58,1007.8,4.8,5.6,318,310
2024-01-06T08:00,23.6,0.00,55,1006.8,7.5,9.3,287,283
2024-01-06T09:00,23.6,0.00,55,1006.1,7.9,10.0,286,283
2024-01-06T10:00,23.4,0.00,55,1005.9,8.2,10.3,285,282
2024-01-06T11:00,21.8,0.00,62,1006.3,7.3,14.8,303,299
2024-01-06T12:00,19.2,0.00,71,1006.8,9.2,20.1,318,314
2024-01-06T13:00,18.7,0.00,74,1008.1,9.0,20.3,286,290
2024-01-06T14:00,17.6,0.00,79,1008.2,7.5,17.9,287,295
2024-01-06T15:00,16.5,0.00,86,1008.6,6.5,15.5,264,282
2024-01-06T16:00,16.0,0.00,89,1009.1,7.2,17.9,267,279
2024-01-06T17:00,15.6,0.00,91,1009.4,8.1,19.5,283,286
2024-01-06T18:00,15.3,0.00,93,1009.4,8.7,20.3,300,300
2024-01-06T19:00,14.8,0.00,94,1008.8,8.9,20.4,320,316
2024-01-06T20:00,14.3,0.00,95,1008.4,8.4,19.5,320,321
2024-01-06T21:00,13.9,0.00,96,1008.1,7.4,18.2,313,321
2024-01-06T22:00,13.5,0.00,96,1008.0,6.5,16.6,304,318
2024-01-06T23:00,13.2,0.00,97,1008.1,6.0,15.1,287,308
2024-01-07T00:00,13.1,0.00,97,1008.3,7.2,15.9,267,288
2024-01-07T01:00,13.0,0.00,98,1010.1,6.2,14.7,277,292
2024-01-07T02:00,13.6,0.00,97,1011.0,7.1,13.9,285,287
2024-01-07T03:00,15.8,0.00,89,1012.1,7.6,12.1,301,293
2024-01-07T04:00,17.9,0.00,82,1012.4,6.6,9.4,319,313
2024-01-07T05:00,20.0,0.00,74,1012.0,8.1,10.2,315,312
2024-01-07T06:00,21.6,0.00,65,1010.9,9.7,12.4,301,300
2024-01-07T07:00,22.9,0.00,58,1009.4,12.2,15.4,294,291
2024-01-07T08:00,23.6,0.00,54,1008.2,12.1,15.4,293,291
2024-01-07T09:00,23.7,0.00,53,1007.2,11.1,14.0,283,282
2024-01-07T10:00,23.5,0.00,52,1006.8,10.1,13.3,274,273
2024-01-07T11:00,22.1,0.00,58,1006.6,6.2,13.5,280,279
2024-01-07T12:00,18.7,0.00,71,1006.8,6.8,16.4,288,289
2024-01-07T13:00,17.0,0.00,80,1007.5,6.5,13.4,264,278
2024-01-07T14:00,16.3,0.00,82,1007.8,6.0,13.6,237,253
2024-01-07T15:00,15.7,0.00,83,1008.6,6.8,15.8,245,253
2024-01-07T16:00,15.2,0.00,85,1009.2,7.0,16.2,258,266
2024-01-07T17:00,14.4,0.00,90,1009.3,6.1,15.3,270,278
2024-01-07T18:00,13.8,0.00,92,1009.2,6.2,14.3,277,288
2024-01-07T19:00,13.4,0.00,94,1008.7,6.2,14.2,277,291
2024-01-07T20:00,12.9,0.00,95,1008.4,5.8,13.7,274,293
2024-01-07T21:00,12.6,0.00,96,1008.3,6.1,13.9,270,295
2024-01-07T22:00,12.4,0.00,96,1008.5,6.2,14.3,263,288
