Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,116.62,147.25,3.15,12.54,7.96,26.34,14.85,0.62,21.45,0.16,0.6,0.06,,0.2,0.18,10.22,89.62,1.2,344.25,0.0,0.0,18.12,,
2024-01-01 01:00:00,113.75,143.62,5.45,14.04,11.91,27.68,14.99,0.57,22.02,0.18,0.6,0.09,,0.2,0.2,10.12,90.5,1.21,340.12,0.0,0.0,17.75,,
2024-01-01 02:00:00,108.5,137.62,3.62,14.12,8.27,27.38,15.05,0.52,24.49,0.12,0.52,0.06,,0.15,0.14,10.25,87.5,1.3,337.0,0.0,0.0,17.25,,
2024-01-01 03:00:00,133.5,169.12,1.58,16.28,8.58,27.36,15.3,0.51,23.67,0.15,0.6,0.08,,0.2,0.12,10.12,87.25,1.34,336.75,0.0,0.0,17.38,,
2024-01-01 04:00:00,158.75,200.5,2.65,15.26,9.69,27.12,15.59,0.5,25.62,0.15,0.6,0.08,,0.2,0.15,10.1,86.5,1.25,337.25,0.0,0.0,19.12,,
2024-01-01 05:00:00,168.12,212.0,1.25,14.84,6.91,25.44,14.75,0.5,26.95,0.15,0.6,0.06,,0.2,0.15,10.04,84.88,1.32,333.88,0.0,0.0,17.75,,
2024-01-01 06:00:00,151.25,191.0,2.14,24.22,14.38,25.61,15.24,0.51,26.16,0.15,0.64,0.06,,0.25,0.12,9.84,83.75,1.04,331.5,0.0,0.0,20.0,,
2024-01-01 07:00:00,157.62,198.5,3.04,19.85,13.02,25.78,15.05,0.49,23.95,0.15,0.62,0.05,,0.2,0.1,10.09,82.25,1.13,334.0,0.0,0.0,29.5,,
2024-01-01 08:00:00,178.62,225.62,4.25,21.78,15.04,24.8,14.9,0.5,20.05,0.15,0.6,0.08,,0.2,0.14,10.72,79.25,1.28,339.38,0.0,0.0,50.25,,
2024-01-01 09:00:00,213.0,269.62,6.78,20.7,16.5,24.48,15.28,0.5,21.7,0.15,0.6,0.09,,0.2,0.15,11.56,76.75,1.45,337.88,0.0,0.0,76.0,,
2024-01-01 10:00:00,205.75,260.62,4.06,25.08,16.66,24.78,14.91,0.5,19.98,0.12,0.57,0.06,,0.15,0.18,11.75,75.0,1.68,340.12,0.0,0.0,100.38,,
2024-01-01 11:00:00,204.5,258.38,4.96,27.79,18.8,25.52,15.29,0.51,22.96,0.15,0.65,0.09,,0.2,0.2,12.86,71.25,1.89,344.0,0.0,0.0,137.75,,
2024-01-01 12:00:00,213.12,269.0,2.12,27.1,13.9,26.36,15.64,0.54,29.84,0.15,0.64,0.08,,0.15,0.21,14.2,68.12,1.92,345.88,0.0,0.0,131.38,,
2024-01-01 13:00:00,222.88,281.5,2.08,23.02,13.44,25.3,14.66,0.58,36.0,0.15,0.61,0.05,,0.2,0.19,15.66,67.62,2.05,345.0,0.0,0.0,112.25,,
2024-01-01 14:00:00,230.12,290.12,2.74,29.03,17.69,25.44,14.86,0.62,35.68,0.15,0.64,0.05,,0.22,0.21,14.7,69.0,1.93,350.84,0.0,0.0,83.88,,
2024-01-01 15:00:00,248.25,312.88,2.15,24.77,14.92,25.49,14.46,0.62,33.21,0.15,0.56,0.08,,0.15,0.2,13.92,72.38,1.8,354.0,0.0,0.0,46.5,,
2024-01-01 16:00:00,252.12,318.0,5.1,24.72,17.33,26.2,14.25,0.64,30.47,0.18,0.58,0.1,,0.15,0.26,12.7,77.88,1.72,262.5,0.0,0.0,23.38,,
2024-01-01 17:00:00,228.5,287.75,7.61,28.78,21.5,27.74,15.02,0.66,29.26,0.2,0.66,0.12,,0.15,0.32,11.64,82.12,1.36,293.08,0.0,0.0,17.88,,
2024-01-01 18:00:00,260.25,328.38,2.99,28.22,17.46,27.38,14.98,0.68,22.9,0.18,0.7,0.14,,0.12,0.38,13.81,82.5,1.15,174.38,0.0,0.0,20.12,,
2024-01-01 19:00:00,520.5,668.25,2.49,24.39,14.99,26.65,14.22,0.98,24.3,0.18,0.68,0.08,,0.15,0.34,10.64,85.38,1.12,215.25,0.0,0.0,18.25,,
2024-01-01 20:00:00,363.25,466.75,2.68,22.64,11.88,26.52,14.62,1.03,23.3,0.2,0.77,0.14,,0.15,0.4,10.4,87.25,0.73,337.62,0.0,0.0,18.12,,
2024-01-01 21:00:00,289.38,365.5,3.46,20.65,12.95,25.26,13.3,1.07,21.32,0.2,0.76,0.15,,0.15,0.39,10.11,88.25,0.75,311.0,0.0,0.0,18.5,,
2024-01-01 22:00:00,289.12,365.88,2.42,26.48,16.06,25.31,13.82,1.04,21.24,0.2,0.81,0.11,,0.18,0.32,9.62,89.38,0.68,198.79,0.0,0.0,17.5,,
2024-01-01 23:00:00,224.25,283.5,2.25,15.62,10.16,25.54,13.75,0.89,21.5,0.2,0.73,0.08,,0.15,0.26,9.54,90.88,1.14,285.71,0.0,0.0,17.62,,
2024-01-02 00:00:00,190.5,240.5,2.98,17.08,11.52,26.08,15.03,0.7,21.17,0.2,0.69,0.09,,0.2,0.2,9.22,92.75,1.0,279.42,0.0,0.0,18.38,,
2024-01-02 01:00:00,198.75,250.38,4.97,18.55,13.9,27.3,15.2,0.64,20.58,0.2,0.68,0.09,,0.15,0.2,8.64,93.75,0.84,257.12,0.0,0.0,17.88,,
2024-01-02 02:00:00,177.88,224.12,2.17,14.86,9.38,27.41,15.05,0.59,19.05,0.19,0.64,0.09,,0.14,0.2,8.0,94.88,0.62,284.38,0.0,0.0,18.25,,
2024-01-02 03:00:00,167.0,210.62,2.72,18.46,11.48,27.11,15.89,0.58,21.42,0.2,0.7,0.09,,0.15,0.2,8.1,94.62,0.54,280.75,0.0,0.0,18.62,,
2024-01-02 04:00:00,159.0,200.62,2.95,18.54,9.68,26.92,15.88,0.56,23.25,0.2,0.66,0.09,,0.15,0.2,7.59,94.0,0.62,262.0,0.0,0.0,18.38,,
2024-01-02 05:00:00,145.62,183.75,1.6,17.92,8.3,25.34,15.36,0.58,22.67,0.19,0.65,0.08,,0.2,0.15,7.35,93.62,0.61,251.88,0.0,0.0,18.38,,
2024-01-02 06:00:00,150.75,190.0,2.6,24.36,15.06,25.64,15.56,0.6,21.75,0.19,0.69,0.09,,0.25,0.16,7.04,93.0,0.7,268.12,0.0,0.0,23.38,,
