Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,60.0,103.75,7.6,35.42,25.02,14.9,15.9,1.18,2.72,0.57,1.68,0.1,,0.6,0.22,13.5,93.0,1.1,186.25,0.0,0.0,17.75,,
2024-01-01 01:00:00,56.75,98.0,6.82,36.15,24.78,13.82,15.45,1.12,3.18,0.48,1.5,0.1,,0.52,0.2,13.3,93.0,1.02,228.25,0.0,0.0,5.25,,
2024-01-01 02:00:00,55.25,94.0,7.22,36.28,25.15,13.28,15.88,1.08,2.72,0.5,1.52,0.1,,0.55,0.2,13.12,93.0,1.12,204.0,0.0,0.0,15.0,,
2024-01-01 03:00:00,53.25,92.75,6.38,38.08,25.45,13.42,14.77,1.05,3.02,0.6,1.72,0.1,,0.57,0.25,12.88,93.25,1.1,234.75,0.0,0.0,13.75,,
2024-01-01 04:00:00,54.0,88.75,6.78,37.05,25.2,14.0,14.75,1.03,2.7,0.6,1.75,0.1,,0.6,0.25,12.82,94.0,1.05,209.0,0.0,0.0,14.0,,
2024-01-01 05:00:00,49.0,91.5,7.9,35.4,25.25,14.25,15.58,1.03,2.25,0.57,1.68,0.1,,0.6,0.22,12.78,93.5,1.05,209.75,0.0,0.0,5.75,,
2024-01-01 06:00:00,45.75,94.75,7.32,36.67,25.48,14.48,14.9,1.0,1.95,0.6,1.75,0.1,,0.6,0.25,12.58,93.0,1.05,258.0,0.0,0.0,18.75,,
2024-01-01 07:00:00,56.0,102.25,5.95,37.85,24.98,15.35,14.65,0.97,1.7,0.6,1.78,0.1,,0.6,0.28,12.52,92.5,1.1,232.0,0.0,0.0,34.75,,
2024-01-01 08:00:00,56.75,104.5,7.45,36.15,25.28,15.6,14.37,0.97,1.8,0.53,1.7,0.1,,0.6,0.2,12.88,91.75,1.18,237.25,0.0,0.0,61.0,,
2024-01-01 09:00:00,62.75,110.0,7.0,37.05,25.4,21.25,15.05,0.98,1.78,0.5,1.55,0.1,,0.55,0.2,13.4,90.5,1.15,217.75,0.0,0.0,58.5,,
2024-01-01 10:00:00,70.0,112.0,7.52,35.17,24.82,16.08,14.38,1.02,1.82,0.57,1.68,0.1,,0.6,0.2,13.9,88.5,1.12,228.0,0.0,0.0,65.5,,
2024-01-01 11:00:00,67.0,124.75,6.28,36.98,24.78,14.38,14.28,1.04,2.1,0.55,1.65,0.1,,0.6,0.2,14.6,86.5,1.25,218.0,0.0,0.0,68.0,,
2024-01-01 12:00:00,68.75,128.0,8.28,34.83,25.22,14.12,14.45,1.04,2.7,0.55,1.62,0.1,,0.57,0.2,15.7,82.0,1.3,246.75,0.0,0.0,61.5,,
2024-01-01 13:00:00,63.75,124.25,7.48,36.75,25.62,13.85,14.72,1.04,3.15,0.52,1.62,0.1,,0.6,0.2,17.02,78.0,1.27,275.5,0.0,0.0,60.75,,
2024-01-01 14:00:00,69.0,118.0,7.9,35.88,25.5,13.82,14.9,1.05,5.7,0.57,1.68,0.1,,0.6,0.22,17.68,75.5,1.38,197.25,0.0,0.0,57.0,,
2024-01-01 15:00:00,60.75,115.75,7.4,36.3,25.3,13.22,14.4,1.06,7.05,0.6,1.75,0.1,,0.6,0.25,16.82,78.5,1.27,238.0,0.0,0.0,46.25,,
2024-01-01 16:00:00,64.5,124.75,8.6,35.03,25.6,13.32,14.6,1.08,6.0,0.55,1.65,0.1,,0.6,0.2,15.48,83.5,0.92,195.75,0.0,0.0,21.25,,
2024-01-01 17:00:00,70.0,136.25,6.05,37.17,24.68,13.12,14.65,1.16,4.18,0.55,1.65,0.1,,0.6,0.2,14.2,88.0,0.8,169.25,0.0,0.0,14.25,,
2024-01-01 18:00:00,85.0,160.75,8.22,35.33,25.48,12.88,15.4,1.3,3.08,0.57,1.72,0.1,,0.6,0.28,13.3,91.0,0.7,160.5,0.0,0.0,12.0,,
2024-01-01 19:00:00,94.0,192.75,7.7,36.08,25.48,13.92,15.02,1.51,2.15,0.55,1.65,0.1,,0.6,0.22,12.62,93.5,0.75,213.75,0.0,0.0,20.75,,
2024-01-01 20:00:00,118.75,219.5,7.28,35.8,24.95,14.78,15.32,1.68,1.38,0.55,1.6,0.1,,0.57,0.2,12.32,94.5,0.85,214.0,0.0,0.0,21.5,,
2024-01-01 21:00:00,121.0,232.5,7.65,35.45,25.08,15.08,15.6,1.76,1.33,0.57,1.7,0.1,,0.6,0.22,11.9,95.0,0.85,201.25,0.0,0.0,16.75,,
2024-01-01 22:00:00,109.25,223.0,6.82,37.2,25.35,15.6,15.08,1.71,0.8,0.57,1.68,0.1,,0.6,0.22,11.42,95.0,0.8,222.5,0.0,0.0,7.0,,
2024-01-01 23:00:00,96.0,208.0,7.85,34.88,24.95,16.2,14.4,1.63,0.57,0.57,1.72,0.1,,0.6,0.25,11.0,96.0,0.9,200.0,0.0,0.0,7.75,,
2024-01-02 00:00:00,97.0,196.25,8.25,34.7,25.15,16.95,13.92,1.53,0.6,0.53,1.63,0.1,,0.6,0.2,10.8,96.0,0.98,241.75,0.0,0.0,10.67,,
2024-01-02 01:00:00,84.5,194.0,6.15,36.92,24.62,,14.0,1.48,,0.6,1.78,0.1,,0.6,0.25,10.93,97.0,1.08,219.25,0.0,0.0,11.33,,
2024-01-02 02:00:00,74.0,167.0,8.15,35.8,25.65,,13.9,1.39,,0.55,1.62,0.1,,0.57,0.22,11.08,97.0,1.08,211.0,0.0,0.0,5.33,,
2024-01-02 03:00:00,69.75,161.75,7.95,35.55,25.4,,13.78,1.28,0.2,0.55,1.75,0.1,,0.6,0.25,11.1,97.0,1.05,232.75,0.0,0.0,12.5,,
2024-01-02 04:00:00,63.0,148.75,6.98,36.5,25.1,,14.08,1.19,0.3,0.4,1.25,0.1,,0.52,0.2,10.88,97.0,1.05,221.75,0.0,0.0,17.0,,
2024-01-02 05:00:00,54.5,128.75,6.4,37.5,25.17,,14.1,1.16,0.1,0.5,1.6,0.1,,0.57,0.2,10.8,97.0,1.05,188.0,0.0,0.0,15.5,,
2024-01-02 06:00:00,53.5,123.0,7.05,36.02,24.9,,13.92,1.17,0.9,0.5,1.55,0.1,,0.57,0.2,10.68,97.0,1.08,156.25,0.0,0.0,16.75,,
2024-01-02 07:00:00,55.25,123.0,6.78,36.02,24.68,,14.38,1.17,1.37,0.57,1.75,0.1,,0.6,0.25,10.82,97.0,1.08,208.0,0.0,0.0,39.0,,
2024-01-02 08:00:00,59.0,125.75,7.3,35.72,24.95,,14.2,1.17,1.5,0.55,1.62,0.1,,0.57,0.22,11.25,97.0,1.12,224.0,0.0,0.0,65.75,,
2024-01-02 09:00:00,71.25,138.5,8.98,34.52,25.67,,14.1,1.25,0.38,0.55,1.62,0.1,,0.57,0.2,11.82,97.0,1.05,214.75,0.0,0.0,74.5,,
2024-01-02 10:00:00,76.0,146.5,6.78,37.12,25.25,,14.28,1.31,0.98,0.62,1.8,0.15,,0.57,0.28,12.58,95.67,1.12,218.0,0.0,0.0,71.0,,
2024-01-02 11:00:00,94.5,154.75,6.52,36.98,24.98,,14.58,1.36,5.2,0.6,1.7,0.1,,0.6,0.2,14.25,88.75,1.12,254.25,0.0,0.0,61.25,,
