time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,7.8,93,0.00,975.9,6.4,14.0,344,331
2024-01-01T01:00,8.9,98,0.00,977.8,4.8,6.9,312,313
2024-01-01T02:00,8.8,97,0.00,978.2,4.3,4.9,312,306
2024-01-01T03:00,9.2,96,0.00,978.6,3.6,3.8,307,319
2024-01-01T04:00,9.8,97,0.00,979.0,3.4,2.8,288,310
2024-01-01T05:00,10.8,94,0.00,979.2,4.4,4.0,261,260
2024-01-01T06:00,12.3,87,0.00,978.8,4.7,5.0,247,249
2024-01-01T07:00,14.0,79,0.00,977.9,4.9,5.2,253,258
2024-01-01T08:00,15.2,75,0.00,977.0,6.1,6.8,267,273
2024-01-01T09:00,15.8,73,0.00,976.2,7.6,8.9,278,284
2024-01-01T10:00,15.7,73,0.00,975.7,8.9,10.9,291,297
2024-01-01T11:00,15.0,75,0.00,975.5,9.0,12.3,299,302
2024-01-01T12:00,12.8,86,0.00,975.2,7.7,16.8,307,312
2024-01-01T13:00,10.2,92,0.00,976.2,7.4,15.8,313,317
2024-01-01T14:00,9.6,93,0.00,976.6,7.9,18.1,321,316
2024-01-01T15:00,9.2,94,0.00,977.0,9.2,19.7,334,329
2024-01-01T16:00,8.9,95,0.00,977.0,8.1,18.1,339,339
2024-01-01T17:00,8.5,96,0.00,976.7,6.6,16.6,338,336
2024-01-01T18:00,7.7,97,0.00,976.1,7.0,14.5,339,333
2024-01-01T19:00,6.9,97,0.00,975.9,8.8,12.4,348,330
2024-01-01T20:00,6.6,95,0.00,975.4,8.4,11.8,350,329
2024-01-01T21:00,6.7,93,0.00,975.4,8.1,11.5,347,328
2024-01-01T22:00,6.5,93,0.00,975.2,7.9,11.1,344,331
2024-01-01T23:00,6.7,92,0.00,974.9,7.3,10.2,351,337
2024-01-02T00:00,7.1,89,0.00,975.1,5.8,8.7,356,336
2024-01-02T01:00,8.2,98,0.00,976.6,3.2,5.2,297,295
2024-01-02T02:00,8.2,97,0.00,977.3,1.9,2.3,292,309
2024-01-02T03:00,8.5,98,0.00,977.9,2.2,1.8,270,270
2024-01-02T04:00,8.9,98,0.00,978.6,2.5,1.4,262,270
2024-01-02T05:00,9.5,96,0.00,978.8,3.8,3.3,229,221
2024-01-02T06:00,11.1,87,0.00,978.3,3.6,3.9,217,214
2024-01-02T07:00,12.9,79,0.00,977.3,3.7,4.0,209,207
2024-01-02T08:00,14.1,74,0.00,976.4,3.9,3.9,236,236
2024-01-02T09:00,14.8,72,0.00,975.6,4.0,4.7,260,261
2024-01-02T10:00,14.9,71,0.00,975.2,5.2,6.2,282,291
2024-01-02T11:00,14.3,74,0.00,975.1,7.4,9.5,293,299
2024-01-02T12:00,11.7,88,0.00,974.8,6.0,13.6,303,310
2024-01-02T13:00,9.8,91,0.00,975.7,6.9,13.3,313,319
2024-01-02T14:00,9.1,93,0.00,975.8,7.3,16.4,327,327
2024-01-02T15:00,8.6,95,0.00,975.9,7.0,16.1,339,340
2024-01-02T16:00,7.9,97,0.00,975.8,6.4,13.7,344,346
2024-01-02T17:00,8.0,95,0.00,975.8,6.8,8.8,342,341
2024-01-02T18:00,9.4,91,0.00,976.1,4.5,5.2,331,335
2024-01-02T19:00,7.9,95,0.00,975.7,5.5,5.0,328,339
2024-01-02T20:00,6.6,97,0.00,975.4,7.6,5.8,341,338
2024-01-02T21:00,6.6,97,0.00,975.4,8.0,6.7,333,324
2024-01-02T22:00,7.8,95,0.00,975.3,6.0,5.9,327,322
2024-01-02T23:00,8.5,94,0.00,975.3,3.7,3.2,349,333
2024-01-03T00:00,8.5,94,0.00,975.3,3.2,3.1,360,339
2024-01-03T01:00,8.9,89,0.00,976.1,4.2,5.7,329,305
2024-01-03T02:00,8.8,91,0.00,976.9,0.5,1.3,45,326
2024-01-03T03:00,9.1,87,0.00,977.7,1.1,2.3,72,51
2024-01-03T04:00,10.3,85,0.00,978.5,2.7,1.6,203,153
2024-01-03T05:00,11.5,83,0.00,979.0,5.0,5.0,210,210
