Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,115.28,178.37,3.52,17.22,12.05,37.91,2.84,1.26,6.33,4.09,10.08,2.68,,3.36,3.26,10.51,99.59,0.28,249.24,0.0,0.0,11.03,,
2024-01-01 01:00:00,105.21,166.23,2.64,14.54,9.86,37.26,2.71,1.22,8.88,3.81,10.01,2.95,,3.41,3.09,10.41,99.59,0.32,304.19,0.0,0.0,10.98,,
2024-01-01 02:00:00,97.99,154.18,2.47,13.12,8.96,36.6,2.6,1.1,10.26,3.92,9.48,2.94,,3.25,3.15,10.16,99.59,0.41,286.55,0.0,0.0,11.07,,
2024-01-01 03:00:00,86.91,130.71,2.32,11.55,8.04,34.67,2.52,1.02,11.29,3.68,9.04,1.95,,2.94,2.77,9.73,99.59,0.38,243.49,0.0,0.0,11.07,,
2024-01-01 04:00:00,74.47,104.11,1.9,11.86,7.74,32.96,3.16,0.98,10.43,3.51,8.66,1.72,,2.3,2.43,9.49,99.59,0.36,293.28,0.0,0.0,11.04,,
2024-01-01 05:00:00,68.98,99.14,2.56,15.81,8.41,33.01,3.28,1.03,8.69,3.46,9.72,1.67,,2.75,2.16,9.34,99.59,0.36,278.04,0.0,0.0,11.03,,
2024-01-01 06:00:00,73.64,108.81,5.34,18.48,11.54,32.24,7.73,1.29,7.03,3.43,11.42,1.7,,2.53,2.18,9.26,99.59,0.35,290.53,0.0,0.0,11.02,,
2024-01-01 07:00:00,77.5,122.13,8.91,19.0,17.1,33.88,16.87,1.5,5.19,3.35,11.8,2.08,,2.54,2.15,9.16,99.6,0.33,239.98,0.0,0.0,13.02,,
2024-01-01 08:00:00,75.99,130.82,9.9,19.94,18.48,34.65,22.99,1.46,5.84,3.28,10.86,1.74,,2.24,1.98,9.19,99.59,0.32,287.59,0.0,0.0,22.95,,
2024-01-01 09:00:00,78.94,124.93,8.96,19.6,17.5,35.34,16.86,1.34,7.38,3.38,11.16,1.87,,2.37,2.42,9.54,99.59,0.35,260.25,0.0,0.0,38.82,,
2024-01-01 10:00:00,87.53,126.86,8.79,20.44,17.64,37.61,14.04,1.41,8.5,3.45,11.94,1.97,,2.53,2.64,10.02,99.6,0.46,277.33,0.0,0.0,56.32,,
2024-01-01 11:00:00,102.58,143.48,10.52,30.87,24.8,39.48,14.01,1.52,10.41,3.39,12.17,2.13,,2.79,2.93,10.67,97.43,0.39,204.77,0.0,0.0,69.82,,
2024-01-01 12:00:00,121.93,171.85,11.44,32.77,26.69,38.72,12.01,1.45,10.98,3.73,10.71,1.82,,2.77,2.58,10.86,96.43,0.44,231.58,0.0,0.0,72.57,,
2024-01-01 13:00:00,134.33,181.55,7.77,27.22,20.89,35.94,12.86,1.23,14.4,3.39,10.04,1.86,,2.16,2.32,11.05,95.54,0.58,291.06,0.0,0.0,92.91,,
