latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.108961,82.1134,262.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,14.2,0.00,93,985.1,8.3,16.8,18,28
2024-01-01T01:00,13.6,0.00,96,986.4,6.2,11.8,21,20
2024-01-01T02:00,14.6,0.00,90,986.9,7.2,10.6,27,24
2024-01-01T03:00,18.0,0.00,76,987.9,5.8,11.1,30,25
2024-01-01T04:00,21.6,0.00,62,988.6,5.0,7.1,30,30
2024-01-01T05:00,24.0,0.00,53,988.4,2.6,3.1,56,54
2024-01-01T06:00,25.5,0.00,48,987.5,1.5,1.8,135,143
2024-01-01T07:00,26.5,0.00,46,986.0,1.8,2.2,191,189
2024-01-01T08:00,27.1,0.00,44,984.9,1.8,2.0,217,225
2024-01-01T09:00,27.4,0.00,42,984.0,1.5,1.9,284,292
2024-01-01T10:00,27.3,0.00,41,983.6,0.7,1.1,270,288
2024-01-01T11:00,26.8,0.00,43,983.6,1.8,2.2,191,189
2024-01-01T12:00,22.7,0.00,61,983.5,9.0,10.0,164,165
2024-01-01T13:00,22.2,0.00,62,984.6,8.4,17.7,130,142
2024-01-01T14:00,21.2,0.00,63,985.3,9.0,19.1,88,91
2024-01-01T15:00,20.0,0.00,62,985.6,6.5,17.3,90,78
2024-01-01T16:00,18.3,0.00,70,985.8,9.2,12.4,101,100
2024-01-01T17:00,17.9,0.00,72,985.7,7.1,9.1,60,108
2024-01-01T18:00,17.8,0.00,71,985.6,5.6,10.4,50,92
2024-01-01T19:00,17.0,0.00,75,985.1,6.2,11.9,54,85
2024-01-01T20:00,16.4,0.00,79,984.8,6.1,11.9,45,76
2024-01-01T21:00,16.2,0.00,80,984.2,6.8,12.2,32,66
2024-01-01T22:00,15.8,0.00,82,983.9,7.2,13.0,37,62
2024-01-01T23:00,15.4,0.00,84,984.0,7.4,14.3,39,62
2024-01-02T00:00,15.0,0.00,85,984.4,6.5,13.3,34,57
2024-01-02T01:00,15.3,0.00,86,985.6,7.2,12.2,27,43
2024-01-02T02:00,16.2,0.00,81,986.4,7.4,11.0,39,52
2024-01-02T03:00,19.1,0.00,71,987.6,4.1,9.4,105,90
2024-01-02T04:00,21.7,0.00,60,988.0,5.6,7.6,117,115
2024-01-02T05:00,23.8,0.00,53,987.7,6.0,7.6,115,115
2024-01-02T06:00,25.3,0.00,49,986.6,5.5,6.5,122,124
2024-01-02T07:00,26.4,0.00,44,985.3,6.0,7.1,147,150
2024-01-02T08:00,27.0,0.00,43,984.2,6.0,7.1,155,156
2024-01-02T09:00,27.2,0.00,42,983.5,6.3,7.4,149,151
2024-01-02T10:00,27.0,0.00,42,983.1,6.1,7.2,140,143
2024-01-02T11:00,26.2,0.00,44,983.0,5.9,8.1,133,135
2024-01-02T12:00,22.5,0.00,60,983.1,8.7,10.5,132,139
2024-01-02T13:00,21.3,0.00,65,984.1,9.4,11.6,122,126
2024-01-02T14:00,20.5,0.00,68,984.6,9.2,12.0,149,147
2024-01-02T15:00,20.0,0.00,70,985.0,7.7,12.3,139,148
2024-01-02T16:00,19.6,0.00,71,985.3,8.2,16.8,131,137
2024-01-02T17:00,18.7,0.00,74,985.4,7.3,19.3,147,153
2024-01-02T18:00,17.2,0.00,81,985.0,9.3,14.9,118,148
2024-01-02T19:00,17.3,0.00,79,984.8,6.9,11.6,84,144
2024-01-02T20:00,16.4,0.00,83,984.3,4.3,7.1,42,114
2024-01-02T21:00,15.7,0.00,87,983.8,5.3,6.8,28,58
2024-01-02T22:00,14.9,0.00,90,983.7,5.6,8.0,40,63
2024-01-02T23:00,14.8,0.00,90,983.8,5.7,10.5,55,74
2024-01-03T00:00,14.5,0.00,90,984.4,5.9,13.0,76,93
2024-01-03T01:00,14.9,0.00,93,985.4,6.0,13.4,57,82
2024-01-03T02:00,15.9,0.00,88,986.2,8.5,13.9,62,80
2024-01-03T03:00,19.0,0.00,76,987.5,6.6,13.7,81,88
2024-01-03T04:00,21.8,0.00,64,987.8,8.5,11.1,102,103
2024-01-03T05:00,23.8,0.00,57,987.2,9.5,11.9,119,119
2024-01-03T06:00,25.4,0.00,51,986.3,8.4,10.7,130,130
2024-01-03T07:00,26.4,0.00,46,984.8,8.4,10.2,140,141
2024-01-03T08:00,26.9,0.00,42,983.6,7.0,8.5,145,144
2024-01-03T09:00,27.1,0.00,40,982.8,6.4,7.7,142,143
2024-01-03T10:00,26.9,0.00,39,982.8,6.4,7.9,137,137
2024-01-03T11:00,26.1,0.00,41,982.8,5.6,8.4,135,137
2024-01-03T12:00,22.1,0.00,57,982.9,8.9,10.8,140,143
2024-01-03T13:00,21.0,0.00,66,983.2,9.0,12.0,157,159
2024-01-03T14:00,20.4,0.00,67,983.3,8.4,12.7,160,173
2024-01-03T15:00,20.1,0.00,67,983.8,7.3,15.5,123,138
2024-01-03T16:00,19.9,0.00,67,984.5,9.7,22.9,132,135
2024-01-03T17:00,19.5,0.00,69,984.5,8.6,21.5,147,145
2024-01-03T18:00,18.7,0.00,73,984.1,7.1,19.5,131,146
2024-01-03T19:00,17.6,0.00,78,984.0,6.3,14.3,77,118
2024-01-03T20:00,17.0,0.00,80,983.8,7.9,17.9,90,112
2024-01-03T21:00,16.5,0.00,81,983.1,7.9,18.9,87,111
2024-01-03T22:00,15.5,0.00,84,983.2,6.6,15.8,68,102
2024-01-03T23:00,15.1,0.00,84,983.9,6.9,15.5,62,86
2024-01-04T00:00,15.1,0.00,81,983.8,9.0,20.0,85,97
2024-01-04T01:00,14.8,0.00,90,985.6,6.1,14.2,45,69
2024-01-04T02:00,15.9,0.00,84,986.6,8.9,14.9,69,83
2024-01-04T03:00,19.1,0.00,71,987.5,7.2,15.5,90,95
2024-01-04T04:00,21.7,0.00,62,988.2,6.1,8.3,90,95
2024-01-04T05:00,23.7,0.00,56,987.8,5.0,6.5,90,93
2024-01-04T06:00,25.5,0.00,49,986.7,4.7,5.8,113,112
2024-01-04T07:00,26.4,0.00,44,985.3,4.1,5.1,128,129
2024-01-04T08:00,27.0,0.00,42,984.1,5.0,6.1,150,152
2024-01-04T09:00,27.2,0.00,41,983.2,1.5,1.8,135,143
2024-01-04T10:00,26.8,0.00,42,982.8,0.4,0.4,360,360
2024-01-04T11:00,26.4,0.00,45,982.8,1.5,1.9,76,68
2024-01-04T12:00,24.9,0.00,51,982.8,4.3,4.4,85,81
2024-01-04T13:00,22.2,0.00,55,983.2,6.2,11.0,126,128
2024-01-04T14:00,21.5,0.00,56,983.7,7.4,13.2,137,137
2024-01-04T15:00,20.8,0.00,60,984.3,8.9,20.6,130,133
2024-01-04T16:00,19.7,0.00,66,984.9,7.0,19.1,125,134
2024-01-04T17:00,18.5,0.00,73,984.5,8.4,15.8,110,135
2024-01-04T18:00,17.9,0.00,74,984.3,5.8,13.0,68,104
2024-01-04T19:00,17.0,0.00,78,984.1,5.5,13.0,58,96
2024-01-04T20:00,16.7,0.00,79,983.7,5.5,13.1,58,98
2024-01-04T21:00,16.3,0.00,81,983.6,6.6,15.2,61,86
2024-01-04T22:00,15.9,0.00,81,983.3,7.2,17.3,72,89
2024-01-04T23:00,15.6,0.00,80,983.6,8.1,19.5,77,93
2024-01-05T00:00,15.5,0.00,78,984.1,8.8,20.5,78,91
2024-01-05T01:00,15.6,0.00,83,985.5,7.8,19.1,77,90
2024-01-05T02:00,16.5,0.00,78,986.2,10.5,19.9,86,94
2024-01-05T03:00,18.9,0.00,69,987.4,9.7,18.9,90,99
2024-01-05T04:00,21.4,0.00,61,987.9,12.4,16.9,100,102
2024-01-05T05:00,23.4,0.00,56,987.6,12.6,16.3,114,115
2024-01-05T06:00,25.1,0.00,52,986.4,11.2,14.0,123,125
2024-01-05T07:00,26.4,0.00,46,985.1,10.4,13.2,134,135
2024-01-05T08:00,27.1,0.00,41,983.9,10.3,12.7,144,145
2024-01-05T09:00,27.3,0.00,39,983.3,8.6,11.0,147,148
2024-01-05T10:00,27.2,0.00,39,982.9,8.0,9.9,144,147
2024-01-05T11:00,26.3,0.00,43,983.3,7.1,11.0,139,139
2024-01-05T12:00,22.7,0.00,57,983.3,8.4,13.5,133,136
2024-01-05T13:00,22.3,0.00,62,984.1,6.8,14.0,93,102
2024-01-05T14:00,21.9,0.00,61,984.7,11.0,23.9,101,101
2024-01-05T15:00,21.4,0.00,61,985.4,10.9,24.2,99,101
2024-01-05T16:00,21.1,0.00,61,985.2,12.8,26.2,106,106
2024-01-05T17:00,20.4,0.00,64,985.0,10.1,22.7,92,101
2024-01-05T18:00,19.5,0.00,67,985.0,10.5,23.3,98,103
2024-01-05T19:00,19.3,0.00,67,984.9,10.8,25.0,105,108
2024-01-05T20:00,18.7,0.00,69,984.4,11.7,25.2,99,104
2024-01-05T21:00,18.2,0.00,72,984.2,11.2,24.1,94,100
2024-01-05T22:00,17.7,0.00,75,984.1,8.6,20.3,90,102
2024-01-05T23:00,17.9,0.00,74,984.4,9.4,18.5,83,98
2024-01-06T00:00,17.8,0.00,74,984.8,9.5,19.2,99,107
2024-01-06T01:00,18.7,0.00,75,986.0,9.7,18.8,86,95
2024-01-06T02:00,18.5,0.00,77,986.5,10.1,18.4,84,93
2024-01-06T03:00,20.0,0.00,71,987.6,8.7,13.6,97,101
2024-01-06T04:00,22.0,0.00,63,988.3,9.0,11.7,95,99
2024-01-06T05:00,22.8,0.00,59,987.7,8.3,10.8,92,94
2024-01-06T06:00,23.7,0.00,56,986.9,5.7,7.0,125,125
2024-01-06T07:00,24.1,0.00,54,985.8,4.3,5.2,114,115
