latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.319859,82.74043,287.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,12.4,0.00,93,982.1,7.6,10.9,355,343
2024-01-01T01:00,12.4,0.00,95,983.5,5.5,14.2,337,344
2024-01-01T02:00,14.0,0.00,90,984.0,7.7,13.2,332,343
2024-01-01T03:00,17.2,0.00,79,985.1,4.1,10.5,315,344
2024-01-01T04:00,20.7,0.00,66,985.7,3.6,5.3,315,332
2024-01-01T05:00,23.6,0.00,56,985.4,4.4,5.4,305,318
2024-01-01T06:00,25.4,0.00,47,984.6,7.0,8.4,305,310
2024-01-01T07:00,26.3,0.00,42,983.2,9.4,12.0,310,314
2024-01-01T08:00,26.7,0.00,39,982.1,10.9,14.0,316,318
2024-01-01T09:00,26.7,0.00,38,981.3,12.1,15.6,323,326
2024-01-01T10:00,26.4,0.00,38,980.9,11.0,14.8,328,331
2024-01-01T11:00,25.0,0.00,45,980.8,6.4,13.6,313,323
2024-01-01T12:00,21.7,0.00,53,980.7,6.9,15.4,309,323
2024-01-01T13:00,19.2,0.00,69,981.6,8.4,13.4,317,324
2024-01-01T14:00,19.1,0.00,69,982.3,4.2,6.0,20,335
2024-01-01T15:00,17.6,0.00,75,982.5,4.1,6.3,75,77
2024-01-01T16:00,16.9,0.00,76,982.8,5.8,11.1,94,103
2024-01-01T17:00,16.7,0.00,73,982.8,6.8,16.2,72,90
2024-01-01T18:00,16.3,0.00,72,982.8,7.1,17.8,60,72
2024-01-01T19:00,14.9,0.00,78,982.2,9.9,15.5,80,78
2024-01-01T20:00,16.1,0.00,69,982.1,6.9,12.4,62,73
2024-01-01T21:00,16.1,0.00,69,981.6,5.5,9.9,67,71
2024-01-01T22:00,14.2,0.00,78,981.2,7.4,10.8,67,69
2024-01-01T23:00,13.8,0.00,79,981.2,7.8,10.8,56,53
2024-01-02T00:00,14.3,0.00,75,981.6,6.6,9.2,49,42
2024-01-02T01:00,14.8,0.00,77,982.9,5.6,8.2,27,15
2024-01-02T02:00,15.7,0.00,75,983.6,2.6,6.1,74,45
2024-01-02T03:00,18.5,0.00,66,984.8,4.8,9.7,132,117
2024-01-02T04:00,21.3,0.00,56,985.3,4.9,7.6,126,121
2024-01-02T05:00,23.6,0.00,51,984.8,5.5,7.4,122,119
2024-01-02T06:00,25.1,0.00,48,983.7,3.6,4.6,135,129
2024-01-02T07:00,26.1,0.00,45,982.4,3.0,3.6,194,186
2024-01-02T08:00,26.8,0.00,42,981.3,4.3,5.1,228,225
2024-01-02T09:00,26.9,0.00,40,980.7,5.5,6.3,238,239
2024-01-02T10:00,26.6,0.00,41,980.3,5.5,6.5,238,236
2024-01-02T11:00,25.2,0.00,52,980.2,3.8,8.1,253,249
2024-01-02T12:00,22.1,0.00,59,980.1,7.9,8.7,267,263
2024-01-02T13:00,23.4,0.00,51,981.5,4.6,5.8,225,266
2024-01-02T14:00,19.8,0.00,67,981.8,4.8,3.8,138,197
2024-01-02T15:00,18.3,0.00,75,982.0,7.6,8.6,135,180
2024-01-02T16:00,17.6,0.00,78,982.3,8.7,12.3,142,175
2024-01-02T17:00,17.3,0.00,79,982.5,5.8,8.8,94,161
2024-01-02T18:00,16.5,0.00,83,982.2,5.6,7.4,75,129
2024-01-02T19:00,16.0,0.00,85,981.9,4.7,8.5,81,118
2024-01-02T20:00,15.7,0.00,85,981.4,5.9,9.0,76,92
2024-01-02T21:00,15.0,0.00,87,981.0,6.8,9.5,65,79
2024-01-02T22:00,14.3,0.00,89,980.9,9.0,10.8,88,86
2024-01-02T23:00,13.8,0.00,90,980.9,9.4,12.3,90,87
2024-01-03T00:00,13.5,0.00,90,981.4,9.6,12.6,77,85
2024-01-03T01:00,14.1,0.00,91,982.5,7.9,12.0,74,81
2024-01-03T02:00,16.5,0.00,82,983.6,8.3,16.9,85,89
2024-01-03T03:00,19.5,0.00,71,984.7,7.2,17.7,96,95
2024-01-03T04:00,22.4,0.00,61,985.0,8.9,12.2,111,109
2024-01-03T05:00,24.2,0.00,54,984.4,9.7,12.6,121,121
2024-01-03T06:00,25.4,0.00,49,983.5,7.7,9.9,139,136
2024-01-03T07:00,26.2,0.00,45,982.0,6.8,8.4,155,155
2024-01-03T08:00,26.6,0.00,42,980.8,6.2,7.8,170,167
2024-01-03T09:00,26.7,0.00,41,980.1,5.9,6.9,191,189
2024-01-03T10:00,26.5,0.00,41,980.0,6.2,7.8,201,193
2024-01-03T11:00,25.3,0.00,48,980.0,5.2,10.0,214,206
2024-01-03T12:00,21.7,0.00,57,980.1,7.4,13.8,219,219
2024-01-03T13:00,20.0,0.00,69,980.4,8.7,13.2,185,197
2024-01-03T14:00,18.9,0.00,74,980.5,10.1,15.5,163,184
2024-01-03T15:00,18.6,0.00,72,980.9,7.4,16.6,133,162
2024-01-03T16:00,18.5,0.00,70,981.5,7.2,17.3,108,137
2024-01-03T17:00,18.1,0.00,70,981.9,8.0,16.3,82,108
2024-01-03T18:00,17.7,0.00,71,981.4,7.6,14.2,93,117
2024-01-03T19:00,17.1,0.00,72,981.2,9.7,18.0,105,119
2024-01-03T20:00,16.8,0.00,73,981.1,9.7,21.3,90,93
2024-01-03T21:00,16.5,0.00,73,980.5,9.7,22.0,92,88
2024-01-03T22:00,16.1,0.00,75,980.5,9.0,21.3,95,93
2024-01-03T23:00,15.4,0.00,79,981.0,7.2,19.1,90,94
2024-01-04T00:00,15.1,0.00,81,981.1,9.0,20.1,95,99
2024-01-04T01:00,14.2,0.00,87,982.6,6.8,14.4,72,90
2024-01-04T02:00,15.9,0.00,80,983.8,7.9,14.6,87,99
2024-01-04T03:00,19.1,0.00,70,984.8,6.5,15.6,87,97
2024-01-04T04:00,22.2,0.00,61,985.4,5.8,8.4,94,97
2024-01-04T05:00,24.4,0.00,52,984.9,4.0,5.1,100,98
2024-01-04T06:00,25.7,0.00,45,983.7,2.5,3.3,180,174
2024-01-04T07:00,26.5,0.00,41,982.3,5.4,6.5,217,214
2024-01-04T08:00,27.0,0.00,39,981.1,6.4,7.9,223,219
2024-01-04T09:00,27.0,0.00,38,980.4,6.9,8.4,242,239
2024-01-04T10:00,26.7,0.00,38,980.0,5.1,6.5,266,264
2024-01-04T11:00,25.5,0.00,59,980.0,2.1,4.0,301,297
2024-01-04T12:00,25.2,0.00,43,980.2,3.9,4.7,326,328
2024-01-04T13:00,23.9,0.00,45,981.0,0.8,1.5,117,256
2024-01-04T14:00,19.9,0.00,65,981.0,6.1,10.6,118,145
2024-01-04T15:00,18.5,0.00,72,981.4,7.1,14.8,120,154
2024-01-04T16:00,17.8,0.00,73,981.9,7.6,14.0,98,132
2024-01-04T17:00,17.2,0.00,71,981.8,5.5,10.7,67,102
2024-01-04T18:00,16.3,0.00,73,981.5,6.2,9.4,69,92
2024-01-04T19:00,15.9,0.00,74,981.3,6.8,11.7,87,101
2024-01-04T20:00,16.6,0.00,70,981.0,9.0,18.9,95,99
2024-01-04T21:00,16.4,0.00,69,980.7,8.3,19.8,90,92
2024-01-04T22:00,16.3,0.00,69,980.7,9.6,22.3,103,100
2024-01-04T23:00,16.0,0.00,70,981.0,12.3,25.9,97,100
2024-01-05T00:00,15.9,0.00,71,981.5,11.9,25.2,90,93
2024-01-05T01:00,16.3,0.00,74,982.9,9.7,22.4,90,94
2024-01-05T02:00,17.1,0.00,73,983.4,11.4,22.5,101,97
2024-01-05T03:00,19.6,0.00,66,984.8,9.1,21.1,99,98
2024-01-05T04:00,22.1,0.00,58,985.2,11.9,16.3,104,104
2024-01-05T05:00,23.7,0.00,54,984.9,11.8,15.0,117,117
2024-01-05T06:00,25.2,0.00,48,983.8,10.6,13.4,125,126
2024-01-05T07:00,26.4,0.00,42,982.3,10.2,13.0,135,136
2024-01-05T08:00,27.0,0.00,39,981.2,9.7,12.8,149,148
2024-01-05T09:00,27.1,0.00,38,980.6,9.4,12.1,157,157
