latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.757467,82.89231,231.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,12.6,0.00,96,988.6,6.8,7.7,3,11
2024-01-01T01:00,12.4,0.00,97,989.8,6.9,8.3,354,2
2024-01-01T02:00,14.3,0.00,91,990.6,4.8,8.1,13,21
2024-01-01T03:00,16.8,0.00,81,991.5,3.0,7.4,76,67
2024-01-01T04:00,19.8,0.00,71,992.0,2.4,3.7,63,61
2024-01-01T05:00,22.5,0.00,63,991.6,1.8,2.6,37,34
2024-01-01T06:00,24.4,0.00,56,990.9,1.1,1.5,18,14
2024-01-01T07:00,25.5,0.00,51,989.5,1.5,2.0,315,315
2024-01-01T08:00,26.2,0.00,48,988.3,2.4,3.1,297,306
2024-01-01T09:00,26.6,0.00,45,987.4,2.8,4.1,310,315
2024-01-01T10:00,26.6,0.00,44,987.0,3.6,5.1,323,321
2024-01-01T11:00,25.5,0.00,68,986.9,2.8,4.7,310,328
2024-01-01T12:00,24.5,0.00,49,987.2,2.5,2.5,188,278
2024-01-01T13:00,22.6,0.00,58,988.2,2.7,3.4,203,238
2024-01-01T14:00,21.6,0.00,63,988.9,5.0,6.4,150,153
2024-01-01T15:00,21.2,0.00,65,989.2,4.3,7.4,246,166
2024-01-01T16:00,17.6,0.00,79,989.1,5.8,6.4,270,196
2024-01-01T17:00,17.9,0.00,75,989.1,4.6,3.8,309,229
2024-01-01T18:00,15.8,0.00,82,988.9,6.6,3.8,41,17
2024-01-01T19:00,17.5,0.00,72,988.6,2.9,2.2,30,351
2024-01-01T20:00,14.4,0.00,89,988.0,6.4,5.5,16,11
2024-01-01T21:00,14.2,0.00,91,987.4,5.2,8.2,12,23
2024-01-01T22:00,13.7,0.00,93,987.2,5.7,9.7,18,31
