Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,,2.0,4.96,6.96,,5.62,0.7,,,,,,,,30.77,37.88,0.3,318.3,0.0,0.0,18.38,738.78,
2024-01-01 01:00:00,,,2.02,4.97,7.0,,2.87,0.69,,,,,,,,30.76,37.96,0.68,320.43,0.0,0.0,17.66,739.35,
2024-01-01 02:00:00,,,2.04,4.96,7.0,,2.64,0.68,,,,,,,,30.92,40.42,0.7,322.32,0.0,0.0,17.67,739.25,
2024-01-01 03:00:00,,57.34,2.02,4.99,7.0,,0.91,0.67,,,,,,,,30.86,39.47,0.83,321.46,0.0,0.0,17.5,739.35,
2024-01-01 04:00:00,,45.99,2.0,4.99,6.98,,5.97,0.64,,,,,,,,31.16,40.82,0.88,320.46,0.0,0.0,17.53,736.9,
2024-01-01 05:00:00,,50.8,1.98,4.94,6.92,,8.34,0.6,,,,,,,,31.28,41.87,0.74,320.09,0.0,0.0,17.55,737.5,
2024-01-01 06:00:00,,53.63,1.98,5.0,6.99,,4.67,0.58,,,,,,,,31.12,44.84,0.21,311.35,0.0,0.0,20.02,738.55,
2024-01-01 07:00:00,,78.0,2.04,4.96,7.0,,3.57,0.59,,,,,,,,31.3,44.16,0.22,310.92,0.0,0.0,67.25,742.85,
2024-01-01 08:00:00,,119.68,2.56,4.9,7.44,,2.71,0.58,,,,,,,,31.98,34.38,0.27,324.13,0.0,0.0,173.11,750.85,
2024-01-01 09:00:00,,113.62,2.02,4.96,6.98,,2.93,0.58,,,,,,,,32.7,26.82,0.24,333.89,0.0,0.0,283.08,760.42,
