Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,84.27,153.61,32.53,60.7,59.83,9.87,3.78,1.53,2.32,8.49,,,,,,16.76,86.58,0.14,200.34,0.0,0.0,27.41,,
2024-01-01 01:00:00,88.74,146.81,32.71,59.85,59.53,9.98,3.96,1.45,2.32,8.59,,,,,,16.37,88.22,0.13,180.07,0.0,0.0,27.93,,
2024-01-01 02:00:00,89.05,172.42,33.18,58.76,59.3,9.9,3.99,1.4,2.37,8.66,,,,,,15.93,89.99,0.14,166.81,0.0,0.0,27.33,,
2024-01-01 03:00:00,93.56,165.6,34.04,68.41,65.28,12.16,2.7,1.35,2.17,7.48,,,,,,15.45,89.64,0.16,79.54,0.0,0.0,40.78,,
2024-01-01 04:00:00,89.76,162.9,27.72,66.18,59.01,11.84,2.74,1.24,2.07,6.95,,,,,,15.18,90.12,0.12,79.69,0.0,0.0,41.18,,
2024-01-01 05:00:00,76.94,143.0,21.8,66.12,54.26,11.38,2.08,1.12,2.16,6.64,,,,,,15.38,88.38,0.22,76.79,0.0,0.0,40.56,,
2024-01-01 06:00:00,75.98,123.06,16.73,65.61,49.9,11.18,2.44,1.01,2.2,6.27,,,,,,15.16,85.42,0.24,84.06,0.0,0.0,45.18,,
2024-01-01 07:00:00,73.26,111.36,14.71,64.8,47.86,11.14,2.21,0.96,2.23,5.9,,,,,,15.76,80.07,0.28,94.37,0.0,0.0,87.16,,
2024-01-01 08:00:00,60.89,108.32,14.75,64.53,47.74,11.14,1.83,0.91,2.33,5.88,,,,,,17.42,70.82,0.64,98.65,0.0,0.0,177.6,,
2024-01-01 09:00:00,56.33,98.38,13.63,64.62,46.87,10.84,2.0,0.87,2.3,5.76,,,,,,19.55,62.62,0.52,79.72,0.0,0.0,253.79,,
2024-01-01 10:00:00,55.49,87.28,11.52,65.31,45.54,11.38,2.2,0.85,2.48,5.58,,,,,,22.14,54.8,0.23,85.49,0.0,0.0,340.02,,
2024-01-01 11:00:00,55.47,102.85,7.07,67.16,42.99,11.35,2.93,1.09,3.0,5.35,,,,,,25.51,52.98,0.4,194.49,0.0,0.0,274.3,,
2024-01-01 12:00:00,53.66,88.56,3.86,46.61,30.02,11.66,3.47,1.08,3.64,5.12,,,,,,27.19,46.46,0.45,224.39,0.0,0.0,302.87,,
2024-01-01 13:00:00,56.04,79.16,3.27,45.78,29.11,12.61,4.12,1.01,4.37,4.86,,,,,,27.54,43.56,0.58,194.02,0.0,0.0,266.89,,
2024-01-01 14:00:00,55.28,89.24,3.4,46.47,29.58,14.07,4.24,0.94,7.73,4.69,,,,,,27.51,42.96,0.51,186.48,0.0,0.0,174.47,,
2024-01-01 15:00:00,49.85,97.42,3.7,45.78,29.46,12.91,4.25,0.9,5.07,4.52,,,,,,26.6,44.5,0.53,109.13,0.0,0.0,113.82,,
2024-01-01 16:00:00,46.03,89.82,3.92,45.38,29.44,12.05,3.75,0.88,4.65,4.34,,,,,,25.49,46.7,0.42,106.23,0.0,0.0,60.73,,
2024-01-01 17:00:00,43.1,97.17,4.91,47.33,31.26,12.23,3.63,0.99,2.76,4.43,,,,,,23.25,56.18,0.2,200.52,0.0,0.0,34.57,,
2024-01-01 18:00:00,49.82,132.83,10.26,51.55,37.83,13.84,3.72,1.2,2.58,4.72,,,,,,21.49,64.26,0.14,189.44,0.0,0.0,32.26,,
