latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.490334,75.433525,215.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,5.3,99,0.00,992.7,3.0,14,4.8,13
2024-01-01T01:00,6.3,99,0.00,993.7,2.1,31,2.6,34
2024-01-01T02:00,6.4,99,0.00,994.2,3.1,36,4.8,42
2024-01-01T03:00,6.8,96,0.00,994.8,5.2,34,7.4,43
2024-01-01T04:00,7.8,96,0.00,995.6,5.4,48,5.9,47
2024-01-01T05:00,9.4,88,0.00,995.9,4.3,48,4.3,48
2024-01-01T06:00,11.6,79,0.00,995.5,2.8,40,3.3,41
2024-01-01T07:00,13.0,74,0.00,994.3,1.8,360,2.2,9
2024-01-01T08:00,14.1,69,0.00,993.2,3.3,354,3.6,354
2024-01-01T09:00,14.9,66,0.00,992.5,4.3,355,5.4,356
2024-01-01T10:00,15.2,65,0.00,992.1,5.4,360,6.8,360
2024-01-01T11:00,14.9,67,0.00,991.8,6.5,360,8.3,2
2024-01-01T12:00,12.6,80,0.00,991.4,6.8,357,9.1,7
2024-01-01T13:00,9.6,85,0.00,992.7,7.2,27,10.0,26
2024-01-01T14:00,8.5,89,0.00,993.3,8.1,32,10.9,34
2024-01-01T15:00,8.3,92,0.00,993.6,6.9,39,14.3,43
2024-01-01T16:00,8.8,94,0.00,993.6,5.4,48,12.4,36
2024-01-01T17:00,8.7,95,0.00,993.7,7.6,45,9.4,23
2024-01-01T18:00,8.2,94,0.00,993.3,6.8,72,7.6,45
2024-01-01T19:00,6.8,96,0.00,993.0,7.5,107,7.5,73
2024-01-01T20:00,6.9,96,0.00,992.6,6.0,123,6.0,73
2024-01-01T21:00,7.9,96,0.00,992.5,3.3,139,3.8,49
2024-01-01T22:00,7.1,99,0.00,992.2,1.0,315,3.3,13
2024-01-01T23:00,5.8,100,0.00,992.0,1.9,338,4.7,351
2024-01-02T00:00,6.2,99,0.00,992.1,3.4,342,6.6,351
2024-01-02T01:00,8.1,91,0.00,993.2,2.7,67,6.4,52
2024-01-02T02:00,8.2,91,0.00,994.1,4.9,54,7.7,53
2024-01-02T03:00,8.5,89,0.00,994.5,7.5,55,9.5,53
2024-01-02T04:00,9.3,86,0.00,995.1,6.8,65,8.2,61
2024-01-02T05:00,10.2,81,0.00,995.3,5.6,75,6.7,74
2024-01-02T06:00,11.5,76,0.00,994.7,5.0,69,6.2,69
2024-01-02T07:00,13.1,71,0.00,993.4,4.9,54,5.7,55
2024-01-02T08:00,14.1,69,0.00,992.6,4.6,39,5.6,40
2024-01-02T09:00,14.8,67,0.00,991.7,4.7,32,5.8,30
2024-01-02T10:00,15.0,67,0.00,991.4,5.2,25,6.1,28
2024-01-02T11:00,14.6,68,0.00,991.1,5.0,21,6.6,22
2024-01-02T12:00,12.8,78,0.00,991.0,5.8,4,7.4,14
2024-01-02T13:00,9.5,86,0.00,992.0,6.0,17,7.9,30
2024-01-02T14:00,7.4,93,0.00,992.2,9.0,37,10.5,41
2024-01-02T15:00,6.7,96,0.00,992.4,8.6,57,12.9,54
2024-01-02T16:00,6.1,96,0.00,992.5,9.3,54,12.9,54
