latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.349735,76.29758,233.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,4.6,100,0.00,990.2,4.5,346,6.3,336
2024-01-01T01:00,5.3,99,0.00,991.4,4.9,17,5.4,352
2024-01-01T02:00,5.7,95,0.00,992.1,6.1,28,7.8,13
2024-01-01T03:00,6.6,92,0.00,992.6,7.1,15,10.4,20
2024-01-01T04:00,6.8,91,0.00,993.1,4.5,29,9.4,32
2024-01-01T05:00,8.2,91,0.00,993.5,1.6,27,4.3,48
2024-01-01T06:00,10.2,89,0.00,993.0,1.8,37,1.8,37
2024-01-01T07:00,12.2,77,0.00,992.0,1.9,292,1.9,292
2024-01-01T08:00,13.4,73,0.00,991.0,3.1,315,3.6,315
2024-01-01T09:00,14.0,70,0.00,990.2,4.6,321,5.4,323
2024-01-01T10:00,14.2,69,0.00,989.8,6.0,327,7.3,327
2024-01-01T11:00,13.7,71,0.00,989.4,6.1,332,8.4,335
2024-01-01T12:00,11.5,83,0.00,989.1,6.9,332,9.0,337
2024-01-01T13:00,8.4,90,0.00,990.4,7.6,352,10.1,6
2024-01-01T14:00,9.4,84,0.00,991.1,4.6,321,6.8,3
2024-01-01T15:00,7.1,92,0.00,991.1,6.6,315,8.8,341
2024-01-01T16:00,5.9,96,0.00,991.0,8.9,333,12.5,342
2024-01-01T17:00,5.1,99,0.00,991.0,9.3,344,12.5,348
2024-01-01T18:00,4.9,100,0.00,990.8,8.1,339,10.3,348
2024-01-01T19:00,4.4,100,0.00,990.6,8.2,331,9.7,345
2024-01-01T20:00,4.0,100,0.00,990.0,8.6,327,9.4,337
2024-01-01T21:00,4.3,100,0.00,989.9,4.7,328,8.6,327
2024-01-01T22:00,4.1,99,0.00,989.6,4.4,325,8.4,320
2024-01-01T23:00,4.1,100,0.00,989.5,5.0,330,8.8,325
2024-01-02T00:00,4.1,100,0.00,989.6,4.7,337,10.2,337
2024-01-02T01:00,5.7,99,0.00,990.8,5.9,346,10.7,12
2024-01-02T02:00,6.4,98,0.00,991.6,4.7,328,10.1,17
2024-01-02T03:00,7.9,91,0.00,992.3,4.5,29,8.4,40
2024-01-02T04:00,8.8,86,0.00,992.9,5.8,68,7.3,70
2024-01-02T05:00,9.9,80,0.00,993.2,5.1,98,6.5,93
2024-01-02T06:00,10.7,78,0.00,992.5,4.3,95,5.4,94
2024-01-02T07:00,11.8,75,0.00,991.3,3.9,68,5.2,65
2024-01-02T08:00,13.0,73,0.00,990.3,4.6,45,5.4,48
2024-01-02T09:00,13.9,71,0.00,989.5,4.9,17,5.8,22
2024-01-02T10:00,14.1,72,0.00,989.1,5.0,360,6.1,3
2024-01-02T11:00,13.6,74,0.00,988.8,5.8,353,7.6,355
2024-01-02T12:00,10.5,90,0.00,988.5,8.5,348,9.8,352
2024-01-02T13:00,7.8,94,0.00,989.6,8.6,358,11.6,7
2024-01-02T14:00,7.6,95,0.00,990.1,7.0,348,12.2,360
2024-01-02T15:00,7.7,96,0.00,990.2,5.3,332,10.8,345
2024-01-02T16:00,6.5,97,0.00,990.2,6.8,328,10.0,339
2024-01-02T17:00,5.7,98,0.00,990.2,8.4,340,9.9,341
2024-01-02T18:00,5.1,99,0.00,990.1,8.9,346,9.4,337
2024-01-02T19:00,5.1,100,0.00,989.8,8.3,5,8.8,351
2024-01-02T20:00,4.6,100,0.00,989.6,8.3,18,9.0,5
2024-01-02T21:00,4.4,100,0.00,989.5,7.3,20,8.4,7
2024-01-02T22:00,4.8,100,0.00,989.1,5.2,25,8.8,9
2024-01-02T23:00,4.5,100,0.00,989.1,6.1,28,9.3,13
2024-01-03T00:00,4.2,99,0.00,989.3,4.8,42,8.2,23
2024-01-03T01:00,5.5,93,0.00,990.3,4.9,36,7.9,47
2024-01-03T02:00,5.3,90,0.00,990.7,3.1,36,6.0,57
2024-01-03T03:00,5.3,93,0.00,991.4,3.4,32,3.9,56
2024-01-03T04:00,6.8,93,0.00,992.5,3.3,49,2.7,67
2024-01-03T05:00,8.1,95,0.00,992.8,1.5,76,1.5,76
2024-01-03T06:00,10.2,88,0.00,992.4,0.8,297,0.7,270
2024-01-03T07:00,12.1,81,0.00,991.6,1.1,270,1.4,270
2024-01-03T08:00,13.4,74,0.00,990.6,2.2,360,2.5,352
2024-01-03T09:00,14.1,69,0.00,989.8,4.6,18,5.6,15
2024-01-03T10:00,14.3,69,0.00,989.3,6.6,13,8.1,13
2024-01-03T11:00,13.8,72,0.00,989.0,6.3,24,8.2,23
2024-01-03T12:00,11.9,82,0.00,988.9,5.9,43,7.6,31
2024-01-03T13:00,7.9,91,0.00,989.7,6.4,137,6.1,90
2024-01-03T14:00,8.4,88,0.00,989.8,4.0,153,4.9,73
2024-01-03T15:00,8.5,88,0.00,990.0,1.8,270,4.0,360
2024-01-03T16:00,5.9,96,0.00,989.9,5.9,284,7.5,325
2024-01-03T17:00,5.2,98,0.00,989.9,8.0,297,9.2,321
2024-01-03T18:00,5.0,100,0.00,989.7,7.0,305,10.3,324
2024-01-03T19:00,4.7,100,0.00,989.6,7.4,313,11.3,329
2024-01-03T20:00,4.2,100,0.00,989.3,8.7,312,10.3,335
2024-01-03T21:00,4.1,100,0.00,989.3,7.4,321,11.0,337
2024-01-03T22:00,3.7,100,0.00,988.9,8.8,325,10.5,338
2024-01-03T23:00,3.7,100,0.00,988.9,7.7,323,9.7,338
2024-01-04T00:00,3.3,100,0.00,989.3,8.1,328,10.0,339
2024-01-04T01:00,4.7,99,0.00,990.9,4.8,318,10.0,334
2024-01-04T02:00,4.7,99,0.00,991.7,5.1,309,11.3,323
2024-01-04T03:00,6.5,95,0.00,992.4,7.4,317,13.3,327
2024-01-04T04:00,8.8,88,0.00,993.2,4.8,318,11.6,330
2024-01-04T05:00,11.4,80,0.00,993.6,5.8,330,7.7,332
2024-01-04T06:00,13.2,74,0.00,992.6,6.0,343,7.5,343
2024-01-04T07:00,14.5,70,0.00,991.4,5.4,352,6.5,354
2024-01-04T08:00,15.4,68,0.00,990.3,4.7,351,5.8,353
2024-01-04T09:00,15.9,67,0.00,989.3,4.7,351,5.4,352
2024-01-04T10:00,16.1,67,0.00,988.9,3.9,338,5.0,339
2024-01-04T11:00,15.6,70,0.00,988.6,4.0,333,5.0,330
2024-01-04T12:00,14.8,73,0.00,988.7,4.3,355,5.4,340
2024-01-04T13:00,10.2,88,0.00,989.7,6.7,324,7.6,329
2024-01-04T14:00,8.8,93,0.00,989.8,7.8,338,9.0,337
2024-01-04T15:00,7.7,96,0.00,990.0,8.7,7,9.7,358
2024-01-04T16:00,6.8,99,0.00,990.0,9.1,18,10.9,6
2024-01-04T17:00,6.5,99,0.00,989.9,8.0,10,10.1,2
2024-01-04T18:00,7.0,100,0.00,989.6,5.5,337,7.3,351
2024-01-04T19:00,5.7,100,0.00,989.1,4.8,283,5.1,315
2024-01-04T20:00,5.4,100,0.00,989.0,5.9,284,7.9,286
2024-01-04T21:00,5.4,100,0.00,989.1,5.5,293,10.8,285
2024-01-04T22:00,5.5,99,0.00,989.0,6.4,308,13.5,299
2024-01-04T23:00,5.4,100,0.00,988.9,5.6,310,14.0,305
2024-01-05T00:00,4.9,100,0.00,989.2,4.8,312,13.0,312
2024-01-05T01:00,7.3,97,0.00,990.5,5.4,356,12.9,347
2024-01-05T02:00,7.3,97,0.00,991.0,5.2,335,11.8,340
2024-01-05T03:00,7.2,98,0.00,991.5,4.5,346,10.4,340
2024-01-05T04:00,8.1,95,0.00,992.3,3.2,360,5.9,349
2024-01-05T05:00,10.4,91,0.00,992.8,3.1,339,5.2,344
2024-01-05T06:00,12.9,80,0.00,992.1,4.5,331,5.6,333
2024-01-05T07:00,14.6,75,0.00,991.1,4.6,321,5.6,315
2024-01-05T08:00,15.7,71,0.00,990.0,5.2,326,6.2,324
2024-01-05T09:00,16.3,68,0.00,989.4,4.8,347,5.7,342
2024-01-05T10:00,16.4,67,0.00,989.3,4.4,9,5.0,360
2024-01-05T11:00,16.0,69,0.00,989.8,4.4,35,5.2,25
2024-01-05T12:00,13.3,84,0.00,989.7,6.9,51,10.5,31
2024-01-05T13:00,12.0,84,0.00,990.6,5.6,40,10.2,39
2024-01-05T14:00,10.9,90,0.00,991.2,5.2,34,8.1,32
2024-01-05T15:00,10.3,92,0.00,991.4,5.4,8,11.5,4
2024-01-05T16:00,8.4,96,0.00,991.5,6.6,13,14.1,6
2024-01-05T17:00,7.1,98,0.00,991.2,9.3,28,10.3,12
2024-01-05T18:00,6.6,100,0.00,990.7,7.9,24,8.3,18
2024-01-05T19:00,6.9,100,0.00,990.5,5.8,356,5.2,16
2024-01-05T20:00,6.2,100,0.00,990.5,5.2,344,3.8,17
2024-01-05T21:00,6.3,100,0.00,990.6,6.6,351,6.3,13
2024-01-05T22:00,6.2,100,0.00,990.5,7.6,352,10.5,6
2024-01-05T23:00,5.8,100,0.00,990.4,8.0,342,12.6,2
2024-01-06T00:00,5.5,99,0.00,990.6,10.0,339,15.5,356
2024-01-06T01:00,7.9,92,0.00,992.1,9.0,355,14.8,359
2024-01-06T02:00,8.3,91,0.00,992.8,8.0,8,15.9,5
2024-01-06T03:00,9.1,87,0.00,993.7,7.2,6,15.6,7
2024-01-06T04:00,10.4,83,0.00,994.6,5.7,18,10.7,12
2024-01-06T05:00,12.5,78,0.00,994.5,5.4,8,7.3,11
2024-01-06T06:00,14.2,70,0.00,993.6,4.7,32,5.7,35
2024-01-06T07:00,15.6,63,0.00,992.3,5.9,79,6.9,81
2024-01-06T08:00,16.2,61,0.00,991.3,3.1,69,4.2,70
2024-01-06T09:00,16.7,61,0.00,990.7,2.4,27,2.9,30
2024-01-06T10:00,16.7,62,0.00,990.5,4.4,351,5.4,352
2024-01-06T11:00,16.1,66,0.00,990.5,5.6,345,8.0,350
2024-01-06T12:00,12.9,83,0.00,990.3,8.4,335,10.3,348
2024-01-06T13:00,11.5,81,0.00,991.7,4.9,343,10.5,4
2024-01-06T14:00,11.9,77,0.00,992.1,1.8,259,4.8,48
2024-01-06T15:00,10.6,84,0.00,992.3,4.7,203,4.9,144
2024-01-06T16:00,11.6,84,0.00,992.9,4.1,225,3.6,180
2024-01-06T17:00,11.3,84,0.00,992.9,3.8,253,2.7,247
2024-01-06T18:00,11.4,82,0.00,992.7,3.4,238,4.7,238
2024-01-06T19:00,11.2,84,0.00,992.5,4.3,270,6.9,264
2024-01-06T20:00,11.2,84,0.00,991.8,6.9,317,11.8,310
2024-01-06T21:00,10.8,90,0.00,991.9,6.6,331,12.6,329
2024-01-06T22:00,10.3,94,0.00,991.7,5.4,340,10.2,342
2024-01-06T23:00,10.0,94,0.00,991.5,4.7,356,9.4,356
2024-01-07T00:00,10.0,92,0.00,991.4,4.7,356,10.1,358
2024-01-07T01:00,9.0,99,0.00,992.2,5.8,4,5.5,11
2024-01-07T02:00,7.8,99,0.00,992.9,4.9,17,5.8,22
2024-01-07T03:00,8.8,96,0.00,994.1,6.4,43,6.9,47
2024-01-07T04:00,11.1,88,0.00,995.1,5.6,40,8.9,40
2024-01-07T05:00,13.5,78,0.00,995.5,5.2,34,6.4,38
2024-01-07T06:00,14.8,72,0.00,994.9,3.1,45,3.6,45
2024-01-07T07:00,15.7,68,0.00,993.7,3.6,45,4.3,48
2024-01-07T08:00,16.4,65,0.00,992.4,4.6,45,5.6,45
2024-01-07T09:00,17.0,63,0.00,991.8,5.2,56,6.5,56
2024-01-07T10:00,17.1,64,0.00,991.1,4.8,77,6.5,71
2024-01-07T11:00,16.7,67,0.00,991.0,3.8,107,5.4,98
2024-01-07T12:00,14.9,75,0.00,990.8,4.3,175,3.3,131
2024-01-07T13:00,11.0,92,0.00,991.0,9.0,358,19.1,12
2024-01-07T14:00,10.2,94,0.00,991.6,6.9,351,17.0,4
2024-01-07T15:00,9.1,96,0.00,991.7,8.7,353,14.4,1
2024-01-07T16:00,8.4,97,0.00,991.9,9.4,2,13.8,6
2024-01-07T17:00,8.4,98,0.00,992.2,8.3,5,12.4,10
2024-01-07T18:00,8.0,100,0.00,992.2,8.0,352,11.9,5
2024-01-07T19:00,8.0,100,0.00,991.7,7.6,5,11.5,14
2024-01-07T20:00,7.9,100,0.00,991.3,7.7,11,11.4,18
2024-01-07T21:00,7.6,100,0.00,991.1,8.6,15,11.8,20
2024-01-07T22:00,9.1,98,0.00,991.3,5.5,23,12.4,22
2024-01-07T23:00,10.1,95,0.00,991.5,7.2,27,11.4,28
2024-01-08T00:00,10.0,95,0.00,991.6,7.1,30,10.4,34
2024-01-08T01:00,8.2,98,0.00,992.6,6.9,28,16.8,31
2024-01-08T02:00,7.9,98,0.00,993.2,5.9,47,15.5,46
2024-01-08T03:00,9.3,94,0.00,993.9,7.4,67,12.7,65
2024-01-08T04:00,11.0,90,0.00,994.6,4.2,110,9.7,94
2024-01-08T05:00,13.1,84,0.00,994.8,5.9,133,7.7,127
2024-01-08T06:00,14.8,76,0.00,993.9,7.1,135,8.9,133
2024-01-08T07:00,15.8,73,0.00,992.8,5.6,130,7.1,131
