latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.70123,76.94896,253.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,5.3,100,0.00,987.8,6.0,335,12.1,330
2024-01-01T01:00,6.8,98,0.00,989.4,6.5,326,11.7,342
2024-01-01T02:00,7.1,98,0.00,989.8,5.4,340,11.7,351
2024-01-01T03:00,7.8,98,0.00,990.3,5.1,8,8.0,5
2024-01-01T04:00,9.5,93,0.00,990.9,5.2,25,6.0,25
2024-01-01T05:00,11.2,86,0.00,991.0,4.8,42,6.1,45
2024-01-01T06:00,12.5,81,0.00,990.5,1.8,53,2.6,56
2024-01-01T07:00,13.9,76,0.00,989.3,0.4,270,0.4,270
2024-01-01T08:00,15.0,73,0.00,988.4,2.7,293,3.4,288
2024-01-01T09:00,15.6,72,0.00,987.6,4.8,297,5.8,300
2024-01-01T10:00,15.6,72,0.00,987.1,6.1,298,7.9,300
2024-01-01T11:00,15.0,75,0.00,986.9,6.6,299,9.8,306
2024-01-01T12:00,11.8,91,0.00,986.5,7.8,292,12.1,307
2024-01-01T13:00,9.1,93,0.00,987.7,6.1,320,13.8,327
2024-01-01T14:00,8.4,94,0.00,988.3,6.2,306,14.3,315
2024-01-01T15:00,8.1,95,0.00,988.5,7.2,307,16.6,312
2024-01-01T16:00,7.6,96,0.00,988.6,7.1,319,17.1,321
2024-01-01T17:00,7.0,97,0.00,988.5,6.2,324,15.9,327
2024-01-01T18:00,6.2,98,0.00,988.2,6.1,315,14.2,324
2024-01-01T19:00,5.9,99,0.00,988.0,7.0,305,13.5,316
2024-01-01T20:00,5.6,99,0.00,987.5,6.8,295,13.6,310
2024-01-01T21:00,5.9,100,0.00,987.3,6.1,298,14.6,308
2024-01-01T22:00,6.0,100,0.00,987.2,6.7,306,16.6,312
2024-01-01T23:00,5.9,100,0.00,987.0,6.7,306,16.8,315
2024-01-02T00:00,6.0,99,0.00,987.2,6.9,313,16.9,322
2024-01-02T01:00,8.6,90,0.00,988.6,6.4,317,10.2,315
2024-01-02T02:00,8.4,92,0.00,989.2,6.1,315,9.5,307
2024-01-02T03:00,8.9,90,0.00,989.8,6.1,315,8.7,312
2024-01-02T04:00,9.9,86,0.00,990.6,4.2,340,5.2,344
2024-01-02T05:00,10.8,82,0.00,990.7,2.9,30,3.6,37
2024-01-02T06:00,11.7,79,0.00,990.0,0.8,27,1.0,45
2024-01-02T07:00,13.0,76,0.00,988.9,1.1,288,1.1,288
2024-01-02T08:00,13.9,72,0.00,987.8,3.2,297,3.7,299
2024-01-02T09:00,14.4,71,0.00,987.0,5.5,302,6.5,304
2024-01-02T10:00,14.3,73,0.00,986.7,6.3,301,8.0,306
2024-01-02T11:00,13.7,76,0.00,986.4,6.9,309,9.2,312
2024-01-02T12:00,10.7,90,0.00,986.2,6.4,322,12.4,324
2024-01-02T13:00,8.8,92,0.00,987.2,7.1,330,15.6,334
2024-01-02T14:00,7.8,95,0.00,987.4,5.9,322,13.4,329
2024-01-02T15:00,7.1,95,0.00,987.5,6.9,321,12.1,323
2024-01-02T16:00,6.7,96,0.00,987.7,6.6,315,11.2,318
2024-01-02T17:00,6.2,97,0.00,987.8,5.9,322,10.2,321
2024-01-02T18:00,5.6,98,0.00,987.5,5.8,330,9.5,335
2024-01-02T19:00,4.8,100,0.00,987.2,7.1,330,8.2,337
2024-01-02T20:00,5.3,100,0.00,987.3,4.2,329,7.2,333
2024-01-02T21:00,5.5,100,0.00,987.2,5.0,339,7.8,347
2024-01-02T22:00,4.8,100,0.00,986.7,5.8,356,9.7,358
2024-01-02T23:00,4.9,100,0.00,986.7,4.7,356,9.7,4
2024-01-03T00:00,4.9,97,0.00,986.9,4.3,355,8.7,5
2024-01-03T01:00,6.4,99,0.00,987.8,2.3,39,3.1,36
2024-01-03T02:00,6.6,99,0.00,988.4,1.3,56,1.1,72
