latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.927942,76.59794,222.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,4.3,100,0.00,991.4,4.7,360,4.9,343
2024-01-01T01:00,6.2,99,0.00,992.7,5.2,16,6.9,6
2024-01-01T02:00,6.6,99,0.00,993.3,5.4,20,8.4,10
2024-01-01T03:00,7.9,97,0.00,994.0,4.8,27,7.5,17
2024-01-01T04:00,9.3,94,0.00,994.7,4.2,31,4.3,24
2024-01-01T05:00,11.1,87,0.00,994.9,3.2,27,3.5,24
2024-01-01T06:00,12.7,74,0.00,994.2,2.3,342,2.6,344
2024-01-01T07:00,13.9,71,0.00,993.1,2.8,320,3.3,319
2024-01-01T08:00,14.7,69,0.00,992.1,4.1,315,4.6,315
2024-01-01T09:00,15.3,67,0.00,991.3,5.1,321,6.1,320
2024-01-01T10:00,15.4,66,0.00,990.8,6.8,328,8.1,328
2024-01-01T11:00,14.8,68,0.00,990.5,7.9,336,10.3,335
2024-01-01T12:00,12.1,82,0.00,990.4,6.2,339,13.6,338
2024-01-01T13:00,9.0,90,0.00,991.8,7.5,343,11.9,355
2024-01-01T14:00,7.9,93,0.00,992.2,7.9,344,10.8,360
2024-01-01T15:00,7.5,94,0.00,992.5,6.0,335,10.9,352
2024-01-01T16:00,6.5,96,0.00,992.5,7.6,329,10.0,345
2024-01-01T17:00,5.7,97,0.00,992.5,8.0,324,7.6,341
2024-01-01T18:00,5.2,98,0.00,992.2,8.2,322,7.1,336
2024-01-01T19:00,5.1,98,0.00,991.9,6.9,332,8.9,339
2024-01-01T20:00,4.9,98,0.00,991.4,6.0,343,10.5,344
2024-01-01T21:00,4.4,99,0.00,991.1,6.4,344,11.0,349
2024-01-01T22:00,4.1,100,0.00,990.9,5.8,338,10.6,350
2024-01-01T23:00,4.5,100,0.00,990.8,5.4,340,10.3,348
2024-01-02T00:00,4.9,99,0.00,991.0,5.6,333,11.0,349
2024-01-02T01:00,5.8,99,0.00,992.1,6.2,350,9.7,360
2024-01-02T02:00,6.3,99,0.00,993.1,5.8,4,8.0,10
2024-01-02T03:00,7.1,96,0.00,993.7,5.3,28,6.4,27
2024-01-02T04:00,8.7,85,0.00,994.5,3.4,72,3.9,68
2024-01-02T05:00,9.8,77,0.00,994.7,3.3,139,4.1,135
2024-01-02T06:00,10.8,74,0.00,993.8,2.5,135,3.1,135
2024-01-02T07:00,12.0,72,0.00,992.5,1.1,90,1.5,104
2024-01-02T08:00,13.1,68,0.00,991.5,1.5,14,1.6,27
2024-01-02T09:00,13.8,67,0.00,990.7,2.2,351,2.5,360
2024-01-02T10:00,14.0,66,0.00,990.4,3.7,349,4.4,351
2024-01-02T11:00,13.5,68,0.00,990.0,5.5,349,7.0,348
2024-01-02T12:00,10.7,85,0.00,989.9,7.1,330,8.2,337
2024-01-02T13:00,8.5,89,0.00,990.9,6.1,298,6.8,335
2024-01-02T14:00,7.2,93,0.00,991.3,7.7,319,8.5,348
2024-01-02T15:00,6.6,96,0.00,991.3,8.0,350,12.6,3
2024-01-02T16:00,5.7,97,0.00,991.4,9.4,360,12.5,12
2024-01-02T17:00,5.1,99,0.00,991.6,8.8,351,10.9,9
2024-01-02T18:00,4.7,100,0.00,991.3,8.3,342,9.7,4
2024-01-02T19:00,4.4,100,0.00,991.0,7.7,349,10.5,4
2024-01-02T20:00,4.2,100,0.00,990.9,7.6,3,11.4,13
2024-01-02T21:00,4.5,100,0.00,990.8,5.5,11,11.5,20
2024-01-02T22:00,4.5,100,0.00,990.5,4.1,15,10.0,30
2024-01-02T23:00,4.1,99,0.00,990.4,4.4,9,8.2,38
2024-01-03T00:00,4.5,99,0.00,990.6,4.1,15,8.7,45
2024-01-03T01:00,6.2,96,0.00,991.7,3.8,41,6.9,47
2024-01-03T02:00,6.1,93,0.00,992.2,3.1,45,4.7,58
2024-01-03T03:00,6.5,95,0.00,993.0,2.9,60,3.7,79
2024-01-03T04:00,7.6,97,0.00,994.0,2.2,81,2.2,90
2024-01-03T05:00,9.0,95,0.00,994.2,3.3,139,3.8,139
2024-01-03T06:00,11.1,86,0.00,993.6,3.3,167,4.1,165
2024-01-03T07:00,12.7,80,0.00,992.7,1.6,207,2.3,198
2024-01-03T08:00,13.7,76,0.00,991.6,2.9,353,2.9,353
2024-01-03T09:00,14.5,71,0.00,990.8,6.8,360,7.9,3
2024-01-03T10:00,14.4,70,0.00,990.5,8.6,2,10.8,2
2024-01-03T11:00,13.9,71,0.00,990.4,7.6,360,10.1,2
2024-01-03T12:00,10.8,87,0.00,990.1,8.3,355,9.7,2
2024-01-03T13:00,8.9,89,0.00,991.1,8.4,7,17.4,13
2024-01-03T14:00,8.1,93,0.00,991.1,7.2,360,16.2,12
2024-01-03T15:00,7.4,94,0.00,991.2,5.8,338,11.9,3
2024-01-03T16:00,7.0,95,0.00,991.4,5.2,326,9.8,354
2024-01-03T17:00,6.2,96,0.00,991.3,7.0,325,9.3,347
2024-01-03T18:00,5.8,97,0.00,991.2,6.9,321,9.2,339
2024-01-03T19:00,5.6,97,0.00,990.9,6.5,326,10.0,339
2024-01-03T20:00,5.3,97,0.00,990.6,6.8,328,9.9,341
2024-01-03T21:00,4.9,98,0.00,990.7,6.9,321,10.0,334
2024-01-03T22:00,4.5,99,0.00,990.5,6.9,313,9.1,326
2024-01-03T23:00,4.0,100,0.00,990.4,7.1,315,8.9,328
2024-01-04T00:00,3.6,100,0.00,990.8,7.4,317,8.0,333
2024-01-04T01:00,5.2,99,0.00,992.2,4.8,312,7.9,336
2024-01-04T02:00,5.0,99,0.00,992.9,5.1,309,8.9,328
2024-01-04T03:00,6.7,97,0.00,993.7,6.2,306,11.4,325
2024-01-04T04:00,9.2,90,0.00,994.6,4.5,299,12.5,321
2024-01-04T05:00,11.4,83,0.00,994.9,5.5,302,7.2,307
2024-01-04T06:00,13.3,75,0.00,993.9,6.1,310,7.4,313
2024-01-04T07:00,14.7,70,0.00,992.7,5.4,318,6.6,319
2024-01-04T08:00,15.7,68,0.00,991.5,5.4,323,6.5,326
2024-01-04T09:00,16.6,66,0.00,990.5,4.0,360,4.7,4
2024-01-04T10:00,16.7,66,0.00,990.2,4.2,20,5.0,21
2024-01-04T11:00,16.3,67,0.00,989.9,4.5,14,5.2,16
2024-01-04T12:00,13.5,83,0.00,989.7,6.1,357,9.0,360
2024-01-04T13:00,10.1,93,0.00,990.9,6.6,338,11.0,341
2024-01-04T14:00,9.3,94,0.00,991.2,7.1,345,11.7,349
2024-01-04T15:00,9.0,95,0.00,991.4,6.3,347,13.1,351
2024-01-04T16:00,8.7,96,0.00,991.4,6.9,354,15.2,356
2024-01-04T17:00,9.2,95,0.00,991.6,5.4,356,14.0,1
2024-01-04T18:00,9.3,95,0.00,991.0,4.3,336,11.2,354
2024-01-04T19:00,9.5,94,0.00,990.8,5.4,307,10.1,333
2024-01-04T20:00,9.6,94,0.00,990.6,6.4,308,11.5,316
2024-01-04T21:00,9.7,94,0.00,990.7,5.9,308,12.3,308
2024-01-04T22:00,9.7,94,0.00,990.7,5.1,315,11.3,307
2024-01-04T23:00,9.6,96,0.00,990.6,1.9,338,8.4,313
2024-01-05T00:00,9.5,96,0.00,990.9,3.2,360,6.6,331
2024-01-05T01:00,10.0,94,0.10,991.9,6.9,354,13.9,350
2024-01-05T02:00,9.9,93,0.00,992.5,6.6,338,12.8,344
2024-01-05T03:00,10.3,92,0.00,993.0,4.7,351,11.1,347
2024-01-05T04:00,11.1,89,0.00,994.0,3.9,22,5.9,14
2024-01-05T05:00,12.2,85,0.00,994.1,3.6,360,4.3,5
2024-01-05T06:00,13.8,80,0.00,993.3,4.8,333,6.1,332
2024-01-05T07:00,15.5,74,0.00,992.2,4.0,333,4.5,331
2024-01-05T08:00,16.1,71,0.10,991.0,3.8,343,4.6,342
2024-01-05T09:00,16.6,67,0.00,990.6,2.9,353,3.3,354
2024-01-05T10:00,16.5,67,0.00,990.5,3.5,336,4.3,336
2024-01-05T11:00,16.2,69,0.00,991.1,4.8,318,5.9,317
2024-01-05T12:00,15.1,76,0.00,991.0,4.1,315,8.8,325
2024-01-05T13:00,11.8,83,0.00,991.7,8.3,2,16.6,5
2024-01-05T14:00,11.4,86,0.00,992.5,10.1,356,20.2,360
2024-01-05T15:00,10.5,91,0.00,992.8,7.7,349,16.8,351
2024-01-05T16:00,8.5,95,0.00,992.8,8.7,353,11.0,349
2024-01-05T17:00,7.8,97,0.00,992.7,8.2,15,10.8,4
2024-01-05T18:00,7.0,99,0.00,992.2,8.5,28,11.2,15
2024-01-05T19:00,7.7,99,0.00,992.0,6.2,21,8.0,10
2024-01-05T20:00,8.2,100,0.00,992.0,4.7,356,6.5,360
2024-01-05T21:00,6.0,100,0.00,991.6,7.2,333,7.7,349
2024-01-05T22:00,6.4,100,0.00,991.4,6.1,315,8.4,340
2024-01-05T23:00,6.1,99,0.00,991.4,5.2,295,8.0,333
2024-01-06T00:00,6.1,100,0.00,991.8,4.7,337,11.2,360
2024-01-06T01:00,8.5,97,0.00,993.5,7.6,357,14.5,19
2024-01-06T02:00,8.9,96,0.00,994.2,6.6,351,12.4,10
2024-01-06T03:00,9.8,91,0.00,995.0,6.8,3,9.4,7
2024-01-06T04:00,11.2,86,0.00,995.9,5.0,21,7.3,20
2024-01-06T05:00,12.9,80,0.00,995.8,5.2,34,7.0,35
2024-01-06T06:00,14.4,71,0.00,994.8,6.4,63,7.9,66
2024-01-06T07:00,15.3,65,0.00,993.6,7.6,85,9.4,83
2024-01-06T08:00,15.9,63,0.00,992.6,5.8,86,6.9,84
