Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,136.5,227.12,13.15,29.45,39.4,42.42,8.71,1.13,48.46,12.89,34.48,4.49,,6.5,5.89,,,1.49,29.61,0.0,0.0,4.4,,
2024-01-01 01:00:00,138.52,229.2,12.16,28.28,37.01,44.02,8.74,1.0,44.61,12.12,33.22,4.2,,6.76,6.26,,,1.13,104.76,0.0,0.0,4.36,,
2024-01-01 02:00:00,137.9,227.42,12.1,28.69,35.67,44.9,8.54,0.99,44.37,12.07,33.66,4.04,,6.91,5.78,,,1.26,86.58,0.0,0.0,4.57,,
2024-01-01 03:00:00,128.82,226.6,10.98,28.39,34.24,45.22,8.63,0.85,40.09,11.22,33.34,3.86,,6.96,5.73,,,1.08,286.92,0.0,0.0,4.45,,
2024-01-01 04:00:00,127.4,207.45,11.0,28.36,36.67,44.92,8.98,0.85,40.14,11.23,33.3,4.16,,6.91,5.79,,,1.25,337.39,0.0,0.0,4.42,,
2024-01-01 05:00:00,124.2,208.82,11.25,28.49,33.99,43.48,8.49,0.88,41.1,11.42,33.45,3.83,,6.68,6.02,,,1.7,13.08,0.0,0.0,4.49,,
2024-01-01 06:00:00,116.35,189.12,11.34,29.56,33.62,45.43,8.49,0.89,41.43,11.49,34.6,3.79,,6.99,5.87,,,1.38,336.71,0.0,0.0,4.41,,
2024-01-01 07:00:00,121.85,178.27,12.32,29.32,34.55,43.74,8.54,1.02,45.23,12.24,34.34,3.9,,6.72,5.88,,,1.26,86.59,0.0,0.0,8.72,,
2024-01-01 08:00:00,114.25,186.72,10.5,28.78,37.34,46.26,8.39,0.78,38.18,10.84,33.77,4.24,,7.13,5.89,,,1.79,38.61,0.0,0.0,26.25,,
2024-01-01 09:00:00,109.25,171.95,12.67,26.38,37.01,43.78,8.55,1.07,46.6,12.52,31.18,4.2,,6.72,6.21,,,1.14,106.16,0.0,0.0,63.24,,
2024-01-01 10:00:00,97.2,148.78,12.45,25.74,37.26,43.79,8.44,1.04,45.75,12.35,30.48,4.23,,6.73,6.09,,,0.8,163.07,0.0,0.0,89.4,,
2024-01-01 11:00:00,98.98,149.1,10.89,29.63,38.52,44.4,8.32,0.83,39.72,11.14,34.68,4.38,,6.83,6.22,,,1.09,221.74,0.0,0.0,121.4,,
