Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,79.73,120.68,6.29,9.92,4.64,6.46,9.37,0.6,0.9,4.86,34.99,1.55,,2.45,2.51,7.91,99.13,3.06,182.26,0.0,0.0,,,
2024-01-01 01:00:00,86.19,121.02,6.15,10.03,5.06,6.09,10.72,0.67,1.14,5.02,35.2,1.48,,2.5,2.49,7.85,99.13,2.42,121.6,0.0,0.0,,,
2024-01-01 02:00:00,86.83,127.01,6.5,10.46,5.34,7.9,18.73,0.7,0.21,5.01,34.62,1.52,,2.55,2.5,7.81,98.18,2.82,218.89,0.0,0.0,,,
2024-01-01 03:00:00,89.0,131.5,6.48,10.31,5.08,6.84,21.88,0.73,0.16,4.96,35.3,1.5,,2.57,2.5,7.71,97.62,3.75,315.5,0.0,0.0,,,
2024-01-01 04:00:00,86.17,134.57,7.02,10.82,5.22,7.99,18.41,0.8,0.61,5.04,35.05,1.54,,2.52,2.53,7.54,98.93,4.4,297.19,0.0,0.0,,,
2024-01-01 05:00:00,85.57,138.14,6.25,10.12,5.06,6.22,16.22,0.97,0.37,5.02,34.52,1.52,,2.46,2.49,7.71,98.5,5.06,283.1,0.0,0.0,,,
2024-01-01 06:00:00,88.93,141.77,5.64,9.66,5.14,5.66,18.86,0.99,1.07,4.97,35.15,1.51,,2.51,2.46,7.93,96.23,5.72,303.36,0.0,0.0,,,
2024-01-01 07:00:00,91.32,141.56,6.6,10.32,4.91,8.0,19.64,0.95,1.69,4.86,34.86,1.48,,2.52,2.49,7.9,95.7,2.1,122.66,0.0,0.0,5.99,,
2024-01-01 08:00:00,91.19,139.45,5.83,10.17,5.8,6.73,14.35,0.91,3.76,5.06,35.28,1.53,,2.52,2.4,8.18,93.3,2.64,59.34,0.0,0.0,27.68,,
2024-01-01 09:00:00,96.97,144.88,6.04,9.71,4.63,4.8,11.89,1.16,4.15,5.01,33.78,1.53,,2.48,2.53,8.6,90.69,2.4,50.06,0.0,0.0,71.66,,
2024-01-01 10:00:00,112.6,169.91,5.98,9.91,5.1,5.57,15.44,0.81,6.7,5.03,34.44,1.47,,2.55,2.54,9.15,86.78,2.7,63.58,0.0,0.0,141.4,,
2024-01-01 11:00:00,126.58,187.61,5.81,9.8,5.14,6.11,17.51,0.84,11.04,5.06,35.08,1.5,,2.47,2.57,10.16,80.63,2.29,103.67,0.0,0.0,205.04,,
2024-01-01 12:00:00,120.52,187.9,6.05,10.22,5.56,6.18,6.95,0.97,13.58,5.12,34.51,1.53,,2.42,2.49,10.81,78.17,2.31,168.06,0.0,0.0,265.78,,
2024-01-01 13:00:00,119.32,198.12,5.64,9.9,5.58,6.18,2.5,1.06,19.18,5.0,35.36,1.47,,2.49,2.48,11.8,73.94,2.49,199.55,0.0,0.0,333.28,,
2024-01-01 14:00:00,127.63,203.18,6.31,10.64,5.96,6.0,13.28,1.01,21.06,4.97,35.4,1.56,,2.42,2.56,12.59,70.67,4.66,252.02,0.0,0.0,281.49,,
2024-01-01 15:00:00,134.88,215.58,6.56,10.26,4.86,7.4,18.38,1.03,22.02,5.01,35.42,1.54,,2.54,2.41,12.52,71.96,3.93,166.4,0.0,0.0,159.79,,
2024-01-01 16:00:00,144.43,218.42,5.34,9.41,5.14,4.76,19.63,1.1,18.07,5.21,34.66,1.5,,2.53,2.52,11.68,77.44,2.53,113.53,0.0,0.0,55.4,,
2024-01-01 17:00:00,148.71,235.31,6.43,10.28,5.1,7.27,19.77,1.48,12.01,4.97,34.59,1.47,,2.42,2.56,10.54,82.47,2.6,165.32,0.0,0.0,5.67,,
2024-01-01 18:00:00,143.02,259.84,6.34,10.21,5.12,8.04,22.18,1.08,6.14,5.0,35.74,1.47,,2.46,2.51,9.41,87.18,4.8,311.24,0.0,0.0,,,
2024-01-01 19:00:00,146.23,266.82,6.76,10.46,4.94,6.92,22.92,0.97,6.02,4.86,34.64,1.46,,2.5,2.48,8.71,90.61,7.61,299.33,0.0,0.0,,,
2024-01-01 20:00:00,141.02,248.57,6.46,10.6,5.64,7.55,8.92,0.75,3.33,4.98,35.71,1.5,,2.45,2.57,8.26,92.91,3.35,312.01,0.0,0.0,,,
2024-01-01 21:00:00,135.03,230.28,6.23,10.62,6.04,6.99,1.62,0.54,4.68,5.06,35.17,1.54,,2.52,2.53,8.03,93.73,3.48,323.67,0.0,0.0,,,
2024-01-01 22:00:00,126.9,201.9,6.79,10.49,4.94,7.89,0.88,0.7,5.47,5.09,34.03,1.49,,2.51,2.47,8.0,94.27,2.66,329.74,0.0,0.0,,,
2024-01-01 23:00:00,119.53,194.76,5.53,9.56,5.11,4.66,0.58,0.6,8.44,4.96,34.52,1.49,,2.63,2.51,8.04,94.13,3.48,296.97,0.0,0.0,,,
2024-01-02 00:00:00,121.12,187.88,5.76,9.32,4.32,4.36,5.81,0.67,8.77,4.83,35.08,1.48,,2.43,2.52,8.18,93.03,2.97,314.49,0.0,0.0,,,
2024-01-02 01:00:00,128.97,196.3,6.8,10.37,4.7,6.97,8.55,0.68,10.15,4.97,35.26,1.46,,2.56,2.48,7.88,92.17,4.73,290.11,0.0,0.0,,,
2024-01-02 02:00:00,127.18,204.43,5.78,9.83,5.26,6.02,10.29,0.51,6.86,4.91,35.25,1.5,,2.57,2.5,7.46,91.84,4.58,268.67,0.0,0.0,,,
2024-01-02 03:00:00,124.32,212.07,5.94,10.1,5.52,7.2,11.6,0.51,7.86,4.9,34.56,1.5,,2.44,2.52,7.04,92.06,7.25,285.94,0.0,0.0,,,
2024-01-02 04:00:00,129.14,214.88,6.56,10.28,4.89,7.01,11.77,0.46,4.83,5.06,35.45,1.5,,2.51,2.46,6.49,91.74,5.9,305.84,0.0,0.0,,,
2024-01-02 05:00:00,129.76,208.79,5.06,9.11,5.0,3.24,12.06,0.29,5.7,5.03,34.55,1.52,,2.46,2.5,6.12,91.73,4.98,305.05,0.0,0.0,,,
2024-01-02 06:00:00,111.69,190.56,6.32,10.23,5.17,7.32,10.93,0.36,3.69,4.96,35.54,1.52,,2.55,2.58,6.15,91.7,2.39,265.99,0.0,0.0,,,
2024-01-02 07:00:00,98.07,160.57,6.12,9.89,4.83,5.79,10.28,0.59,3.77,5.14,34.93,1.51,,2.48,2.58,5.9,91.13,3.78,208.95,0.0,0.0,9.65,,
2024-01-02 08:00:00,90.0,157.69,5.28,9.43,5.26,4.16,4.7,0.72,4.47,4.99,35.37,1.5,,2.52,2.44,5.89,91.13,4.42,266.32,0.0,0.0,48.58,,
2024-01-02 09:00:00,96.74,164.11,5.84,10.18,5.82,6.63,1.72,0.82,6.0,5.06,34.95,1.53,,2.43,2.39,5.89,91.13,2.35,253.06,0.0,0.0,140.68,,
2024-01-02 10:00:00,120.21,187.19,6.34,10.07,4.85,6.23,3.84,0.86,7.02,4.92,35.36,1.54,,2.58,2.46,7.4,83.16,3.44,203.5,0.0,0.0,231.52,,
2024-01-02 11:00:00,138.14,212.91,5.34,9.27,4.87,5.11,4.66,0.81,9.46,5.07,34.59,1.48,,2.5,2.46,8.74,76.83,3.36,172.91,0.0,0.0,313.46,,
2024-01-02 12:00:00,130.7,216.29,6.44,10.66,5.78,8.18,11.11,0.89,11.66,4.96,35.32,1.51,,2.51,2.52,10.5,67.84,2.88,236.56,0.0,0.0,438.81,,
2024-01-02 13:00:00,131.44,225.82,5.68,9.66,5.09,5.32,15.14,0.76,19.35,5.04,35.41,1.48,,2.43,2.51,11.46,62.74,2.46,111.1,0.0,0.0,419.32,,
2024-01-02 14:00:00,148.28,232.86,5.66,9.64,5.06,5.12,9.34,0.66,23.34,4.91,34.44,1.52,,2.51,2.54,11.83,59.87,2.31,92.47,0.0,0.0,315.81,,
2024-01-02 15:00:00,160.82,262.18,6.09,10.34,5.73,6.4,5.83,0.68,23.76,4.99,35.77,1.48,,2.4,2.5,11.84,62.37,3.16,161.56,0.0,0.0,186.0,,
2024-01-02 16:00:00,159.82,275.51,6.19,10.16,5.24,7.18,7.47,0.82,19.44,4.94,35.43,1.5,,2.43,2.49,11.14,66.7,2.75,165.07,0.0,0.0,64.33,,
