Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,81.4,125.25,7.13,6.98,15.94,24.3,9.25,1.47,11.14,10.74,,,,,9.49,,99.13,0.57,152.56,0.0,0.0,,,
2024-01-01 01:00:00,82.58,126.95,8.08,7.28,15.16,24.84,10.2,1.55,9.25,10.7,,,,,9.44,,99.13,0.35,165.73,0.0,0.0,,,
2024-01-01 02:00:00,87.5,134.6,7.15,7.25,16.38,24.52,9.47,1.65,9.74,10.83,,,,,9.69,,99.13,0.5,183.54,0.0,0.0,,,
2024-01-01 03:00:00,86.82,133.6,7.12,6.48,14.97,24.36,8.45,1.65,8.86,10.74,,,,,9.75,,99.13,0.38,143.77,0.0,0.0,,,
2024-01-01 04:00:00,88.55,136.25,7.6,7.22,15.75,24.31,10.16,1.67,9.39,10.7,,,,,9.73,,99.13,0.46,170.8,0.0,0.0,,,
2024-01-01 05:00:00,89.08,137.1,8.7,7.95,15.38,24.65,10.04,1.56,9.95,10.58,,,,,9.7,,99.13,0.5,148.39,0.0,0.0,,,
2024-01-01 06:00:00,90.25,138.85,7.33,6.64,14.94,24.29,11.62,1.54,13.16,10.43,,,,,9.4,,99.13,0.38,132.76,0.0,0.0,,,
2024-01-01 07:00:00,93.1,143.3,6.63,6.84,16.56,24.0,11.67,1.53,10.82,10.22,,,,,9.11,,99.13,0.45,160.27,0.0,0.0,,,
2024-01-01 08:00:00,91.55,140.85,7.02,6.76,15.08,23.49,,1.66,72.88,,,,,,,,,0.64,147.72,0.0,0.0,,,
2024-01-01 09:00:00,83.4,128.35,7.33,6.63,14.92,24.82,,1.16,9.61,,,,,,,,,0.64,139.11,0.0,0.0,,,
2024-01-01 10:00:00,89.25,137.38,7.14,6.64,15.33,24.8,,1.1,13.35,,,,,,,,,0.72,140.4,0.0,0.0,,,
2024-01-01 11:00:00,97.0,149.18,7.53,6.74,14.89,24.78,,1.09,10.6,,,,,,,,,0.76,172.65,0.0,0.0,,,
2024-01-01 12:00:00,104.95,161.45,7.95,7.6,15.81,24.7,13.44,1.04,8.69,,,,,,,,,0.66,160.26,0.0,0.0,,,
2024-01-01 13:00:00,110.35,169.8,6.48,6.46,15.86,24.16,13.31,1.08,9.64,,,,,,,,,0.84,144.42,0.0,0.0,,,
2024-01-01 14:00:00,111.88,172.18,7.93,7.31,15.31,24.97,11.85,1.14,9.54,,,,,,,,,1.04,156.12,0.0,0.0,,,
2024-01-01 15:00:00,111.6,171.75,7.8,7.27,15.43,24.71,11.33,1.1,8.54,,,,,,,,,0.95,155.89,0.0,0.0,,,
2024-01-01 16:00:00,104.92,161.4,7.11,7.09,16.36,24.39,9.14,1.06,11.84,,,,,,,,,1.17,176.64,0.0,0.0,,,
2024-01-01 17:00:00,89.98,138.38,6.98,6.75,15.89,24.52,10.07,1.25,10.68,,,,,,,,,0.72,147.24,0.0,0.0,,,
2024-01-01 18:00:00,79.82,122.88,7.59,6.28,14.32,24.77,10.24,1.3,10.44,,,,,,,,,0.53,143.52,0.0,0.0,,,
2024-01-01 19:00:00,59.78,91.93,8.21,7.8,16.0,24.44,10.15,1.28,10.59,6.38,,,,,6.43,,98.84,0.58,126.53,0.0,0.0,,,
2024-01-01 20:00:00,53.37,82.07,8.2,7.8,15.84,25.02,10.58,1.37,9.71,7.28,,,,,7.88,,99.13,0.47,168.71,0.0,0.0,,,
2024-01-01 21:00:00,40.72,62.68,8.43,7.69,15.25,24.44,10.38,1.26,8.85,6.96,,,,,7.94,,99.13,0.64,181.72,0.0,0.0,,,
2024-01-01 22:00:00,35.85,55.1,7.57,6.84,14.91,24.36,10.72,1.25,9.51,6.7,,,,,7.98,,99.13,0.56,160.33,0.0,0.0,,,
2024-01-01 23:00:00,30.0,46.1,7.07,6.54,15.06,24.25,9.52,1.23,10.19,6.41,,,,,7.91,,99.13,0.87,182.31,0.0,0.0,,,
2024-01-02 00:00:00,27.85,42.9,7.39,6.48,14.69,24.43,9.74,1.15,9.96,6.13,,,,,7.79,,99.15,0.56,176.57,0.0,0.0,,,
2024-01-02 01:00:00,23.8,36.6,7.09,6.46,14.94,24.71,11.2,1.07,12.41,5.88,,,,,7.54,,99.43,0.71,189.14,0.0,0.0,,,
2024-01-02 02:00:00,21.92,33.78,8.73,7.93,15.21,24.93,10.12,1.12,10.64,5.72,,,,,7.4,,99.63,0.5,171.98,0.0,0.0,,,
2024-01-02 03:00:00,21.42,33.0,8.44,7.83,15.55,24.43,10.88,1.09,12.91,5.58,,,,,7.19,,99.63,0.48,182.88,0.0,0.0,,,
2024-01-02 04:00:00,20.72,31.98,7.52,7.26,15.86,24.26,9.43,1.17,9.4,5.49,,,,,7.12,,99.63,0.66,183.7,0.0,0.0,,,
2024-01-02 05:00:00,21.45,33.02,7.73,7.62,16.2,24.36,8.59,1.24,10.32,5.45,,,,,7.36,,99.63,0.76,174.26,0.0,0.0,,,
2024-01-02 06:00:00,22.0,33.83,8.4,8.14,16.31,24.64,7.83,1.24,9.34,5.38,,,,,7.43,,99.63,0.8,159.07,0.0,0.0,,,
2024-01-02 07:00:00,20.32,31.25,8.62,7.94,15.44,24.67,7.27,1.24,9.46,5.26,,,,,7.31,,99.63,0.83,187.36,0.0,0.0,,,
2024-01-02 08:00:00,21.37,32.9,7.94,7.23,15.84,24.03,12.84,1.12,9.93,5.21,,,,,7.32,,99.63,0.51,154.31,0.0,0.0,,,
2024-01-02 09:00:00,32.05,49.3,6.56,6.36,15.83,24.58,12.29,1.29,10.19,5.24,,,,,7.18,,99.63,0.86,136.46,0.0,0.0,,,
2024-01-02 10:00:00,39.9,61.4,7.78,7.1,15.14,24.75,11.68,1.32,11.0,5.44,,,,,7.02,,99.32,0.61,143.0,0.0,0.0,,,
2024-01-02 11:00:00,,,7.81,7.04,15.12,24.63,,1.42,11.8,5.86,,,,,7.04,,99.13,0.94,148.23,0.0,0.0,,,
2024-01-02 12:00:00,,,7.78,7.32,15.67,24.5,13.45,1.43,11.01,6.6,,,,,7.24,,99.13,0.96,144.73,0.0,0.0,,,
2024-01-02 13:00:00,49.4,76.0,8.36,7.63,15.24,24.75,16.4,1.4,12.15,6.72,,,,,7.38,,99.13,0.72,145.42,0.0,0.0,,,
2024-01-02 14:00:00,53.9,82.95,7.78,7.11,15.3,24.72,16.62,1.51,10.85,,,,,,,,99.13,0.83,146.28,0.0,0.0,,,
2024-01-02 15:00:00,47.25,72.75,9.2,8.24,15.2,24.72,17.08,1.54,12.82,,,,,,,,99.13,0.84,137.36,0.0,0.0,,,
2024-01-02 16:00:00,63.32,97.48,7.24,6.21,14.18,24.66,11.42,1.52,10.9,7.62,,,,,7.96,,99.13,0.73,146.9,0.0,0.0,,,
2024-01-02 17:00:00,35.7,54.92,5.57,5.2,14.89,24.47,9.22,1.6,15.44,7.67,,,,,8.04,,99.13,0.73,167.16,0.0,0.0,,,
