Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,121.42,253.82,25.38,21.43,39.86,93.46,10.02,2.03,16.74,3.55,8.03,12.68,,7.06,3.15,11.16,95.8,0.41,202.15,0.0,0.0,14.16,731.05,-0.06
2024-01-01 01:00:00,120.72,248.78,27.27,22.59,46.04,101.84,10.26,2.04,21.92,3.22,6.68,3.81,,1.66,3.11,11.07,95.78,0.52,194.15,0.0,0.0,15.05,730.8,-0.06
2024-01-01 02:00:00,121.62,232.97,30.34,20.19,45.2,99.9,11.26,1.77,18.93,3.19,7.8,2.39,,1.48,2.4,11.05,95.76,0.58,181.16,0.0,0.0,14.78,730.88,-0.06
2024-01-01 03:00:00,114.74,227.51,29.32,21.23,42.31,103.73,11.15,2.21,18.94,3.73,9.11,2.64,,2.26,3.0,11.06,95.75,0.59,165.26,0.0,0.0,14.85,730.38,-0.06
2024-01-01 04:00:00,113.82,236.8,31.68,22.22,46.07,97.81,10.99,2.02,15.29,3.53,7.78,3.5,,2.87,2.2,11.11,95.74,0.58,206.06,0.0,0.0,15.31,730.15,-0.05
2024-01-01 05:00:00,116.16,238.36,27.59,22.64,43.92,92.9,11.65,1.8,15.48,3.15,8.19,2.7,,3.22,2.71,11.12,95.74,0.67,216.5,0.0,0.0,15.1,730.15,-0.05
2024-01-01 06:00:00,124.03,235.94,35.04,24.19,43.1,92.96,11.45,2.41,18.35,3.12,8.22,2.66,,3.24,2.78,11.04,95.72,0.42,247.35,0.0,0.0,14.97,730.48,-0.05
2024-01-01 07:00:00,119.89,239.18,32.34,24.81,41.25,91.42,11.31,2.57,18.8,3.13,7.29,3.6,,2.6,2.72,11.02,95.76,0.53,195.01,0.0,0.0,19.89,730.42,-0.02
2024-01-01 08:00:00,117.14,234.93,28.87,22.13,44.55,83.22,11.25,1.74,27.4,3.73,8.25,2.4,,2.42,2.38,11.22,95.76,0.47,219.34,0.0,0.0,36.97,729.4,-0.05
2024-01-01 09:00:00,120.51,229.41,28.73,22.77,45.86,91.37,11.08,2.56,31.02,3.75,8.27,2.58,,2.44,2.36,11.54,97.19,0.58,254.8,0.0,0.0,66.58,729.92,-0.04
2024-01-01 10:00:00,115.29,238.51,27.69,29.54,44.64,92.47,11.03,2.0,32.04,3.16,8.83,1.06,,1.61,2.48,12.19,95.2,0.84,246.58,0.0,0.0,118.38,730.52,-0.04
2024-01-01 11:00:00,105.92,193.04,28.52,30.82,44.85,96.22,11.36,2.0,39.26,3.88,7.29,3.18,,1.6,2.74,13.14,90.33,0.62,259.26,0.0,0.0,177.51,730.78,-0.04
2024-01-01 12:00:00,118.86,302.55,29.1,34.72,52.12,101.88,11.12,2.68,38.44,3.75,7.7,2.03,,1.65,2.68,14.84,83.41,0.55,182.18,0.0,0.0,218.28,731.35,-0.05
2024-01-01 13:00:00,141.11,322.91,28.24,54.64,51.72,104.05,4.36,2.12,36.98,4.54,9.76,,,2.14,2.94,15.11,75.79,1.01,270.92,0.0,0.0,214.39,,
2024-01-01 14:00:00,128.08,313.34,26.43,52.6,49.82,96.74,4.44,1.95,39.91,4.47,10.14,,,2.18,3.38,14.96,76.99,1.27,294.32,0.0,0.0,165.85,,
2024-01-01 15:00:00,89.78,213.44,25.25,52.33,47.86,99.14,3.77,1.91,34.17,4.35,10.11,,,2.33,2.68,14.41,80.62,1.08,298.98,0.0,0.0,109.08,,
2024-01-01 16:00:00,102.38,239.61,26.59,42.85,45.62,85.2,2.73,1.65,36.6,3.52,7.38,,,2.56,4.73,13.1,88.11,1.14,301.41,0.0,0.0,50.85,,
2024-01-01 17:00:00,66.45,231.04,26.56,31.22,40.18,89.62,12.29,2.08,33.46,3.25,5.82,2.65,,1.94,2.22,11.46,96.96,0.92,290.59,0.0,0.0,16.12,728.3,-0.04
