Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,67.02,154.45,9.86,13.0,22.32,20.8,10.21,0.3,0.54,4.73,3.32,5.22,,2.6,4.69,,99.13,3.75,125.8,0.0,0.0,5.0,,
2024-01-01 01:00:00,70.68,156.28,9.98,13.7,21.77,21.92,10.22,0.29,0.67,4.77,3.27,5.22,,2.66,4.68,,99.13,3.51,149.99,0.0,0.0,5.0,,
2024-01-01 02:00:00,69.6,154.28,10.27,14.03,21.31,22.44,10.23,0.28,1.62,4.12,1.84,2.35,,3.1,3.68,,99.13,3.97,153.1,0.0,0.0,5.0,,
2024-01-01 03:00:00,66.08,149.78,10.12,14.18,22.09,22.68,10.23,0.26,2.72,3.82,1.29,1.29,,3.14,3.44,,99.13,3.91,107.79,0.0,0.0,5.0,,
2024-01-01 04:00:00,63.72,148.95,9.83,14.18,21.85,22.69,10.18,0.25,2.65,3.8,1.41,1.33,,3.16,3.38,,99.13,4.53,129.42,0.0,0.0,5.0,,
2024-01-01 05:00:00,62.99,150.3,9.88,14.58,21.07,23.33,10.17,0.23,2.78,3.88,1.38,1.27,,3.2,3.38,,99.13,4.94,128.49,0.0,0.0,5.0,,
2024-01-01 06:00:00,63.21,149.32,10.2,14.16,22.91,22.66,10.15,0.22,2.81,3.82,1.34,1.28,,3.18,3.43,,99.13,4.53,54.22,0.0,0.0,5.0,,
2024-01-01 07:00:00,62.12,139.2,9.94,13.37,22.49,21.39,10.12,0.2,3.0,3.83,1.33,1.25,,3.2,3.48,,99.13,3.88,132.7,0.0,0.0,6.86,,
2024-01-01 08:00:00,60.33,139.3,8.86,24.9,60.91,39.84,10.11,0.21,2.7,3.89,1.38,1.31,,3.16,3.4,,99.13,2.76,104.35,0.0,0.0,20.09,,
2024-01-01 09:00:00,60.55,141.62,7.71,27.87,78.07,44.6,10.13,0.21,2.73,3.83,1.38,1.28,,3.1,3.43,,99.13,4.65,116.13,0.0,0.0,42.2,,
2024-01-01 10:00:00,61.09,143.95,7.92,28.52,77.19,45.64,10.13,0.21,2.5,3.8,1.25,1.25,,3.11,3.34,,99.13,4.24,92.17,0.0,0.0,60.9,,
2024-01-01 11:00:00,63.41,150.75,7.94,27.22,74.23,43.55,10.22,0.28,7.32,3.8,1.34,1.32,,3.14,3.39,,99.13,3.54,141.28,0.0,0.0,74.36,,
2024-01-01 12:00:00,65.86,162.28,7.85,28.12,76.46,44.98,10.22,0.44,19.98,3.87,1.27,1.3,,3.14,3.38,,99.13,4.05,84.63,0.0,0.0,108.66,,
