latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.796133,86.38477,242.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,11.5,0.00,97,988.3,4.4,10.0,351,334
2024-01-01T01:00,11.5,0.00,97,989.3,3.5,8.4,336,335
2024-01-01T02:00,12.7,0.00,93,990.2,3.8,5.6,319,310
2024-01-01T03:00,15.5,0.00,82,991.1,3.1,4.6,306,309
2024-01-01T04:00,18.0,0.00,73,991.3,3.9,4.8,292,297
2024-01-01T05:00,20.0,0.00,66,990.7,4.5,5.5,299,302
2024-01-01T06:00,21.5,0.00,61,989.5,5.4,6.5,290,289
2024-01-01T07:00,22.5,0.00,55,988.1,5.9,7.3,281,281
2024-01-01T08:00,23.1,0.00,50,987.0,6.6,8.1,279,283
2024-01-01T09:00,23.2,0.00,46,986.4,6.5,8.0,289,288
2024-01-01T10:00,22.9,0.00,45,986.0,6.0,7.6,303,301
2024-01-01T11:00,20.7,0.00,67,985.9,5.8,8.0,330,324
2024-01-01T12:00,17.5,0.00,62,986.1,7.4,10.4,14,2
2024-01-01T13:00,17.3,0.00,59,987.5,11.2,21.7,2,355
2024-01-01T14:00,16.5,0.00,64,988.1,12.3,23.4,355,349
2024-01-01T15:00,15.2,0.00,71,988.5,10.8,20.9,356,345
2024-01-01T16:00,13.9,0.00,78,988.7,8.7,16.9,355,336
2024-01-01T17:00,12.8,0.00,83,988.7,7.0,14.1,348,322
2024-01-01T18:00,11.8,0.00,88,988.4,5.9,12.0,346,314
2024-01-01T19:00,11.1,0.00,92,987.9,4.7,9.7,351,309
2024-01-01T20:00,10.7,0.00,94,987.7,4.4,8.3,351,304
2024-01-01T21:00,10.3,0.00,95,987.1,5.4,8.7,352,315
2024-01-01T22:00,10.3,0.00,94,987.2,6.1,10.5,357,329
2024-01-01T23:00,10.3,0.00,94,987.2,5.8,12.6,356,333
2024-01-02T00:00,9.8,0.00,95,987.5,6.6,12.5,351,327
2024-01-02T01:00,9.9,0.00,94,988.5,7.9,13.9,309,307
2024-01-02T02:00,12.2,0.00,84,989.2,4.7,11.5,337,316
2024-01-02T03:00,15.3,0.00,71,990.3,2.6,8.9,56,346
2024-01-02T04:00,18.0,0.00,61,990.6,4.1,5.6,45,27
2024-01-02T05:00,20.1,0.00,53,990.1,6.0,7.8,17,13
2024-01-02T06:00,22.1,0.00,46,989.0,9.7,12.3,356,353
2024-01-02T07:00,23.3,0.00,43,987.6,12.3,16.0,353,351
2024-01-02T08:00,24.0,0.00,40,986.7,13.8,17.9,351,350
2024-01-02T09:00,24.1,0.00,41,986.2,14.3,18.8,350,348
2024-01-02T10:00,23.4,0.00,43,986.0,13.1,17.9,352,350
2024-01-02T11:00,21.6,0.00,49,985.9,8.4,16.9,7,2
2024-01-02T12:00,18.8,0.00,55,986.3,8.8,18.7,12,11
2024-01-02T13:00,18.1,0.00,52,987.4,12.2,23.9,19,21
2024-01-02T14:00,17.2,0.00,56,987.8,12.7,24.7,15,16
2024-01-02T15:00,16.3,0.00,60,988.2,12.3,24.7,15,13
2024-01-02T16:00,15.6,0.00,64,988.6,11.5,23.2,14,13
2024-01-02T17:00,15.0,0.00,68,988.6,9.4,21.8,4,8
2024-01-02T18:00,13.9,0.00,76,988.3,6.0,16.6,343,360
2024-01-02T19:00,13.1,0.00,82,988.1,6.1,12.8,320,338
2024-01-02T20:00,12.4,0.00,87,987.7,6.1,11.7,315,317
2024-01-02T21:00,11.8,0.00,91,987.2,5.1,10.5,309,301
2024-01-02T22:00,11.5,0.00,92,987.1,6.2,9.8,306,294
2024-01-02T23:00,11.3,0.00,92,987.2,5.5,8.4,328,313
2024-01-03T00:00,10.9,0.00,93,987.7,4.3,7.0,355,339
2024-01-03T01:00,11.2,0.00,92,989.0,3.2,6.2,360,10
2024-01-03T02:00,13.4,0.00,86,989.9,6.5,9.2,354,11
2024-01-03T03:00,16.7,0.00,75,991.0,4.0,7.6,355,8
2024-01-03T04:00,18.9,0.00,66,991.0,4.0,5.4,360,4
2024-01-03T05:00,20.8,0.00,59,990.2,5.1,6.5,356,357
2024-01-03T06:00,22.3,0.00,56,989.2,6.3,8.1,347,347
2024-01-03T07:00,23.4,0.00,54,987.7,5.5,7.0,337,339
2024-01-03T08:00,24.1,0.00,51,986.6,5.7,7.3,342,340
2024-01-03T09:00,24.6,0.00,47,985.9,6.6,8.6,347,345
2024-01-03T10:00,24.5,0.00,44,985.7,7.6,9.8,357,354
2024-01-03T11:00,22.3,0.00,67,985.5,6.6,9.0,9,358
2024-01-03T12:00,22.7,0.00,49,985.9,3.6,5.2,354,344
2024-01-03T13:00,18.8,0.00,63,986.5,8.7,17.8,45,47
2024-01-03T14:00,17.2,0.00,67,986.7,6.9,16.1,47,50
2024-01-03T15:00,15.2,0.00,77,986.8,7.7,10.3,28,54
2024-01-03T16:00,15.0,0.00,77,987.1,5.0,8.6,21,68
2024-01-03T17:00,15.2,0.00,76,987.4,5.2,10.0,25,69
2024-01-03T18:00,14.7,0.00,78,987.1,6.3,10.1,13,55
2024-01-03T19:00,14.5,0.00,79,986.9,6.5,8.9,6,47
2024-01-03T20:00,13.7,0.00,82,986.5,4.7,7.4,351,29
2024-01-03T21:00,13.5,0.00,84,986.4,4.1,2.9,345,7
2024-01-03T22:00,12.6,0.00,89,986.2,3.7,4.3,11,5
2024-01-03T23:00,12.6,0.00,89,986.3,6.2,5.8,7,7
2024-01-04T00:00,12.5,0.00,90,987.0,7.2,7.6,357,357
2024-01-04T01:00,13.1,0.00,90,988.4,7.3,11.1,351,347
2024-01-04T02:00,14.6,0.00,85,989.4,7.0,8.6,348,345
2024-01-04T03:00,17.8,0.00,75,990.6,3.4,8.8,342,351
2024-01-04T04:00,20.2,0.00,67,990.9,1.6,2.6,333,344
2024-01-04T05:00,22.0,0.00,62,990.3,1.5,2.3,315,321
2024-01-04T06:00,23.5,0.00,57,988.9,0.4,0.5,270,315
2024-01-04T07:00,24.5,0.00,54,987.7,2.2,2.9,351,353
2024-01-04T08:00,25.2,0.00,50,986.5,4.4,5.5,351,349
2024-01-04T09:00,25.6,0.00,47,985.7,6.2,8.0,353,352
2024-01-04T10:00,25.3,0.00,45,985.6,7.2,9.4,342,342
2024-01-04T11:00,23.3,0.00,57,985.8,4.5,10.4,14,360
2024-01-04T12:00,20.3,0.00,66,985.8,7.6,11.1,45,25
2024-01-04T13:00,19.4,0.00,66,986.7,5.9,12.5,47,46
2024-01-04T14:00,18.3,0.00,72,987.3,5.6,12.1,50,67
2024-01-04T15:00,17.0,0.00,78,987.3,4.9,9.5,36,79
2024-01-04T16:00,17.0,0.00,77,987.6,5.2,9.4,34,88
2024-01-04T17:00,16.1,0.00,80,987.5,5.1,10.4,45,92
2024-01-04T18:00,15.4,0.00,84,987.5,5.2,10.4,34,70
2024-01-04T19:00,14.6,0.00,88,987.4,6.1,11.8,28,50
2024-01-04T20:00,14.3,0.00,90,987.3,8.4,13.8,20,43
2024-01-04T21:00,14.3,0.00,88,987.1,8.6,15.3,22,47
2024-01-04T22:00,14.0,0.00,89,987.0,7.0,13.6,21,53
2024-01-04T23:00,13.6,0.00,91,987.4,6.5,11.5,6,51
2024-01-05T00:00,13.6,0.00,92,987.8,7.6,12.3,5,40
2024-01-05T01:00,13.6,0.00,93,989.1,7.6,11.3,360,27
2024-01-05T02:00,15.6,0.00,84,990.0,9.8,13.4,8,27
2024-01-05T03:00,18.9,0.00,72,990.8,7.6,15.5,19,28
2024-01-05T04:00,21.4,0.00,62,991.2,6.5,8.8,34,35
2024-01-05T05:00,22.9,0.00,57,990.5,2.3,3.1,72,69
2024-01-05T06:00,24.0,0.00,55,989.6,1.4,1.5,180,166
2024-01-05T07:00,24.7,0.00,52,988.1,2.5,2.5,188,180
2024-01-05T08:00,25.2,0.00,50,987.0,2.5,2.9,188,180
2024-01-05T09:00,25.2,0.00,50,986.5,1.9,2.3,202,198
