latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.0404215,76.078255,954.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,15.9,90,0.00,908.0,7.4,119,18.4,132
2024-01-01T01:00,15.9,96,0.00,909.0,8.9,122,20.5,124
2024-01-01T02:00,16.7,96,0.00,910.1,9.9,123,14.4,122
2024-01-01T03:00,18.4,87,0.00,911.3,9.2,121,11.4,118
2024-01-01T04:00,20.7,75,0.00,912.3,7.5,125,9.6,124
2024-01-01T05:00,23.2,63,0.00,912.7,6.9,129,8.8,125
2024-01-01T06:00,25.0,54,0.00,912.2,6.1,118,7.9,114
2024-01-01T07:00,26.5,47,0.00,911.3,5.2,106,6.6,103
2024-01-01T08:00,27.3,44,0.00,910.1,4.4,99,5.4,94
2024-01-01T09:00,26.5,44,0.00,909.0,4.4,99,5.0,90
2024-01-01T10:00,26.3,44,0.00,908.7,5.5,101,6.9,96
2024-01-01T11:00,26.2,44,0.00,908.3,8.1,111,10.6,108
2024-01-01T12:00,25.6,47,0.00,908.5,4.7,94,9.4,97
2024-01-01T13:00,23.9,55,0.00,909.1,5.9,137,13.0,136
2024-01-01T14:00,22.9,64,0.00,909.6,5.9,137,7.8,146
2024-01-01T15:00,23.0,58,0.00,910.3,8.3,90,17.0,96
2024-01-01T16:00,22.2,59,0.00,910.5,10.6,100,22.0,101
2024-01-01T17:00,21.2,63,0.00,910.0,7.2,108,17.9,109
2024-01-01T18:00,20.8,64,0.00,909.5,9.7,129,22.6,127
2024-01-01T19:00,20.5,65,0.00,909.2,10.0,139,21.9,138
2024-01-01T20:00,19.8,67,0.00,908.4,9.7,149,21.6,147
2024-01-01T21:00,18.6,75,0.00,907.9,6.0,65,10.8,127
2024-01-01T22:00,18.3,76,0.00,907.6,4.6,51,9.1,99
2024-01-01T23:00,17.4,80,0.00,907.6,6.4,106,12.6,121
2024-01-02T00:00,17.2,81,0.00,907.8,5.5,101,14.3,118
2024-01-02T01:00,18.3,81,0.00,909.2,8.1,103,17.7,110
2024-01-02T02:00,18.6,83,0.00,909.8,9.5,99,18.5,103
2024-01-02T03:00,19.8,80,0.00,910.7,9.6,110,13.7,108
2024-01-02T04:00,22.3,70,0.00,911.5,9.3,106,12.0,106
2024-01-02T05:00,24.4,60,0.00,911.3,10.0,105,13.0,104
2024-01-02T06:00,26.1,52,0.00,910.7,11.2,92,14.8,91
2024-01-02T07:00,27.3,47,0.00,910.1,11.2,88,14.4,87
2024-01-02T08:00,28.5,43,0.00,909.3,9.8,82,12.4,82
2024-01-02T09:00,28.3,41,0.00,908.3,8.9,69,11.2,69
2024-01-02T10:00,27.3,43,0.00,907.8,8.5,78,10.7,76
2024-01-02T11:00,26.5,45,0.00,907.7,10.1,92,13.0,92
2024-01-02T12:00,25.6,45,0.00,907.9,8.6,92,12.3,97
2024-01-02T13:00,25.0,45,0.00,908.6,5.1,94,13.4,96
2024-01-02T14:00,24.0,46,0.00,909.2,5.2,102,14.3,102
2024-01-02T15:00,22.6,56,0.00,909.7,7.7,118,12.7,125
2024-01-02T16:00,23.0,49,0.00,910.1,4.5,104,7.9,129
2024-01-02T17:00,21.9,53,0.00,909.8,5.0,111,7.9,129
2024-01-02T18:00,20.2,54,0.00,909.3,8.1,111,18.5,123
2024-01-02T19:00,19.8,53,0.00,909.1,7.1,120,18.4,132
2024-01-02T20:00,18.7,61,0.00,908.2,6.3,121,17.7,129
2024-01-02T21:00,18.4,66,0.00,907.6,7.4,133,19.1,137
2024-01-02T22:00,18.3,70,0.00,907.2,7.4,133,18.1,136
2024-01-02T23:00,17.7,76,0.00,906.8,7.3,123,18.5,127
2024-01-03T00:00,17.3,81,0.00,907.0,7.3,123,18.4,129
2024-01-03T01:00,18.2,85,0.00,908.0,8.2,128,18.0,127
2024-01-03T02:00,18.5,85,0.00,909.1,9.2,135,17.6,131
2024-01-03T03:00,20.4,76,0.00,910.5,9.3,144,12.6,143
2024-01-03T04:00,21.8,70,0.00,911.0,9.2,141,12.3,140
2024-01-03T05:00,22.2,68,0.00,911.1,7.9,141,10.5,139
2024-01-03T06:00,22.7,65,0.00,910.7,7.1,131,9.2,129
2024-01-03T07:00,23.1,63,0.00,909.7,5.4,110,7.2,108
2024-01-03T08:00,23.7,60,0.00,908.8,5.6,105,7.3,101
2024-01-03T09:00,23.9,57,0.00,908.1,6.6,112,8.4,110
2024-01-03T10:00,23.9,56,0.00,907.7,6.9,99,9.1,99
2024-01-03T11:00,23.4,56,0.00,907.6,6.1,87,7.9,90
2024-01-03T12:00,23.1,56,0.00,908.0,5.9,52,8.7,60
2024-01-03T13:00,21.1,70,0.00,907.9,4.8,77,11.5,88
2024-01-03T14:00,20.8,71,0.00,908.1,6.0,65,15.0,80
2024-01-03T15:00,21.0,70,0.00,908.5,7.6,82,17.3,94
2024-01-03T16:00,21.1,68,0.00,908.9,8.2,67,18.6,72
2024-01-03T17:00,20.9,69,0.00,908.9,8.7,60,17.9,65
2024-01-03T18:00,20.9,67,0.00,908.7,8.8,78,18.2,82
2024-01-03T19:00,20.4,68,0.00,908.0,8.8,78,19.1,88
2024-01-03T20:00,19.8,70,0.00,907.7,9.7,92,20.1,100
2024-01-03T21:00,19.3,72,0.00,907.3,7.9,106,17.3,113
2024-01-03T22:00,19.3,74,0.00,907.4,8.6,112,16.1,114
2024-01-03T23:00,19.0,79,0.00,907.4,8.2,119,15.0,117
2024-01-04T00:00,18.7,83,0.00,907.8,6.3,121,12.9,120
2024-01-04T01:00,18.3,89,0.10,908.6,9.5,99,19.0,100
2024-01-04T02:00,18.3,94,1.20,909.2,11.2,111,19.8,109
2024-01-04T03:00,18.5,96,0.70,910.2,11.6,106,18.4,107
2024-01-04T04:00,18.9,94,0.50,910.6,12.0,106,18.3,106
2024-01-04T05:00,20.1,86,0.20,910.5,14.3,102,19.9,103
2024-01-04T06:00,20.4,85,0.90,910.1,11.2,96,15.7,99
2024-01-04T07:00,20.7,84,1.20,908.9,11.1,77,16.1,80
2024-01-04T08:00,20.4,91,2.40,907.9,10.4,46,15.3,51
2024-01-04T09:00,19.9,94,3.70,907.2,12.2,34,17.7,38
2024-01-04T10:00,19.7,94,1.70,906.8,10.3,29,16.8,35
2024-01-04T11:00,19.8,95,0.80,906.8,9.3,28,16.6,34
2024-01-04T12:00,19.7,94,1.50,907.3,9.2,21,16.3,31
2024-01-04T13:00,18.8,86,0.00,907.9,8.0,72,17.3,78
2024-01-04T14:00,18.9,85,0.00,908.5,8.2,49,16.8,59
2024-01-04T15:00,18.8,85,0.00,909.1,7.5,73,16.9,74
2024-01-04T16:00,18.7,84,0.10,909.1,9.4,97,19.1,94
2024-01-04T17:00,18.5,84,0.00,909.1,6.6,103,15.4,101
2024-01-04T18:00,18.0,90,0.00,908.8,5.7,108,10.2,108
2024-01-04T19:00,17.9,89,0.00,908.3,4.3,90,12.4,107
2024-01-04T20:00,17.3,91,0.00,907.7,6.2,126,13.5,119
2024-01-04T21:00,17.2,91,0.00,907.1,5.0,120,13.1,122
2024-01-04T22:00,17.3,91,0.00,906.8,5.3,118,14.2,126
2024-01-04T23:00,17.6,90,0.00,907.2,4.0,153,12.2,146
2024-01-05T00:00,17.8,90,0.00,907.3,6.3,121,14.6,128
2024-01-05T01:00,18.1,92,0.00,908.6,9.3,126,19.5,128
2024-01-05T02:00,18.0,95,0.00,909.3,9.6,124,18.3,126
2024-01-05T03:00,20.0,87,0.00,910.4,12.9,126,17.9,124
2024-01-05T04:00,21.9,77,0.00,911.0,11.8,130,15.6,128
2024-01-05T05:00,23.5,70,0.00,910.9,10.2,138,13.0,138
2024-01-05T06:00,24.8,64,0.00,910.1,9.2,141,11.8,140
2024-01-05T07:00,25.7,60,0.00,909.3,8.3,146,10.4,146
2024-01-05T08:00,26.1,59,0.00,908.4,7.9,150,10.0,150
2024-01-05T09:00,26.5,57,0.00,907.9,8.2,151,10.3,151
2024-01-05T10:00,26.5,57,0.00,907.5,6.4,153,8.4,155
2024-01-05T11:00,26.2,57,0.00,907.5,6.1,152,7.7,152
2024-01-05T12:00,25.0,64,0.10,907.8,4.7,176,9.4,173
2024-01-05T13:00,22.4,73,0.00,907.8,5.9,128,14.6,123
2024-01-05T14:00,21.2,79,0.00,908.0,7.3,110,15.3,117
2024-01-05T15:00,21.0,79,0.00,908.7,6.8,108,18.3,112
2024-01-05T16:00,20.8,80,0.00,909.1,6.4,128,18.2,120
2024-01-05T17:00,20.3,82,0.00,908.7,6.8,155,18.1,136
2024-01-05T18:00,19.9,84,0.00,908.9,9.1,146,20.6,136
2024-01-05T19:00,19.3,88,0.00,908.7,10.7,147,22.3,141
2024-01-05T20:00,18.7,93,0.00,908.4,10.5,142,22.2,140
2024-01-05T21:00,18.2,96,0.00,907.6,6.4,117,16.8,125
2024-01-05T22:00,18.0,98,0.00,907.2,5.6,105,14.3,115
2024-01-05T23:00,17.8,98,0.00,907.2,4.7,94,13.3,109
2024-01-06T00:00,17.8,98,0.00,907.8,4.5,104,12.2,114
2024-01-06T01:00,17.8,98,0.00,908.2,7.4,104,18.2,108
2024-01-06T02:00,18.1,97,0.00,909.1,8.9,111,18.2,115
2024-01-06T03:00,20.4,86,0.00,910.5,13.5,124,18.5,123
2024-01-06T04:00,22.2,77,0.00,911.3,13.0,118,17.6,118
2024-01-06T05:00,23.9,69,0.00,911.0,12.8,106,17.0,107
2024-01-06T06:00,25.3,61,0.00,910.5,12.9,108,17.0,107
2024-01-06T07:00,26.4,57,0.00,909.5,11.5,110,14.8,108
2024-01-06T08:00,26.7,54,0.00,908.5,9.7,112,12.6,110
2024-01-06T09:00,26.9,52,0.10,907.7,8.9,104,11.4,103
2024-01-06T10:00,26.9,52,0.00,907.3,10.5,96,13.4,96
2024-01-06T11:00,26.3,54,0.00,907.3,8.6,92,11.5,92
2024-01-06T12:00,25.4,60,0.00,907.8,4.7,90,10.1,86
2024-01-06T13:00,24.4,59,0.00,908.6,2.7,23,5.1,82
2024-01-06T14:00,22.2,75,0.00,909.5,3.6,264,3.7,299
2024-01-06T15:00,21.1,80,0.00,910.3,4.7,212,9.2,222
2024-01-06T16:00,20.5,87,0.00,910.4,4.2,211,9.4,227
2024-01-06T17:00,20.3,90,0.00,910.4,1.4,90,3.1,201
