latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
15.360281,75.14071,619.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,18.0,71,0.00,943.5,6.5,71,13.2,107
2024-01-01T01:00,18.5,76,0.00,945.0,7.9,60,16.9,90
2024-01-01T02:00,18.9,77,0.00,945.7,9.6,77,18.5,98
2024-01-01T03:00,21.2,71,0.00,946.6,10.9,96,16.2,102
2024-01-01T04:00,23.9,61,0.00,947.4,13.0,109,17.0,111
2024-01-01T05:00,26.3,53,0.00,947.4,13.8,118,17.7,119
2024-01-01T06:00,28.0,47,0.00,947.0,11.8,117,14.7,118
2024-01-01T07:00,29.2,42,0.00,946.0,9.7,112,11.8,113
2024-01-01T08:00,29.9,38,0.00,944.7,8.8,109,10.7,110
2024-01-01T09:00,30.4,37,0.00,943.8,7.2,108,8.7,107
2024-01-01T10:00,30.4,36,0.00,943.2,5.8,86,6.8,90
2024-01-01T11:00,30.0,35,0.00,943.1,7.6,65,9.4,67
2024-01-01T12:00,29.2,37,0.00,943.2,9.0,61,13.2,61
2024-01-01T13:00,26.6,43,0.00,943.7,7.1,60,15.3,63
2024-01-01T14:00,25.6,45,0.00,944.3,7.3,79,17.5,82
2024-01-01T15:00,24.7,47,0.00,944.5,7.2,63,15.8,78
2024-01-01T16:00,24.3,49,0.00,944.9,12.0,46,24.3,63
2024-01-01T17:00,22.4,58,0.00,944.9,9.8,114,17.3,89
2024-01-01T18:00,21.8,60,0.00,944.8,5.1,188,10.0,142
2024-01-01T19:00,22.6,59,0.00,944.6,4.8,132,9.2,141
2024-01-01T20:00,20.9,66,0.00,943.6,5.7,55,9.9,109
2024-01-01T21:00,20.8,65,0.00,943.0,5.8,68,12.7,98
2024-01-01T22:00,20.5,66,0.00,942.7,7.6,90,16.4,105
2024-01-01T23:00,19.8,68,0.00,942.8,8.0,95,19.0,105
2024-01-02T00:00,19.5,69,0.00,943.2,8.9,104,20.8,113
2024-01-02T01:00,20.0,71,0.00,944.3,7.7,101,17.9,112
2024-01-02T02:00,19.9,75,0.00,944.9,9.7,90,19.1,106
2024-01-02T03:00,21.8,73,0.00,945.8,12.2,88,17.3,95
2024-01-02T04:00,24.1,66,0.00,946.4,13.2,101,17.0,103
2024-01-02T05:00,26.6,55,0.00,946.5,14.5,113,19.0,115
2024-01-02T06:00,28.2,47,0.00,945.8,13.9,111,17.7,110
2024-01-02T07:00,29.3,42,0.00,944.7,13.0,96,15.9,96
2024-01-02T08:00,30.0,39,0.00,943.6,11.2,94,14.1,93
2024-01-02T09:00,30.4,37,0.00,942.9,9.0,95,11.2,94
2024-01-02T10:00,30.2,36,0.00,942.4,7.2,96,9.1,97
2024-01-02T11:00,29.7,36,0.00,942.4,7.3,99,9.1,97
2024-01-02T12:00,29.2,36,0.00,942.5,7.1,105,10.0,103
2024-01-02T13:00,26.9,47,0.00,942.8,6.8,108,7.5,107
