latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.899824,74.87738,22.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,23.8,83,0.00,1008.8,5.1,86,9.0,67
2024-01-01T01:00,23.9,81,0.00,1009.7,5.4,70,10.7,70
2024-01-01T02:00,24.3,80,0.00,1010.2,7.6,71,11.8,67
2024-01-01T03:00,26.6,71,0.00,1010.9,7.6,71,13.2,68
2024-01-01T04:00,29.0,61,0.00,1011.6,6.9,84,9.1,81
2024-01-01T05:00,30.5,53,0.00,1011.5,6.9,99,8.8,102
2024-01-01T06:00,31.8,47,0.00,1010.5,4.3,114,6.0,115
2024-01-01T07:00,32.6,45,0.00,1009.3,2.3,219,2.9,187
2024-01-01T08:00,31.8,48,0.00,1007.9,8.9,249,10.5,243
2024-01-01T09:00,30.7,58,0.00,1007.0,13.8,255,17.4,252
2024-01-01T10:00,30.0,58,0.00,1006.9,14.3,260,19.1,259
2024-01-01T11:00,29.4,64,0.00,1006.9,13.4,278,18.1,276
2024-01-01T12:00,28.9,69,0.00,1007.2,10.4,270,14.0,271
2024-01-01T13:00,28.4,67,0.00,1008.4,8.4,250,14.2,249
2024-01-01T14:00,27.8,72,0.00,1009.2,3.7,299,8.5,282
2024-01-01T15:00,27.9,73,0.00,1010.0,0.8,63,2.4,297
2024-01-01T16:00,26.2,81,0.00,1010.5,3.5,66,4.1,52
2024-01-01T17:00,25.8,83,0.00,1010.4,4.2,59,7.1,49
2024-01-01T18:00,25.1,87,0.00,1010.0,4.3,24,6.2,7
2024-01-01T19:00,25.0,88,0.00,1009.6,4.0,27,7.6,360
2024-01-01T20:00,25.2,87,0.00,1008.9,4.4,35,8.7,5
2024-01-01T21:00,24.9,88,0.00,1008.3,4.9,54,8.4,20
2024-01-01T22:00,25.0,87,0.00,1007.8,6.4,47,11.0,23
2024-01-01T23:00,25.0,87,0.00,1008.1,6.1,62,11.3,37
2024-01-02T00:00,24.8,87,0.00,1008.4,5.7,55,12.1,37
2024-01-02T01:00,24.4,86,0.00,1009.0,7.0,78,10.5,59
2024-01-02T02:00,24.7,84,0.00,1009.5,9.0,90,14.5,84
2024-01-02T03:00,26.9,75,0.00,1010.2,8.0,82,14.8,86
2024-01-02T04:00,29.3,61,0.00,1010.2,7.3,79,9.9,80
2024-01-02T05:00,30.6,51,0.00,1009.6,6.8,87,9.4,90
2024-01-02T06:00,31.4,48,0.00,1008.9,2.9,83,4.0,85
2024-01-02T07:00,31.4,48,0.00,1007.9,1.8,281,1.5,284
2024-01-02T08:00,30.8,54,0.00,1007.1,10.2,280,12.0,279
2024-01-02T09:00,29.9,63,0.00,1006.4,12.9,283,16.5,281
2024-01-02T10:00,29.6,66,0.00,1006.0,12.2,284,15.9,283
2024-01-02T11:00,29.0,72,0.00,1006.2,11.1,295,14.7,295
2024-01-02T12:00,28.7,73,0.00,1006.5,10.0,300,13.4,301
2024-01-02T13:00,28.3,76,0.00,1007.6,6.9,309,12.2,304
2024-01-02T14:00,28.0,78,0.00,1008.5,6.4,322,12.0,319
2024-01-02T15:00,27.5,83,0.00,1009.2,3.8,343,7.6,329
2024-01-02T16:00,27.9,79,0.00,1009.5,1.9,22,3.6,323
2024-01-02T17:00,27.6,82,0.00,1009.5,2.7,337,4.3,312
2024-01-02T18:00,26.8,88,0.00,1009.2,2.8,50,3.4,18
2024-01-02T19:00,26.5,89,0.00,1008.9,2.9,30,4.4,351
2024-01-02T20:00,26.2,92,0.20,1008.4,3.5,24,5.0,330
2024-01-02T21:00,26.1,91,0.00,1007.7,4.0,10,7.7,349
2024-01-02T22:00,25.2,87,0.80,1007.3,6.9,351,11.9,360
2024-01-02T23:00,23.6,93,3.40,1007.7,7.9,39,10.5,38
2024-01-03T00:00,23.8,91,0.30,1007.5,2.9,60,7.0,21
2024-01-03T01:00,24.1,94,0.40,1008.2,3.8,253,4.0,265
2024-01-03T02:00,24.5,93,0.60,1009.4,8.7,204,14.0,215
2024-01-03T03:00,24.1,95,0.80,1010.6,11.2,213,16.6,214
2024-01-03T04:00,24.4,93,0.60,1010.9,4.1,128,5.4,138
2024-01-03T05:00,25.3,87,0.30,1011.2,7.2,177,9.4,178
