latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.688928,77.28261,691.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,17.7,95,0.00,936.9,8.1,77,18.4,84
2024-01-01T01:00,18.4,91,0.00,937.8,10.7,78,18.4,79
2024-01-01T02:00,19.0,87,0.00,938.7,12.0,81,17.8,82
2024-01-01T03:00,21.0,75,0.00,939.5,10.5,96,14.5,96
2024-01-01T04:00,23.5,63,0.00,940.1,9.9,109,13.0,109
2024-01-01T05:00,25.6,53,0.00,940.2,7.6,121,9.5,119
2024-01-01T06:00,27.3,46,0.00,939.5,6.4,128,7.9,129
2024-01-01T07:00,28.6,41,0.00,938.5,5.6,130,6.9,129
2024-01-01T08:00,29.5,37,0.00,937.2,5.6,135,7.1,131
2024-01-01T09:00,30.0,35,0.00,936.2,7.2,143,8.7,142
2024-01-01T10:00,30.1,34,0.00,935.8,7.8,146,9.8,144
2024-01-01T11:00,29.6,35,0.00,935.6,6.9,141,8.7,138
2024-01-01T12:00,28.6,39,0.00,935.7,5.9,142,9.3,144
2024-01-01T13:00,25.7,47,0.00,936.5,8.7,95,16.8,100
2024-01-01T14:00,25.0,50,0.00,937.8,15.2,95,26.1,96
2024-01-01T15:00,23.9,53,0.00,938.3,13.3,103,25.2,104
2024-01-01T16:00,23.7,54,0.00,938.5,11.7,99,22.3,104
2024-01-01T17:00,23.1,58,0.00,938.4,13.3,90,23.1,94
2024-01-01T18:00,22.3,65,0.00,937.8,10.9,99,19.8,100
2024-01-01T19:00,22.0,68,0.00,937.1,9.7,105,18.3,105
2024-01-01T20:00,21.7,70,0.00,936.6,10.1,107,18.0,106
2024-01-01T21:00,20.9,75,0.00,936.1,10.7,104,16.4,105
2024-01-01T22:00,20.4,81,0.00,935.9,11.3,99,16.9,101
2024-01-01T23:00,20.2,84,0.00,936.3,11.0,101,16.1,100
2024-01-02T00:00,20.0,85,0.00,936.6,9.4,94,13.7,95
2024-01-02T01:00,19.7,86,0.00,937.5,10.9,84,17.3,89
2024-01-02T02:00,19.9,82,0.00,938.0,11.9,87,16.9,89
2024-01-02T03:00,21.0,75,0.00,938.7,11.9,87,16.2,87
2024-01-02T04:00,22.8,67,0.00,939.1,10.5,94,13.7,93
2024-01-02T05:00,24.5,59,0.00,939.3,8.8,99,11.4,101
2024-01-02T06:00,26.9,49,0.00,938.6,10.1,86,13.0,85
2024-01-02T07:00,28.5,39,0.00,937.5,9.6,77,12.2,76
2024-01-02T08:00,29.6,33,0.00,936.3,10.8,75,13.6,73
2024-01-02T09:00,29.9,31,0.00,935.3,10.9,82,14.2,81
2024-01-02T10:00,29.6,33,0.00,934.9,11.5,92,14.8,91
2024-01-02T11:00,28.6,38,0.00,934.9,12.5,102,16.1,100
2024-01-02T12:00,27.3,42,0.00,935.3,14.1,109,19.5,109
2024-01-02T13:00,25.3,44,0.00,936.2,13.2,112,24.7,113
2024-01-02T14:00,24.8,47,0.00,937.2,14.6,106,26.2,106
2024-01-02T15:00,23.5,51,0.00,937.5,12.1,102,24.1,104
2024-01-02T16:00,22.8,55,0.00,937.9,15.1,102,27.2,105
2024-01-02T17:00,22.7,58,0.00,937.9,14.1,96,24.4,98
2024-01-02T18:00,22.0,64,0.00,937.5,11.8,102,21.1,104
2024-01-02T19:00,21.0,70,0.00,936.9,9.8,96,18.9,98
2024-01-02T20:00,20.1,77,0.00,936.2,8.6,92,17.7,94
2024-01-02T21:00,20.1,79,0.00,935.8,9.4,97,16.6,95
2024-01-02T22:00,19.4,84,0.00,935.3,8.0,95,15.2,95
2024-01-02T23:00,19.2,85,0.00,935.3,9.0,90,15.5,91
2024-01-03T00:00,18.4,88,0.00,935.6,7.6,93,15.9,94
2024-01-03T01:00,19.2,85,0.00,936.5,10.1,88,14.8,89
2024-01-03T02:00,19.4,83,0.00,937.5,10.5,98,14.9,98
2024-01-03T03:00,20.6,77,0.00,938.4,9.5,101,12.5,102
2024-01-03T04:00,22.4,69,0.00,939.0,8.5,102,11.1,103
2024-01-03T05:00,24.3,61,0.00,939.0,9.3,106,11.6,106
2024-01-03T06:00,26.6,52,0.00,938.6,7.8,103,10.0,105
2024-01-03T07:00,28.0,46,0.00,937.3,7.2,96,9.0,95
2024-01-03T08:00,29.0,42,0.00,936.1,7.7,79,9.5,79
2024-01-03T09:00,30.0,38,0.00,935.3,6.1,90,7.6,87
2024-01-03T10:00,29.8,37,0.00,934.7,6.6,99,8.0,95
2024-01-03T11:00,29.5,37,0.00,934.5,6.6,99,8.0,98
2024-01-03T12:00,28.7,38,0.00,934.8,9.7,105,13.6,107
2024-01-03T13:00,26.0,45,0.00,935.4,10.7,76,19.1,79
2024-01-03T14:00,25.3,47,0.00,936.0,10.0,103,19.1,106
2024-01-03T15:00,25.0,47,0.00,936.6,11.7,101,20.9,105
2024-01-03T16:00,23.5,56,0.00,936.9,13.7,104,23.4,104
2024-01-03T17:00,22.7,64,0.00,936.9,12.6,103,21.5,104
2024-01-03T18:00,21.5,73,0.00,936.7,10.3,102,18.7,106
2024-01-03T19:00,20.8,81,0.00,936.1,10.9,96,20.0,98
2024-01-03T20:00,20.3,86,0.00,935.6,10.6,100,19.1,101
2024-01-03T21:00,19.9,89,0.00,935.1,8.9,111,17.0,111
2024-01-03T22:00,19.7,90,0.00,935.2,8.0,108,15.3,114
2024-01-03T23:00,19.9,88,0.00,935.3,8.6,88,13.3,93
2024-01-04T00:00,19.8,89,0.00,935.7,7.6,87,13.7,92
2024-01-04T01:00,20.9,82,0.00,937.1,11.9,87,17.7,88
2024-01-04T02:00,20.9,81,0.00,937.8,12.3,93,18.0,93
2024-01-04T03:00,21.3,81,0.40,938.5,12.7,98,17.8,98
2024-01-04T04:00,23.0,72,0.00,938.7,15.3,105,20.5,105
2024-01-04T05:00,26.0,57,0.00,938.8,12.4,100,15.8,102
2024-01-04T06:00,26.8,54,0.00,938.0,11.2,92,14.4,93
2024-01-04T07:00,27.2,52,0.00,936.8,11.4,101,14.7,101
2024-01-04T08:00,27.0,53,0.00,935.7,11.7,101,15.4,101
2024-01-04T09:00,26.5,55,0.00,934.8,10.1,94,13.7,95
2024-01-04T10:00,28.2,49,0.00,934.3,11.2,88,14.4,90
2024-01-04T11:00,27.0,53,0.00,934.3,12.4,80,16.3,82
2024-01-04T12:00,26.1,56,0.00,934.7,11.8,70,16.6,72
2024-01-04T13:00,24.7,53,0.00,935.9,8.5,28,15.2,31
2024-01-04T14:00,24.1,56,0.00,936.8,6.8,87,12.3,85
2024-01-04T15:00,23.7,64,0.00,937.1,7.7,131,13.6,127
2024-01-04T16:00,22.7,75,0.30,937.3,5.6,117,11.1,115
2024-01-04T17:00,22.3,78,0.30,937.2,8.4,80,15.5,87
2024-01-04T18:00,21.6,79,0.10,936.9,10.4,88,18.7,89
2024-01-04T19:00,21.1,81,0.00,936.5,9.2,101,16.8,105
2024-01-04T20:00,20.5,86,0.00,936.1,7.6,115,15.6,119
2024-01-04T21:00,20.7,88,0.00,935.6,6.8,115,13.5,119
2024-01-04T22:00,20.5,90,0.00,935.2,6.6,103,13.3,109
2024-01-04T23:00,20.4,89,0.00,935.4,8.6,88,15.9,95
2024-01-05T00:00,20.5,86,0.00,935.8,10.5,84,18.0,88
2024-01-05T01:00,20.2,93,0.00,936.6,7.6,82,15.8,90
2024-01-05T02:00,20.7,89,0.00,937.5,9.7,90,14.6,99
2024-01-05T03:00,22.5,79,0.00,938.3,10.6,108,14.0,108
2024-01-05T04:00,24.9,66,0.00,938.8,10.8,116,14.0,116
2024-01-05T05:00,26.9,57,0.00,938.5,9.0,113,11.4,114
2024-01-05T06:00,28.0,53,0.00,937.5,7.5,125,9.1,124
2024-01-05T07:00,28.1,52,0.00,936.4,7.9,133,9.9,134
2024-01-05T08:00,28.9,50,0.00,935.7,8.1,135,10.2,135
2024-01-05T09:00,29.3,48,0.00,935.0,8.3,124,10.3,126
2024-01-05T10:00,28.7,50,0.10,934.6,9.8,126,12.4,126
2024-01-05T11:00,28.4,50,0.00,934.7,9.4,122,12.5,123
2024-01-05T12:00,27.7,52,0.00,935.1,9.3,118,12.7,119
2024-01-05T13:00,25.4,61,0.00,936.0,9.5,99,17.3,107
2024-01-05T14:00,24.2,69,0.00,936.8,15.4,106,23.8,108
2024-01-05T15:00,23.6,74,0.00,937.4,13.0,109,19.9,110
2024-01-05T16:00,23.1,76,0.00,937.5,12.4,107,20.3,107
2024-01-05T17:00,22.9,76,0.00,937.2,11.4,108,18.4,107
2024-01-05T18:00,22.5,76,0.00,937.3,11.7,108,18.6,108
2024-01-05T19:00,22.1,78,0.00,937.1,10.5,98,16.2,102
2024-01-05T20:00,21.9,78,0.00,936.7,10.8,86,16.2,87
2024-01-05T21:00,21.5,80,0.00,936.0,10.4,90,15.8,90
2024-01-05T22:00,21.2,82,0.10,935.7,10.5,94,16.3,95
2024-01-05T23:00,21.0,83,0.10,935.4,9.4,97,15.6,97
