Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,37.16,81.62,67.83,30.24,98.08,117.89,6.7,1.25,18.89,1.59,,,,2.21,2.84,24.36,49.94,0.02,139.3,,,,,
2024-01-01 01:00:00,40.8,75.47,70.44,32.35,102.8,117.38,6.99,1.1,19.9,1.41,,,,2.03,2.48,23.42,48.0,0.01,88.81,,,,,
2024-01-01 02:00:00,47.06,70.08,70.38,29.02,99.4,116.17,7.15,0.98,19.42,1.33,,,,1.95,2.31,23.19,47.53,0.02,92.36,,,,,
2024-01-01 03:00:00,40.61,58.18,65.13,28.36,93.48,116.59,7.05,0.98,19.3,1.32,,,,1.94,2.31,23.27,47.71,,46.97,,,,,
2024-01-01 04:00:00,28.96,43.28,60.7,28.8,89.51,117.56,7.04,1.08,18.78,1.42,,,,2.04,2.49,22.74,46.62,,93.84,,,,,
2024-01-01 05:00:00,29.41,42.45,58.72,28.87,87.6,117.53,7.05,1.09,19.09,1.43,,,,2.05,2.53,22.48,46.07,,94.84,,,,,
2024-01-01 06:00:00,35.02,52.32,58.86,31.05,89.9,116.41,7.0,1.09,19.41,1.43,,,,2.05,2.53,22.07,45.24,0.08,90.48,,,,,
2024-01-01 07:00:00,41.23,76.8,61.98,31.21,93.18,116.16,7.03,1.02,19.47,1.36,,,,1.98,2.38,22.27,45.65,0.17,141.02,,,,,
2024-01-01 08:00:00,67.64,100.55,63.44,30.6,94.04,116.4,6.99,1.02,19.74,1.36,,,,1.98,2.38,24.69,50.62,0.63,264.52,,,,,
2024-01-01 09:00:00,41.69,85.74,67.0,27.62,94.62,116.44,7.01,1.02,19.39,1.36,,,,1.98,2.39,25.76,52.8,1.18,255.99,,,,,
2024-01-01 10:00:00,29.25,60.0,76.96,28.14,105.1,115.28,6.76,1.19,19.83,1.53,,,,2.15,2.71,27.21,55.78,1.44,256.86,,,,,
2024-01-01 11:00:00,25.37,53.54,72.22,28.77,100.98,122.21,6.76,1.15,19.34,1.49,,,,2.11,2.64,28.47,58.36,1.23,261.88,,,,,
