Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,37.9,83.74,5.01,18.67,21.33,12.29,7.39,0.56,28.69,0.58,2.07,,,0.66,0.82,20.4,77.26,0.58,124.91,0.0,0.0,48.64,852.18,-0.08
2024-01-01 01:00:00,46.54,88.74,5.14,18.57,21.32,12.3,7.15,0.58,28.86,0.63,2.23,,,0.65,0.82,20.02,79.38,0.61,134.39,0.0,0.0,48.55,853.68,-0.08
2024-01-01 02:00:00,43.62,89.61,4.85,18.08,20.44,11.98,7.19,0.53,27.29,0.64,2.12,,,0.64,0.82,19.61,81.86,0.65,118.38,0.0,0.0,48.54,855.35,-0.08
2024-01-01 03:00:00,40.39,87.49,4.91,17.96,20.5,12.03,7.33,0.54,28.83,0.62,2.02,,,0.66,0.82,19.25,82.38,0.71,112.03,0.0,0.0,48.87,856.28,-0.07
2024-01-01 04:00:00,41.36,87.18,4.86,17.61,20.14,11.99,7.52,0.53,30.85,0.52,1.95,,,0.66,0.81,19.03,82.28,0.63,120.37,0.0,0.0,48.76,856.17,-0.06
2024-01-01 05:00:00,43.26,83.84,5.1,17.77,20.5,12.11,8.46,0.55,30.31,0.55,1.99,,,0.65,0.81,18.93,81.95,0.67,129.09,0.0,0.0,48.69,856.72,-0.06
2024-01-01 06:00:00,48.65,89.09,5.09,18.01,20.69,12.09,8.26,0.59,28.9,0.56,2.03,,,0.65,0.81,18.66,82.75,0.66,115.26,0.0,0.0,51.9,857.44,-0.07
2024-01-01 07:00:00,53.38,99.79,4.89,18.27,20.72,12.09,8.46,0.72,27.08,0.71,2.14,,,0.66,0.82,18.69,83.29,0.61,124.33,0.0,0.0,91.86,857.01,-0.07
2024-01-01 08:00:00,53.36,103.26,4.9,18.36,20.91,12.17,8.12,0.72,29.42,0.78,2.0,,,0.65,0.82,19.76,77.59,0.7,124.74,0.0,0.0,176.65,854.51,-0.08
2024-01-01 09:00:00,46.07,98.94,4.96,18.18,20.72,12.28,7.83,0.75,33.82,0.71,1.98,,,0.65,0.83,21.78,71.47,0.73,127.88,0.0,0.0,342.17,850.63,-0.08
2024-01-01 10:00:00,42.11,95.29,4.87,17.75,20.17,12.38,7.86,0.83,37.32,0.76,2.14,,,0.66,0.95,23.95,67.21,0.69,120.72,0.0,0.0,483.16,849.2,-0.08
2024-01-01 11:00:00,40.86,92.24,4.71,17.85,20.15,12.28,8.66,0.62,46.14,0.73,2.06,,,0.64,0.96,25.86,61.69,0.63,126.1,0.0,0.0,545.42,831.72,-0.11
2024-01-01 12:00:00,36.98,83.77,4.43,16.75,18.74,11.12,8.16,0.7,47.46,0.8,2.22,,,0.58,0.99,27.2,53.74,0.49,133.41,0.0,0.0,450.51,829.41,-0.1
2024-01-01 13:00:00,35.53,78.98,4.49,17.08,19.14,11.49,8.19,0.59,46.69,0.65,2.02,,,0.58,0.89,28.16,49.19,0.54,117.33,0.0,0.0,367.4,828.4,-0.09
2024-01-01 14:00:00,34.44,77.19,4.45,16.98,18.98,11.6,7.94,0.58,48.04,0.69,2.01,,,0.58,0.93,28.88,46.42,0.6,146.46,0.0,0.0,321.59,825.78,-0.07
2024-01-01 15:00:00,33.82,72.73,4.37,17.14,19.02,11.66,7.95,0.6,47.33,0.74,2.01,,,0.58,0.99,29.24,45.76,0.66,153.09,0.0,0.0,218.64,825.58,-0.07
2024-01-01 16:00:00,35.87,71.84,4.33,16.7,18.61,11.63,7.84,0.64,42.13,0.73,2.02,,,0.58,1.33,28.6,48.1,0.71,134.89,0.0,0.0,130.45,840.76,-0.07
2024-01-01 17:00:00,32.83,75.75,4.41,18.27,20.05,11.92,8.26,0.71,34.61,1.53,2.58,,,0.64,1.35,27.13,53.24,0.64,133.16,0.0,0.0,77.47,830.86,-0.07
2024-01-01 18:00:00,41.5,86.27,4.79,19.33,21.67,12.59,7.9,0.75,31.0,0.9,2.34,,,0.65,1.13,25.6,56.93,0.66,146.37,0.0,0.0,48.59,842.74,-0.08
2024-01-01 19:00:00,45.88,97.02,4.77,19.71,22.1,12.4,8.53,0.8,28.67,0.88,2.47,,,0.66,1.14,24.5,59.49,0.64,134.87,0.0,0.0,48.49,828.4,-0.08
2024-01-01 20:00:00,47.19,102.54,4.83,19.4,21.77,12.32,8.29,0.71,29.92,0.81,2.38,,,0.66,0.98,23.71,62.76,0.72,131.91,0.0,0.0,48.61,830.46,-0.08
