Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,41.72,56.09,3.09,29.43,25.99,19.17,2.39,0.22,24.09,,0.0,,,,,18.74,74.44,,,0.0,0.0,110.57,850.62,
2024-01-01 01:00:00,46.54,55.78,2.78,29.06,35.12,18.98,1.83,0.22,23.78,,0.0,,,,,19.26,73.48,,,0.0,0.0,96.55,850.25,
2024-01-01 02:00:00,52.29,55.82,2.82,28.79,35.14,19.15,1.23,0.22,23.82,,0.0,,,,,19.13,76.74,,,0.0,0.0,96.55,849.98,
2024-01-01 03:00:00,54.92,56.51,3.51,28.96,35.17,19.04,0.95,0.22,24.51,,0.0,,,,,18.9,83.22,,,0.0,0.0,113.51,849.6,
2024-01-01 04:00:00,48.31,55.9,2.9,29.27,35.1,19.32,0.71,0.22,23.9,,0.0,,,,,18.39,87.56,,,0.0,0.0,126.84,849.72,
2024-01-01 05:00:00,42.93,55.74,2.74,29.08,35.24,19.31,0.99,0.22,23.74,,0.0,,,,,18.39,87.78,,,0.0,0.0,130.93,849.98,
2024-01-01 06:00:00,35.73,55.76,2.76,28.97,34.88,18.82,1.37,0.22,23.76,,0.0,,,,,18.12,88.79,,,0.0,0.0,108.93,850.35,
2024-01-01 07:00:00,38.92,56.11,3.11,28.81,35.19,19.19,1.0,0.22,24.11,,0.0,,,,,18.57,87.36,,,0.0,0.0,122.69,850.72,
2024-01-01 08:00:00,36.09,55.96,2.96,28.91,34.6,18.85,0.66,0.22,23.96,,0.0,,,,,20.39,75.84,,,0.0,0.0,169.67,851.42,
2024-01-01 09:00:00,39.33,56.26,3.26,28.96,35.32,19.06,1.46,2.3,24.26,,0.0,,,,,21.16,68.94,,,0.0,0.0,135.32,851.8,
2024-01-01 10:00:00,35.42,55.9,2.9,28.82,34.68,18.81,1.23,1.89,23.9,,0.0,,,,,22.12,62.99,,,0.0,0.0,115.0,851.68,
2024-01-01 11:00:00,31.43,55.9,2.9,29.1,35.29,18.87,1.48,1.67,23.9,,0.0,,,,,22.97,57.39,,,0.0,0.0,117.45,851.18,
2024-01-01 12:00:00,34.27,56.07,3.07,28.37,35.67,19.38,0.7,,24.07,,0.0,,,,,23.12,55.26,,,0.0,0.0,163.87,850.5,
2024-01-01 13:00:00,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,0.0,,,
2024-01-01 14:00:00,40.46,61.32,2.72,29.08,13.18,18.68,2.86,0.54,30.54,,0.0,,,,,23.86,47.94,,,0.0,0.0,145.48,849.15,
2024-01-01 15:00:00,41.29,79.88,2.88,29.34,34.68,18.96,3.22,1.3,53.88,,0.0,,,,,23.78,45.86,,,0.0,0.0,139.77,848.35,
2024-01-01 16:00:00,38.41,79.74,2.74,28.61,35.05,18.76,3.88,1.11,53.74,,0.0,,,,,23.77,44.92,,,0.0,0.0,126.08,848.42,
