Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,148.79,142.63,8.6,22.61,27.92,12.12,7.84,0.8,25.21,0.97,1.07,,,0.62,0.45,27.7,65.15,1.28,205.38,0.0,0.0,,973.14,
2024-01-01 01:00:00,110.98,116.48,8.74,22.25,25.88,11.68,7.71,0.78,27.93,0.79,0.96,,,0.63,0.47,27.1,70.09,1.59,157.04,0.0,0.0,,973.16,
2024-01-01 02:00:00,26.12,41.3,8.8,12.64,15.48,10.4,7.8,0.76,31.38,0.78,0.94,,,0.62,0.48,26.87,53.61,1.5,325.37,0.0,0.0,,972.89,
2024-01-01 03:00:00,26.04,69.41,8.66,12.62,15.44,10.24,7.93,0.76,30.42,0.76,0.92,,,0.63,0.48,26.62,57.09,1.62,265.44,0.0,0.0,,972.84,
2024-01-01 04:00:00,26.15,50.8,8.78,12.64,15.54,10.39,8.09,0.77,31.21,0.78,0.93,,,0.64,0.49,26.45,60.0,1.6,182.11,0.0,0.0,,973.09,
2024-01-01 05:00:00,26.11,69.53,8.67,12.77,15.4,10.27,8.08,0.76,32.64,0.78,0.96,,,0.62,0.48,26.12,63.0,1.85,6.14,0.0,0.0,,973.43,
2024-01-01 06:00:00,26.18,62.33,8.71,12.71,15.4,10.23,8.11,0.78,30.22,0.79,0.94,,,0.62,0.48,25.78,65.29,1.69,169.67,0.0,0.0,1.23,973.94,
2024-01-01 07:00:00,26.18,65.66,8.67,12.75,15.32,10.19,8.33,0.84,29.06,0.79,0.95,,,0.62,0.48,25.99,65.36,1.25,264.04,0.0,0.0,13.43,974.46,
2024-01-01 08:00:00,16.52,59.11,7.85,8.83,16.26,11.02,8.18,0.84,30.98,0.77,0.94,,,0.63,0.48,26.94,61.12,1.34,213.87,0.0,0.0,33.24,975.03,
2024-01-01 09:00:00,14.67,48.14,7.85,8.2,16.46,11.24,8.1,0.8,27.92,0.77,0.94,,,0.62,0.47,28.32,76.06,1.16,251.03,0.0,0.0,45.85,975.16,
2024-01-01 10:00:00,17.17,43.26,8.29,8.91,17.08,10.26,8.07,0.77,33.82,0.95,0.97,,,0.66,0.45,29.63,46.07,1.54,161.5,0.0,0.0,51.62,974.96,
2024-01-01 11:00:00,21.3,61.24,8.46,9.41,17.45,9.33,7.98,0.76,43.0,1.08,0.96,,,0.67,0.44,30.39,41.16,1.92,161.15,0.0,0.0,54.04,974.2,
2024-01-01 12:00:00,15.39,36.54,8.56,9.43,17.52,9.4,8.09,0.75,48.23,1.08,0.98,,,0.67,0.43,31.08,37.48,1.86,156.85,0.0,0.0,54.69,973.33,
2024-01-01 13:00:00,14.39,32.97,8.62,9.4,17.57,9.45,8.18,0.74,52.92,1.09,0.97,,,0.67,0.44,31.71,32.88,1.84,202.38,0.0,0.0,49.49,972.48,
2024-01-01 14:00:00,11.56,30.32,8.43,9.42,17.48,9.39,8.31,0.73,54.87,1.07,0.97,,,0.67,0.45,32.41,29.54,2.22,194.46,0.0,0.0,53.83,971.87,
2024-01-01 15:00:00,11.34,30.17,8.36,9.54,17.3,9.22,8.47,0.74,59.24,1.08,0.98,,,0.65,0.43,32.53,28.23,2.04,134.74,0.0,0.0,50.25,971.48,
2024-01-01 16:00:00,11.36,27.33,8.38,9.55,17.42,9.26,8.53,0.76,53.64,1.08,0.99,,,0.68,0.44,32.42,28.3,2.13,132.22,0.0,0.0,59.62,971.4,
2024-01-01 17:00:00,10.15,20.64,7.96,8.41,16.19,9.85,8.49,0.87,31.22,1.07,0.98,,,0.66,0.44,31.69,49.06,1.34,221.1,0.0,0.0,8.01,971.6,
2024-01-01 18:00:00,9.53,31.12,7.74,7.82,15.56,10.24,8.52,1.23,9.1,1.08,0.98,,,0.67,0.44,30.59,23.28,0.66,106.64,0.0,0.0,,972.07,
2024-01-01 19:00:00,9.55,37.58,7.72,7.73,15.44,10.14,8.41,1.5,7.27,1.08,0.97,,,0.67,0.43,29.72,35.7,0.74,129.32,0.0,0.0,,972.59,
2024-01-01 20:00:00,11.81,46.63,7.78,7.67,15.55,10.3,8.3,1.5,11.7,1.08,0.96,,,0.68,0.44,29.1,59.3,0.92,162.12,0.0,0.0,,973.11,
2024-01-01 21:00:00,14.33,39.08,7.79,7.74,15.46,10.32,8.0,1.23,9.3,1.07,0.98,,,0.67,0.44,29.0,30.34,0.72,113.69,0.0,0.0,,973.5,
2024-01-01 22:00:00,14.4,45.31,7.78,7.78,15.46,10.2,8.0,1.19,8.26,1.08,0.99,,,0.67,0.43,28.58,32.55,0.42,121.82,0.0,0.0,,973.48,
2024-01-01 23:00:00,14.31,37.48,7.58,7.82,15.4,10.09,7.72,0.88,19.76,1.07,0.98,,,0.68,0.44,28.42,53.44,0.83,208.72,0.0,0.0,,973.25,
2024-01-02 00:00:00,14.25,43.06,7.54,8.81,16.94,10.54,8.0,0.6,22.32,1.19,1.1,,,0.65,0.42,28.32,68.78,1.14,241.83,0.0,0.0,,973.14,
2024-01-02 01:00:00,14.32,31.09,7.56,7.89,15.36,10.1,8.0,0.59,27.32,1.07,1.0,,,0.67,0.44,27.56,50.53,1.18,306.93,0.0,0.0,,972.87,
2024-01-02 02:00:00,14.42,37.36,7.65,7.84,15.54,10.16,8.16,0.58,26.47,1.09,0.97,,,0.68,0.44,27.06,73.52,1.08,310.81,0.0,0.0,,972.58,
2024-01-02 03:00:00,14.33,30.95,7.77,7.76,15.5,10.25,8.26,0.58,24.81,1.07,0.99,,,0.67,0.44,26.65,70.86,1.49,212.01,0.0,0.0,,972.36,
2024-01-02 04:00:00,14.4,34.47,7.82,7.66,15.48,10.25,8.22,0.58,26.32,1.08,0.96,,,0.67,0.43,26.44,78.29,1.38,202.83,0.0,0.0,,972.36,
2024-01-02 05:00:00,14.34,36.03,7.79,7.7,15.45,10.28,8.36,0.6,28.47,1.07,0.98,,,0.66,0.43,26.3,60.41,1.54,288.85,0.0,0.0,,972.61,
2024-01-02 06:00:00,15.55,44.48,7.79,7.76,15.51,10.29,8.44,0.64,25.34,1.08,0.98,,,0.68,0.44,26.18,71.65,1.42,139.07,0.0,0.0,1.0,973.25,
2024-01-02 07:00:00,17.34,50.9,7.66,7.73,15.43,10.19,8.42,0.66,25.46,1.08,0.97,,,0.67,0.44,26.38,78.7,1.03,264.92,0.0,0.0,12.3,973.76,
2024-01-02 08:00:00,17.34,60.14,7.59,7.81,15.32,10.04,8.44,0.67,28.54,1.08,0.98,,,0.66,0.43,27.07,80.5,1.03,271.48,0.0,0.0,32.75,974.24,
2024-01-02 09:00:00,23.76,66.98,8.02,8.6,16.66,9.2,8.49,0.65,33.14,1.11,0.94,,,0.66,0.46,28.42,53.44,1.3,252.2,0.0,0.0,46.9,974.43,
2024-01-02 10:00:00,32.48,70.72,8.72,9.86,18.91,7.59,8.57,0.62,38.83,1.16,0.85,,,0.63,0.48,29.61,45.26,1.58,145.81,0.0,0.0,62.6,974.19,
2024-01-02 11:00:00,30.54,81.47,8.88,9.84,18.94,7.87,8.7,0.62,41.94,1.15,0.86,,,0.62,0.5,30.84,37.54,1.7,194.81,0.0,0.0,62.72,973.5,
2024-01-02 12:00:00,29.67,54.68,8.91,9.8,18.99,7.92,8.94,0.59,50.28,1.15,0.87,,,0.64,0.5,31.43,32.89,1.63,74.99,0.0,0.0,53.13,972.56,
2024-01-02 13:00:00,26.5,50.8,8.94,9.78,18.98,7.86,9.06,0.6,51.66,1.15,0.87,,,0.63,0.48,32.25,29.5,1.82,125.36,0.0,0.0,49.76,971.64,
2024-01-02 14:00:00,26.52,51.67,8.96,9.82,19.05,7.92,9.2,0.57,47.79,1.15,0.88,,,0.64,0.5,32.77,23.66,1.7,168.5,0.0,0.0,56.48,970.92,
2024-01-02 15:00:00,22.67,42.76,8.4,9.09,17.52,9.7,8.9,0.57,47.97,1.14,0.88,,,0.64,0.5,32.85,22.22,1.55,229.6,0.0,0.0,50.11,970.6,
2024-01-02 16:00:00,19.79,59.94,8.22,8.71,16.88,10.2,8.72,0.6,43.71,1.15,0.84,,,0.62,0.48,32.66,22.29,1.68,204.79,0.0,0.0,65.37,970.52,
2024-01-02 17:00:00,18.5,30.16,8.14,8.81,16.84,10.18,8.69,0.81,25.1,1.15,0.86,,,0.62,0.49,31.89,46.08,1.28,221.21,0.0,0.0,8.72,970.87,
2024-01-02 18:00:00,18.44,53.22,8.16,8.78,16.96,10.32,8.76,1.08,8.54,1.14,0.86,,,0.64,0.5,30.76,29.18,0.9,142.41,0.0,0.0,,971.56,
2024-01-02 19:00:00,15.68,49.6,8.22,8.91,17.06,10.28,8.99,1.72,1.54,1.14,0.86,,,0.64,0.49,29.75,19.31,0.57,103.22,0.0,0.0,,972.19,
2024-01-02 20:00:00,14.53,58.64,8.32,8.81,17.02,10.34,8.57,1.12,13.58,1.15,0.88,,,0.64,0.49,29.74,45.24,1.02,175.72,0.0,0.0,,972.88,
2024-01-02 21:00:00,14.47,42.94,8.26,8.86,16.92,10.34,8.27,0.8,19.87,1.14,0.88,,,0.62,0.49,29.61,44.64,0.7,174.93,0.0,0.0,,973.26,
2024-01-02 22:00:00,14.48,25.74,8.17,8.88,16.83,10.19,8.12,0.72,25.44,1.14,0.88,,,0.62,0.48,29.0,56.94,1.12,245.13,0.0,0.0,,973.15,
2024-01-02 23:00:00,14.03,33.84,8.25,8.88,16.88,10.28,8.08,0.63,30.47,1.15,0.89,,,0.62,0.49,28.79,43.07,1.25,291.15,0.0,0.0,,972.92,
2024-01-03 00:00:00,10.54,34.62,8.15,9.53,18.05,10.58,8.09,0.76,30.27,1.25,1.0,,,0.62,0.45,28.07,46.3,1.3,342.96,0.0,0.0,,972.7,
2024-01-03 01:00:00,10.52,37.06,8.09,8.88,16.84,10.14,8.25,0.75,31.44,1.15,0.87,,,0.63,0.49,27.62,50.58,1.42,271.04,0.0,0.0,,972.6,
2024-01-03 02:00:00,8.4,35.89,8.06,8.89,16.78,10.09,8.34,0.75,32.99,1.14,0.87,,,0.62,0.48,27.11,55.01,1.86,8.94,0.0,0.0,,972.35,
2024-01-03 03:00:00,7.48,34.41,8.09,8.9,16.92,10.18,8.59,0.75,30.68,1.15,0.86,,,0.63,0.49,26.8,58.14,1.5,217.88,0.0,0.0,,972.13,
2024-01-03 04:00:00,7.48,39.6,8.25,8.79,16.9,10.31,8.61,0.76,28.01,1.15,0.87,,,0.62,0.49,26.56,60.65,1.39,249.29,0.0,0.0,,972.08,
2024-01-03 05:00:00,7.48,38.92,8.3,8.84,16.92,10.34,8.7,0.77,28.42,1.15,0.88,,,0.62,0.49,26.28,63.71,1.52,256.96,0.0,0.0,,972.49,
2024-01-03 06:00:00,11.64,46.61,8.29,8.82,16.98,10.24,8.86,0.78,25.22,1.15,0.88,,,0.64,0.48,26.22,79.04,1.02,265.3,0.0,0.0,1.1,972.91,
2024-01-03 07:00:00,12.52,39.35,8.2,8.86,16.92,10.2,8.91,0.84,21.62,1.16,0.88,,,0.63,0.49,26.3,72.37,0.83,241.12,0.0,0.0,12.25,973.32,
2024-01-03 08:00:00,12.44,61.6,8.17,8.88,16.9,10.19,9.0,0.84,23.46,1.14,0.88,,,0.63,0.48,27.05,75.94,1.04,242.89,0.0,0.0,34.68,973.85,
2024-01-03 09:00:00,19.1,50.14,9.26,12.86,21.46,7.88,8.84,0.85,25.09,1.14,0.85,,,0.63,0.49,28.64,75.88,1.26,241.65,0.0,0.0,48.91,974.15,
2024-01-03 10:00:00,36.11,87.99,9.32,12.9,21.52,7.82,8.82,0.8,36.7,1.16,0.86,,,0.63,0.49,30.0,43.99,1.56,178.32,0.0,0.0,55.47,973.8,
2024-01-03 11:00:00,,,12.29,9.11,21.4,7.17,12.95,0.69,54.75,1.13,,,,,,,,2.74,,,0.0,,972.15,
2024-01-03 12:00:00,30.03,79.65,9.43,12.08,21.08,9.66,16.4,0.77,44.0,1.1,0.9,,,0.66,0.44,32.01,34.79,1.78,156.65,0.0,0.0,58.64,971.9,
2024-01-03 13:00:00,26.06,69.31,9.26,11.46,20.5,10.81,11.28,0.76,46.43,1.03,0.94,,,0.67,0.43,32.39,32.26,1.94,150.02,0.0,0.0,54.82,971.28,
2024-01-03 14:00:00,23.2,66.08,9.25,11.46,20.54,10.84,9.99,0.74,47.4,1.03,0.93,,,0.68,0.44,32.77,28.99,1.78,146.73,0.0,0.0,57.95,970.66,
2024-01-03 15:00:00,16.1,56.11,9.28,11.48,20.48,10.79,9.84,0.74,53.32,1.04,0.94,,,0.67,0.43,32.82,26.93,1.85,116.74,0.0,0.0,51.32,970.37,
2024-01-03 16:00:00,10.47,53.16,9.24,11.6,20.56,10.9,9.53,0.77,51.96,1.03,0.94,,,0.67,0.44,32.54,27.94,2.07,158.57,0.0,0.0,51.91,970.34,
2024-01-03 17:00:00,9.44,49.53,9.34,11.38,20.51,10.84,9.44,0.84,43.57,1.03,0.92,,,0.67,0.42,31.84,30.31,1.9,187.26,0.0,0.0,8.44,970.59,
2024-01-03 18:00:00,15.39,49.56,9.34,11.48,20.58,10.91,9.33,1.14,29.91,1.03,0.95,,,0.68,0.44,30.98,34.4,1.63,162.3,0.0,0.0,,970.84,
2024-01-03 19:00:00,15.34,37.74,9.32,11.42,20.52,10.92,9.24,1.12,25.04,1.03,0.94,,,0.67,0.44,30.45,38.73,1.67,158.02,0.0,0.0,,971.34,
2024-01-03 20:00:00,15.38,49.55,9.4,11.48,20.63,10.93,9.0,1.06,23.19,1.03,0.92,,,0.66,0.43,29.89,41.18,1.56,236.06,0.0,0.0,,971.76,
2024-01-03 21:00:00,15.41,58.66,9.3,11.39,20.52,10.78,8.96,1.05,18.77,1.04,0.92,,,0.68,0.42,29.34,62.3,1.27,221.77,0.0,0.0,,972.16,
2024-01-03 22:00:00,15.32,49.43,9.18,11.5,20.46,10.74,8.86,0.83,28.4,1.02,0.94,,,0.67,0.43,29.3,66.71,1.19,243.31,0.0,0.0,,972.36,
2024-01-03 23:00:00,15.41,49.6,9.22,11.44,20.44,10.72,8.84,0.79,32.98,1.04,0.92,,,0.67,0.42,28.61,45.51,1.23,290.16,0.0,0.0,,972.51,
2024-01-04 00:00:00,8.96,49.59,9.19,11.54,20.72,11.04,8.14,0.77,32.46,1.17,1.06,,,0.65,0.42,27.93,48.19,1.3,258.47,0.0,0.0,,972.46,
2024-01-04 01:00:00,9.31,49.54,9.32,11.4,20.55,10.87,8.29,0.77,32.1,1.03,0.9,,,0.66,0.43,27.49,51.54,1.38,277.43,0.0,0.0,,972.06,
2024-01-04 02:00:00,8.85,49.67,9.41,11.39,20.62,10.9,8.36,0.76,32.05,1.04,0.93,,,0.68,0.43,27.21,54.97,1.4,301.73,0.0,0.0,,971.72,
2024-01-04 03:00:00,7.96,49.6,9.38,11.35,20.6,10.96,8.44,0.76,29.58,1.04,0.92,,,0.68,0.44,26.84,57.32,1.47,306.64,0.0,0.0,,971.78,
2024-01-04 04:00:00,9.38,49.37,9.3,11.52,20.56,10.92,8.46,0.77,28.32,1.02,0.95,,,0.67,0.43,26.53,59.63,1.36,194.72,0.0,0.0,,972.08,
2024-01-04 05:00:00,15.41,49.59,9.36,11.43,20.58,10.89,8.56,0.8,26.87,1.04,0.92,,,0.67,0.43,26.46,79.83,1.08,291.54,0.0,0.0,,972.44,
2024-01-04 06:00:00,15.36,49.51,9.21,11.46,20.38,10.74,8.62,0.81,25.55,1.03,0.93,,,0.66,0.43,26.29,80.44,1.1,293.24,0.0,0.0,1.02,972.87,
2024-01-04 07:00:00,15.4,49.57,9.2,11.46,20.4,10.67,8.54,0.84,22.91,1.04,0.93,,,0.66,0.42,26.37,75.07,1.1,258.06,0.0,0.0,13.17,973.37,
2024-01-04 08:00:00,17.02,43.84,9.19,11.45,20.4,10.72,8.6,0.86,23.06,1.03,0.92,,,0.66,0.43,27.09,73.66,1.1,253.96,0.0,0.0,35.97,973.93,
2024-01-04 09:00:00,21.19,56.76,8.7,10.29,19.11,8.79,8.51,0.85,24.46,0.97,0.86,,,0.63,0.46,28.51,73.31,1.18,243.67,0.0,0.0,51.8,974.31,
2024-01-04 10:00:00,31.41,71.94,8.5,8.91,17.26,8.76,8.36,0.82,31.91,0.93,0.86,,,0.62,0.5,29.79,48.61,1.5,148.21,0.0,0.0,59.16,974.04,
2024-01-04 11:00:00,36.48,82.94,8.86,8.3,16.43,10.48,8.52,0.8,36.66,0.95,0.85,,,0.62,0.5,30.81,43.09,1.76,162.66,0.0,0.0,62.14,973.33,
2024-01-04 12:00:00,30.28,62.93,7.89,7.86,15.58,7.74,8.62,0.78,43.88,0.93,0.85,,,0.63,0.5,31.84,36.16,1.85,161.09,0.0,0.0,61.56,972.38,
2024-01-04 13:00:00,29.41,57.98,7.86,7.9,15.56,7.24,8.72,0.77,46.04,0.93,0.85,,,0.62,0.49,32.42,32.27,1.79,113.18,0.0,0.0,59.56,971.45,
2024-01-04 14:00:00,23.75,48.77,8.06,7.64,15.38,7.39,8.84,0.74,46.84,0.95,0.84,,,0.61,0.5,32.96,28.02,1.9,157.99,0.0,0.0,59.58,970.75,
2024-01-04 15:00:00,19.91,44.7,8.04,7.68,15.52,7.27,8.93,0.75,48.42,0.95,0.86,,,0.63,0.47,33.13,24.28,1.88,164.5,0.0,0.0,51.15,970.27,
2024-01-04 16:00:00,17.4,36.51,8.05,7.62,15.46,7.3,8.79,0.81,40.36,0.94,0.84,,,0.62,0.48,32.85,24.14,1.54,164.49,0.0,0.0,51.84,970.21,
