Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,,73.88,,2.5,2.24,21.82,10.25,0.0,25.18,0.66,,,,,0.2,18.6,89.2,0.28,149.83,,,,,
2024-01-01 01:00:00,,69.91,,2.28,1.81,19.11,10.27,0.0,25.45,0.55,,,,,0.2,18.62,88.96,0.27,94.0,,,,,
2024-01-01 02:00:00,,67.0,,1.78,1.5,21.39,10.27,0.0,27.28,0.58,,,,,0.16,18.73,88.14,0.27,24.49,,,,,
2024-01-01 03:00:00,,67.1,,2.06,1.41,21.07,10.24,0.0,29.03,0.52,,,,,0.18,18.43,87.49,0.27,54.36,,,,,
2024-01-01 04:00:00,,70.13,0.11,2.31,1.89,21.11,10.24,0.0,25.74,0.61,,,,0.01,0.21,18.02,88.72,0.27,358.98,,,,,
2024-01-01 05:00:00,,73.89,,2.64,2.18,20.91,10.22,0.0,23.03,0.55,,,,,0.17,17.7,90.18,0.27,359.0,,,,,
2024-01-01 06:00:00,,71.58,0.25,6.85,6.48,21.02,10.17,0.0,19.4,0.68,,,,0.02,0.18,16.88,91.7,0.27,359.0,,,,,
2024-01-01 07:00:00,,90.36,0.18,7.76,7.65,23.64,10.17,0.0,22.85,1.04,,,,,0.23,16.94,93.04,0.28,357.07,,,,,
2024-01-01 08:00:00,,100.36,,4.33,3.7,22.24,10.2,0.0,28.28,0.77,,,,,0.2,19.0,86.53,0.28,1.7,,,,,
2024-01-01 09:00:00,,83.0,,4.14,3.59,22.53,10.19,0.0,30.19,0.54,,,,,0.19,21.43,70.64,0.27,1.44,,,,,
2024-01-01 10:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 12:00:00,,,,4.72,3.64,12.44,12.63,0.0,31.11,0.05,,,,,,29.53,36.07,0.28,0.2,,,,,
2024-01-01 13:00:00,,,,4.38,3.54,16.11,11.5,0.0,33.11,0.36,,,,,0.15,29.7,35.19,0.27,0.18,,,,,
2024-01-01 14:00:00,,57.72,0.73,6.56,6.66,18.6,10.84,0.0,31.49,0.39,,,,,0.16,29.76,35.27,0.27,0.18,,,,,
2024-01-01 15:00:00,,79.95,0.07,5.24,5.12,20.24,10.64,0.0,32.33,0.38,,,,,0.18,29.78,35.1,0.28,0.17,,,,,
2024-01-01 16:00:00,,108.37,0.04,4.02,3.84,18.55,10.5,0.0,32.02,0.36,,,,,0.2,28.2,39.8,0.28,0.15,,,,,
2024-01-01 17:00:00,,121.28,0.06,6.99,6.47,17.39,10.49,0.0,32.06,0.53,,,,,0.36,25.08,51.78,0.28,0.15,,,,,
2024-01-01 18:00:00,,161.32,0.01,8.59,8.46,18.53,10.43,0.0,30.78,1.19,,,,,0.57,22.75,61.84,0.27,0.2,,,,,
2024-01-01 19:00:00,,219.77,0.02,5.63,5.48,19.85,10.36,0.0,30.45,3.78,,,,,0.4,21.7,67.14,0.29,0.33,,,,,
2024-01-01 20:00:00,,96.46,0.13,5.1,5.01,19.26,10.39,0.0,30.04,0.76,,,,,0.24,20.89,72.91,0.29,0.66,,,,,
2024-01-01 21:00:00,,82.8,0.18,5.11,5.0,20.15,10.31,0.0,27.9,0.96,,,,,0.24,20.15,79.24,0.27,1.15,,,,,
2024-01-01 22:00:00,,107.92,0.03,4.26,4.2,21.03,10.36,0.0,27.73,2.26,,,,,0.28,19.68,82.84,0.28,1.24,,,,,
2024-01-01 23:00:00,,105.87,0.3,3.12,3.14,19.76,10.34,0.0,26.86,1.46,,,,,0.25,19.52,85.66,0.28,1.12,,,,,
2024-01-02 00:00:00,,103.16,,3.07,2.83,19.3,10.37,0.0,27.47,1.71,,,,,0.22,19.39,85.94,0.28,1.13,,,,,
2024-01-02 01:00:00,,139.0,0.05,1.51,1.38,20.8,10.34,0.0,27.71,1.55,,,,0.03,0.17,19.27,86.44,0.27,1.04,,,,,
2024-01-02 02:00:00,,112.1,,2.14,1.86,20.24,10.36,0.0,27.4,1.18,,,,,0.19,19.29,86.1,0.27,1.1,,,,,
2024-01-02 03:00:00,,114.86,,1.62,0.96,20.48,10.31,0.0,28.47,0.98,,,,0.02,0.19,19.02,86.55,0.27,0.94,,,,,
2024-01-02 04:00:00,,110.74,,1.72,1.44,20.45,10.32,0.0,28.48,0.94,,,,,0.16,19.08,86.34,0.27,0.94,,,,,
2024-01-02 05:00:00,,103.49,,2.15,1.92,21.58,10.28,0.0,28.17,1.0,,,,,0.18,19.06,86.1,0.27,0.92,,,,,
2024-01-02 06:00:00,,117.75,0.25,1.84,2.01,21.49,10.3,0.0,27.74,0.88,,,,,0.16,19.04,86.24,0.27,0.99,,,,,
