Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,52.0,71.25,6.18,4.85,7.65,2.28,29.07,,18.96,0.0,0.05,,,,,21.95,70.25,0.32,152.75,,,,724.0,
2024-01-01 01:00:00,56.25,82.75,6.22,4.38,7.38,2.22,18.02,,19.12,0.0,0.0,,,,,21.58,74.0,0.3,159.5,,,,723.25,
2024-01-01 02:00:00,60.5,78.25,6.12,4.22,7.22,2.28,13.3,,18.95,0.0,0.0,,,,,20.72,76.25,0.3,163.25,,,,723.0,
2024-01-01 03:00:00,62.75,80.0,6.25,4.22,7.32,2.2,11.5,,19.5,0.0,0.0,,,,,20.2,77.5,0.3,164.0,,,,723.0,
2024-01-01 04:00:00,64.5,86.25,6.15,4.38,7.32,2.2,8.75,,19.22,0.0,0.0,,,,,20.1,79.5,0.25,189.75,,,,723.0,
2024-01-01 05:00:00,62.0,81.75,6.2,4.28,7.3,2.2,8.78,,19.16,0.0,0.0,,,,,19.75,81.0,0.35,180.5,,,,723.5,
2024-01-01 06:00:00,60.0,87.0,6.12,4.22,7.22,2.2,5.63,,18.7,0.0,0.0,,,,,19.33,84.0,0.2,287.0,,,,724.25,
2024-01-01 07:00:00,67.25,95.25,6.2,5.3,7.82,2.22,29.58,,18.96,0.0,0.02,,,,,18.32,86.5,0.2,278.75,,,,725.0,
2024-01-01 08:00:00,76.5,100.25,6.18,6.22,8.32,2.38,26.38,,18.69,0.0,0.1,,,,,18.55,79.25,0.22,28.25,,,,725.5,
2024-01-01 09:00:00,65.5,99.0,6.07,5.22,7.7,2.38,29.9,,18.77,0.0,0.1,,,,,21.58,68.0,0.6,146.75,,,,726.0,
2024-01-01 10:00:00,62.25,95.5,6.15,5.07,7.72,2.32,21.1,,18.64,0.0,0.0,,,,,24.42,59.75,0.48,151.0,,,,725.75,
2024-01-01 11:00:00,56.75,78.75,6.2,4.58,7.45,2.4,16.23,,18.74,0.0,0.0,,,,,26.48,54.25,0.45,153.0,,,,725.0,
2024-01-01 12:00:00,54.75,73.5,6.28,4.35,7.4,2.32,16.1,0.35,19.14,0.0,0.0,,,,,28.28,50.75,0.32,184.75,,,,724.0,
2024-01-01 13:00:00,51.75,69.75,6.32,4.25,7.38,2.3,14.32,0.34,19.28,0.0,0.0,,,,,29.4,49.25,0.38,173.5,,,,723.0,
2024-01-01 14:00:00,53.5,72.5,6.15,4.4,7.35,2.28,5.98,,19.6,0.0,0.0,,,,,29.35,48.75,0.38,155.0,,,,722.25,
2024-01-01 15:00:00,51.0,72.75,6.18,4.32,7.3,2.15,4.83,,19.12,0.0,0.0,,,,,29.2,50.0,0.3,153.75,,,,722.0,
2024-01-01 16:00:00,47.25,69.75,6.25,4.18,7.28,2.1,2.52,,19.18,0.0,0.0,,,,,29.12,50.0,0.3,153.0,,,,722.0,
2024-01-01 17:00:00,46.25,72.5,6.22,4.38,7.4,2.08,1.87,,18.95,0.0,0.0,,,,,28.58,52.0,0.2,147.75,,,,722.0,
2024-01-01 18:00:00,52.25,83.25,6.18,5.38,7.88,2.15,9.3,,18.52,0.0,0.1,,,,,26.8,60.5,0.2,150.0,,,,722.25,
2024-01-01 19:00:00,61.75,113.0,6.18,9.85,10.28,2.75,17.5,,18.08,0.0,0.28,,,,,24.0,66.75,0.2,150.0,,,,723.0,
2024-01-01 20:00:00,68.75,117.5,6.02,10.52,10.5,2.58,15.38,,18.85,0.0,0.22,,,,,22.55,68.75,0.2,150.0,,,,723.75,
2024-01-01 21:00:00,62.5,113.5,6.2,7.92,9.25,2.4,15.53,,18.6,0.0,0.2,,,,,21.7,71.25,0.2,207.0,,,,724.0,
2024-01-01 22:00:00,54.0,95.25,6.22,5.68,8.05,2.2,12.62,,18.59,0.0,0.12,,,,,21.3,70.5,0.25,226.75,,,,724.0,
2024-01-01 23:00:00,52.0,88.67,6.25,4.78,7.62,2.2,10.32,,19.12,0.0,0.08,,,,,21.38,69.0,0.3,148.5,,,,724.0,
2024-01-02 00:00:00,57.5,85.75,6.25,4.3,7.38,2.3,1.6,,19.02,0.0,0.0,,,,,22.32,71.75,0.3,148.25,,,,723.25,
2024-01-02 01:00:00,63.75,85.0,6.15,4.15,7.22,2.3,17.58,,19.29,0.0,0.0,,,,,21.68,73.75,0.25,160.5,,,,723.0,
2024-01-02 02:00:00,61.75,84.5,6.18,4.53,7.42,2.3,25.12,,18.87,0.0,0.0,,,,,20.88,78.0,0.2,149.25,,,,723.0,
2024-01-02 03:00:00,65.25,81.0,6.12,5.55,7.92,2.35,19.77,,19.03,0.0,0.0,,,,,19.18,83.0,0.2,145.5,,,,723.0,
2024-01-02 04:00:00,60.25,78.25,6.2,5.68,8.07,2.28,16.95,,18.37,0.0,0.0,,,,,17.77,85.25,0.2,145.5,,,,723.0,
2024-01-02 05:00:00,61.0,87.0,6.12,5.35,7.82,2.3,27.78,,18.48,0.0,0.0,,,,,17.3,87.75,0.2,146.0,,,,723.0,
2024-01-02 06:00:00,62.25,90.5,6.2,6.48,8.45,2.35,28.2,,18.77,0.0,0.0,,,,,17.0,88.0,0.2,146.0,,,,723.5,
2024-01-02 07:00:00,71.75,113.5,6.18,7.15,8.8,2.55,18.12,,18.41,0.0,0.1,,,,,17.18,86.5,0.2,228.5,,,,724.0,
2024-01-02 08:00:00,83.5,118.0,6.22,6.22,8.35,2.48,12.08,,18.52,0.0,0.1,,,,,18.42,78.75,0.2,158.0,,,,725.0,
2024-01-02 09:00:00,71.0,107.0,6.15,5.32,7.82,2.5,11.43,,18.66,0.0,0.1,,,,,21.52,68.75,0.25,224.75,,,,725.0,
2024-01-02 10:00:00,81.75,122.0,6.12,4.68,7.5,2.58,10.22,,19.07,0.0,0.1,,,,,24.8,60.5,0.38,148.0,,,,725.0,
2024-01-02 11:00:00,76.75,100.75,6.1,4.35,7.3,2.6,8.9,,19.21,0.0,0.0,,,,,26.82,53.5,0.35,160.5,,,,724.0,
2024-01-02 12:00:00,71.0,89.5,6.25,3.9,7.12,2.5,8.3,,19.0,0.0,0.0,,,,,28.78,49.5,0.32,181.75,,,,723.0,
2024-01-02 13:00:00,64.5,82.5,6.18,4.03,7.12,2.35,9.35,,19.1,0.0,0.0,,,,,30.02,46.5,0.3,173.5,,,,722.0,
2024-01-02 14:00:00,63.0,75.75,6.3,4.2,7.32,2.22,10.5,,18.7,0.0,0.0,,,,,30.32,44.75,0.35,155.5,,,,721.25,
2024-01-02 15:00:00,61.0,78.25,6.15,4.4,7.32,2.2,10.37,,18.77,0.0,0.0,,,,,30.02,46.0,0.3,156.5,,,,721.0,
2024-01-02 16:00:00,55.25,83.75,6.3,4.47,7.5,2.25,11.78,,18.95,0.0,0.0,,,,,29.7,47.25,0.3,151.5,,,,721.0,
2024-01-02 17:00:00,56.75,98.75,6.08,4.9,7.55,2.3,13.18,,19.11,0.0,0.0,,,,,29.1,49.75,0.3,150.75,,,,721.0,
2024-01-02 18:00:00,59.5,106.5,5.98,5.12,7.58,2.32,12.7,,18.46,0.0,0.1,,,,,27.7,52.0,0.25,145.25,,,,722.0,
2024-01-02 19:00:00,60.5,119.0,6.1,5.55,7.9,2.38,13.72,,18.8,0.0,0.15,,,,,25.72,58.25,0.22,147.0,,,,722.75,
2024-01-02 20:00:00,60.5,105.75,6.25,5.35,7.95,2.3,14.48,,19.58,0.0,0.15,,,,,24.08,60.5,0.22,147.25,,,,723.0,
2024-01-02 21:00:00,62.25,99.0,6.25,4.78,7.68,2.3,6.13,,19.17,0.0,0.1,,,,,23.52,61.5,0.45,154.75,,,,723.75,
2024-01-02 22:00:00,56.0,90.0,6.28,4.53,7.5,2.3,10.65,,19.66,0.0,0.08,,,,,23.95,62.75,0.68,157.0,,,,724.0,
2024-01-02 23:00:00,62.5,89.25,6.2,4.28,7.32,2.3,10.12,,19.16,0.0,0.0,,,,,23.95,66.5,0.62,156.0,,,,723.0,
2024-01-03 00:00:00,65.25,86.5,6.32,4.03,7.28,2.4,9.4,,18.79,0.0,0.0,,,,,23.28,70.0,0.62,151.5,,,,723.0,
2024-01-03 01:00:00,67.0,83.67,6.02,4.32,7.18,2.38,18.8,,18.68,0.0,0.0,,,,,22.45,72.25,0.42,154.0,,,,723.0,
2024-01-03 02:00:00,64.25,82.75,6.12,4.25,7.28,2.48,32.5,,19.01,0.0,0.0,,,,,21.82,74.25,0.35,159.0,,,,722.5,
2024-01-03 03:00:00,73.25,90.0,6.25,4.18,7.3,2.4,31.0,,18.72,0.0,0.0,,,,,21.2,76.5,0.32,156.25,,,,722.0,
2024-01-03 04:00:00,72.25,97.0,6.22,4.2,7.28,2.5,18.73,,18.56,0.0,0.0,,,,,20.67,79.5,0.2,150.5,,,,722.0,
2024-01-03 05:00:00,76.0,100.5,6.1,4.42,7.3,2.5,13.45,,18.79,0.0,0.0,,,,,19.8,82.25,0.2,155.0,,,,723.0,
