latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
11.845343,75.40322,15.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_speed_100m (km/h),wind_direction_100m (°)
2024-01-01T00:00,24.2,82,0.00,1009.8,5.2,106,8.4,137
2024-01-01T01:00,24.7,75,0.00,1010.4,7.1,60,10.7,70
2024-01-01T02:00,25.1,69,0.00,1011.0,10.3,65,21.1,70
2024-01-01T03:00,26.8,60,0.00,1011.8,13.1,69,28.5,69
2024-01-01T04:00,29.1,52,0.00,1012.2,12.6,63,17.7,63
2024-01-01T05:00,31.0,46,0.00,1012.0,9.0,61,11.8,63
2024-01-01T06:00,32.3,43,0.00,1011.0,1.3,146,2.2,90
2024-01-01T07:00,32.1,47,0.00,1010.0,12.6,217,14.9,217
2024-01-01T08:00,30.8,53,0.00,1008.7,16.8,223,21.4,225
2024-01-01T09:00,30.8,53,0.00,1007.8,14.0,228,18.1,229
2024-01-01T10:00,30.3,61,0.00,1007.5,15.1,237,19.3,237
2024-01-01T11:00,29.7,64,0.00,1007.6,12.4,240,15.9,242
2024-01-01T12:00,29.1,68,0.00,1008.0,9.5,241,12.6,243
2024-01-01T13:00,28.0,77,0.00,1009.3,2.3,252,4.7,247
2024-01-01T14:00,27.5,77,0.00,1010.0,2.5,8,4.0,360
2024-01-01T15:00,27.1,80,0.00,1010.5,3.3,354,3.6,360
2024-01-01T16:00,27.1,80,0.00,1010.8,3.0,14,3.2,360
2024-01-01T17:00,27.1,78,0.00,1010.8,3.2,27,5.1,8
2024-01-01T18:00,25.8,86,0.00,1010.4,5.1,8,5.8,338
2024-01-01T19:00,26.1,85,0.00,1010.0,4.0,360,5.4,323
2024-01-01T20:00,26.3,82,0.00,1009.4,3.7,11,7.1,336
2024-01-01T21:00,25.8,83,0.00,1008.9,5.4,20,9.2,349
2024-01-01T22:00,25.7,82,0.00,1008.5,6.8,32,10.5,4
2024-01-01T23:00,24.9,88,0.00,1008.9,4.3,66,4.3,24
2024-01-02T00:00,25.2,84,0.00,1009.1,4.0,80,6.4,74
2024-01-02T01:00,24.8,81,0.00,1009.7,7.0,55,12.7,43
2024-01-02T02:00,25.6,77,0.00,1010.2,6.1,62,10.7,50
2024-01-02T03:00,27.1,70,0.00,1010.9,6.4,74,12.9,67
2024-01-02T04:00,28.4,57,0.00,1010.8,11.0,58,17.5,58
2024-01-02T05:00,29.3,53,0.00,1010.2,10.9,56,14.9,58
2024-01-02T06:00,31.8,47,0.00,1009.4,5.8,68,8.1,69
2024-01-02T07:00,32.8,45,0.00,1008.5,4.3,228,4.1,218
2024-01-02T08:00,31.7,52,0.00,1007.5,17.7,246,22.1,246
2024-01-02T09:00,30.6,55,0.00,1006.8,18.3,254,24.0,253
2024-01-02T10:00,30.6,61,0.00,1006.4,14.8,256,19.3,256
2024-01-02T11:00,29.9,63,0.00,1006.8,11.9,267,15.2,265
2024-01-02T12:00,29.5,64,0.00,1007.3,9.1,277,11.9,275
2024-01-02T13:00,28.6,72,0.00,1008.4,7.7,298,12.6,294
2024-01-02T14:00,28.3,74,0.00,1009.3,7.1,319,13.0,312
2024-01-02T15:00,27.8,77,0.00,1009.8,6.3,336,12.9,330
2024-01-02T16:00,27.5,78,0.00,1010.2,6.2,353,13.7,346
