Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,71.63,94.13,2.28,6.41,9.68,3.0,1.28,0.39,32.31,0.85,0.64,0.52,,0.59,0.63,27.31,70.33,1.98,173.5,0.0,0.0,23.05,,
2024-01-01 01:00:00,61.5,84.0,2.2,6.73,10.0,2.66,0.98,0.38,31.38,0.83,0.58,0.53,,0.6,0.62,26.38,76.48,2.36,201.65,0.0,0.0,26.02,,
2024-01-01 02:00:00,61.32,83.82,2.18,6.35,9.88,3.01,0.75,0.27,30.91,0.85,0.6,0.49,,0.55,0.59,25.91,80.1,2.41,218.96,0.0,0.0,29.45,,
2024-01-01 03:00:00,53.27,75.77,2.32,6.72,9.52,2.86,0.98,0.23,30.65,0.82,0.6,0.49,,0.58,0.64,25.65,80.84,1.92,207.11,0.0,0.0,32.33,,
2024-01-01 04:00:00,39.77,62.27,2.13,6.5,10.06,2.82,0.84,0.22,30.23,0.81,0.6,0.47,,0.59,0.61,25.23,83.34,2.45,213.47,0.0,0.0,34.3,,
2024-01-01 05:00:00,38.97,61.47,2.24,7.08,9.61,2.87,0.25,0.24,30.17,0.83,0.58,0.52,,0.58,0.6,25.17,82.28,3.39,217.8,0.0,0.0,35.42,,
2024-01-01 06:00:00,34.12,56.62,2.2,6.7,9.64,2.87,0.02,0.29,30.66,0.88,0.56,0.48,,0.58,0.67,25.66,74.79,2.98,216.52,0.0,0.0,35.85,,
2024-01-01 07:00:00,43.6,66.1,2.2,6.85,9.82,2.89,0.5,0.49,31.02,0.86,0.58,0.48,,0.56,0.64,26.02,70.1,2.89,217.06,0.0,0.0,68.7,,
2024-01-01 08:00:00,72.56,95.06,2.28,6.56,9.63,2.96,3.46,0.42,31.89,0.82,0.61,0.5,,0.59,0.66,26.89,67.24,4.09,221.79,0.0,0.0,155.15,,
2024-01-01 09:00:00,89.14,111.64,2.2,6.34,9.78,2.82,19.61,0.4,33.37,0.88,0.58,0.52,,0.59,0.6,28.37,62.36,3.74,229.73,0.0,0.0,251.38,,
2024-01-01 10:00:00,86.0,108.5,2.28,6.41,10.07,2.96,32.53,0.3,34.51,0.81,0.6,0.5,,0.59,0.62,29.51,59.82,2.82,247.45,0.0,0.0,239.38,,
2024-01-01 11:00:00,78.33,100.83,2.32,6.58,10.11,2.78,25.23,0.27,34.41,0.81,0.57,0.51,,0.56,0.59,29.41,68.66,2.86,305.94,0.0,0.0,204.02,,
2024-01-01 12:00:00,60.24,82.74,2.28,6.79,9.81,2.86,1.53,0.24,34.21,0.76,0.62,0.51,,0.6,0.62,29.21,72.13,3.07,306.04,0.0,0.0,266.35,,
2024-01-01 13:00:00,52.38,74.88,2.19,6.84,9.38,2.73,,0.22,34.0,0.85,0.59,0.49,,0.57,0.66,29.0,76.25,3.1,299.27,0.0,0.0,205.45,,
2024-01-01 14:00:00,41.0,63.5,2.34,6.8,9.92,2.83,,0.2,33.57,0.85,0.6,0.51,,0.62,0.64,28.57,78.2,3.2,301.35,0.0,0.0,167.62,,
2024-01-01 15:00:00,37.72,60.22,2.21,6.86,9.66,2.66,,0.19,32.83,0.88,0.62,0.52,,0.6,0.65,27.82,84.54,3.22,309.67,0.0,0.0,108.5,,
2024-01-01 16:00:00,39.15,61.64,2.33,6.73,9.79,2.65,1.13,0.22,32.6,0.84,0.62,0.48,,0.58,0.62,27.6,83.14,2.83,297.47,0.0,0.0,85.25,,
2024-01-01 17:00:00,43.69,66.19,2.26,6.48,10.0,3.06,0.13,0.3,32.56,0.81,0.61,0.53,,0.58,0.61,27.56,81.87,2.45,274.16,0.0,0.0,58.08,,
2024-01-01 18:00:00,53.68,76.18,2.28,6.58,9.64,2.84,,0.48,32.25,0.83,0.58,0.5,,0.55,0.63,27.25,83.72,1.99,263.73,0.0,0.0,34.4,,
2024-01-01 19:00:00,67.36,89.86,2.32,6.76,9.94,2.64,,0.94,32.26,0.81,0.61,0.49,,0.6,0.62,27.26,85.34,1.33,204.49,0.0,0.0,33.5,,
2024-01-01 20:00:00,96.5,119.02,2.28,6.75,9.46,2.83,1.52,1.08,32.2,0.82,0.62,0.5,,0.61,0.62,27.2,83.77,0.87,176.08,0.0,0.0,27.48,,
2024-01-01 21:00:00,101.8,124.3,2.26,6.73,9.98,2.9,2.06,0.87,31.87,0.86,0.6,0.51,,0.58,0.62,26.87,80.95,1.0,180.52,0.0,0.0,26.82,,
2024-01-01 22:00:00,99.86,122.36,2.18,6.86,10.04,2.7,2.35,0.73,31.28,0.83,0.61,0.52,,0.58,0.62,26.28,82.23,1.74,150.13,0.0,0.0,26.9,,
2024-01-01 23:00:00,100.63,123.13,2.32,6.79,9.08,3.04,2.15,0.6,31.07,0.82,0.61,0.5,,0.59,0.66,26.07,85.55,2.33,150.84,0.0,0.0,25.67,,
2024-01-02 00:00:00,91.62,114.12,2.37,6.68,9.6,2.73,1.37,0.4,31.02,0.83,0.62,0.5,,0.58,0.61,26.02,84.08,3.02,161.81,0.0,0.0,27.55,,
2024-01-02 01:00:00,86.72,109.22,2.33,6.72,9.49,2.76,1.82,0.26,30.99,0.8,0.62,0.5,,0.58,0.63,25.99,80.76,1.82,189.48,0.0,0.0,34.38,,
2024-01-02 02:00:00,77.77,100.28,2.23,6.56,9.76,2.82,2.23,0.23,31.04,0.83,0.6,0.5,,0.57,0.66,26.04,80.33,2.7,215.4,0.0,0.0,42.38,,
