latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.233742,77.35849,525.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,15.1,92,0.00,954.6,7.6,17.8,95,111
2024-01-01T01:00,14.9,92,0.00,955.3,8.0,19.5,108,120
2024-01-01T02:00,15.0,92,0.00,955.6,8.1,18.5,111,123
2024-01-01T03:00,17.2,84,0.00,956.7,9.0,17.7,113,129
2024-01-01T04:00,19.9,74,0.00,958.0,8.2,14.3,128,137
2024-01-01T05:00,22.5,66,0.00,958.1,8.1,10.6,148,152
2024-01-01T06:00,24.5,60,0.00,957.6,7.3,9.4,171,176
2024-01-01T07:00,25.5,53,0.10,956.5,8.5,10.8,216,217
2024-01-01T08:00,25.8,50,0.00,955.6,7.9,10.2,231,231
2024-01-01T09:00,26.1,48,0.00,954.9,5.5,7.3,238,237
2024-01-01T10:00,26.3,46,0.00,954.4,5.2,6.8,245,245
2024-01-01T11:00,25.7,49,0.00,954.3,5.5,8.9,247,249
2024-01-01T12:00,22.7,66,0.00,954.0,7.5,10.0,235,240
2024-01-01T13:00,20.1,79,0.40,954.9,6.9,8.2,43,23
2024-01-01T14:00,19.3,84,0.00,955.4,6.6,10.7,49,48
2024-01-01T15:00,18.6,89,0.00,955.8,7.6,15.3,31,41
2024-01-01T16:00,18.0,92,0.00,956.0,7.7,17.8,41,47
2024-01-01T17:00,17.5,94,0.00,956.1,9.8,20.7,54,55
2024-01-01T18:00,16.8,94,0.00,955.9,10.2,21.0,48,51
2024-01-01T19:00,16.1,95,0.00,955.3,9.9,20.2,46,51
2024-01-01T20:00,15.6,97,0.00,955.0,9.7,20.2,51,55
2024-01-01T21:00,15.2,97,0.00,954.6,9.0,18.7,67,67
2024-01-01T22:00,14.9,98,0.00,954.2,8.1,18.2,69,76
2024-01-01T23:00,14.8,98,0.00,954.1,7.8,18.0,77,88
2024-01-02T00:00,14.7,98,0.00,954.1,7.8,18.7,77,91
2024-01-02T01:00,14.3,98,0.00,955.1,8.0,18.0,72,87
2024-01-02T02:00,14.4,98,0.00,955.7,9.4,18.5,67,82
2024-01-02T03:00,15.9,93,0.00,956.5,8.1,18.4,77,87
2024-01-02T04:00,18.4,83,0.00,957.3,9.0,13.7,90,95
2024-01-02T05:00,20.8,75,0.00,957.4,9.1,11.7,99,101
2024-01-02T06:00,22.9,66,0.00,956.7,8.7,11.3,114,117
2024-01-02T07:00,24.5,58,0.00,955.6,9.2,11.5,138,141
2024-01-02T08:00,25.2,52,0.00,954.6,7.9,10.4,180,180
2024-01-02T09:00,25.5,49,0.00,953.9,6.7,8.6,196,195
2024-01-02T10:00,25.6,48,0.00,953.4,5.4,7.0,188,192
2024-01-02T11:00,25.1,51,0.00,953.5,4.3,6.7,156,164
2024-01-02T12:00,22.8,63,0.10,953.6,3.8,3.3,311,276
2024-01-02T13:00,20.4,77,0.00,954.1,11.5,20.2,4,3
2024-01-02T14:00,18.8,87,0.00,954.7,8.1,17.6,32,26
2024-01-02T15:00,17.9,91,0.00,955.2,11.8,23.2,23,26
2024-01-02T16:00,17.3,90,0.10,955.7,8.9,18.2,27,27
2024-01-02T17:00,16.7,94,0.00,955.8,12.3,21.3,38,34
2024-01-02T18:00,16.0,94,0.00,954.9,8.9,19.3,50,45
2024-01-02T19:00,15.6,95,0.00,954.6,8.6,19.3,68,61
2024-01-02T20:00,15.3,97,0.00,954.6,9.6,18.8,103,102
2024-01-02T21:00,15.1,97,0.00,953.9,10.2,19.8,67,80
2024-01-02T22:00,14.8,97,0.00,953.4,8.3,19.6,88,96
2024-01-02T23:00,15.0,96,0.00,953.3,8.6,20.4,105,107
2024-01-03T00:00,14.9,96,0.00,953.4,7.1,17.9,114,118
2024-01-03T01:00,14.9,100,0.00,954.5,7.1,17.1,135,136
2024-01-03T02:00,15.0,99,0.00,955.0,5.8,15.0,158,159
2024-01-03T03:00,16.3,97,0.00,955.7,8.1,18.7,159,181
2024-01-03T04:00,19.2,85,0.00,956.6,7.6,18.0,172,182
