latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.86643,79.42857,377.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,12.4,100,0.00,971.9,4.7,9.4,58,94
2024-01-01T01:00,12.2,100,0.00,972.8,5.8,9.4,60,90
2024-01-01T02:00,12.3,99,0.00,973.3,6.7,10.5,54,84
2024-01-01T03:00,13.8,98,0.00,974.0,6.0,11.5,57,86
2024-01-01T04:00,16.8,85,0.00,975.0,4.0,9.4,63,90
2024-01-01T05:00,20.1,72,0.00,975.1,3.6,4.7,84,94
2024-01-01T06:00,22.3,65,0.00,974.3,3.1,3.7,69,79
2024-01-01T07:00,23.8,61,0.00,973.0,3.1,3.7,69,79
2024-01-01T08:00,24.7,58,0.00,972.0,3.1,3.4,54,58
2024-01-01T09:00,25.0,57,0.00,971.3,3.1,3.6,45,53
2024-01-01T10:00,25.1,57,0.00,971.0,4.7,5.1,356,356
2024-01-01T11:00,24.0,62,0.00,971.0,8.4,11.3,7,9
2024-01-01T12:00,21.7,70,0.00,970.9,9.0,18.3,23,22
2024-01-01T13:00,19.2,83,0.00,971.7,9.4,20.6,40,33
2024-01-01T14:00,18.3,87,0.00,972.3,10.1,22.1,27,30
2024-01-01T15:00,17.1,91,0.00,972.8,10.2,21.2,18,21
2024-01-01T16:00,16.2,92,0.00,973.3,8.9,19.5,27,28
2024-01-01T17:00,15.6,92,0.00,973.3,8.9,19.5,27,30
2024-01-01T18:00,14.9,95,0.00,973.0,7.3,17.8,33,36
2024-01-01T19:00,14.4,97,0.00,972.5,6.9,16.0,43,44
2024-01-01T20:00,14.0,98,0.00,972.2,7.1,16.3,41,45
2024-01-01T21:00,13.6,98,0.00,971.8,7.2,16.5,27,36
2024-01-01T22:00,13.4,98,0.00,971.4,8.2,17.1,38,42
2024-01-01T23:00,13.2,98,0.00,971.4,7.7,16.3,41,45
2024-01-02T00:00,12.9,98,0.00,971.7,7.1,15.6,45,50
2024-01-02T01:00,12.5,98,0.00,972.6,8.3,18.4,34,39
