Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,55.02,111.47,3.22,14.04,9.3,27.54,11.3,0.85,28.25,0.21,0.58,0.1,,0.19,,11.86,92.08,0.74,126.67,0.0,0.0,12.0,745.0,
2024-01-01 01:00:00,49.34,115.86,3.21,12.66,8.41,26.67,11.28,0.86,30.52,0.2,0.56,0.05,,0.14,,11.72,92.69,0.74,105.67,0.0,0.0,11.92,745.0,
2024-01-01 02:00:00,43.61,101.68,3.17,11.34,7.7,26.21,11.71,1.07,32.97,0.2,0.51,0.0,,0.1,,11.69,93.11,0.7,141.08,0.0,0.0,12.0,745.0,
2024-01-01 03:00:00,40.67,104.1,2.97,10.56,7.5,25.81,8.47,0.98,36.57,0.2,0.44,0.0,,0.1,0.1,11.73,92.67,0.9,121.5,0.0,0.0,12.25,745.0,
2024-01-01 04:00:00,46.06,120.1,2.9,10.42,7.13,26.51,9.89,1.14,38.75,0.2,0.41,0.0,,0.1,,11.77,91.67,1.03,124.75,0.0,0.0,11.92,745.0,
2024-01-01 05:00:00,55.16,134.85,3.09,11.04,7.51,26.98,10.32,1.28,34.87,0.2,0.38,0.0,,0.1,,11.73,91.5,0.92,126.5,0.0,0.0,12.25,745.0,
2024-01-01 06:00:00,64.87,145.93,2.9,12.01,7.92,27.78,11.42,1.42,33.74,0.2,0.4,0.02,,0.11,,11.69,91.58,0.95,105.58,0.0,0.0,11.75,745.75,
2024-01-01 07:00:00,71.47,186.37,3.09,13.51,8.98,28.43,11.07,1.44,32.39,0.2,0.38,0.05,,0.14,,11.69,91.42,0.93,133.17,0.0,0.0,12.75,746.25,
2024-01-01 08:00:00,73.07,174.67,3.82,14.55,10.04,28.59,11.46,1.62,31.78,0.21,0.36,0.1,,0.2,0.1,11.64,91.61,0.82,133.25,0.0,0.0,14.67,747.0,
2024-01-01 09:00:00,74.44,161.76,4.0,15.36,10.72,28.67,11.35,1.72,27.74,0.2,0.4,0.12,,0.24,0.1,11.86,91.58,0.7,124.92,0.0,0.0,44.44,747.5,
