Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,79.44,125.0,4.43,25.35,17.1,14.83,6.54,1.38,16.78,1.42,15.78,,,1.16,0.94,14.26,88.25,0.68,123.62,0.0,0.0,19.0,721.75,
2024-01-01 01:00:00,87.94,137.12,4.61,22.67,15.8,14.73,6.52,1.28,13.49,1.43,16.19,,,1.17,0.95,13.74,89.62,0.68,116.75,0.0,0.0,18.5,721.0,
2024-01-01 02:00:00,79.19,127.62,4.45,20.48,14.5,15.21,6.24,1.06,13.26,1.36,15.92,,,1.15,0.95,13.19,90.5,0.68,118.06,0.0,0.0,18.19,721.0,
2024-01-01 03:00:00,68.31,109.44,4.36,18.3,13.29,14.94,6.38,0.99,12.87,1.32,16.13,,,1.18,0.95,12.68,91.31,0.68,116.06,0.0,0.0,18.44,721.0,
2024-01-01 04:00:00,62.5,98.94,3.71,17.23,12.18,15.34,6.46,0.94,13.87,1.32,16.46,,,1.18,0.95,12.61,92.06,0.68,116.94,0.0,0.0,18.38,721.25,
2024-01-01 05:00:00,59.25,95.12,3.98,17.05,12.3,15.18,6.57,0.98,10.66,1.32,16.75,,,1.18,0.98,12.39,91.94,0.68,129.19,0.0,0.0,18.38,722.0,
2024-01-01 06:00:00,60.81,96.81,4.42,17.59,12.95,14.98,6.75,1.01,9.26,1.3,17.12,,,1.23,1.0,12.1,92.62,0.7,87.81,0.0,0.0,18.0,722.25,
2024-01-01 07:00:00,62.44,98.19,5.39,19.01,14.51,14.61,6.54,1.1,9.64,1.27,16.42,,,1.19,0.96,12.55,93.0,0.69,100.56,0.0,0.0,33.69,723.0,
2024-01-01 08:00:00,66.25,107.62,4.92,21.34,15.34,14.92,7.39,1.08,23.84,1.43,19.62,,,1.38,1.12,15.29,87.19,0.71,98.31,0.0,0.0,93.25,723.5,
2024-01-01 09:00:00,67.88,106.12,4.3,16.86,12.47,15.43,10.09,0.98,56.28,1.84,27.9,,,1.78,1.48,19.23,73.19,0.72,111.81,0.0,0.0,172.88,724.0,
2024-01-01 10:00:00,66.0,106.31,4.29,15.3,11.61,15.85,12.45,0.94,71.95,2.15,34.53,,,2.19,1.79,21.61,64.69,0.78,122.56,0.0,0.0,217.06,723.5,
2024-01-01 11:00:00,66.5,103.62,4.34,16.3,12.19,15.77,14.03,0.96,80.49,2.36,39.25,,,2.53,2.04,23.42,60.5,0.88,124.06,0.0,0.0,211.75,722.5,
2024-01-01 12:00:00,64.5,101.62,4.1,15.4,11.52,14.6,17.52,0.99,95.56,2.99,51.94,,,3.2,2.6,25.01,55.19,0.95,134.0,0.0,0.0,193.12,721.5,
2024-01-01 13:00:00,66.44,104.31,4.2,15.91,11.88,13.83,21.18,0.94,107.34,3.61,64.74,,,3.84,3.2,26.04,49.5,1.04,147.44,0.0,0.0,180.0,720.25,
2024-01-01 14:00:00,60.0,95.94,4.08,16.22,11.96,14.2,22.08,0.91,115.21,3.8,68.67,,,3.92,3.35,26.37,47.75,1.06,154.5,0.0,0.0,147.81,720.0,
2024-01-01 15:00:00,54.31,88.62,3.86,16.12,11.71,13.45,20.1,0.97,113.07,3.43,61.58,,,3.72,3.06,26.06,48.38,0.95,139.19,0.0,0.0,111.25,719.0,
2024-01-01 16:00:00,55.0,93.88,5.15,30.13,20.21,11.8,15.72,1.5,71.97,2.48,42.44,,,2.92,2.27,24.6,56.5,0.76,122.56,0.0,0.0,48.06,719.0,
2024-01-01 17:00:00,64.62,114.88,12.88,55.49,39.98,10.67,11.35,2.33,34.82,1.64,25.2,,,2.05,1.52,21.54,67.19,0.62,110.06,0.0,0.0,19.38,720.0,
2024-01-01 18:00:00,78.69,153.56,27.54,63.88,56.36,11.82,10.27,3.04,19.29,1.64,23.84,,,1.98,1.45,19.55,74.62,0.65,104.25,0.0,0.0,18.25,720.0,
2024-01-01 19:00:00,98.5,182.56,23.8,62.09,52.38,13.55,9.16,3.28,13.34,1.6,21.39,,,1.76,1.3,18.33,79.06,0.63,103.69,0.0,0.0,18.38,721.0,
2024-01-01 20:00:00,110.94,186.81,20.71,59.06,48.24,13.67,8.64,3.34,15.96,1.66,21.15,,,1.65,1.22,18.04,80.81,0.64,98.0,0.0,0.0,18.06,721.25,
2024-01-01 21:00:00,117.38,189.81,14.02,54.75,40.52,15.15,8.66,3.0,12.08,1.8,21.49,,,1.66,1.25,17.47,83.12,0.68,92.81,0.0,0.0,18.5,722.0,
2024-01-01 22:00:00,120.94,193.56,22.76,42.01,40.84,15.68,7.8,2.77,11.0,1.78,19.54,,,1.42,1.12,16.72,86.25,0.68,83.69,0.0,0.0,18.19,722.0,
2024-01-01 23:00:00,111.56,191.25,20.92,37.21,36.81,15.61,7.56,2.46,9.77,1.78,18.57,,,1.32,1.07,16.0,88.38,0.7,132.4,0.0,0.0,18.38,722.0,
2024-01-02 00:00:00,107.94,180.31,14.23,29.23,27.13,15.82,5.67,1.99,10.26,1.57,15.2,,,0.99,0.85,15.47,89.38,0.68,145.81,0.0,0.0,18.06,721.0,
2024-01-02 01:00:00,97.06,154.62,6.33,21.58,16.63,14.74,5.28,1.47,10.44,1.49,14.74,,,0.99,0.81,14.82,90.56,0.67,131.56,0.0,0.0,18.38,721.0,
2024-01-02 02:00:00,78.19,122.69,3.99,15.12,11.3,14.74,5.11,1.13,9.64,1.44,14.66,,,0.95,0.84,14.32,91.5,0.68,123.5,0.0,0.0,18.25,721.0,
2024-01-02 03:00:00,65.5,99.38,3.84,14.42,10.8,15.42,5.14,1.07,9.83,1.43,15.14,,,0.95,0.82,13.78,92.25,0.68,123.81,0.0,0.0,17.75,721.0,
2024-01-02 04:00:00,57.62,86.81,3.8,13.06,10.03,14.68,5.32,0.96,11.08,1.39,14.82,,,0.94,0.85,13.54,93.19,0.68,119.5,0.0,0.0,17.5,720.75,
2024-01-02 05:00:00,57.0,85.94,4.12,14.69,11.19,14.59,5.44,0.97,9.51,1.34,14.76,,,0.92,0.82,13.38,93.75,0.7,120.75,0.0,0.0,16.62,721.0,
2024-01-02 06:00:00,60.38,90.62,5.26,15.58,12.57,14.71,5.49,1.11,8.02,1.28,14.76,,,0.96,0.84,13.19,93.88,0.69,105.5,0.0,0.0,17.25,722.0,
2024-01-02 07:00:00,73.62,115.75,7.2,18.04,15.42,14.08,5.92,1.2,8.15,1.3,15.88,,,1.02,0.88,13.41,94.12,0.68,112.19,0.0,0.0,31.38,722.5,
2024-01-02 08:00:00,73.5,122.56,7.03,22.45,17.66,14.56,6.52,1.3,15.27,1.4,17.78,,,1.12,0.97,15.46,91.88,0.7,115.19,0.0,0.0,87.12,723.0,
2024-01-02 09:00:00,77.56,128.12,4.46,19.4,13.95,15.39,8.74,1.08,45.46,1.75,24.76,,,1.48,1.27,18.9,78.5,0.71,122.94,0.0,0.0,163.25,723.0,
2024-01-02 10:00:00,74.0,120.25,4.16,15.88,11.82,15.19,11.92,0.98,71.39,2.24,34.61,,,2.01,1.72,21.7,66.94,0.76,130.25,0.0,0.0,208.88,723.0,
2024-01-02 11:00:00,73.75,120.94,3.98,16.41,11.98,16.0,15.54,1.02,91.5,2.81,46.04,,,2.74,2.3,23.52,60.81,0.91,133.94,0.0,0.0,207.31,721.75,
2024-01-02 12:00:00,76.25,123.19,3.88,14.95,11.12,14.63,20.0,0.99,102.78,3.66,63.4,,,3.66,3.12,25.34,55.62,1.01,127.06,0.0,0.0,192.44,720.75,
2024-01-02 13:00:00,74.62,120.56,3.99,14.94,11.2,13.99,24.02,0.96,112.42,4.01,70.34,,,4.33,3.54,26.41,50.38,1.06,151.5,0.0,0.0,181.38,719.5,
2024-01-02 14:00:00,68.81,109.25,3.84,14.53,10.88,13.48,18.22,0.88,112.55,2.87,49.7,,,3.16,2.55,26.56,47.06,0.82,126.38,0.0,0.0,146.5,719.0,
2024-01-02 15:00:00,55.62,91.81,3.95,16.68,12.1,13.08,17.1,0.91,108.68,2.71,47.2,,,3.18,2.5,26.4,46.81,0.78,121.75,0.0,0.0,116.25,718.25,
2024-01-02 16:00:00,54.31,91.25,4.78,27.93,18.73,10.97,14.49,1.38,74.61,2.09,35.48,,,2.58,1.96,24.77,53.56,0.69,113.12,0.0,0.0,50.5,718.0,
2024-01-02 17:00:00,61.88,108.5,13.32,49.77,37.3,9.81,10.44,2.3,32.68,1.47,22.96,,,1.75,1.35,21.73,66.88,0.62,104.12,0.0,0.0,19.44,719.0,
2024-01-02 18:00:00,83.62,155.0,12.07,46.52,34.54,11.95,9.17,2.31,27.08,1.43,20.22,,,1.58,1.19,19.95,76.38,0.64,90.5,0.0,0.0,18.12,719.5,
2024-01-02 19:00:00,104.0,173.31,12.61,47.9,35.72,14.06,8.52,2.56,21.11,1.45,18.88,,,1.48,1.14,18.93,81.31,0.65,97.62,0.0,0.0,18.5,720.0,
2024-01-02 20:00:00,112.81,176.31,8.75,45.46,31.28,13.48,8.25,2.53,22.02,1.57,19.48,,,1.42,1.12,18.43,83.81,0.68,102.19,0.0,0.0,18.62,721.0,
2024-01-02 21:00:00,116.88,191.81,7.86,40.84,28.1,14.27,8.22,2.78,15.17,1.62,18.26,,,1.34,1.05,17.96,84.88,0.67,111.38,0.0,0.0,18.31,721.0,
2024-01-02 22:00:00,125.0,235.12,5.5,32.78,21.92,14.87,7.58,1.82,14.26,1.72,17.71,,,1.24,1.0,17.13,86.12,0.68,93.69,0.0,0.0,18.44,721.0,
2024-01-02 23:00:00,113.06,195.06,5.51,28.79,19.81,15.16,7.23,1.72,12.29,1.69,17.52,,,1.22,0.99,16.19,88.81,0.7,109.1,0.0,0.0,17.69,721.0,
2024-01-03 00:00:00,110.69,189.81,5.67,27.42,19.19,14.99,6.72,1.58,9.76,1.62,17.82,,,1.16,0.96,15.56,90.44,0.7,123.12,0.0,0.0,18.19,721.0,
2024-01-03 01:00:00,103.12,182.62,4.32,21.5,14.96,15.16,7.04,1.4,9.36,1.62,18.73,,,1.21,1.01,14.97,91.25,0.7,123.0,0.0,0.0,18.19,721.0,
