Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,53.06,92.09,2.29,11.16,13.44,,10.02,1.29,,,,,,,,,,,,,,,,
2024-01-01 01:00:00,53.34,86.7,2.28,11.14,13.41,,10.04,1.33,,,,,,,,,,,,,,,,
2024-01-01 02:00:00,50.74,93.25,2.18,11.13,13.31,,9.54,1.39,,,,,,,,,,,,,,,,
2024-01-01 03:00:00,41.49,93.04,2.01,11.16,13.17,,9.53,1.31,,,,,,,,,,,,,,,,
2024-01-01 04:00:00,38.13,100.73,1.78,11.2,12.98,,10.55,1.31,,,,,,,,,,,,,,,,
2024-01-01 05:00:00,57.02,100.89,1.48,11.14,12.62,,9.61,1.36,,,,,,,,,,,,,,,,
2024-01-01 06:00:00,55.62,,1.13,11.14,12.26,,9.36,1.44,,,,,,,,,,,,,,,,
2024-01-01 07:00:00,52.93,,0.85,11.11,11.96,,9.61,1.41,,,,,,,,,,,,,,,,
2024-01-01 08:00:00,59.55,,0.79,11.14,11.94,,9.62,1.41,,,,,,,,,,,,,,,,
2024-01-01 09:00:00,55.78,,1.02,11.16,12.17,,10.15,1.34,,,,,,,,,,,,,,,,
2024-01-01 10:00:00,54.46,,1.42,11.11,12.53,,11.46,1.4,,,,,,,,,,,,,,,,
2024-01-01 11:00:00,61.59,,1.82,11.15,12.97,,12.19,1.34,,,,,,,,,,,,,,,,
2024-01-01 12:00:00,63.44,,2.19,11.18,13.38,,13.69,1.3,,,,,,,,,,,,,,,,
2024-01-01 13:00:00,61.1,,2.57,11.15,13.72,,13.94,1.18,,,,,,,,,,,,,,,,
2024-01-01 14:00:00,52.48,,2.99,11.15,14.14,,13.43,1.12,,,,,,,,,,,,,,,,
2024-01-01 15:00:00,55.38,,3.29,11.19,14.48,,12.56,1.06,,,,,,,,,,,,,,,,
2024-01-01 16:00:00,43.37,,3.42,11.18,14.6,,11.83,1.01,,,,,,,,,,,,,,,,
2024-01-01 17:00:00,50.38,,3.44,11.2,14.64,,10.7,1.19,,,,,,,,,,,,,,,,
2024-01-01 18:00:00,58.04,,3.38,11.18,14.57,,11.12,1.18,,,,,,,,,,,,,,,,
2024-01-01 19:00:00,51.6,,3.34,11.17,14.51,,11.28,1.22,,,,,,,,,,,,,,,,
2024-01-01 20:00:00,57.9,,3.26,11.12,14.38,,10.98,1.31,,,,,,,,,,,,,,,,
2024-01-01 21:00:00,60.76,,3.18,11.1,14.28,,10.49,1.41,,,,,,,,,,,,,,,,
2024-01-01 22:00:00,62.31,,3.03,11.23,14.26,,9.81,1.49,,,,,,,,,,,,,,,,
2024-01-01 23:00:00,64.8,,2.97,11.1,14.08,,9.8,1.5,,,,,,,,,,,,,,,,
2024-01-02 00:00:00,60.46,,2.82,11.19,14.02,,10.03,1.54,,,,,,,,,,,,,,,,
2024-01-02 01:00:00,67.48,,2.61,11.2,13.8,,9.97,1.55,,,,,,,,,,,,,,,,
2024-01-02 02:00:00,66.44,,2.39,11.15,13.54,,10.09,1.65,,,,,,,,,,,,,,,,
2024-01-02 03:00:00,66.98,,2.16,11.14,13.3,,9.96,1.64,,,,,,,,,,,,,,,,
2024-01-02 04:00:00,62.96,,1.96,11.11,13.07,,10.24,1.66,,,,,,,,,,,,,,,,
2024-01-02 05:00:00,72.11,256.86,1.76,11.19,12.96,,10.12,1.72,,,,,,,,,,,,,,,,
2024-01-02 06:00:00,69.97,216.74,1.64,11.15,12.79,,10.02,1.72,,,,,,,,,,,,,,,,
2024-01-02 07:00:00,67.47,158.57,1.59,11.18,12.78,,10.06,1.71,,,,,,,,,,,,,,,,
2024-01-02 08:00:00,71.24,141.19,1.59,11.16,12.75,,9.86,1.72,,,,,,,,,,,,,,,,
2024-01-02 09:00:00,69.54,129.47,1.72,11.17,12.89,,9.95,1.52,,,,,,,,,,,,,,,,
2024-01-02 10:00:00,76.99,130.88,2.04,11.18,13.22,,10.33,1.52,,,,,,,,,,,,,,,,
2024-01-02 11:00:00,81.21,140.69,2.53,11.16,13.68,,10.63,1.51,,,,,,,,,,,,,,,,
2024-01-02 12:00:00,78.67,142.59,2.95,11.17,14.11,,11.57,1.49,,,,,,,,,,,,,,,,
2024-01-02 13:00:00,86.31,138.29,3.35,11.22,14.57,,11.93,1.42,,,,,,,,,,,,,,,,
2024-01-02 14:00:00,91.95,131.18,3.55,11.17,14.72,,11.48,1.37,,,,,,,,,,,,,,,,
2024-01-02 15:00:00,75.04,111.11,3.69,11.15,14.84,,11.06,1.26,,,,,,,,,,,,,,,,
2024-01-02 16:00:00,66.64,95.99,3.79,11.18,14.97,,10.46,1.25,,,,,,,,,,,,,,,,
2024-01-02 17:00:00,70.03,108.92,3.78,11.17,14.96,,10.29,1.34,,,,,,,,,,,,,,,,
