Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,123.75,292.25,,10.28,,6.72,96.58,3.98,17.25,9.8,,,,,,,,,,,,,,
2024-01-01 01:00:00,111.75,274.25,,11.32,,5.9,130.0,2.59,17.85,6.58,,,,,,,,,,,,,,
2024-01-01 02:00:00,105.0,244.75,,13.52,,5.95,131.55,2.12,17.52,5.47,,,,,,,,,,,,,,
2024-01-01 03:00:00,98.5,187.5,,11.28,,6.68,125.15,3.94,17.18,9.75,,,,,,,,,,,,,,
2024-01-01 04:00:00,78.0,179.0,,9.05,,7.55,124.28,3.76,17.75,9.3,,,,,,,,,,,,,,
2024-01-01 05:00:00,73.0,169.25,,10.92,,6.55,130.8,3.6,18.35,8.9,,,,,,,,,,,,,,
2024-01-01 06:00:00,64.5,153.25,,10.55,,6.12,121.72,3.37,17.52,8.38,,,,,,,,,,,,,,
2024-01-01 07:00:00,57.5,168.0,,11.68,,5.95,124.88,3.31,17.27,8.28,,,,,,,,,,,,,,
2024-01-01 08:00:00,58.25,184.5,,13.5,,5.28,132.55,2.14,17.55,5.52,,,,,,,,,,,,,,
2024-01-01 09:00:00,60.0,217.5,,13.22,,6.48,110.0,1.88,17.9,4.9,,,,,,,,,,,,,,
2024-01-01 10:00:00,72.0,225.25,,12.65,,6.5,95.65,1.51,18.58,3.78,,,,,,,,,,,,,,
2024-01-01 11:00:00,71.5,232.5,,14.3,,6.55,106.52,1.75,21.12,4.1,,,,,,,,,,,,,,
2024-01-01 12:00:00,72.0,210.75,,15.23,,7.52,115.88,1.7,28.35,4.0,,,,,,,,,,,,,,
2024-01-01 13:00:00,74.5,171.25,,14.68,,7.2,113.1,1.87,30.9,4.38,,,,,,,,,,,,,,
2024-01-01 14:00:00,62.5,175.75,,15.85,,6.75,115.32,1.92,26.6,4.48,,,,,,,,,,,,,,
2024-01-01 15:00:00,56.25,166.5,,16.0,,6.72,115.0,2.01,23.52,4.72,,,,,,,,,,,,,,
2024-01-01 16:00:00,49.75,190.0,,17.18,,6.7,112.22,2.03,19.42,4.75,,,,,,,,,,,,,,
2024-01-01 17:00:00,51.75,210.5,,18.73,,6.15,116.52,2.38,18.4,5.57,,,,,,,,,,,,,,
2024-01-01 18:00:00,69.0,314.75,,18.7,,6.28,103.65,4.22,18.0,9.88,,,,,,,,,,,,,,
2024-01-01 19:00:00,96.25,530.0,,17.98,,7.5,99.9,3.93,18.0,9.22,,,,,,,,,,,,,,
2024-01-01 20:00:00,182.25,425.0,,18.42,,7.28,96.22,3.26,17.92,7.65,,,,,,,,,,,,,,
2024-01-01 21:00:00,177.0,291.0,,15.9,,7.02,92.55,3.17,17.4,7.45,,,,,,,,,,,,,,
2024-01-01 22:00:00,116.5,275.75,,14.78,,6.4,89.2,3.39,17.12,7.92,,,,,,,,,,,,,,
2024-01-01 23:00:00,97.75,298.5,,11.52,,7.0,90.47,3.14,17.35,7.37,,,,,,,,,,,,,,
2024-01-02 00:00:00,100.25,286.75,,8.62,,7.42,58.2,3.12,17.1,7.32,,,,,,,,,,,,,,
2024-01-02 01:00:00,100.0,267.0,,10.12,,6.68,54.78,2.54,16.9,5.95,,,,,,,,,,,,,,
2024-01-02 02:00:00,97.0,213.75,,10.28,,6.68,56.45,2.31,17.5,5.4,,,,,,,,,,,,,,
2024-01-02 03:00:00,94.25,193.5,,12.38,,7.0,59.95,1.99,16.9,4.68,,,,,,,,,,,,,,
2024-01-02 04:00:00,82.0,186.5,,12.02,,7.45,57.65,2.22,17.77,5.18,,,,,,,,,,,,,,
2024-01-02 05:00:00,69.75,209.0,,12.92,,6.58,57.12,2.36,17.52,5.52,,,,,,,,,,,,,,
2024-01-02 06:00:00,71.75,219.5,,13.28,,6.78,56.32,2.09,16.9,4.9,,,,,,,,,,,,,,
2024-01-02 07:00:00,80.25,214.25,,11.38,,6.52,48.55,1.76,17.12,4.1,,,,,,,,,,,,,,
2024-01-02 08:00:00,81.5,185.25,,10.3,,6.05,50.78,1.21,17.88,2.85,,,,,,,,,,,,,,
2024-01-02 09:00:00,81.0,194.5,,8.7,,6.72,58.28,1.06,24.98,2.48,,,,,,,,,,,,,,
2024-01-02 10:00:00,75.0,215.75,,9.62,,6.78,66.22,0.88,36.08,2.05,,,,,,,,,,,,,,
2024-01-02 11:00:00,74.75,193.5,,10.62,,7.3,77.7,0.76,44.68,1.8,,,,,,,,,,,,,,
2024-01-02 12:00:00,68.75,155.75,,14.1,,7.55,100.68,0.6,48.3,1.4,,,,,,,,,,,,,,
2024-01-02 13:00:00,50.75,121.0,,11.15,,7.7,82.98,1.54,58.98,3.6,,,,,,,,,,,,,,
2024-01-02 14:00:00,42.5,104.25,,10.42,,7.25,78.88,1.59,55.1,3.7,,,,,,,,,,,,,,
2024-01-02 15:00:00,38.75,132.25,,11.85,,7.08,84.2,1.58,45.08,3.7,,,,,,,,,,,,,,
2024-01-02 16:00:00,42.0,182.25,,16.6,,6.52,94.05,1.67,25.92,3.92,,,,,,,,,,,,,,
2024-01-02 17:00:00,50.25,243.25,,17.52,,7.12,82.28,2.49,19.65,5.82,,,,,,,,,,,,,,
2024-01-02 18:00:00,66.0,462.75,,19.85,,7.25,72.88,4.02,18.15,9.4,,,,,,,,,,,,,,
2024-01-02 19:00:00,113.5,616.5,,19.38,,7.78,67.85,3.4,17.68,7.95,,,,,,,,,,,,,,
2024-01-02 20:00:00,237.0,389.25,,17.4,,7.55,65.4,3.23,17.38,7.58,,,,,,,,,,,,,,
2024-01-02 21:00:00,170.0,317.0,,15.7,,7.32,65.45,2.69,17.2,6.3,,,,,,,,,,,,,,
2024-01-02 22:00:00,127.75,235.5,,14.15,,6.95,60.42,2.94,17.45,6.88,,,,,,,,,,,,,,
2024-01-02 23:00:00,88.5,213.5,,13.8,,6.62,54.13,2.87,17.52,6.73,,,,,,,,,,,,,,
2024-01-03 00:00:00,80.0,204.0,,13.8,,7.0,58.22,2.16,17.62,5.08,,,,,,,,,,,,,,
2024-01-03 01:00:00,76.25,198.5,,12.48,,6.85,61.38,2.2,16.85,5.15,,,,,,,,,,,,,,
2024-01-03 02:00:00,74.0,215.25,,13.52,,6.2,64.72,2.37,17.3,5.55,,,,,,,,,,,,,,
2024-01-03 03:00:00,75.0,247.75,,15.68,,6.15,67.35,2.18,16.65,5.12,,,,,,,,,,,,,,
2024-01-03 04:00:00,76.5,198.25,,16.6,,7.18,67.55,1.9,17.48,4.45,,,,,,,,,,,,,,
2024-01-03 05:00:00,71.0,162.75,,13.7,,6.98,63.08,1.95,17.05,4.58,,,,,,,,,,,,,,
2024-01-03 06:00:00,66.5,159.5,,11.72,,6.55,59.15,2.59,17.5,6.05,,,,,,,,,,,,,,
2024-01-03 07:00:00,64.0,231.75,,13.4,,6.12,57.88,3.01,17.2,7.05,,,,,,,,,,,,,,
2024-01-03 08:00:00,82.75,313.75,,13.0,,7.18,61.42,2.9,17.42,6.8,,,,,,,,,,,,,,
2024-01-03 09:00:00,120.0,289.0,,10.8,,6.82,65.42,2.03,28.38,4.75,,,,,,,,,,,,,,
2024-01-03 10:00:00,117.0,167.25,,9.25,,6.58,68.05,2.0,42.95,4.65,,,,,,,,,,,,,,
2024-01-03 11:00:00,99.75,160.5,,12.08,,6.42,82.95,2.14,46.4,5.0,,,,,,,,,,,,,,
2024-01-03 12:00:00,48.5,182.75,,8.4,,7.42,72.72,1.79,57.3,4.2,,,,,,,,,,,,,,
2024-01-03 13:00:00,50.75,180.0,,9.15,,7.68,78.12,1.7,59.45,4.0,,,,,,,,,,,,,,
2024-01-03 14:00:00,52.5,171.5,,7.28,,7.12,81.0,1.73,71.97,4.07,,,,,,,,,,,,,,
2024-01-03 15:00:00,52.75,163.5,,7.28,,7.5,75.4,1.71,70.8,4.0,,,,,,,,,,,,,,
2024-01-03 16:00:00,57.25,169.75,,9.55,,7.4,77.75,1.72,51.0,4.05,,,,,,,,,,,,,,
2024-01-03 17:00:00,55.75,219.5,,12.85,,6.98,73.82,2.1,28.78,4.92,,,,,,,,,,,,,,
2024-01-03 18:00:00,58.0,320.75,,16.02,,7.22,72.92,2.88,21.3,6.75,,,,,,,,,,,,,,
2024-01-03 19:00:00,81.25,354.75,,13.02,,7.75,73.43,2.54,25.3,5.95,,,,,,,,,,,,,,
2024-01-03 20:00:00,146.5,260.25,,11.85,,7.35,71.53,2.86,22.8,6.7,,,,,,,,,,,,,,
2024-01-03 21:00:00,121.25,261.75,,17.18,,7.12,74.03,3.08,17.38,7.18,,,,,,,,,,,,,,
2024-01-03 22:00:00,90.75,264.25,,13.8,,7.3,66.32,3.06,17.42,7.15,,,,,,,,,,,,,,
