Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,141.5,192.75,,16.75,10.45,35.48,9.48,1.1,57.95,0.0,0.15,,,0.1,,16.48,82.5,2.6,62.0,0.0,0.0,11.25,,
2024-01-01 01:00:00,152.0,198.0,,13.08,8.28,34.75,8.48,0.99,57.7,0.0,0.1,,,,,16.12,84.25,2.65,61.5,0.0,0.0,11.25,,
2024-01-01 02:00:00,122.5,177.75,,10.9,7.3,34.22,7.83,0.96,52.42,0.0,0.12,,,,,15.75,85.5,1.92,68.0,0.0,0.0,11.5,,
2024-01-01 03:00:00,114.75,168.0,,9.57,6.43,32.88,7.45,1.04,51.3,0.0,0.1,,,,,15.28,87.25,2.52,59.25,0.0,0.0,11.75,,
2024-01-01 04:00:00,113.75,160.75,,8.6,5.72,32.05,7.15,1.08,48.2,0.0,0.1,,,,,14.95,88.5,2.45,56.5,0.0,0.0,11.25,,
2024-01-01 05:00:00,111.0,165.5,,11.28,7.42,31.28,6.72,1.14,37.52,0.0,0.08,,,,,14.78,89.25,1.2,84.0,0.0,0.0,11.5,,
2024-01-01 06:00:00,103.0,157.75,,12.55,8.2,31.02,6.83,1.28,31.32,0.0,0.1,,,,,14.48,90.25,1.2,81.25,0.0,0.0,11.25,,
2024-01-01 07:00:00,91.5,134.75,,13.77,8.95,30.22,7.12,1.24,28.95,0.0,0.1,,,,,14.2,91.0,1.8,69.0,0.0,0.0,19.25,,
2024-01-01 08:00:00,77.25,124.25,,13.18,9.25,28.95,7.28,1.16,28.57,0.0,0.08,,,,,14.28,91.0,1.72,74.75,0.0,0.0,51.75,,
2024-01-01 09:00:00,86.75,131.0,,13.25,9.65,30.12,7.9,1.21,37.25,0.0,0.08,,,,,14.98,90.5,1.75,89.5,0.0,0.0,116.5,,
2024-01-01 10:00:00,97.25,137.75,,15.52,11.85,31.3,8.67,1.19,43.65,0.0,0.1,,,,,16.35,86.25,2.15,73.75,0.0,0.0,216.0,,
2024-01-01 11:00:00,103.0,160.75,,14.37,10.87,31.87,8.85,1.19,56.22,0.0,0.1,,,,,17.55,78.5,2.0,79.5,0.0,0.0,261.75,,
2024-01-01 12:00:00,102.0,171.0,,12.47,9.47,25.7,9.4,1.3,75.1,0.0,0.15,,,,,18.82,69.5,2.28,72.75,0.0,0.0,274.75,,
2024-01-01 13:00:00,110.5,178.75,,14.1,9.72,24.25,9.57,1.15,89.9,0.0,0.1,,,,,19.55,66.0,2.4,73.75,0.0,0.0,254.5,,
2024-01-01 14:00:00,115.75,181.0,,12.08,7.82,25.2,9.7,1.08,88.88,0.0,0.1,,,,,19.65,66.75,2.78,69.25,0.0,0.0,204.75,,
2024-01-01 15:00:00,109.75,175.5,,10.8,7.2,29.2,10.07,1.07,81.55,0.0,0.1,,,,,19.05,70.5,3.12,67.75,0.0,0.0,139.75,,
2024-01-01 16:00:00,114.5,184.0,,10.98,7.7,31.92,9.75,1.2,72.97,0.0,0.1,,,,,18.38,74.25,3.08,62.0,0.0,0.0,75.0,,
2024-01-01 17:00:00,120.75,177.5,,12.72,7.88,32.0,9.02,1.25,61.5,0.0,0.1,,,0.1,,17.35,78.5,3.3,64.5,0.0,0.0,24.25,,
2024-01-01 18:00:00,119.25,177.75,,15.2,9.7,32.1,9.1,1.39,50.72,0.0,0.1,,,0.3,,16.52,82.0,3.4,66.0,0.0,0.0,11.5,,
2024-01-01 19:00:00,125.25,180.0,,16.48,10.48,31.85,8.68,1.4,41.72,0.0,0.1,,,,,15.8,84.5,2.98,55.75,0.0,0.0,11.5,,
2024-01-01 20:00:00,122.5,171.25,,14.7,9.05,30.48,7.4,1.3,40.9,0.0,0.15,,,,,15.1,87.25,2.95,59.0,0.0,0.0,11.5,,
2024-01-01 21:00:00,119.25,167.5,,13.4,8.7,29.48,7.2,1.21,41.35,0.0,0.1,,,,,14.8,89.5,2.98,64.75,0.0,0.0,11.25,,
2024-01-01 22:00:00,109.75,154.0,,14.05,8.93,29.65,7.0,1.23,41.68,0.0,0.1,,,,,14.78,91.0,2.38,67.25,0.0,0.0,11.25,,
2024-01-01 23:00:00,97.25,152.75,,11.85,7.98,28.72,6.5,1.2,44.42,0.0,0.1,,,,,14.7,91.5,2.38,61.0,0.0,0.0,11.0,,
2024-01-02 00:00:00,96.5,147.25,,9.48,6.98,28.62,6.38,1.12,45.98,0.0,0.05,,,,,14.75,92.0,2.5,68.75,0.0,0.0,11.0,,
2024-01-02 01:00:00,91.0,142.25,,8.7,5.92,28.48,6.38,1.08,43.12,0.0,0.1,,,,,14.75,92.75,2.08,79.0,0.0,0.0,11.5,,
2024-01-02 02:00:00,89.5,146.25,,8.28,5.78,28.12,6.27,1.07,45.85,0.0,0.05,,,,,14.8,93.0,1.8,100.75,0.0,0.0,11.0,,
2024-01-02 03:00:00,94.25,158.25,,8.5,5.48,28.05,5.58,1.0,46.75,0.0,0.1,,,,,14.82,93.0,1.92,91.25,0.0,0.0,11.25,,
2024-01-02 04:00:00,97.25,166.5,,8.57,5.85,27.9,5.25,1.0,45.5,0.0,0.1,,,,,14.82,93.0,1.7,93.5,0.0,0.0,11.75,,
2024-01-02 05:00:00,103.25,165.25,,8.95,6.05,27.75,5.1,1.01,45.05,0.0,0.02,,,,,14.7,93.0,2.1,69.75,0.0,0.0,11.5,,
2024-01-02 06:00:00,100.0,150.75,,9.0,6.38,27.48,5.2,0.96,41.68,0.0,0.02,,,,,14.65,93.0,2.33,69.75,0.0,0.0,11.25,,
2024-01-02 07:00:00,96.0,153.75,,10.23,6.7,26.9,6.32,1.08,41.35,0.0,0.08,,,,,14.5,93.0,2.33,70.75,0.0,0.0,14.75,,
2024-01-02 08:00:00,91.75,136.75,,11.1,7.35,26.55,6.18,1.22,37.73,0.0,0.02,,,,,14.52,93.0,2.05,78.75,0.0,0.0,28.25,,
2024-01-02 09:00:00,87.75,133.25,,10.77,8.0,27.78,6.8,1.32,38.6,0.0,0.1,,,,,14.68,93.0,1.85,79.0,0.0,0.0,52.25,,
2024-01-02 10:00:00,91.5,136.75,,12.28,9.02,27.65,6.7,1.57,39.05,0.0,0.02,,,,,15.1,92.0,2.1,82.75,0.0,0.0,73.5,,
2024-01-02 11:00:00,105.5,152.5,,13.03,8.67,24.27,7.15,1.65,45.42,0.0,0.1,,,,,16.08,90.25,1.68,104.25,0.0,0.0,119.75,,
2024-01-02 12:00:00,108.75,174.5,,13.25,10.15,27.23,6.8,1.21,62.32,0.0,0.1,,,,,17.2,82.75,2.17,82.75,0.0,0.0,237.75,,
2024-01-02 13:00:00,113.25,174.25,,13.62,9.38,24.52,8.15,1.12,77.53,0.0,0.1,,,,,18.7,70.0,1.9,100.0,0.0,0.0,244.25,,
2024-01-02 14:00:00,112.5,177.25,,12.75,8.12,24.15,8.43,1.12,87.62,0.0,0.1,,,,,19.18,66.75,2.17,78.75,0.0,0.0,197.25,,
2024-01-02 15:00:00,119.75,179.0,,12.15,8.2,29.28,8.68,1.03,83.7,0.0,0.1,,,,,18.8,70.0,2.85,60.0,0.0,0.0,135.0,,
2024-01-02 16:00:00,129.0,192.0,,12.85,8.28,28.5,8.4,1.28,73.28,0.0,0.1,,,,,18.25,73.75,3.15,58.25,0.0,0.0,72.75,,
2024-01-02 17:00:00,132.75,196.75,,12.52,8.32,27.58,7.45,1.29,57.45,0.0,0.1,,,,,17.08,80.25,3.4,55.0,0.0,0.0,24.5,,
2024-01-02 18:00:00,136.25,199.75,,17.38,11.12,28.75,7.27,1.52,45.6,0.0,0.12,,,,,16.1,84.25,3.78,57.75,0.0,0.0,11.75,,
2024-01-02 19:00:00,139.5,191.25,,15.12,9.93,27.42,8.45,1.47,50.0,0.0,0.1,,,,,15.72,85.75,3.8,54.75,0.0,0.0,11.25,,
2024-01-02 20:00:00,132.25,180.25,,14.28,9.0,26.08,8.0,1.38,47.2,0.0,0.1,,,,,15.55,86.75,3.45,61.25,0.0,0.0,11.0,,
2024-01-02 21:00:00,117.75,168.25,,12.38,7.72,25.15,7.72,1.37,45.82,0.0,0.1,,,,,15.4,88.0,2.9,64.25,0.0,0.0,11.0,,
2024-01-02 22:00:00,123.75,183.25,,11.92,7.9,24.48,7.27,1.28,45.18,0.0,0.1,,,,,15.18,89.25,2.9,65.0,0.0,0.0,11.25,,
2024-01-02 23:00:00,117.25,177.25,,10.92,6.7,23.98,6.68,1.28,48.45,0.0,0.1,,,,,15.05,90.0,2.18,65.0,0.0,0.0,11.0,,
