latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.859402,75.35928,587.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,17.3,80,0.00,947.4,8.4,19.7,83,105
2024-01-01T01:00,16.1,83,0.00,948.6,8.6,20.7,90,113
2024-01-01T02:00,16.5,81,0.00,949.1,9.4,20.4,86,107
2024-01-01T03:00,19.0,73,0.00,950.3,10.9,20.5,84,108
2024-01-01T04:00,21.6,62,0.00,951.5,8.9,13.6,104,112
2024-01-01T05:00,23.9,55,0.00,951.7,8.2,10.7,139,140
2024-01-01T06:00,25.8,48,0.00,951.1,9.6,12.2,160,161
2024-01-01T07:00,27.2,41,0.00,950.1,10.0,12.9,167,167
2024-01-01T08:00,28.0,37,0.00,948.9,8.7,11.2,175,176
2024-01-01T09:00,28.2,36,0.00,948.1,7.0,8.4,192,190
2024-01-01T10:00,28.1,35,0.00,947.6,5.2,6.6,214,209
2024-01-01T11:00,27.5,36,0.00,947.4,4.7,5.8,247,240
2024-01-01T12:00,24.8,56,0.00,946.9,6.6,9.0,283,275
2024-01-01T13:00,22.1,54,0.00,947.2,10.7,12.3,303,285
2024-01-01T14:00,25.4,39,0.00,948.7,4.1,6.2,345,277
2024-01-01T15:00,20.8,55,0.00,948.1,5.6,3.0,63,76
2024-01-01T16:00,20.6,59,0.00,948.6,6.7,13.7,74,95
2024-01-01T17:00,20.6,62,0.00,948.6,8.4,20.1,80,105
2024-01-01T18:00,19.7,66,0.00,948.2,8.1,19.6,77,107
2024-01-01T19:00,19.3,67,0.00,947.6,8.6,21.3,90,112
2024-01-01T20:00,18.8,69,0.00,947.2,8.7,21.7,95,117
2024-01-01T21:00,18.8,69,0.00,946.7,10.1,23.5,96,117
2024-01-01T22:00,18.5,71,0.00,946.5,9.0,22.9,106,118
2024-01-01T23:00,17.2,79,0.00,946.4,8.3,14.2,72,114
2024-01-02T00:00,16.7,82,0.00,946.5,7.3,13.8,70,110
2024-01-02T01:00,17.1,81,0.00,947.8,9.8,21.7,84,101
2024-01-02T02:00,17.1,81,0.00,948.3,9.7,21.1,88,104
2024-01-02T03:00,19.3,74,0.00,949.6,10.2,19.8,98,109
2024-01-02T04:00,21.6,66,0.00,950.4,9.4,14.0,108,113
2024-01-02T05:00,23.6,59,0.00,950.6,8.7,11.2,138,140
2024-01-02T06:00,25.5,51,0.00,950.1,9.7,12.7,165,165
2024-01-02T07:00,26.9,44,0.00,948.8,10.9,14.3,171,170
2024-01-02T08:00,27.6,40,0.00,947.8,9.6,12.1,167,168
2024-01-02T09:00,27.9,37,0.00,947.0,7.6,9.4,175,173
2024-01-02T10:00,27.9,36,0.00,946.4,6.8,8.7,183,185
2024-01-02T11:00,27.5,36,0.00,946.5,6.3,8.1,204,201
2024-01-02T12:00,24.6,60,0.00,946.3,7.1,8.2,255,241
2024-01-02T13:00,23.2,51,0.00,946.8,6.4,6.0,317,295
2024-01-02T14:00,21.7,54,0.00,947.3,3.6,2.5,45,45
2024-01-02T15:00,20.4,60,0.00,947.6,5.6,12.2,63,90
2024-01-02T16:00,20.4,61,0.00,947.8,8.0,19.7,82,98
2024-01-02T17:00,20.3,63,0.00,947.8,9.8,23.8,96,110
2024-01-02T18:00,19.4,68,0.00,947.5,8.4,21.9,97,120
2024-01-02T19:00,19.1,69,0.00,947.2,8.0,21.4,100,123
2024-01-02T20:00,19.3,67,0.00,946.8,11.4,24.7,103,121
2024-01-02T21:00,18.2,75,0.00,946.2,10.8,20.2,105,125
2024-01-02T22:00,19.7,66,0.00,946.8,3.3,7.3,276,160
2024-01-02T23:00,19.8,66,0.00,946.8,3.7,8.1,61,135
2024-01-03T00:00,17.5,78,0.00,946.4,6.5,10.0,71,120
2024-01-03T01:00,16.4,88,0.00,946.9,6.9,15.6,99,124
2024-01-03T02:00,16.9,86,0.00,947.8,6.0,15.5,115,138
2024-01-03T03:00,19.3,77,0.00,948.8,7.3,14.8,101,129
2024-01-03T04:00,21.6,68,0.00,949.9,8.5,11.7,126,133
2024-01-03T05:00,23.6,60,0.00,950.2,8.9,11.4,166,169
2024-01-03T06:00,25.2,54,0.00,949.6,10.1,13.0,182,183
2024-01-03T07:00,26.4,48,0.00,948.2,11.7,15.0,191,191
2024-01-03T08:00,26.8,46,0.00,947.1,12.0,15.0,201,201
2024-01-03T09:00,27.1,44,0.00,946.4,11.1,14.5,209,210
2024-01-03T10:00,27.0,42,0.00,946.0,9.0,11.6,209,210
2024-01-03T11:00,26.8,42,0.00,945.7,6.6,8.7,193,197
2024-01-03T12:00,24.9,65,0.00,945.7,5.0,6.8,120,155
2024-01-03T13:00,22.6,61,0.00,945.5,5.5,5.2,67,106
2024-01-03T14:00,21.9,62,0.00,945.9,5.6,9.3,50,77
2024-01-03T15:00,20.9,64,0.00,946.3,5.4,8.8,42,81
2024-01-03T16:00,19.9,69,0.00,946.7,7.6,8.5,59,102
2024-01-03T17:00,19.8,66,0.00,946.6,7.9,19.5,106,120
2024-01-03T18:00,19.4,70,0.00,946.2,7.1,18.1,75,111
2024-01-03T19:00,19.0,73,0.00,945.7,6.9,18.0,84,116
2024-01-03T20:00,18.7,75,0.00,946.0,5.7,17.1,72,112
2024-01-03T21:00,17.9,79,0.00,945.9,3.4,7.2,18,90
2024-01-03T22:00,17.3,84,0.00,946.2,4.1,7.8,45,103
2024-01-03T23:00,17.4,84,0.00,946.0,6.6,15.6,68,105
2024-01-04T00:00,17.6,83,0.00,946.4,7.6,18.6,95,122
2024-01-04T01:00,17.9,81,0.00,947.4,9.7,20.3,90,110
2024-01-04T02:00,17.7,82,0.00,948.0,8.7,19.2,95,118
2024-01-04T03:00,19.7,75,0.00,949.4,10.1,21.3,107,127
2024-01-04T04:00,22.3,65,0.00,950.5,11.0,15.8,131,137
2024-01-04T05:00,24.2,58,0.00,950.5,12.6,16.2,156,159
2024-01-04T06:00,25.6,53,0.00,949.6,11.9,15.5,180,180
2024-01-04T07:00,26.1,51,0.00,948.4,13.6,17.6,202,203
2024-01-04T08:00,26.5,49,0.00,947.2,12.1,15.3,207,207
2024-01-04T09:00,27.3,42,0.00,946.3,10.7,14.1,220,220
2024-01-04T10:00,27.3,40,0.00,945.7,8.7,11.5,225,224
2024-01-04T11:00,27.2,39,0.00,945.4,6.2,8.5,216,216
2024-01-04T12:00,26.8,41,0.00,945.6,3.1,5.4,135,188
2024-01-04T13:00,23.0,55,0.00,945.4,6.8,12.6,357,340
2024-01-04T14:00,22.0,58,0.00,945.9,7.2,13.4,3,346
2024-01-04T15:00,21.1,60,0.00,946.5,7.8,12.6,13,2
2024-01-04T16:00,19.5,67,0.00,946.6,5.6,8.7,63,66
2024-01-04T17:00,19.4,68,0.00,946.8,8.9,18.2,40,65
2024-01-04T18:00,19.2,71,0.00,946.5,6.9,13.6,28,68
2024-01-04T19:00,18.1,79,0.00,946.3,5.8,12.1,30,63
2024-01-04T20:00,17.7,83,0.00,946.0,7.2,13.6,37,68
2024-01-04T21:00,17.5,84,0.00,945.8,7.7,15.1,53,93
2024-01-04T22:00,17.4,84,0.00,945.4,8.2,15.3,61,99
2024-01-04T23:00,17.2,84,0.00,945.3,7.1,15.5,75,112
2024-01-05T00:00,17.0,84,0.00,945.8,7.2,16.1,93,124
2024-01-05T01:00,16.1,91,0.00,946.5,3.8,1.3,41,56
2024-01-05T02:00,17.0,88,0.00,947.4,3.3,4.5,103,166
2024-01-05T03:00,19.0,78,0.10,948.8,6.0,9.4,163,176
2024-01-05T04:00,20.3,77,0.00,950.0,5.8,7.6,173,177
2024-01-05T05:00,22.4,70,0.00,950.1,5.0,6.5,210,214
2024-01-05T06:00,24.4,62,0.00,949.4,8.7,11.2,225,225
2024-01-05T07:00,25.8,51,0.00,948.4,13.0,16.6,231,231
2024-01-05T08:00,26.5,44,0.00,947.4,12.8,16.5,238,238
2024-01-05T09:00,26.9,40,0.00,946.5,8.5,11.3,242,243
2024-01-05T10:00,26.8,40,0.00,946.1,8.2,10.3,232,234
2024-01-05T11:00,26.5,41,0.00,946.1,9.1,11.9,236,241
2024-01-05T12:00,24.8,51,0.00,946.3,4.9,11.3,197,217
2024-01-05T13:00,21.7,66,0.00,946.8,5.0,10.0,159,195
2024-01-05T14:00,20.5,75,0.00,947.5,4.8,8.1,103,148
2024-01-05T15:00,19.9,77,0.00,948.2,7.7,12.8,37,58
2024-01-05T16:00,19.7,76,0.00,948.4,9.3,20.5,54,56
2024-01-05T17:00,19.0,81,0.00,948.2,9.3,19.6,74,76
2024-01-05T18:00,18.2,86,0.00,947.7,6.4,15.5,63,78
2024-01-05T19:00,17.7,89,0.00,947.8,6.9,15.7,62,81
2024-01-05T20:00,17.7,89,0.00,947.7,7.4,14.6,29,52
2024-01-05T21:00,17.5,91,0.00,947.3,8.1,15.3,32,45
2024-01-05T22:00,17.2,94,0.00,946.9,7.4,17.4,61,68
2024-01-05T23:00,17.1,94,0.00,946.8,8.2,18.5,75,82
2024-01-06T00:00,16.6,96,0.00,947.5,7.9,17.7,87,95
2024-01-06T01:00,18.4,87,0.00,948.0,10.4,22.9,44,42
2024-01-06T02:00,18.1,90,0.10,948.5,14.2,24.5,24,22
2024-01-06T03:00,18.8,90,0.20,949.2,14.5,26.0,48,44
2024-01-06T04:00,21.1,78,0.00,950.3,14.8,26.2,61,63
2024-01-06T05:00,23.9,61,0.00,950.4,14.0,18.7,67,67
2024-01-06T06:00,25.2,54,0.00,949.6,12.7,16.8,82,81
2024-01-06T07:00,25.4,54,0.20,948.6,6.5,8.6,93,92
2024-01-06T08:00,26.1,53,0.20,947.7,3.3,4.4,103,99
2024-01-06T09:00,26.3,52,0.00,946.9,3.5,4.7,156,148
2024-01-06T10:00,26.0,51,0.00,946.8,3.6,4.5,143,151
2024-01-06T11:00,25.7,53,0.00,946.7,4.2,5.0,59,69
2024-01-06T12:00,24.2,74,0.00,947.1,2.5,3.4,45,72
2024-01-06T13:00,22.1,66,0.00,948.0,6.4,8.5,133,144
2024-01-06T14:00,20.4,74,0.00,948.4,6.1,7.0,62,102
2024-01-06T15:00,20.2,72,0.00,948.9,7.1,14.2,45,66
2024-01-06T16:00,19.8,73,0.00,949.4,7.1,16.6,49,68
2024-01-06T17:00,19.3,76,0.00,949.5,7.8,17.8,56,72
2024-01-06T18:00,19.1,78,0.00,949.1,9.4,19.2,67,82
2024-01-06T19:00,18.6,81,0.00,948.5,10.8,21.9,69,81
2024-01-06T20:00,18.0,84,0.00,947.7,9.5,19.8,61,80
2024-01-06T21:00,17.7,86,0.00,947.3,9.0,20.0,67,82
2024-01-06T22:00,17.8,85,0.00,947.3,10.8,22.2,60,70
2024-01-06T23:00,17.3,87,0.00,947.3,10.3,22.8,65,74
2024-01-07T00:00,17.3,86,0.00,947.6,11.3,24.1,73,81
2024-01-07T01:00,17.6,72,0.00,948.2,12.7,26.3,98,107
2024-01-07T02:00,17.4,72,0.00,949.1,12.2,25.1,104,114
2024-01-07T03:00,18.9,69,0.00,950.5,10.9,23.5,96,113
2024-01-07T04:00,21.0,62,0.00,951.6,11.3,16.0,107,113
2024-01-07T05:00,22.9,57,0.00,951.7,11.5,15.0,122,125
2024-01-07T06:00,24.5,54,0.00,951.0,11.5,15.3,129,131
2024-01-07T07:00,25.8,50,0.00,949.8,11.5,15.1,129,130
2024-01-07T08:00,26.9,45,0.00,948.8,12.8,16.6,140,139
2024-01-07T09:00,27.1,43,0.00,947.8,13.5,17.6,138,139
2024-01-07T10:00,27.0,44,0.00,947.3,12.7,17.1,135,136
2024-01-07T11:00,26.5,45,0.00,947.4,11.5,15.3,134,135
2024-01-07T12:00,25.0,52,0.00,947.3,7.6,15.4,115,123
2024-01-07T13:00,22.3,62,0.00,947.6,5.9,15.3,101,120
2024-01-07T14:00,21.6,64,0.00,947.8,7.9,17.8,74,97
2024-01-07T15:00,20.8,68,0.00,948.4,9.5,20.9,61,75
2024-01-07T16:00,20.7,68,0.00,948.9,8.7,20.8,66,81
2024-01-07T17:00,20.9,66,0.00,949.2,11.3,24.0,73,81
2024-01-07T18:00,20.6,68,0.00,949.0,11.7,25.6,79,88
2024-01-07T19:00,19.8,73,0.00,948.6,12.1,25.2,80,88
2024-01-07T20:00,19.1,78,0.00,948.3,11.2,24.5,84,94
2024-01-07T21:00,18.5,82,0.00,947.9,10.8,23.5,94,101
2024-01-07T22:00,18.1,85,0.00,947.9,10.4,23.2,92,102
2024-01-07T23:00,17.8,87,0.00,948.2,10.4,22.8,90,102
2024-01-08T00:00,17.4,89,0.00,948.3,10.8,22.6,90,104
2024-01-08T01:00,17.1,84,0.00,949.1,11.5,25.2,90,107
2024-01-08T02:00,17.0,81,0.00,949.8,12.3,25.5,93,109
2024-01-08T03:00,19.0,74,0.00,951.0,13.4,27.1,95,113
2024-01-08T04:00,21.4,65,0.00,952.0,12.2,18.4,114,118
2024-01-08T05:00,23.3,60,0.00,952.2,13.6,18.1,130,131
2024-01-08T06:00,25.0,51,0.00,951.4,14.5,19.1,134,136
2024-01-08T07:00,26.3,40,0.00,950.1,15.0,19.6,134,136
2024-01-08T08:00,27.3,32,0.00,949.2,14.6,19.1,130,131
2024-01-08T09:00,27.7,30,0.00,948.1,14.2,18.7,126,128
2024-01-08T10:00,27.6,30,0.00,947.7,13.0,17.3,124,126
2024-01-08T11:00,26.8,34,0.00,947.5,11.1,15.5,119,121
2024-01-08T12:00,24.7,44,0.00,947.5,7.8,17.8,103,111
2024-01-08T13:00,22.8,52,0.00,947.8,8.6,19.8,88,106
2024-01-08T14:00,21.8,55,0.00,948.2,8.7,20.2,66,87
2024-01-08T15:00,20.8,57,0.00,948.6,8.4,18.6,50,75
2024-01-08T16:00,20.6,55,0.00,949.0,9.1,21.0,56,78
2024-01-08T17:00,21.9,49,0.00,949.5,10.3,22.8,65,78
2024-01-08T18:00,21.0,52,0.00,949.0,10.0,23.4,75,90
2024-01-08T19:00,20.4,54,0.00,948.7,11.2,24.5,86,100
2024-01-08T20:00,20.3,54,0.00,948.4,11.2,23.7,88,103
2024-01-08T21:00,19.4,57,0.00,947.8,10.1,22.3,88,104
2024-01-08T22:00,18.9,60,0.00,947.7,9.4,21.1,94,113
2024-01-08T23:00,18.1,65,0.00,947.3,7.6,18.3,90,122
2024-01-09T00:00,18.1,67,0.00,947.6,8.6,20.0,92,120
2024-01-09T01:00,16.8,72,0.00,948.5,7.0,14.6,102,147
2024-01-09T02:00,17.7,71,0.00,949.2,5.4,13.1,90,143
2024-01-09T03:00,20.3,67,0.00,950.1,6.9,11.7,84,133
2024-01-09T04:00,22.7,63,0.00,951.4,7.4,10.7,119,130
2024-01-09T05:00,22.8,64,0.00,951.3,7.9,10.7,129,132
2024-01-09T06:00,24.9,61,0.00,951.0,9.0,11.9,143,145
2024-01-09T07:00,26.8,55,0.00,949.8,12.0,15.7,147,148
2024-01-09T08:00,27.7,48,0.00,948.8,13.9,18.4,149,149
2024-01-09T09:00,27.9,49,0.00,948.2,13.4,17.3,156,157
2024-01-09T10:00,27.4,49,0.00,948.0,11.9,15.5,155,155
2024-01-09T11:00,26.8,52,0.00,947.9,7.9,10.3,150,151
2024-01-09T12:00,25.5,62,0.00,948.0,3.6,9.4,127,133
2024-01-09T13:00,21.2,74,0.20,949.5,7.5,11.6,125,126
2024-01-09T14:00,20.2,80,0.00,950.2,5.7,13.0,108,104
2024-01-09T15:00,20.0,82,0.00,950.6,6.9,15.2,96,104
2024-01-09T16:00,20.1,83,0.00,950.9,7.9,15.5,106,118
2024-01-09T17:00,20.1,83,0.00,950.8,9.3,17.7,106,117
2024-01-09T18:00,20.0,82,0.00,950.5,9.2,18.3,111,122
2024-01-09T19:00,18.6,88,0.00,949.6,5.5,13.0,101,129
2024-01-09T20:00,18.2,89,0.00,949.0,4.7,12.4,81,120
2024-01-09T21:00,18.3,87,0.00,948.4,4.6,12.2,72,109
2024-01-09T22:00,17.7,89,0.00,947.9,5.8,8.9,68,122
2024-01-09T23:00,18.4,86,0.00,948.0,4.1,7.1,75,135
2024-01-10T00:00,18.4,85,0.00,948.2,1.9,2.3,22,141
2024-01-10T01:00,17.9,86,0.00,949.4,7.2,17.3,96,107
2024-01-10T02:00,18.0,88,0.10,949.7,10.9,20.3,82,103
2024-01-10T03:00,19.6,84,0.00,950.6,9.3,17.6,62,91
2024-01-10T04:00,21.7,73,0.00,951.4,6.7,9.7,74,86
2024-01-10T05:00,23.8,62,0.00,951.7,8.0,10.8,126,127
2024-01-10T06:00,25.1,55,0.00,951.2,9.2,12.0,138,139
2024-01-10T07:00,25.6,53,0.30,949.9,6.9,9.0,141,143
2024-01-10T08:00,26.1,49,0.00,948.9,8.2,10.7,157,160
2024-01-10T09:00,26.2,45,0.00,948.5,5.9,7.8,194,193
2024-01-10T10:00,25.3,47,0.00,948.0,9.9,12.0,190,187
2024-01-10T11:00,22.1,68,0.90,948.4,4.6,5.4,231,222
2024-01-10T12:00,21.7,71,0.30,949.0,5.2,7.0,155,159
2024-01-10T13:00,20.9,82,0.00,948.4,5.5,4.7,58,81
2024-01-10T14:00,20.1,85,0.00,948.9,3.9,3.6,22,45
2024-01-10T15:00,19.6,87,0.00,949.4,3.6,3.3,45,103
2024-01-10T16:00,19.1,87,0.00,949.8,4.4,6.5,55,109
2024-01-10T17:00,18.8,87,0.00,949.8,5.1,8.3,51,108
2024-01-10T18:00,18.6,87,0.00,949.7,6.0,8.9,57,117
2024-01-10T19:00,19.2,83,0.00,949.5,5.6,13.3,75,109
2024-01-10T20:00,18.0,89,0.00,949.5,8.1,10.8,69,105
2024-01-10T21:00,19.0,84,0.00,949.2,6.4,12.1,63,100
2024-01-10T22:00,18.6,86,0.00,948.7,6.6,12.2,61,88
2024-01-10T23:00,18.0,90,0.00,948.2,6.8,14.1,58,84
2024-01-11T00:00,17.4,92,0.00,948.4,6.4,14.0,63,89
2024-01-11T01:00,17.4,91,0.00,949.3,7.1,15.9,66,94
2024-01-11T02:00,17.5,90,0.00,950.1,7.9,15.1,60,89
2024-01-11T03:00,19.8,82,0.00,951.4,8.2,14.5,75,96
2024-01-11T04:00,22.0,72,0.00,952.7,6.8,9.5,93,101
2024-01-11T05:00,24.1,63,0.00,952.9,5.4,7.1,127,131
2024-01-11T06:00,25.6,57,0.00,952.1,6.6,8.4,167,170
2024-01-11T07:00,26.7,53,0.00,951.1,6.6,8.4,189,187
2024-01-11T08:00,27.4,49,0.00,949.9,5.6,7.1,195,195
2024-01-11T09:00,27.8,48,0.00,949.1,5.0,6.2,201,201
