latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.789103,72.77168,17.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,21.0,79,0.00,1010.5,10.0,22.2,26,25
2024-01-01T01:00,20.5,82,0.00,1011.4,8.6,19.0,22,27
2024-01-01T02:00,20.3,83,0.00,1011.9,8.4,19.0,25,27
2024-01-01T03:00,22.2,76,0.00,1012.6,8.9,18.0,32,33
2024-01-01T04:00,24.8,67,0.00,1013.2,6.0,11.0,33,38
2024-01-01T05:00,27.7,58,0.00,1013.0,5.2,7.1,12,24
2024-01-01T06:00,29.8,50,0.00,1012.3,4.3,5.1,336,352
2024-01-01T07:00,30.7,47,0.00,1011.3,7.9,8.7,313,322
2024-01-01T08:00,30.5,53,0.00,1010.0,12.3,14.5,308,312
2024-01-01T09:00,29.6,58,0.00,1009.5,16.3,20.4,311,314
2024-01-01T10:00,28.8,57,0.00,1009.1,16.9,22.9,322,323
2024-01-01T11:00,27.8,60,0.00,1008.9,15.5,21.9,329,330
2024-01-01T12:00,26.4,67,0.00,1009.0,14.8,22.9,334,336
2024-01-01T13:00,24.8,74,0.00,1010.0,13.7,24.7,346,347
2024-01-01T14:00,24.1,74,0.00,1010.9,12.3,24.7,355,352
2024-01-01T15:00,23.6,72,0.00,1011.6,10.9,23.8,6,359
2024-01-01T16:00,23.3,66,0.00,1012.1,11.0,24.3,23,12
2024-01-01T17:00,22.7,64,0.00,1012.1,10.4,23.4,34,23
2024-01-01T18:00,22.1,65,0.00,1011.8,9.2,22.4,39,30
2024-01-01T19:00,21.7,67,0.00,1011.3,9.3,22.8,36,31
2024-01-01T20:00,21.3,69,0.00,1010.9,8.9,22.6,32,29
2024-01-01T21:00,21.1,69,0.00,1010.5,9.2,22.9,26,24
2024-01-01T22:00,20.9,68,0.00,1009.9,9.6,23.0,20,20
2024-01-01T23:00,20.4,70,0.00,1010.0,9.0,21.8,23,22
2024-01-02T00:00,19.9,74,0.00,1010.2,9.0,21.1,23,23
2024-01-02T01:00,19.7,77,0.00,1010.9,7.2,16.8,18,23
2024-01-02T02:00,19.5,79,0.00,1011.3,8.6,18.4,15,12
2024-01-02T03:00,21.3,74,0.00,1011.9,10.0,20.7,21,17
2024-01-02T04:00,24.1,67,0.00,1012.2,8.5,16.4,12,15
2024-01-02T05:00,26.8,60,0.00,1012.1,8.6,11.6,360,5
2024-01-02T06:00,28.8,53,0.00,1011.2,8.7,10.6,343,350
2024-01-02T07:00,29.7,52,0.00,1010.1,11.2,13.8,320,327
2024-01-02T08:00,29.4,57,0.00,1009.1,14.5,18.2,316,321
2024-01-02T09:00,29.0,57,0.00,1008.5,15.8,20.2,317,320
2024-01-02T10:00,28.2,55,0.00,1008.0,16.6,22.3,321,322
2024-01-02T11:00,27.2,60,0.00,1008.2,15.8,21.9,325,327
2024-01-02T12:00,25.8,66,0.00,1008.6,13.7,20.1,333,336
2024-01-02T13:00,24.1,73,0.00,1009.6,14.0,24.9,342,342
2024-01-02T14:00,23.5,74,0.00,1010.6,12.8,24.7,350,347
2024-01-02T15:00,23.0,71,0.00,1011.3,11.5,24.3,358,354
2024-01-02T16:00,22.6,66,0.00,1011.6,11.0,24.1,11,3
2024-01-02T17:00,21.8,64,0.00,1011.7,11.1,24.4,29,19
2024-01-02T18:00,21.1,64,0.00,1011.6,10.2,24.0,32,24
2024-01-02T19:00,20.6,61,0.00,1011.2,9.2,23.2,31,26
2024-01-02T20:00,19.9,62,0.00,1011.0,7.9,20.7,43,35
2024-01-02T21:00,19.8,64,0.00,1010.4,9.9,23.8,33,32
2024-01-02T22:00,19.7,65,0.00,1009.9,10.5,24.2,31,30
2024-01-02T23:00,19.4,68,0.00,1009.7,9.7,23.0,31,32
2024-01-03T00:00,19.1,71,0.00,1009.8,10.6,23.5,24,27
2024-01-03T01:00,19.3,79,0.00,1010.4,11.4,24.5,11,14
2024-01-03T02:00,19.1,82,0.00,1011.0,12.4,25.7,17,15
2024-01-03T03:00,20.4,80,0.00,1011.5,12.8,26.6,22,19
2024-01-03T04:00,22.7,73,0.00,1012.2,11.2,17.8,15,18
2024-01-03T05:00,25.3,64,0.00,1012.3,11.5,16.0,4,8
2024-01-03T06:00,27.4,56,0.00,1011.4,11.7,15.2,349,353
2024-01-03T07:00,28.4,53,0.00,1010.0,12.7,16.2,335,339
2024-01-03T08:00,28.5,55,0.00,1008.8,15.4,19.7,327,332
2024-01-03T09:00,28.0,56,0.00,1008.1,17.4,22.6,326,329
2024-01-03T10:00,27.4,55,0.00,1007.6,17.7,23.8,331,333
2024-01-03T11:00,26.5,57,0.00,1007.5,16.9,23.3,336,338
2024-01-03T12:00,25.3,62,0.00,1008.0,14.5,21.5,341,342
2024-01-03T13:00,23.8,72,0.00,1008.6,13.7,24.6,346,349
2024-01-03T14:00,23.0,77,0.00,1009.5,14.1,26.0,356,355
2024-01-03T15:00,22.5,79,0.00,1010.1,13.0,25.2,2,359
2024-01-03T16:00,22.0,82,0.00,1010.2,9.4,21.3,18,12
2024-01-03T17:00,21.6,83,0.00,1010.6,10.7,23.4,12,10
2024-01-03T18:00,21.4,80,0.00,1010.5,11.1,24.0,13,13
2024-01-03T19:00,21.0,73,0.00,1010.2,11.9,25.1,14,16
2024-01-03T20:00,20.5,71,0.00,1010.2,12.0,24.9,16,18
2024-01-03T21:00,19.9,74,0.00,1009.8,12.9,26.0,13,14
2024-01-03T22:00,19.3,77,0.00,1009.4,11.3,23.9,17,18
2024-01-03T23:00,18.6,81,0.00,1009.4,10.5,22.4,16,15
2024-01-04T00:00,18.2,83,0.00,1010.1,11.4,24.0,11,9
2024-01-04T01:00,18.9,84,0.00,1010.8,10.7,21.5,12,9
2024-01-04T02:00,18.9,85,0.00,1011.4,11.2,22.6,15,8
2024-01-04T03:00,20.4,80,0.00,1012.2,10.6,21.7,18,12
2024-01-04T04:00,22.7,72,0.00,1012.9,8.2,13.0,15,14
2024-01-04T05:00,25.2,65,0.00,1012.9,8.6,11.5,358,2
2024-01-04T06:00,26.9,60,0.00,1011.9,9.5,12.2,335,341
2024-01-04T07:00,27.8,58,0.00,1010.5,11.5,14.0,321,325
2024-01-04T08:00,28.1,58,0.00,1009.2,13.0,16.0,312,316
2024-01-04T09:00,27.6,64,0.00,1008.5,15.0,19.3,312,315
2024-01-04T10:00,27.0,65,0.00,1007.8,15.8,20.7,317,319
2024-01-04T11:00,26.1,66,0.00,1007.8,15.7,21.0,323,325
2024-01-04T12:00,24.9,74,0.00,1008.3,13.5,19.8,331,333
2024-01-04T13:00,22.9,85,0.00,1009.1,12.5,22.6,342,343
2024-01-04T14:00,22.1,90,0.00,1010.0,12.1,23.4,350,349
2024-01-04T15:00,21.8,90,0.00,1010.8,12.3,25.4,357,353
2024-01-04T16:00,21.9,85,0.00,1011.2,11.6,25.1,353,352
2024-01-04T17:00,21.7,82,0.00,1011.2,10.5,23.5,8,5
2024-01-04T18:00,21.1,83,0.00,1010.9,11.0,24.2,19,18
2024-01-04T19:00,20.8,82,0.00,1010.6,11.6,24.9,16,18
2024-01-04T20:00,20.5,81,0.00,1010.4,13.7,26.9,14,16
2024-01-04T21:00,19.8,82,0.00,1010.2,13.4,26.6,14,16
2024-01-04T22:00,19.1,85,0.00,1009.8,12.1,24.2,23,23
2024-01-04T23:00,18.3,89,0.00,1009.5,10.8,22.9,21,22
2024-01-05T00:00,17.8,92,0.00,1009.9,10.5,22.3,16,18
2024-01-05T01:00,17.6,94,0.00,1011.2,8.4,18.2,31,25
2024-01-05T02:00,17.3,95,0.00,1011.7,8.3,17.4,34,30
2024-01-05T03:00,19.1,88,0.00,1012.1,7.9,17.3,24,23
2024-01-05T04:00,21.9,78,0.00,1012.8,7.0,13.5,21,25
2024-01-05T05:00,24.9,68,0.00,1012.7,7.7,10.6,11,18
2024-01-05T06:00,27.1,58,0.00,1011.8,7.6,9.7,355,2
2024-01-05T07:00,28.5,48,0.00,1010.6,8.4,10.5,329,338
2024-01-05T08:00,28.8,47,0.00,1009.5,10.9,13.5,314,318
2024-01-05T09:00,28.2,58,0.00,1008.8,13.8,17.1,311,314
2024-01-05T10:00,27.6,63,0.00,1008.6,14.5,18.6,316,319
2024-01-05T11:00,26.8,63,0.00,1008.7,14.8,19.9,326,328
2024-01-05T12:00,25.4,68,0.00,1009.3,13.7,20.6,333,335
2024-01-05T13:00,23.7,78,0.00,1009.9,15.3,26.5,345,348
2024-01-05T14:00,22.9,78,0.00,1011.0,14.1,26.0,357,356
2024-01-05T15:00,22.5,78,0.00,1011.5,11.9,24.5,5,3
2024-01-05T16:00,22.0,79,0.00,1011.6,10.8,23.7,15,13
2024-01-05T17:00,21.7,76,0.00,1011.7,12.7,26.7,15,16
2024-01-05T18:00,21.7,65,0.00,1011.5,16.3,31.3,14,15
2024-01-05T19:00,21.2,65,0.00,1011.4,17.8,32.0,18,19
2024-01-05T20:00,20.4,69,0.00,1011.2,15.6,29.8,26,28
2024-01-05T21:00,19.8,72,0.00,1010.6,12.0,25.1,33,35
2024-01-05T22:00,19.2,76,0.00,1010.1,11.4,23.4,24,29
2024-01-05T23:00,18.6,79,0.00,1009.8,11.4,23.7,24,28
2024-01-06T00:00,18.1,82,0.00,1010.2,9.3,20.5,36,38
2024-01-06T01:00,18.8,78,0.00,1010.5,12.3,25.2,15,19
2024-01-06T02:00,18.8,80,0.00,1011.1,12.6,25.9,13,16
2024-01-06T03:00,20.4,75,0.00,1012.0,12.5,26.0,18,22
2024-01-06T04:00,22.9,68,0.00,1012.5,10.1,20.0,17,23
2024-01-06T05:00,26.3,61,0.00,1012.4,9.3,13.0,16,24
2024-01-06T06:00,29.2,54,0.00,1011.2,7.9,10.3,360,12
2024-01-06T07:00,30.8,38,0.00,1009.9,9.5,11.4,335,349
2024-01-06T08:00,31.0,38,0.00,1008.8,12.5,14.3,311,319
2024-01-06T09:00,29.8,50,0.00,1008.1,16.8,21.0,305,308
2024-01-06T10:00,29.2,55,0.00,1007.9,16.2,21.2,307,310
2024-01-06T11:00,28.4,57,0.00,1008.1,15.9,23.1,321,326
2024-01-06T12:00,26.8,67,0.00,1008.6,14.2,23.5,330,337
2024-01-06T13:00,25.0,70,0.00,1010.1,14.8,26.4,346,349
2024-01-06T14:00,24.2,71,0.00,1011.0,14.2,27.3,353,352
2024-01-06T15:00,23.8,72,0.00,1011.4,13.4,26.0,355,354
2024-01-06T16:00,23.4,74,0.00,1011.7,11.2,23.1,356,356
2024-01-06T17:00,22.9,78,0.00,1011.5,9.4,20.6,7,5
2024-01-06T18:00,22.0,80,0.00,1011.2,7.3,18.2,11,14
2024-01-06T19:00,21.6,78,0.00,1010.7,9.5,20.9,25,21
2024-01-06T20:00,20.9,77,0.00,1010.3,8.7,18.4,30,39
2024-01-06T21:00,20.2,78,0.00,1009.9,7.5,16.0,35,59
2024-01-06T22:00,20.0,79,0.00,1009.6,7.1,13.9,24,59
2024-01-06T23:00,19.8,79,0.00,1009.6,6.7,14.2,36,66
2024-01-07T00:00,19.6,80,0.00,1009.9,6.1,15.9,62,87
2024-01-07T01:00,20.5,77,0.00,1010.6,4.2,9.7,20,68
2024-01-07T02:00,20.9,76,0.00,1011.3,7.1,13.0,30,62
2024-01-07T03:00,22.9,70,0.00,1012.0,5.9,11.8,38,78
2024-01-07T04:00,25.5,62,0.00,1012.7,4.5,10.1,104,107
2024-01-07T05:00,28.4,52,0.00,1012.7,7.6,11.3,109,107
2024-01-07T06:00,29.9,45,0.00,1011.9,2.1,4.4,149,125
2024-01-07T07:00,30.0,46,0.00,1010.7,2.3,0.7,288,270
2024-01-07T08:00,30.3,48,0.00,1009.4,9.0,9.7,299,301
2024-01-07T09:00,29.1,58,0.00,1008.7,14.5,18.6,314,317
2024-01-07T10:00,29.0,57,0.00,1008.2,15.1,19.7,322,325
2024-01-07T11:00,28.3,58,0.00,1008.3,15.3,21.0,326,329
2024-01-07T12:00,27.1,62,0.00,1008.3,14.2,20.9,333,336
2024-01-07T13:00,25.1,71,0.00,1009.5,13.9,24.7,343,347
2024-01-07T14:00,24.5,73,0.00,1010.2,14.1,25.3,354,355
2024-01-07T15:00,24.2,73,0.00,1010.8,13.0,24.2,5,4
2024-01-07T16:00,23.8,74,0.00,1011.1,11.0,22.7,19,18
2024-01-07T17:00,23.6,73,0.00,1011.3,12.9,26.6,30,33
2024-01-07T18:00,23.6,70,0.00,1010.9,12.3,25.9,38,39
2024-01-07T19:00,23.3,71,0.00,1010.7,9.7,21.9,42,45
2024-01-07T20:00,22.9,72,0.00,1010.2,9.6,20.4,20,32
2024-01-07T21:00,22.4,74,0.00,1009.9,9.4,18.6,18,36
2024-01-07T22:00,22.0,74,0.00,1009.7,8.4,16.5,20,44
2024-01-07T23:00,21.6,75,0.00,1009.7,8.7,16.6,30,60
2024-01-08T00:00,21.5,73,0.00,1009.9,7.7,18.2,49,76
2024-01-08T01:00,22.6,67,0.00,1010.3,9.6,22.3,77,90
2024-01-08T02:00,23.1,63,0.00,1010.7,11.5,26.3,94,100
2024-01-08T03:00,24.9,58,0.00,1011.8,13.8,27.3,105,108
2024-01-08T04:00,27.3,52,0.00,1012.4,11.2,20.3,105,107
2024-01-08T05:00,29.7,44,0.00,1012.6,10.6,15.1,114,115
2024-01-08T06:00,31.3,39,0.00,1011.7,9.2,12.7,135,135
2024-01-08T07:00,32.1,35,0.00,1010.2,5.8,8.1,176,159
2024-01-08T08:00,32.2,37,0.00,1009.2,6.2,6.6,263,248
2024-01-08T09:00,30.6,49,0.00,1008.6,15.9,19.9,288,287
