latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
16.695957,74.26934,556.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,17.9,76,0.00,950.1,7.1,9.6,66,110
2024-01-01T01:00,17.5,73,0.00,951.8,6.7,13.5,54,81
2024-01-01T02:00,17.5,74,0.00,952.3,8.6,17.0,68,84
2024-01-01T03:00,20.0,67,0.00,953.4,8.4,17.8,83,97
2024-01-01T04:00,22.5,58,0.00,954.4,8.3,11.2,90,94
2024-01-01T05:00,24.5,55,0.00,954.5,8.3,10.5,92,96
2024-01-01T06:00,26.4,50,0.00,953.9,9.1,11.4,99,101
2024-01-01T07:00,28.2,43,0.00,953.0,8.8,11.4,102,103
2024-01-01T08:00,29.2,38,0.00,951.6,8.3,10.5,92,94
2024-01-01T09:00,29.8,35,0.00,950.8,7.2,9.0,84,85
2024-01-01T10:00,29.9,33,0.00,950.4,7.3,8.8,79,81
2024-01-01T11:00,29.6,33,0.00,950.2,6.6,8.5,77,78
2024-01-01T12:00,28.2,37,0.00,950.2,5.5,9.0,67,67
2024-01-01T13:00,26.5,44,0.00,950.7,6.6,8.0,103,95
2024-01-01T14:00,27.0,37,0.00,951.5,3.4,4.7,18,67
2024-01-01T15:00,24.3,44,0.00,951.4,5.8,8.9,7,27
2024-01-01T16:00,22.4,54,0.00,951.5,6.1,12.4,360,17
2024-01-01T17:00,23.2,50,0.00,952.0,2.6,7.5,304,35
2024-01-01T18:00,20.6,67,0.00,951.3,5.2,3.3,282,347
2024-01-01T19:00,20.2,63,0.00,950.9,6.6,11.2,331,360
2024-01-01T20:00,20.8,59,0.00,950.7,5.4,9.4,48,72
2024-01-01T21:00,20.6,62,0.00,950.1,6.4,10.5,43,98
2024-01-01T22:00,18.7,73,0.00,949.4,8.8,13.0,78,109
2024-01-01T23:00,19.4,67,0.00,949.4,6.9,11.5,96,129
2024-01-02T00:00,18.7,70,0.00,949.6,7.2,11.7,96,124
2024-01-02T01:00,18.3,71,0.00,950.8,7.3,16.3,81,104
2024-01-02T02:00,18.3,72,0.00,951.2,9.1,19.2,83,98
2024-01-02T03:00,20.6,66,0.00,952.6,9.7,20.4,88,99
2024-01-02T04:00,23.2,57,0.00,953.4,10.1,14.3,96,100
2024-01-02T05:00,25.3,53,0.00,953.3,10.1,12.9,107,108
2024-01-02T06:00,27.5,47,0.00,952.8,11.3,14.8,112,113
2024-01-02T07:00,29.1,42,0.00,951.7,10.7,13.9,110,111
2024-01-02T08:00,29.9,38,0.00,950.5,8.8,10.7,99,102
2024-01-02T09:00,30.3,36,0.00,949.7,7.2,8.7,96,97
2024-01-02T10:00,30.5,35,0.00,949.1,6.8,8.4,93,97
2024-01-02T11:00,30.1,36,0.00,949.1,5.8,6.9,94,99
2024-01-02T12:00,28.9,39,0.00,949.2,8.1,12.4,69,73
2024-01-02T13:00,26.6,44,0.00,949.7,7.4,14.6,47,52
2024-01-02T14:00,25.4,48,0.00,950.4,8.1,16.8,69,67
2024-01-02T15:00,25.9,45,0.00,951.2,4.2,9.0,149,90
2024-01-02T16:00,23.4,59,0.00,951.4,10.9,17.7,278,276
2024-01-02T17:00,22.2,69,0.00,951.1,9.2,20.5,296,298
2024-01-02T18:00,21.5,73,0.00,950.7,7.9,17.2,286,290
2024-01-02T19:00,20.8,76,0.00,950.6,5.1,11.9,352,331
2024-01-02T20:00,20.6,80,0.00,950.0,4.8,9.7,318,345
2024-01-02T21:00,20.5,77,0.00,949.4,4.8,10.8,333,356
2024-01-02T22:00,19.5,82,0.00,948.9,4.7,11.2,4,33
2024-01-02T23:00,18.7,87,0.00,948.6,5.8,9.3,4,62
2024-01-03T00:00,18.4,85,0.00,949.0,7.0,13.0,69,96
2024-01-03T01:00,19.0,73,0.00,950.1,8.8,19.1,81,94
2024-01-03T02:00,18.9,72,0.00,950.8,9.7,20.6,86,96
2024-01-03T03:00,20.9,65,0.00,951.9,9.7,21.0,94,103
2024-01-03T04:00,23.2,56,0.00,952.8,11.6,16.3,112,112
2024-01-03T05:00,25.4,51,0.00,953.1,11.1,14.7,119,121
2024-01-03T06:00,27.5,45,0.00,952.4,11.3,14.6,127,128
2024-01-03T07:00,29.2,39,0.00,951.0,10.0,13.0,128,129
2024-01-03T08:00,30.1,36,0.00,950.0,8.4,10.7,133,135
2024-01-03T09:00,30.8,34,0.00,949.2,6.8,8.4,148,149
2024-01-03T10:00,31.0,32,0.00,948.6,6.5,7.9,180,177
2024-01-03T11:00,30.4,33,0.00,948.4,8.1,10.2,201,198
2024-01-03T12:00,29.3,36,0.00,948.6,6.2,9.4,201,198
2024-01-03T13:00,26.7,55,0.00,948.3,5.4,8.1,274,249
2024-01-03T14:00,26.3,49,0.00,948.9,8.7,17.7,265,264
2024-01-03T15:00,23.9,67,0.00,949.9,11.2,21.6,266,271
2024-01-03T16:00,23.0,73,0.00,950.3,10.0,18.2,283,279
2024-01-03T17:00,22.5,75,0.00,950.4,8.7,19.0,294,289
2024-01-03T18:00,22.0,78,0.00,950.5,7.8,16.0,292,293
2024-01-03T19:00,21.4,80,0.00,949.7,4.2,13.0,301,298
2024-01-03T20:00,21.2,79,0.00,949.2,5.2,12.1,286,287
2024-01-03T21:00,21.0,79,0.00,948.9,2.3,5.0,51,300
2024-01-03T22:00,20.2,84,0.00,948.7,5.4,7.1,127,120
2024-01-03T23:00,19.4,90,0.00,948.8,2.3,2.5,288,315
2024-01-04T00:00,19.1,92,0.00,949.2,3.6,4.1,276,315
2024-01-04T01:00,19.3,93,0.00,950.5,3.2,4.6,63,39
2024-01-04T02:00,19.6,91,0.00,951.1,6.0,9.4,73,67
2024-01-04T03:00,21.7,79,0.00,952.5,5.6,12.1,45,53
2024-01-04T04:00,24.2,65,0.00,953.5,8.1,11.0,77,79
2024-01-04T05:00,26.0,55,0.00,953.6,9.2,12.0,111,111
2024-01-04T06:00,27.6,49,0.00,952.6,7.1,9.2,131,132
2024-01-04T07:00,28.8,44,0.00,951.1,5.1,6.6,141,139
2024-01-04T08:00,29.7,38,0.00,949.9,2.5,3.3,135,131
2024-01-04T09:00,30.5,35,0.00,949.1,1.1,1.1,72,90
2024-01-04T10:00,30.5,34,0.00,948.4,1.5,1.8,284,281
2024-01-04T11:00,30.4,33,0.00,948.2,5.2,6.4,254,254
2024-01-04T12:00,29.2,36,0.00,948.6,10.0,15.0,240,240
2024-01-04T13:00,27.4,46,0.00,948.9,5.2,12.0,168,187
2024-01-04T14:00,25.5,51,0.00,949.7,4.7,10.9,180,189
2024-01-04T15:00,24.2,56,0.00,950.8,9.8,18.5,234,246
2024-01-04T16:00,23.1,63,0.00,951.1,7.4,15.0,247,259
2024-01-04T17:00,22.2,69,0.00,951.1,7.2,13.6,207,217
2024-01-04T18:00,21.5,75,0.00,950.7,6.2,13.9,201,205
2024-01-04T19:00,20.8,80,0.00,950.4,4.3,10.8,204,206
2024-01-04T20:00,20.8,80,0.00,949.9,5.4,11.5,188,194
2024-01-04T21:00,20.1,85,0.00,949.2,5.7,13.7,198,194
2024-01-04T22:00,19.5,89,0.00,948.7,4.4,11.1,235,216
2024-01-04T23:00,19.3,90,0.00,948.5,1.8,4.3,360,228
2024-01-05T00:00,19.5,89,0.00,948.9,1.6,4.0,63,170
2024-01-05T01:00,19.2,90,0.00,950.4,3.3,8.9,41,43
2024-01-05T02:00,18.8,94,0.80,951.3,4.0,2.4,297,297
2024-01-05T03:00,20.5,86,0.00,951.9,4.2,7.0,20,55
2024-01-05T04:00,22.7,76,0.00,952.8,3.2,4.3,90,95
2024-01-05T05:00,24.8,66,0.00,953.1,5.9,7.7,128,131
2024-01-05T06:00,26.4,59,0.00,952.2,7.4,9.4,141,140
2024-01-05T07:00,27.9,49,0.00,951.1,6.2,7.8,159,158
2024-01-05T08:00,29.2,41,0.00,950.0,4.3,5.6,204,195
2024-01-05T09:00,29.9,38,0.00,949.1,5.6,6.6,255,248
2024-01-05T10:00,30.1,37,0.00,948.7,7.5,9.6,253,250
2024-01-05T11:00,29.7,36,0.00,948.6,8.2,10.8,247,244
2024-01-05T12:00,28.9,39,0.00,948.8,5.4,8.2,250,247
2024-01-05T13:00,26.7,49,0.00,949.3,5.2,9.8,348,336
2024-01-05T14:00,25.2,63,0.00,950.0,4.9,6.6,324,319
2024-01-05T15:00,24.3,59,0.00,951.0,12.4,22.1,262,264
2024-01-05T16:00,22.8,64,0.00,951.2,9.7,20.0,270,277
2024-01-05T17:00,22.0,68,0.00,951.1,4.2,11.8,290,293
2024-01-05T18:00,21.5,71,0.00,951.0,3.7,9.5,281,295
2024-01-05T19:00,21.2,70,0.00,950.5,5.4,12.3,318,320
2024-01-05T20:00,20.5,71,0.00,950.0,4.3,10.0,48,21
2024-01-05T21:00,19.8,74,0.00,949.3,4.7,11.2,32,40
2024-01-05T22:00,18.8,83,0.00,948.9,5.4,10.6,82,100
2024-01-05T23:00,18.8,85,0.00,948.8,5.8,12.8,112,122
2024-01-06T00:00,18.7,87,0.00,949.6,6.4,13.4,128,126
2024-01-06T01:00,19.4,83,0.00,950.0,6.0,16.6,115,120
2024-01-06T02:00,20.1,81,0.00,950.6,7.6,17.1,149,145
2024-01-06T03:00,22.3,75,0.00,951.9,6.6,14.7,151,149
2024-01-06T04:00,24.9,64,0.00,953.1,6.9,9.8,152,152
2024-01-06T05:00,26.9,57,0.00,953.0,9.7,12.6,149,149
2024-01-06T06:00,28.2,50,0.10,952.1,11.3,14.7,149,149
2024-01-06T07:00,29.2,45,0.00,950.9,8.9,11.6,159,158
2024-01-06T08:00,29.7,42,0.10,949.8,6.2,8.0,170,170
2024-01-06T09:00,29.9,42,0.10,949.1,2.6,3.5,214,204
2024-01-06T10:00,29.8,41,0.00,948.9,3.4,4.5,252,241
2024-01-06T11:00,29.5,42,0.00,948.8,4.3,5.3,246,242
2024-01-06T12:00,28.9,43,0.00,949.4,5.2,6.5,258,251
2024-01-06T13:00,26.5,60,0.00,950.3,4.3,6.6,175,171
2024-01-06T14:00,25.5,59,0.00,951.1,4.2,9.1,211,198
2024-01-06T15:00,24.6,65,0.00,951.8,5.1,8.6,188,195
2024-01-06T16:00,24.5,65,0.00,952.2,4.1,5.9,218,223
2024-01-06T17:00,23.2,73,0.00,952.2,4.4,5.3,189,208
2024-01-06T18:00,22.3,78,0.00,951.8,3.6,4.8,233,228
2024-01-06T19:00,21.9,75,0.00,951.1,4.4,6.1,325,320
2024-01-06T20:00,21.4,76,0.00,950.3,6.5,12.6,6,24
2024-01-06T21:00,20.8,76,0.00,949.6,5.7,12.9,18,36
2024-01-06T22:00,20.6,76,0.00,949.4,5.4,12.9,48,60
2024-01-06T23:00,20.2,76,0.00,949.6,6.8,16.6,72,88
2024-01-07T00:00,19.9,74,0.00,950.1,6.8,17.9,93,105
2024-01-07T01:00,21.2,58,0.00,951.0,10.7,22.9,130,127
2024-01-07T02:00,20.9,62,0.00,951.9,12.1,23.7,127,131
2024-01-07T03:00,22.4,62,0.00,953.1,10.1,18.7,125,128
2024-01-07T04:00,24.3,59,0.00,953.8,12.1,16.7,113,115
2024-01-07T05:00,26.3,53,0.00,953.7,15.8,21.3,117,118
2024-01-07T06:00,28.4,41,0.00,952.8,17.3,23.0,121,122
2024-01-07T07:00,29.7,37,0.00,951.8,17.2,22.8,123,125
2024-01-07T08:00,30.7,35,0.00,950.5,15.7,20.8,127,127
2024-01-07T09:00,31.2,35,0.10,949.4,16.6,21.7,141,138
2024-01-07T10:00,30.7,36,0.30,949.0,15.2,20.2,144,141
2024-01-07T11:00,30.5,36,0.00,948.8,11.5,15.5,139,138
2024-01-07T12:00,29.7,37,0.00,948.9,8.2,13.8,139,139
2024-01-07T13:00,27.3,51,0.00,949.6,3.3,6.9,229,219
2024-01-07T14:00,25.6,61,0.00,950.3,10.4,16.1,256,260
2024-01-07T15:00,24.5,67,0.00,950.9,7.9,13.8,286,277
2024-01-07T16:00,24.2,69,0.00,951.3,5.2,7.4,335,317
2024-01-07T17:00,23.6,72,0.00,951.5,5.5,10.7,32,70
