latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.124779,79.11585,315.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,14.5,93,0.00,978.4,8.6,13.5,33,61
2024-01-01T01:00,14.6,93,0.00,979.6,5.2,11.6,34,68
2024-01-01T02:00,15.6,90,0.00,980.2,6.1,12.5,50,78
2024-01-01T03:00,18.6,79,0.00,981.4,4.2,11.2,70,84
2024-01-01T04:00,21.6,70,0.00,982.2,5.4,7.6,86,87
2024-01-01T05:00,23.9,63,0.00,982.1,6.1,8.0,90,95
2024-01-01T06:00,25.8,56,0.00,981.5,5.6,7.0,105,111
2024-01-01T07:00,27.2,48,0.00,980.0,4.6,5.9,129,133
2024-01-01T08:00,28.0,43,0.00,978.8,3.3,4.1,131,135
2024-01-01T09:00,28.3,42,0.00,977.8,2.2,2.9,81,90
2024-01-01T10:00,28.2,41,0.00,977.3,3.2,3.7,63,61
2024-01-01T11:00,27.4,43,0.00,977.2,5.2,6.4,65,63
2024-01-01T12:00,24.0,56,0.00,977.2,6.0,14.4,65,68
2024-01-01T13:00,21.3,53,0.00,977.6,9.4,16.5,97,101
2024-01-01T14:00,20.5,55,0.00,978.1,9.8,12.5,96,102
2024-01-01T15:00,19.4,59,0.00,978.6,9.4,9.8,92,98
2024-01-01T16:00,18.7,64,0.00,978.9,9.9,11.2,80,94
2024-01-01T17:00,21.5,51,0.00,979.3,5.5,7.6,79,115
2024-01-01T18:00,22.0,47,0.00,979.1,4.4,6.7,145,144
2024-01-01T19:00,21.9,46,0.00,978.4,3.3,5.3,131,152
2024-01-01T20:00,20.7,50,0.00,977.9,4.7,6.3,184,149
2024-01-01T21:00,17.0,66,0.00,977.2,6.4,6.9,52,99
2024-01-01T22:00,15.7,75,0.00,977.2,7.0,14.8,78,96
2024-01-01T23:00,15.0,80,0.00,977.2,6.2,8.4,36,97
2024-01-02T00:00,14.1,86,0.00,977.3,6.8,6.4,18,74
2024-01-02T01:00,14.1,96,0.00,978.9,5.9,10.3,38,65
2024-01-02T02:00,15.3,93,0.00,979.6,5.4,11.3,48,73
2024-01-02T03:00,18.5,81,0.00,980.6,4.5,11.6,76,83
2024-01-02T04:00,21.7,69,0.00,981.3,5.1,7.2,86,84
2024-01-02T05:00,24.2,59,0.00,981.1,5.4,7.2,90,93
2024-01-02T06:00,26.2,52,0.00,980.0,5.8,7.3,97,99
2024-01-02T07:00,27.5,44,0.00,978.7,5.6,7.2,105,108
2024-01-02T08:00,28.3,39,0.00,977.7,5.5,6.9,113,118
2024-01-02T09:00,28.5,37,0.00,976.9,5.5,6.4,113,117
2024-01-02T10:00,28.3,37,0.00,976.3,5.4,6.6,98,103
2024-01-02T11:00,27.5,39,0.00,976.4,5.8,7.9,86,90
2024-01-02T12:00,24.3,50,0.00,976.4,6.0,13.5,73,81
2024-01-02T13:00,21.3,52,0.00,977.0,10.4,11.9,124,119
2024-01-02T14:00,20.4,55,0.00,977.6,10.7,10.4,110,110
2024-01-02T15:00,19.4,59,0.00,978.0,10.3,12.0,102,111
2024-01-02T16:00,18.5,66,0.00,978.2,9.4,12.4,94,107
2024-01-02T17:00,18.1,68,0.00,978.1,9.9,12.9,109,117
2024-01-02T18:00,18.5,65,0.00,977.9,8.8,12.2,145,135
2024-01-02T19:00,16.9,72,0.00,977.6,10.0,11.7,142,133
2024-01-02T20:00,17.1,69,0.00,977.4,8.2,20.9,113,114
2024-01-02T21:00,16.1,75,0.00,977.0,7.2,19.4,143,137
2024-01-02T22:00,16.2,76,0.00,976.9,7.9,13.8,150,147
2024-01-02T23:00,17.5,70,0.00,977.0,5.6,11.6,105,144
2024-01-03T00:00,15.0,84,0.00,976.9,6.5,9.5,56,119
2024-01-03T01:00,14.5,90,0.00,977.9,6.5,11.1,84,115
2024-01-03T02:00,15.8,85,0.00,978.8,6.7,13.2,74,101
2024-01-03T03:00,18.6,75,0.00,980.3,5.9,12.2,47,66
2024-01-03T04:00,21.4,66,0.00,980.8,5.8,7.9,90,93
2024-01-03T05:00,23.9,59,0.00,980.7,5.9,7.6,133,135
2024-01-03T06:00,25.8,56,0.00,979.6,6.5,8.7,161,163
2024-01-03T07:00,27.0,50,0.00,978.1,6.8,8.8,162,161
2024-01-03T08:00,27.8,43,0.00,977.0,5.4,6.9,172,174
2024-01-03T09:00,28.1,41,0.00,976.1,5.0,6.5,180,183
2024-01-03T10:00,27.9,41,0.00,976.0,5.1,6.2,188,190
2024-01-03T11:00,27.3,43,0.00,975.9,4.7,6.5,171,174
2024-01-03T12:00,23.8,61,0.00,975.8,7.8,9.4,158,162
2024-01-03T13:00,20.9,88,0.30,976.7,6.6,11.8,158,117
2024-01-03T14:00,19.9,89,1.50,977.4,12.0,21.3,189,191
2024-01-03T15:00,20.2,84,0.10,977.2,13.4,24.0,126,139
2024-01-03T16:00,20.0,85,0.00,978.2,9.0,19.8,178,170
2024-01-03T17:00,19.9,80,0.00,977.8,8.9,19.4,133,140
2024-01-03T18:00,20.4,75,0.00,977.5,2.5,8.2,8,128
2024-01-03T19:00,17.7,91,0.00,976.9,5.1,7.3,8,81
2024-01-03T20:00,17.4,94,0.00,976.6,4.0,5.6,333,50
2024-01-03T21:00,17.9,93,0.00,976.5,5.9,9.0,349,360
2024-01-03T22:00,16.8,96,0.00,976.3,4.7,11.9,99,95
2024-01-03T23:00,15.9,97,0.00,976.4,7.1,12.6,49,77
2024-01-04T00:00,15.9,96,0.00,976.4,7.8,13.0,77,93
2024-01-04T01:00,17.3,92,0.00,978.0,4.9,12.6,73,103
2024-01-04T02:00,17.5,93,0.00,979.3,5.5,12.3,67,85
