latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
19.437609,72.76786,14.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,21.8,80,0.00,1010.4,9.8,20.1,17,24
2024-01-01T01:00,21.0,86,0.00,1011.6,5.8,11.9,22,29
2024-01-01T02:00,20.6,87,0.00,1012.2,6.6,12.6,29,27
2024-01-01T03:00,22.3,76,0.00,1012.8,7.8,13.0,34,34
2024-01-01T04:00,25.2,62,0.00,1013.4,6.4,11.5,16,32
2024-01-01T05:00,28.2,51,0.00,1013.2,5.8,7.0,356,12
2024-01-01T06:00,30.1,45,0.00,1012.4,4.8,5.0,318,330
2024-01-01T07:00,30.9,46,0.00,1011.4,10.3,10.6,295,298
2024-01-01T08:00,30.5,52,0.00,1010.1,15.6,17.7,296,297
2024-01-01T09:00,30.0,55,0.00,1009.5,17.2,20.3,303,303
2024-01-01T10:00,29.2,55,0.00,1009.1,18.6,24.2,316,317
2024-01-01T11:00,28.3,57,0.00,1008.9,18.1,24.3,329,331
2024-01-01T12:00,26.9,69,0.00,1009.1,17.6,25.3,332,334
2024-01-01T13:00,25.4,76,0.00,1010.1,16.9,27.4,340,341
2024-01-01T14:00,24.9,78,0.00,1011.0,16.5,28.0,350,348
2024-01-01T15:00,24.5,75,0.00,1011.7,14.4,26.0,359,356
2024-01-01T16:00,23.9,74,0.00,1012.4,12.1,23.5,12,5
2024-01-01T17:00,23.3,70,0.00,1012.4,11.8,23.6,23,16
2024-01-01T18:00,22.9,66,0.00,1012.0,11.4,23.4,28,23
2024-01-01T19:00,22.4,66,0.00,1011.5,8.9,20.9,32,29
2024-01-01T20:00,21.9,70,0.00,1011.1,8.2,20.4,15,21
2024-01-01T21:00,21.8,73,0.00,1010.6,9.1,20.2,7,11
2024-01-01T22:00,21.6,74,0.00,1010.1,9.9,21.6,10,11
2024-01-01T23:00,21.4,74,0.00,1010.2,9.7,20.8,15,14
2024-01-02T00:00,20.8,77,0.00,1010.4,8.9,19.3,21,21
2024-01-02T01:00,21.2,79,0.00,1011.0,8.7,17.7,7,13
2024-01-02T02:00,21.0,81,0.00,1011.5,8.9,17.8,14,14
2024-01-02T03:00,22.2,76,0.00,1012.0,9.7,17.8,15,18
2024-01-02T04:00,24.7,65,0.00,1012.4,9.1,13.9,7,10
2024-01-02T05:00,27.3,57,0.00,1012.2,9.1,11.2,353,358
2024-01-02T06:00,29.2,51,0.00,1011.3,8.9,10.5,328,338
2024-01-02T07:00,30.0,51,0.00,1010.2,13.0,15.3,314,317
2024-01-02T08:00,29.6,57,0.00,1009.2,18.4,22.5,309,311
2024-01-02T09:00,29.0,58,0.00,1008.6,20.1,25.2,313,314
2024-01-02T10:00,28.6,55,0.00,1008.1,18.9,24.2,318,319
2024-01-02T11:00,27.7,61,0.00,1008.3,18.6,24.8,324,327
2024-01-02T12:00,26.3,68,0.00,1008.7,18.7,26.1,332,334
2024-01-02T13:00,24.9,77,0.00,1009.7,18.7,29.2,337,338
2024-01-02T14:00,24.4,77,0.00,1010.7,17.8,29.1,346,345
2024-01-02T15:00,24.0,75,0.00,1011.4,15.9,27.3,354,351
2024-01-02T16:00,23.6,73,0.00,1011.8,14.4,25.9,4,360
2024-01-02T17:00,22.8,68,0.00,1012.0,12.1,23.1,23,14
2024-01-02T18:00,22.0,65,0.00,1011.9,8.8,19.2,35,26
2024-01-02T19:00,20.7,68,0.00,1011.6,6.3,16.8,24,23
2024-01-02T20:00,21.0,67,0.00,1011.1,9.4,20.9,4,11
2024-01-02T21:00,20.7,69,0.00,1010.6,9.0,20.2,16,19
2024-01-02T22:00,20.4,70,0.00,1010.1,9.6,21.0,20,22
2024-01-02T23:00,20.4,70,0.00,1009.8,11.2,22.9,15,19
2024-01-03T00:00,20.2,72,0.00,1009.8,11.5,23.7,14,20
2024-01-03T01:00,20.5,77,0.00,1010.5,10.6,20.6,10,12
2024-01-03T02:00,20.2,79,0.00,1011.1,10.4,20.4,14,14
2024-01-03T03:00,21.3,75,0.00,1011.6,11.5,21.2,14,15
2024-01-03T04:00,23.5,68,0.00,1012.3,12.0,17.2,7,10
2024-01-03T05:00,26.1,60,0.00,1012.4,12.6,16.6,355,360
2024-01-03T06:00,28.2,53,0.00,1011.5,13.3,16.2,341,347
2024-01-03T07:00,29.0,52,0.00,1010.0,15.5,18.7,324,330
2024-01-03T08:00,28.8,55,0.00,1008.7,19.9,24.7,319,323
2024-01-03T09:00,28.4,56,0.00,1008.0,21.5,27.3,320,324
2024-01-03T10:00,27.8,55,0.00,1007.5,21.3,27.7,326,328
2024-01-03T11:00,27.0,56,0.00,1007.6,20.0,26.6,330,332
2024-01-03T12:00,25.7,63,0.00,1008.1,18.7,26.3,335,337
2024-01-03T13:00,24.5,71,0.00,1008.7,16.9,26.8,340,343
2024-01-03T14:00,23.8,76,0.00,1009.6,16.5,27.3,350,351
2024-01-03T15:00,23.3,79,0.00,1010.3,15.5,26.7,355,355
2024-01-03T16:00,22.7,80,0.00,1010.6,11.7,21.8,11,9
2024-01-03T17:00,22.0,82,0.00,1010.7,10.6,20.4,10,8
2024-01-03T18:00,21.9,83,0.00,1010.7,12.6,23.8,3,2
2024-01-03T19:00,21.5,84,0.00,1010.4,11.3,22.1,7,6
2024-01-03T20:00,21.2,80,0.00,1010.2,13.0,23.9,6,7
2024-01-03T21:00,20.9,75,0.00,1009.9,14.8,26.1,6,7
2024-01-03T22:00,20.5,75,0.00,1009.6,13.6,25.0,12,12
2024-01-03T23:00,19.8,79,0.00,1009.5,10.9,21.1,17,17
2024-01-04T00:00,19.3,83,0.00,1010.1,12.3,22.7,3,4
2024-01-04T01:00,20.2,83,0.00,1010.8,9.7,19.1,358,358
2024-01-04T02:00,19.8,86,0.00,1011.5,10.2,19.8,8,2
2024-01-04T03:00,20.8,80,0.00,1012.5,10.5,19.7,16,9
2024-01-04T04:00,23.0,70,0.00,1013.2,9.8,14.6,8,9
2024-01-04T05:00,25.6,62,0.00,1013.1,11.4,14.5,349,353
2024-01-04T06:00,27.4,57,0.00,1012.1,13.0,16.1,332,336
2024-01-04T07:00,28.1,57,0.00,1010.7,15.0,18.2,318,322
