Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,68.63,100.88,2.87,10.9,7.24,18.58,9.53,0.49,19.6,2.59,15.4,,,1.04,2.5,21.24,73.19,3.49,262.7,0.0,0.0,0.0,,
2024-01-01 01:00:00,76.3,124.22,3.08,11.37,7.46,18.41,9.95,0.52,15.03,2.88,16.9,,,1.19,3.28,20.56,76.56,3.8,254.36,0.0,0.0,0.0,,
2024-01-01 02:00:00,76.15,118.72,3.38,10.9,6.96,19.69,10.97,0.5,12.96,3.42,15.85,,,1.12,2.94,19.82,79.01,3.68,300.56,0.0,0.0,0.0,,
2024-01-01 03:00:00,73.5,94.66,3.36,15.92,10.53,23.43,5.48,0.58,5.98,2.94,15.25,,,1.13,2.97,19.45,82.98,3.71,171.02,0.0,0.0,0.0,,
2024-01-01 04:00:00,77.38,93.73,3.98,18.02,11.67,22.51,7.44,0.64,3.62,9.62,16.23,,,1.44,3.18,18.76,86.62,3.18,303.81,0.0,0.0,0.0,,
2024-01-01 05:00:00,84.31,113.06,5.92,20.66,12.43,25.22,6.38,0.77,1.44,4.63,7.31,,,0.91,1.85,18.56,87.46,3.77,69.49,0.0,0.0,0.0,,
2024-01-01 06:00:00,83.14,111.32,5.32,18.17,11.01,22.32,7.31,0.66,6.4,11.9,18.08,,,1.47,2.88,18.22,88.1,3.9,72.15,0.0,0.0,0.0,,
2024-01-01 07:00:00,87.0,98.65,6.01,17.63,10.23,21.01,7.43,0.63,11.18,8.5,18.88,,,1.28,2.61,18.22,87.13,3.98,57.83,0.0,0.0,17.03,,
2024-01-01 08:00:00,88.1,102.26,10.79,23.47,11.66,21.42,9.82,0.7,13.98,8.65,20.58,,,1.4,3.2,19.87,77.89,3.8,78.53,0.0,0.0,121.45,,
2024-01-01 09:00:00,88.76,117.98,6.76,16.48,9.25,20.26,8.0,0.65,21.69,7.43,20.87,,,1.28,2.8,21.7,71.37,4.81,86.54,0.0,0.0,259.32,,
2024-01-01 10:00:00,84.87,114.26,4.29,11.75,7.04,18.59,7.99,0.58,42.26,5.55,20.78,,,1.18,2.5,24.71,61.58,5.04,77.28,0.0,0.0,392.98,,
2024-01-01 11:00:00,76.86,103.7,3.24,10.3,6.61,18.25,8.2,0.53,59.1,4.12,19.48,,,1.06,2.25,26.36,56.66,5.03,66.06,0.0,0.0,469.02,,
2024-01-01 12:00:00,69.84,111.62,2.33,9.93,6.86,19.16,9.12,0.42,69.89,3.09,15.4,,,0.94,2.14,27.8,53.54,4.77,77.12,0.0,0.0,222.28,,
2024-01-01 13:00:00,69.76,139.06,2.5,10.3,7.02,20.31,10.62,0.44,69.26,2.28,10.94,,,0.84,1.96,29.73,48.55,4.2,116.37,0.0,0.0,406.6,,
2024-01-01 14:00:00,64.84,161.23,1.74,7.38,5.38,21.24,9.64,0.41,73.31,2.08,12.14,,,0.84,1.84,30.2,47.43,4.89,97.25,0.0,0.0,376.82,,
2024-01-01 15:00:00,61.14,152.1,1.7,7.46,5.47,21.15,10.45,0.42,67.97,1.85,13.57,,,0.9,1.94,30.06,48.12,5.26,81.5,0.0,0.0,147.9,,
2024-01-01 16:00:00,61.62,144.31,1.7,8.24,6.02,16.43,12.85,0.46,61.17,2.01,13.53,,,0.93,2.02,29.05,51.26,5.09,80.94,0.0,0.0,72.75,,
2024-01-01 17:00:00,68.72,140.3,1.71,11.38,8.25,14.98,12.9,0.56,42.45,1.98,13.61,,,1.0,2.4,27.89,54.52,4.29,54.19,0.0,0.0,11.05,,
2024-01-01 18:00:00,66.52,142.94,1.72,15.85,11.41,15.01,11.42,0.73,28.5,2.9,16.26,,,1.48,5.23,26.42,57.2,5.0,49.19,0.0,0.0,0.0,,
2024-01-01 19:00:00,68.95,148.76,1.9,17.58,12.54,18.86,12.34,0.79,29.98,3.97,17.92,,,1.8,6.88,25.67,59.78,5.02,53.02,0.0,0.0,0.0,,
2024-01-01 20:00:00,69.08,143.1,2.02,13.14,9.32,21.7,10.12,0.59,29.35,3.42,15.22,,,1.43,4.6,24.52,65.46,3.81,303.14,0.0,0.0,0.0,,
2024-01-01 21:00:00,69.54,139.43,2.01,14.7,10.43,23.3,8.69,0.73,19.96,2.98,16.41,,,1.49,5.05,23.44,70.5,3.7,256.66,0.0,0.0,0.0,,
2024-01-01 22:00:00,73.26,136.38,2.08,14.87,10.52,21.73,7.62,0.8,15.22,3.38,19.54,,,1.73,6.24,22.68,72.83,3.82,275.16,0.0,0.0,0.0,,
2024-01-01 23:00:00,74.37,134.68,2.04,13.1,9.27,18.02,12.42,0.64,17.48,3.35,19.65,,,1.68,5.8,22.19,74.85,3.7,265.72,0.0,0.0,0.0,,
2024-01-02 00:00:00,73.27,127.62,2.52,12.86,8.84,19.05,15.84,0.56,18.87,2.58,17.69,,,1.3,3.84,21.74,76.54,3.17,295.18,0.0,0.0,0.0,,
2024-01-02 01:00:00,76.99,114.57,2.76,10.77,7.22,20.61,14.94,0.51,19.96,2.21,16.13,,,1.14,2.91,21.27,78.21,2.72,241.34,0.0,0.0,0.0,,
2024-01-02 02:00:00,75.58,112.14,2.8,10.73,7.16,23.2,15.08,0.48,15.89,2.18,16.5,,,1.16,2.81,20.69,82.49,3.37,254.55,0.0,0.0,0.0,,
2024-01-02 03:00:00,72.95,115.84,3.04,11.65,7.68,25.97,14.16,0.5,11.04,2.28,17.58,,,1.24,2.94,19.86,85.75,4.59,300.23,0.0,0.0,0.0,,
2024-01-02 04:00:00,73.54,99.13,3.16,11.75,7.68,27.24,11.65,0.5,11.33,2.33,18.38,,,1.19,2.62,19.27,87.33,4.29,308.54,0.0,0.0,0.0,,
2024-01-02 05:00:00,69.77,78.66,3.12,9.8,6.31,23.79,10.75,0.51,12.83,2.38,18.84,,,1.11,2.25,18.8,89.14,3.68,237.17,0.0,0.0,0.0,,
2024-01-02 06:00:00,66.51,73.51,6.79,15.78,8.48,20.61,12.94,0.69,7.16,2.86,18.96,,,1.05,2.09,18.59,90.64,4.1,153.42,0.0,0.0,0.0,,
2024-01-02 07:00:00,,,12.08,26.9,13.36,21.19,12.94,0.73,2.46,10.74,21.41,,,1.66,3.22,18.77,89.9,4.3,75.62,0.0,0.0,6.88,,
2024-01-02 08:00:00,89.87,94.2,11.55,22.98,10.88,22.04,14.32,0.72,8.9,6.94,21.0,,,1.52,3.43,19.76,84.79,4.54,62.0,0.0,0.0,110.38,,
