Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,51.38,120.24,1.24,12.88,7.74,19.95,56.82,0.57,16.82,0.7,2.1,,,0.11,0.08,23.83,86.28,0.52,195.93,0.0,0.0,0.0,,
2024-01-01 01:00:00,49.0,121.33,1.14,13.2,7.83,18.69,56.39,0.52,18.66,0.87,4.57,,,0.1,0.08,23.33,86.54,0.47,207.71,0.0,0.0,0.0,,
2024-01-01 02:00:00,47.84,110.41,2.76,24.33,14.96,19.37,56.44,0.57,8.4,0.76,6.6,,,0.13,0.1,22.95,86.56,0.47,214.99,0.0,0.0,0.0,,
2024-01-01 03:00:00,47.16,92.76,1.5,14.96,9.03,18.8,55.98,0.62,11.2,1.17,13.26,,,0.37,0.62,22.4,86.54,0.51,203.1,0.0,0.0,0.0,,
2024-01-01 04:00:00,43.92,90.6,0.64,11.76,6.68,18.25,54.06,0.54,12.5,0.74,4.5,,,0.12,0.12,22.28,86.55,0.47,223.38,0.0,0.0,0.0,,
2024-01-01 05:00:00,45.78,88.1,1.99,16.0,9.98,20.13,53.8,0.52,6.07,0.69,6.76,,,0.14,0.12,21.85,86.58,0.44,195.09,0.0,0.0,0.0,,
2024-01-01 06:00:00,45.59,90.31,6.04,22.9,16.83,19.08,54.78,0.76,5.0,1.5,12.66,,,0.28,0.46,21.62,86.59,0.42,182.63,0.0,0.0,0.0,,
2024-01-01 07:00:00,50.76,101.87,4.46,14.66,11.25,21.56,54.94,0.66,8.18,2.17,8.09,,,0.3,0.18,21.58,86.59,0.52,181.59,0.0,0.0,0.0,,
2024-01-01 08:00:00,55.54,121.55,14.56,44.74,35.1,21.61,78.95,1.05,6.96,2.06,10.37,,,0.22,0.2,23.78,85.32,0.37,163.21,0.0,0.0,51.32,,
2024-01-01 09:00:00,86.56,151.82,6.66,38.41,25.46,19.73,129.61,1.0,18.25,3.33,60.28,,,1.11,1.48,27.04,74.09,0.56,185.07,0.0,0.0,181.6,,
2024-01-01 10:00:00,96.0,172.22,10.09,79.54,49.74,19.1,193.03,0.96,37.79,2.87,41.09,,,0.64,1.42,30.34,60.36,0.56,187.15,0.0,0.0,315.7,,
2024-01-01 11:00:00,94.67,178.39,2.79,40.59,23.49,19.41,188.52,0.76,61.27,2.06,22.86,,,0.32,0.78,33.46,49.05,0.48,197.62,0.0,0.0,384.18,,
2024-01-01 12:00:00,91.58,173.0,2.0,29.38,16.98,19.44,126.23,0.51,57.43,1.41,7.88,,,0.12,0.12,35.27,41.77,0.52,201.79,0.0,0.0,279.32,,
2024-01-01 13:00:00,72.93,152.58,1.38,17.5,10.26,22.31,76.38,0.74,62.29,0.54,1.77,,,0.13,0.04,34.84,41.07,0.53,200.36,0.0,0.0,54.0,,
2024-01-01 14:00:00,61.29,136.11,1.06,14.98,8.7,19.55,64.78,0.79,66.11,0.35,0.77,,,0.16,0.03,34.98,38.75,0.56,192.85,0.0,0.0,8.98,,
2024-01-01 15:00:00,62.27,114.9,0.9,15.8,9.0,18.43,63.73,0.58,68.47,0.23,0.58,,,0.07,0.02,35.04,38.38,0.54,194.32,0.0,0.0,0.0,,
2024-01-01 16:00:00,55.48,110.78,1.27,20.5,11.74,20.76,70.26,0.49,58.84,0.22,0.44,,,0.56,0.02,34.52,39.29,0.61,209.21,0.0,0.0,0.0,,
2024-01-01 17:00:00,55.08,114.05,1.68,32.83,18.54,20.74,74.74,0.54,46.24,0.27,0.48,,,3.01,0.06,33.31,44.0,0.62,201.78,0.0,0.0,0.0,,
2024-01-01 18:00:00,57.14,137.82,1.86,27.05,15.66,19.89,68.12,0.96,52.26,1.14,1.11,,,1.3,0.08,30.62,53.74,0.6,188.17,0.0,0.0,0.0,,
