Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,65.17,82.29,2.68,23.68,12.43,15.9,58.53,0.69,43.8,0.0,0.0,,,,,,,,,,0.0,,,
2024-01-01 01:00:00,62.43,81.22,2.72,32.65,17.14,15.58,51.86,0.74,28.18,,,,,,,,,,,,0.0,,,
2024-01-01 02:00:00,62.66,81.67,2.54,21.74,11.3,16.47,47.56,0.64,37.79,,,,,,,,,,,,0.0,,,
2024-01-01 03:00:00,63.13,81.4,2.55,18.86,9.81,15.92,47.02,0.77,32.14,,,,,,,,,,,,0.0,,,
2024-01-01 04:00:00,64.68,81.43,2.59,26.5,13.83,13.76,46.28,0.74,28.3,,,,,,,,,,,,0.0,,,
2024-01-01 05:00:00,65.5,79.1,2.7,32.29,16.94,16.37,44.63,0.76,25.0,1.52,0.0,,,,,,,,,,0.0,,,
2024-01-01 06:00:00,67.32,82.0,2.81,31.26,16.46,15.86,42.81,0.8,23.55,4.24,9.69,,,0.22,0.9,21.62,74.81,0.66,111.43,0.0,0.0,0.0,,
2024-01-01 07:00:00,65.62,82.26,6.62,46.2,27.36,15.63,43.08,1.07,16.14,4.77,13.8,,,0.29,1.5,21.81,74.77,0.98,119.94,0.0,0.0,9.8,,
2024-01-01 08:00:00,67.19,88.58,4.69,33.98,19.42,14.85,43.66,0.97,28.17,5.14,17.22,,,0.36,2.06,23.25,70.58,0.99,117.7,0.0,0.0,123.58,,
2024-01-01 09:00:00,71.64,92.22,3.81,22.89,12.92,15.61,45.16,0.92,36.33,3.49,17.8,,,0.28,1.44,24.18,67.87,1.16,121.54,0.0,0.0,248.32,,
2024-01-01 10:00:00,76.36,88.33,3.06,16.82,9.15,17.3,44.6,0.65,43.76,3.16,14.08,,,0.22,1.03,27.21,58.93,0.94,120.98,0.0,0.0,387.28,,
2024-01-01 11:00:00,74.43,82.45,2.97,16.81,9.07,15.33,43.49,0.64,51.37,2.08,8.83,,,0.14,0.63,28.62,54.45,1.07,115.68,0.0,0.0,446.65,,
2024-01-01 12:00:00,70.12,75.02,2.89,15.52,8.34,16.36,43.14,0.5,52.44,1.55,8.2,,,0.18,0.69,29.81,51.06,0.83,115.07,0.0,0.0,473.8,,
2024-01-01 13:00:00,65.25,73.06,2.67,13.11,6.9,15.65,42.19,0.44,67.99,1.22,6.65,,,0.12,0.48,30.7,48.43,0.65,115.31,0.0,0.0,431.8,,
2024-01-01 14:00:00,51.3,68.46,2.6,12.64,6.6,15.13,40.6,0.41,78.86,0.92,5.12,,,0.09,0.34,31.21,46.25,0.42,116.43,0.0,0.0,339.28,,
2024-01-01 15:00:00,45.63,60.18,2.64,14.1,7.4,17.14,38.59,0.5,80.51,0.82,3.62,,,0.08,0.27,31.13,46.97,0.77,109.91,0.0,0.0,208.35,,
2024-01-01 16:00:00,41.98,72.78,2.65,19.45,10.2,16.41,38.35,0.57,79.39,1.25,7.47,,,0.19,0.76,30.65,47.08,0.73,106.62,0.0,0.0,71.45,,
2024-01-01 17:00:00,38.4,82.76,2.84,45.37,23.89,14.92,37.76,1.23,57.06,2.46,25.62,,,0.74,4.54,29.65,48.68,0.61,108.67,0.0,0.0,0.15,,
2024-01-01 18:00:00,39.22,93.95,2.64,42.12,22.03,16.24,43.98,1.39,54.56,5.74,53.44,,,2.08,12.7,28.21,53.38,0.54,103.96,0.0,0.0,0.0,,
2024-01-01 19:00:00,41.98,112.63,2.6,35.21,18.4,16.91,51.65,1.37,57.68,5.38,39.27,,,1.24,9.22,27.4,55.2,0.58,103.12,0.0,0.0,0.0,,
2024-01-01 20:00:00,43.62,127.21,2.65,36.9,19.31,15.46,56.3,1.33,53.18,5.42,45.15,,,1.42,10.76,26.9,56.32,0.68,107.35,0.0,0.0,0.0,,
2024-01-01 21:00:00,47.84,130.48,2.74,32.6,17.14,14.94,50.02,1.1,51.29,4.16,33.02,,,0.91,7.14,26.38,57.65,0.78,108.97,0.0,0.0,0.0,,
2024-01-01 22:00:00,49.67,139.28,2.66,32.85,17.21,16.6,48.71,1.1,51.7,3.95,28.98,,,0.82,5.7,26.04,57.39,0.9,112.37,0.0,0.0,0.0,,
2024-01-01 23:00:00,50.34,140.48,2.57,23.18,12.08,16.42,49.27,0.79,55.74,2.99,20.45,,,0.54,3.73,25.1,61.3,0.72,106.29,0.0,0.0,0.0,,
2024-01-02 00:00:00,50.07,130.3,2.55,18.58,9.66,15.31,51.01,0.69,59.78,2.27,12.15,,,0.29,1.63,24.84,62.66,0.89,111.73,0.0,0.0,0.0,,
2024-01-02 01:00:00,48.22,129.88,3.16,38.47,20.54,14.59,45.88,0.66,39.55,1.38,5.8,,,0.16,0.63,24.1,65.02,1.11,119.81,0.0,0.0,0.0,,
2024-01-02 02:00:00,47.55,123.39,5.32,52.55,29.64,15.82,42.36,0.86,19.03,1.99,3.7,,,0.19,0.74,22.98,68.61,1.33,119.98,0.0,0.0,0.0,,
2024-01-02 03:00:00,49.38,130.08,3.38,33.36,18.05,15.31,40.72,0.87,33.56,2.77,8.48,,,0.28,1.28,22.71,70.5,1.08,116.78,0.0,0.0,0.0,,
2024-01-02 04:00:00,49.79,135.24,2.54,17.71,9.21,16.32,40.25,0.69,46.0,2.08,5.87,,,0.2,0.74,22.66,71.35,0.77,110.98,0.0,0.0,0.0,,
2024-01-02 05:00:00,49.78,109.75,2.69,21.2,11.14,17.42,39.23,0.7,41.3,1.66,3.24,,,0.16,0.58,22.45,72.94,0.78,113.01,0.0,0.0,0.0,,
2024-01-02 06:00:00,49.27,113.45,2.7,22.26,11.71,15.7,38.2,0.8,38.1,2.13,3.0,,,0.19,0.75,22.18,74.31,0.74,110.86,0.0,0.0,0.0,,
2024-01-02 07:00:00,47.7,125.97,3.06,24.16,12.99,15.5,38.74,0.88,35.1,2.91,8.86,,,0.2,0.93,22.1,75.04,0.8,112.24,0.0,0.0,8.07,,
2024-01-02 08:00:00,48.68,129.64,3.62,25.81,14.3,15.46,3.44,0.96,40.7,4.0,14.76,,,0.34,1.92,23.31,70.67,1.16,118.4,0.0,0.0,116.0,,
2024-01-02 09:00:00,48.47,134.53,4.02,25.35,14.38,16.21,4.84,0.92,45.29,3.42,16.17,,,0.34,1.84,25.01,65.22,0.88,113.42,0.0,0.0,255.8,,
2024-01-02 10:00:00,52.72,137.61,3.33,20.44,11.26,14.85,5.43,0.78,59.75,2.75,13.38,,,0.26,1.28,26.86,59.56,1.06,115.02,0.0,0.0,371.02,,
2024-01-02 11:00:00,53.34,139.76,2.96,16.16,8.73,15.76,4.55,0.6,70.62,1.66,7.78,,,0.16,0.72,28.48,54.22,1.28,114.71,0.0,0.0,437.0,,
2024-01-02 12:00:00,49.78,141.21,2.81,14.75,7.87,15.86,3.41,0.56,74.39,1.17,5.8,,,0.14,0.62,29.71,51.05,0.9,109.59,0.0,0.0,446.45,,
2024-01-02 13:00:00,46.76,122.77,2.67,13.42,7.06,15.36,2.4,0.48,79.16,1.16,5.96,,,0.16,0.6,30.33,48.62,0.93,117.08,0.0,0.0,416.35,,
2024-01-02 14:00:00,44.11,104.14,2.68,14.54,7.65,16.22,1.36,0.5,80.71,0.89,5.28,,,0.19,0.68,30.73,47.35,0.77,102.3,0.0,0.0,326.55,,
2024-01-02 15:00:00,39.62,102.49,2.62,12.52,6.56,15.11,0.57,0.44,86.08,0.69,3.95,,,0.1,0.4,30.76,45.58,0.55,109.29,0.0,0.0,207.0,,
