Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,55.87,115.22,1.67,27.35,14.68,63.15,11.16,0.29,38.85,1.44,21.16,,,5.4,3.22,23.93,55.32,5.04,106.2,0.0,0.0,36.1,,0.8
2024-01-01 01:00:00,47.28,102.17,1.58,24.95,13.38,61.74,11.24,0.26,42.11,1.33,18.61,,,3.95,2.16,23.46,57.86,10.11,115.0,0.0,0.0,12.67,,0.46
2024-01-01 02:00:00,44.75,93.68,2.44,22.36,12.5,59.86,10.99,0.26,41.7,1.31,18.77,,,3.53,1.81,22.8,59.5,3.82,136.1,0.0,0.0,40.04,,0.0
2024-01-01 03:00:00,40.41,87.18,1.64,22.24,12.0,60.04,11.04,0.26,40.73,1.35,20.0,,,3.32,1.62,22.1,61.62,0.83,150.75,0.0,0.0,14.0,,0.0
2024-01-01 04:00:00,38.33,82.84,1.42,21.04,11.27,56.04,11.02,0.25,39.79,1.39,20.08,,,3.04,1.37,21.62,64.68,0.88,155.91,0.0,0.0,44.28,,0.0
2024-01-01 05:00:00,35.95,83.08,1.43,21.98,11.76,56.23,10.69,0.28,38.88,1.29,18.76,,,2.71,1.2,21.42,64.38,4.91,138.79,0.0,0.0,133.45,,5.92
2024-01-01 06:00:00,37.04,78.71,4.94,27.65,16.6,72.11,10.63,0.31,34.54,1.25,18.19,,,2.64,1.33,21.02,69.76,4.32,154.48,0.0,0.0,483.9,,0.66
2024-01-01 07:00:00,39.76,83.0,2.75,25.43,14.27,65.62,10.39,0.34,36.81,1.3,19.2,,,2.76,1.69,20.84,68.84,4.98,143.37,0.0,0.0,288.96,,6.44
2024-01-01 08:00:00,43.9,98.68,4.98,28.98,17.15,73.3,10.34,0.46,36.49,1.3,20.16,,,2.85,1.9,22.65,66.88,7.71,137.89,0.0,0.0,151.46,,10.28
2024-01-01 09:00:00,46.04,102.61,10.31,32.34,21.91,88.08,11.16,0.53,38.17,1.18,19.48,,,2.68,1.62,25.51,62.95,3.96,175.58,0.0,0.0,231.62,,4.95
2024-01-01 10:00:00,46.88,105.78,11.46,43.74,28.48,91.53,43.34,0.5,35.81,1.08,17.86,,,2.68,1.19,27.14,60.32,1.23,211.48,0.0,0.0,277.21,,1.0
2024-01-01 11:00:00,46.88,108.19,5.23,36.89,21.81,79.78,35.74,0.4,39.14,1.03,10.15,,,4.89,1.0,28.93,54.49,1.06,205.39,0.0,0.0,240.59,,0.38
