Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,66.9,184.69,12.13,60.35,40.09,30.33,6.35,2.48,10.66,5.72,15.7,,,1.65,6.86,25.07,49.28,1.44,119.15,0.0,0.0,0.0,,
2024-01-01 01:00:00,87.85,282.31,2.31,31.63,17.21,30.14,7.86,1.22,37.76,5.62,7.95,,,0.88,2.84,25.04,51.08,1.65,120.64,0.0,0.0,0.0,,
2024-01-01 02:00:00,90.48,254.38,1.27,20.55,10.58,28.04,7.68,0.95,43.44,4.25,5.34,,,0.61,1.11,24.93,64.69,1.96,124.93,0.0,0.0,0.0,,
2024-01-01 03:00:00,83.86,177.24,1.2,19.9,10.18,25.74,8.15,0.88,46.3,2.31,4.18,,,0.34,0.44,25.18,65.91,1.58,130.69,0.0,0.0,0.0,,
2024-01-01 04:00:00,78.62,139.82,2.83,25.62,14.48,26.63,9.18,0.94,35.25,2.05,4.19,,,0.29,0.47,25.1,59.93,1.56,119.57,0.0,0.0,0.0,,
2024-01-01 05:00:00,78.07,145.53,2.83,23.82,13.54,27.2,8.59,0.89,41.13,2.26,4.89,,,0.35,0.88,24.88,66.06,1.71,119.43,0.0,0.0,0.0,,
2024-01-01 06:00:00,77.29,154.17,32.11,50.9,51.17,35.12,8.6,2.24,9.34,2.39,6.6,,,0.49,2.06,24.72,72.78,1.31,111.32,0.0,0.0,0.0,,
2024-01-01 07:00:00,74.83,210.38,21.64,44.34,39.35,37.5,7.0,1.8,9.1,5.37,16.64,,,1.81,7.63,24.46,73.02,1.45,110.86,0.0,0.0,0.0,,
2024-01-01 08:00:00,72.46,205.08,2.76,29.38,16.39,27.72,5.77,1.02,26.06,3.03,6.56,,,0.54,1.96,25.02,68.99,1.52,120.44,0.0,0.0,29.57,,
2024-01-01 09:00:00,75.28,160.42,11.72,34.47,26.24,30.18,6.35,0.9,37.17,1.91,4.89,,,0.31,0.97,25.96,46.41,1.72,127.02,0.0,0.0,185.12,,
2024-01-01 10:00:00,69.24,153.16,1.41,16.76,8.71,23.85,6.14,0.81,54.53,1.08,3.29,,,0.17,0.32,26.6,38.32,1.66,130.59,0.0,0.0,299.55,,
2024-01-01 11:00:00,65.78,149.76,1.25,18.51,9.5,23.13,7.5,0.86,74.12,1.08,3.46,,,0.18,0.32,27.32,29.03,1.62,128.38,0.0,0.0,364.0,,
2024-01-01 12:00:00,66.22,154.33,1.2,18.47,9.44,22.17,7.75,0.85,92.67,1.22,3.96,,,0.21,0.4,27.85,23.35,1.64,126.84,0.0,0.0,282.48,,
2024-01-01 13:00:00,62.91,140.5,1.2,13.28,6.73,21.44,6.46,0.74,82.74,1.03,3.66,,,0.16,0.22,27.86,27.16,1.88,123.13,0.0,0.0,379.98,,
2024-01-01 14:00:00,60.39,128.91,1.2,11.12,5.6,21.29,7.15,0.67,89.06,0.76,3.28,,,0.1,0.12,27.59,29.48,2.09,123.96,0.0,0.0,344.9,,
2024-01-01 15:00:00,54.67,113.93,1.2,9.76,4.89,20.04,8.08,0.59,91.32,0.58,3.13,,,0.07,0.08,27.46,25.98,2.09,123.54,0.0,0.0,255.5,,
2024-01-01 16:00:00,51.36,111.3,1.2,10.21,5.12,20.45,6.3,0.69,103.29,0.55,2.58,,,0.09,0.08,26.86,41.66,2.14,124.4,0.0,0.0,49.32,,
2024-01-01 17:00:00,56.68,131.02,1.2,13.32,6.75,23.02,6.11,0.78,117.28,1.01,2.79,,,0.11,0.08,26.46,46.66,2.02,126.26,0.0,0.0,0.0,,
2024-01-01 18:00:00,58.32,138.96,1.2,13.45,6.82,23.17,5.94,0.79,111.21,0.89,2.58,,,0.06,0.06,25.99,66.16,1.91,125.72,0.0,0.0,0.0,,
2024-01-01 19:00:00,56.34,129.54,1.2,13.06,6.62,23.43,5.66,0.8,97.63,0.81,2.49,,,0.06,0.08,25.85,67.31,1.83,129.21,0.0,0.0,0.0,,
2024-01-01 20:00:00,55.06,139.47,1.2,13.88,7.04,23.5,6.8,0.84,94.28,0.9,2.84,,,0.1,0.15,25.66,57.96,1.93,127.26,0.0,0.0,0.0,,
2024-01-01 21:00:00,55.96,143.49,1.2,14.39,7.31,24.18,7.39,0.86,84.68,1.05,3.17,,,0.16,0.2,25.34,73.27,2.04,122.99,0.0,0.0,0.0,,
2024-01-01 22:00:00,53.62,138.2,1.2,17.17,8.76,24.14,7.82,0.94,76.39,1.14,3.3,,,0.17,0.26,25.34,64.26,1.9,125.33,0.0,0.0,0.0,,
2024-01-01 23:00:00,53.54,149.67,1.2,16.97,8.66,24.26,8.41,0.92,68.63,1.66,3.42,,,0.16,0.34,25.11,60.54,1.95,122.8,0.0,0.0,0.0,,
2024-01-02 00:00:00,58.58,154.12,1.49,15.39,8.07,24.02,7.8,0.81,63.16,1.23,3.04,,,0.12,0.24,24.91,73.95,1.93,123.14,0.0,0.0,0.0,,
2024-01-02 01:00:00,57.1,141.92,1.7,17.55,9.36,24.38,9.4,0.86,57.25,1.14,3.17,,,0.12,0.23,24.92,73.18,1.75,124.38,0.0,0.0,0.0,,
2024-01-02 02:00:00,58.71,139.09,1.47,13.92,7.28,23.94,9.82,0.75,55.14,1.12,3.31,,,0.13,0.28,24.71,75.1,1.82,123.38,0.0,0.0,0.0,,
2024-01-02 03:00:00,59.48,139.94,2.48,24.54,13.64,23.74,11.04,0.9,35.5,1.04,3.55,,,0.16,0.35,24.75,69.06,1.42,121.15,0.0,0.0,0.0,,
2024-01-02 04:00:00,56.48,137.83,1.5,14.24,7.48,23.74,10.7,0.71,39.95,1.01,3.51,,,0.16,0.36,24.45,75.68,1.86,123.74,0.0,0.0,0.0,,
2024-01-02 05:00:00,57.41,136.36,3.8,24.48,14.66,23.91,10.73,0.8,33.4,1.07,3.34,,,0.15,0.36,24.58,68.89,1.8,124.39,0.0,0.0,0.0,,
2024-01-02 06:00:00,55.43,135.77,23.52,32.1,34.46,28.29,11.83,1.23,31.95,1.04,3.0,,,0.13,0.26,24.65,66.93,1.62,123.34,0.0,0.0,0.0,,
2024-01-02 07:00:00,58.97,153.03,53.26,45.61,65.38,37.65,11.39,2.72,7.84,3.76,11.05,,,1.01,4.96,24.27,75.72,1.36,114.71,0.0,0.0,0.0,,
2024-01-02 08:00:00,68.91,194.75,37.58,50.24,55.21,41.8,9.72,2.47,6.46,5.87,15.97,,,1.77,7.92,25.0,72.51,1.17,111.71,0.0,0.0,24.22,,
2024-01-02 09:00:00,72.76,207.52,2.97,34.55,19.26,30.96,9.03,1.16,46.42,4.09,10.34,,,0.88,4.46,25.98,43.48,1.47,129.67,0.0,0.0,162.65,,
