Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,125.92,32.94,7.34,7.71,15.92,4.66,55.44,0.74,,1.03,,,,0.88,1.82,10.64,93.24,0.58,117.98,0.0,0.0,0.07,,
2024-01-01 01:00:00,31.9,23.2,3.98,7.64,11.57,4.52,55.53,0.52,,0.72,,,,0.62,1.23,9.89,94.81,0.54,189.64,0.0,0.0,0.08,,
2024-01-01 02:00:00,46.97,16.12,3.82,6.59,10.5,8.98,55.29,0.46,,0.64,,,,0.54,1.06,9.32,96.08,0.4,164.11,0.0,0.0,0.04,,
2024-01-01 03:00:00,36.33,15.45,3.97,6.06,10.26,9.0,54.94,0.42,,0.59,,,,0.51,0.99,8.66,97.22,0.21,139.73,0.0,0.0,0.08,,
2024-01-01 04:00:00,38.79,16.58,4.28,5.71,10.36,8.95,54.84,0.42,,0.58,,,,0.5,0.97,8.19,98.02,0.22,171.08,0.0,0.0,0.09,,
2024-01-01 05:00:00,40.52,16.8,5.08,5.74,11.34,8.96,54.66,0.42,,0.57,,,,0.5,0.95,7.96,98.52,0.31,136.72,0.0,0.0,0.3,,
2024-01-01 06:00:00,39.98,20.72,6.26,6.0,13.14,9.08,54.28,0.42,,0.58,,,,0.5,0.97,8.14,98.9,0.34,170.5,0.0,0.0,4.86,,
2024-01-01 07:00:00,42.68,22.91,5.76,7.01,13.31,8.98,54.26,0.38,,0.53,,,,0.45,0.86,11.24,94.44,0.52,158.11,0.0,0.0,33.47,,
2024-01-01 08:00:00,34.51,22.22,3.66,6.48,10.2,8.96,54.44,0.28,,0.39,,,,0.34,0.6,18.68,65.33,0.57,147.7,0.0,0.0,73.68,,
2024-01-01 09:00:00,27.1,23.63,3.25,6.1,9.36,9.03,54.88,0.24,,0.32,,,,0.28,0.48,21.03,57.42,0.82,178.46,0.0,0.0,88.78,,
2024-01-01 10:00:00,25.58,25.63,3.26,6.21,9.48,9.06,55.27,0.25,2.82,0.34,,,,0.3,0.5,22.12,55.28,0.94,213.83,0.0,0.0,97.36,,
2024-01-01 11:00:00,33.12,35.15,3.18,6.02,9.2,9.01,55.58,0.24,5.74,0.33,,,,0.28,0.47,24.09,50.32,0.85,196.55,0.0,0.0,97.94,,
2024-01-01 12:00:00,27.91,37.53,3.18,5.96,9.13,9.0,56.05,0.2,8.81,0.29,,,,0.25,0.39,25.82,45.24,0.84,186.8,0.0,0.0,93.78,,
2024-01-01 13:00:00,18.7,26.17,3.24,5.46,8.81,4.62,56.91,0.17,9.7,0.24,,,,0.2,0.29,26.58,41.5,1.09,218.32,0.0,0.0,85.17,,
