Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,54.17,103.5,2.9,1.86,5.54,8.98,1.43,0.41,16.64,0.08,,,,0.1,0.12,,,,,,0.0,,,
2024-01-01 01:00:00,265.87,572.12,3.12,2.06,6.03,8.91,1.43,0.42,6.82,0.08,,,,0.11,0.13,,,,,,0.0,,,
2024-01-01 02:00:00,117.5,293.03,2.35,1.4,4.32,8.61,1.43,0.41,8.39,0.08,,,,0.1,0.12,,,,,,0.0,,,
2024-01-01 03:00:00,36.92,78.0,1.75,0.42,2.53,8.13,1.43,0.36,10.56,0.07,,,,0.09,0.11,,,,,,0.0,,,
2024-01-01 04:00:00,6.72,14.0,1.61,0.17,2.01,9.12,1.43,0.32,9.83,0.06,,,,0.08,0.1,,,,,,0.0,,,
2024-01-01 05:00:00,4.12,9.0,1.67,0.31,1.82,13.58,1.43,0.28,10.56,0.06,,,,0.07,0.08,,,,,,0.0,,,
2024-01-01 06:00:00,5.74,11.0,1.51,0.18,1.84,11.82,1.43,0.24,10.52,0.05,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 07:00:00,13.36,26.0,1.62,0.05,1.78,11.1,1.43,0.23,11.53,0.05,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 08:00:00,6.92,16.0,1.83,0.08,2.07,12.29,1.43,0.23,15.86,0.05,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 09:00:00,10.73,25.57,1.51,0.1,1.99,13.94,1.43,0.22,15.31,0.04,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 10:00:00,6.81,14.0,1.54,0.09,1.85,1.22,1.43,0.2,9.82,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 11:00:00,4.4,9.0,1.58,0.09,1.6,,1.43,0.2,8.6,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 12:00:00,6.96,15.0,1.55,0.03,1.61,0.87,1.43,0.19,8.94,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 13:00:00,5.12,11.0,1.73,0.19,1.88,,1.43,0.19,9.04,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 14:00:00,7.48,16.0,1.67,0.12,1.89,,1.43,0.18,8.97,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 15:00:00,5.71,11.88,1.58,0.06,1.75,,1.43,0.18,9.17,0.04,,,,0.04,0.05,,,,,,0.0,,,
2024-01-01 16:00:00,4.07,8.55,1.62,0.18,2.0,,1.43,0.18,8.78,0.04,,,,0.04,0.05,,,,,,0.0,,,
2024-01-01 17:00:00,7.54,17.46,1.86,0.16,2.2,,1.43,0.2,7.66,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 18:00:00,12.5,28.0,1.69,0.18,2.23,,1.43,0.2,7.37,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-01 19:00:00,16.52,34.5,1.78,0.14,2.14,,1.43,0.22,7.25,0.04,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 20:00:00,24.19,53.0,1.68,0.19,2.19,3.56,1.43,0.24,6.7,0.05,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 21:00:00,13.56,28.0,1.82,0.21,2.5,9.3,1.43,0.25,8.5,0.05,,,,0.06,0.07,,,,,,0.0,,,
2024-01-01 22:00:00,10.64,26.0,1.76,0.4,2.58,9.14,1.43,0.26,8.14,0.05,,,,0.07,0.08,,,,,,0.0,,,
2024-01-01 23:00:00,9.89,24.0,1.77,0.19,2.16,8.44,1.43,0.24,8.6,0.05,,,,0.06,0.07,,,,,,0.0,,,
2024-01-02 00:00:00,1.6,3.0,1.64,0.1,1.76,7.88,1.43,0.21,9.07,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-02 01:00:00,3.43,8.0,1.71,0.12,1.86,7.38,1.43,0.19,9.33,0.04,,,,0.05,0.06,,,,,,0.0,,,
2024-01-02 02:00:00,4.5,8.62,1.68,,1.59,6.92,1.43,0.18,9.57,0.04,,,,0.04,0.05,,,,,,0.0,,,
2024-01-02 03:00:00,4.66,8.62,1.7,,1.45,6.63,1.43,0.16,9.22,0.03,,,,0.04,0.05,,,,,,0.0,,,
2024-01-02 04:00:00,4.16,8.75,1.69,0.14,1.66,7.04,1.43,0.16,8.62,0.03,,,,0.04,0.05,,,,,,0.0,,,
2024-01-02 05:00:00,2.49,5.0,1.65,0.12,1.98,12.14,1.43,0.15,9.38,0.03,,,,0.04,0.04,,,,,,0.0,,,
