latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
22.108961,85.360825,458.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,15.0,86,0.00,963.5,3.3,3.8,77,49
2024-01-01T01:00,14.5,91,0.00,964.7,2.3,1.0,108,45
2024-01-01T02:00,14.7,92,0.00,965.1,2.5,2.3,82,51
2024-01-01T03:00,17.6,81,0.00,966.3,1.6,2.7,63,67
2024-01-01T04:00,20.0,73,0.00,966.6,1.8,2.0,53,45
2024-01-01T05:00,22.0,66,0.00,966.2,2.9,3.8,360,343
2024-01-01T06:00,23.5,59,0.00,965.4,5.8,7.8,330,326
2024-01-01T07:00,24.4,52,0.00,964.2,8.4,11.0,320,319
2024-01-01T08:00,24.8,46,0.00,963.1,9.2,12.2,315,313
2024-01-01T09:00,24.7,41,0.00,962.5,8.7,11.7,315,313
2024-01-01T10:00,23.9,41,0.00,962.2,9.1,13.2,326,325
2024-01-01T11:00,21.8,58,0.00,962.3,4.7,11.8,328,329
2024-01-01T12:00,21.6,54,0.00,962.8,4.8,5.9,318,317
2024-01-01T13:00,18.9,66,0.00,963.4,3.6,3.6,217,217
2024-01-01T14:00,16.6,75,0.00,963.4,5.8,4.3,210,228
2024-01-01T15:00,16.4,73,0.00,963.8,4.5,2.3,209,288
2024-01-01T16:00,18.5,61,0.00,964.5,5.2,9.0,295,355
2024-01-01T17:00,14.9,81,0.00,964.0,6.6,13.4,338,354
2024-01-01T18:00,14.2,87,0.00,963.7,6.4,14.1,344,356
2024-01-01T19:00,14.5,86,0.00,963.3,7.7,12.7,11,25
2024-01-01T20:00,15.9,82,0.00,963.4,4.3,8.8,114,55
2024-01-01T21:00,13.3,90,0.00,962.3,5.2,6.0,164,107
2024-01-01T22:00,13.3,90,0.00,962.2,4.0,5.0,170,111
2024-01-01T23:00,13.5,89,0.00,962.2,4.0,4.6,175,108
2024-01-02T00:00,14.7,86,0.00,963.0,2.9,4.8,173,103
2024-01-02T01:00,14.6,92,0.00,964.3,2.4,5.8,153,68
2024-01-02T02:00,14.8,94,0.00,964.9,2.4,6.9,153,62
2024-01-02T03:00,17.9,83,0.00,966.1,1.8,6.4,79,63
2024-01-02T04:00,20.4,65,0.00,966.5,4.5,6.3,61,59
2024-01-02T05:00,22.1,56,0.00,966.1,6.2,8.3,36,34
2024-01-02T06:00,23.2,52,0.00,965.1,6.0,7.8,25,22
2024-01-02T07:00,24.1,49,0.00,964.0,5.9,7.6,11,8
2024-01-02T08:00,24.6,47,0.00,962.9,5.8,7.6,360,357
2024-01-02T09:00,24.8,45,0.00,962.3,5.7,7.3,342,340
2024-01-02T10:00,24.4,45,0.00,962.0,6.9,9.5,332,331
2024-01-02T11:00,22.8,52,0.00,961.8,6.8,14.6,342,340
2024-01-02T12:00,19.0,69,0.00,961.7,7.4,11.4,346,347
2024-01-02T13:00,18.0,75,0.00,962.9,6.2,8.7,100,85
2024-01-02T14:00,16.9,80,0.00,963.4,5.4,6.8,132,115
2024-01-02T15:00,16.3,82,0.00,963.7,5.2,9.4,155,133
2024-01-02T16:00,15.5,85,0.00,964.0,5.0,8.5,159,126
2024-01-02T17:00,14.8,87,0.00,963.8,4.3,6.7,175,126
2024-01-02T18:00,14.5,87,0.00,963.4,4.0,7.1,180,135
2024-01-02T19:00,14.1,88,0.00,963.2,4.0,8.7,180,142
2024-01-02T20:00,13.4,90,0.00,962.7,4.0,6.3,175,121
2024-01-02T21:00,15.0,80,0.00,962.5,2.5,4.8,188,103
2024-01-02T22:00,13.6,85,0.00,962.0,4.0,5.0,180,111
2024-01-02T23:00,15.0,78,0.00,962.5,3.7,4.6,169,108
2024-01-03T00:00,15.4,77,0.00,963.2,3.1,5.1,159,94
2024-01-03T01:00,15.2,80,0.00,964.2,3.6,6.5,127,87
2024-01-03T02:00,15.0,84,0.00,964.8,3.2,5.9,153,101
2024-01-03T03:00,17.9,75,0.00,966.3,2.7,4.9,113,107
2024-01-03T04:00,20.1,63,0.00,966.7,4.7,6.1,94,93
2024-01-03T05:00,21.8,57,0.00,966.0,5.4,6.9,86,84
2024-01-03T06:00,23.0,54,0.00,965.2,5.1,6.2,82,80
2024-01-03T07:00,23.9,50,0.00,963.8,5.0,6.0,69,65
2024-01-03T08:00,24.4,47,0.00,962.7,5.5,7.0,58,55
2024-01-03T09:00,24.5,45,0.00,962.0,6.0,7.6,65,65
2024-01-03T10:00,24.0,47,0.00,962.0,6.3,8.2,66,67
2024-01-03T11:00,22.3,57,0.00,961.9,5.2,12.1,78,80
2024-01-03T12:00,19.0,67,0.00,961.8,5.8,14.6,86,80
2024-01-03T13:00,17.5,73,0.00,962.5,5.6,11.9,105,85
2024-01-03T14:00,16.2,79,0.00,962.6,5.6,11.7,130,108
