latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
20.984182,86.16633,39.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,14.6,96,0.00,1011.4,4.9,8.6,343,358
2024-01-01T01:00,15.1,94,0.00,1012.6,7.2,13.4,342,352
2024-01-01T02:00,17.0,84,0.00,1012.9,9.4,17.3,358,5
2024-01-01T03:00,19.8,74,0.00,1013.9,6.5,16.0,3,14
2024-01-01T04:00,22.4,63,0.00,1014.0,6.6,8.7,22,24
2024-01-01T05:00,24.1,56,0.00,1013.3,6.6,8.7,45,45
2024-01-01T06:00,25.2,53,0.00,1012.3,5.1,6.4,51,47
2024-01-01T07:00,26.0,51,0.00,1010.8,2.9,3.9,30,22
2024-01-01T08:00,26.5,50,0.00,1009.7,3.0,3.8,346,343
2024-01-01T09:00,26.6,49,0.00,1008.9,2.6,3.8,344,343
2024-01-01T10:00,26.5,49,0.00,1008.5,0.0,0.5,270,315
2024-01-01T11:00,25.3,60,0.00,1008.9,3.3,6.6,186,189
2024-01-01T12:00,23.0,63,0.00,1009.4,8.2,17.7,195,200
2024-01-01T13:00,20.9,71,0.00,1010.6,8.7,12.1,185,168
2024-01-01T14:00,20.0,74,0.00,1011.4,6.6,10.9,131,146
2024-01-01T15:00,19.9,74,0.00,1011.8,7.4,17.6,133,136
2024-01-01T16:00,19.1,79,0.00,1011.9,6.7,16.0,144,144
2024-01-01T17:00,17.3,90,0.00,1011.9,6.7,9.8,216,174
2024-01-01T18:00,16.9,94,0.00,1011.7,4.7,7.1,274,225
2024-01-01T19:00,16.0,95,0.00,1011.3,3.4,0.7,342,270
2024-01-01T20:00,15.4,97,0.00,1010.9,4.8,5.2,312,326
2024-01-01T21:00,15.1,97,0.00,1010.2,4.6,6.9,321,332
2024-01-01T22:00,15.2,96,0.00,1010.3,6.1,10.9,332,343
2024-01-01T23:00,15.4,95,0.00,1010.3,7.7,14.2,332,344
2024-01-02T00:00,15.3,94,0.00,1010.9,9.4,17.8,337,346
2024-01-02T01:00,15.5,94,0.00,1012.2,9.6,18.7,340,349
2024-01-02T02:00,16.9,86,0.00,1013.0,10.9,18.7,351,2
2024-01-02T03:00,19.5,75,0.00,1013.7,7.9,13.7,3,14
2024-01-02T04:00,21.6,68,0.00,1013.8,8.2,10.8,29,30
2024-01-02T05:00,23.6,60,0.00,1013.2,7.4,9.4,47,50
2024-01-02T06:00,25.0,55,0.00,1012.1,5.6,7.2,63,63
2024-01-02T07:00,26.0,50,0.00,1010.6,4.3,5.2,66,65
2024-01-02T08:00,26.5,47,0.00,1009.5,2.8,3.3,50,49
2024-01-02T09:00,26.8,46,0.00,1008.8,1.3,1.8,56,53
2024-01-02T10:00,26.7,45,0.00,1008.5,1.1,1.1,90,90
2024-01-02T11:00,25.4,67,0.00,1008.4,4.0,4.0,85,90
2024-01-02T12:00,22.0,63,0.00,1008.8,8.7,10.9,120,124
2024-01-02T13:00,22.0,59,0.00,1010.4,8.6,19.9,123,122
2024-01-02T14:00,19.9,70,0.00,1011.3,6.9,13.8,129,123
2024-01-02T15:00,20.7,66,0.00,1011.9,4.8,7.4,103,113
2024-01-02T16:00,20.0,69,0.00,1012.2,4.3,6.2,114,126
2024-01-02T17:00,19.2,73,0.00,1012.2,4.1,5.9,142,142
2024-01-02T18:00,18.4,77,0.00,1011.9,1.5,4.6,135,135
2024-01-02T19:00,16.2,88,0.00,1011.5,2.6,0.8,326,63
2024-01-02T20:00,15.3,92,0.00,1010.9,4.5,5.2,331,348
2024-01-02T21:00,15.0,93,0.00,1010.4,5.5,8.5,337,348
2024-01-02T22:00,14.8,94,0.00,1010.3,5.9,10.5,346,352
2024-01-02T23:00,14.7,94,0.00,1010.4,7.2,14.8,357,3
2024-01-03T00:00,14.6,94,0.00,1011.0,7.2,17.1,357,7
2024-01-03T01:00,14.6,92,0.00,1012.0,6.8,17.3,3,23
2024-01-03T02:00,16.1,84,0.00,1013.0,8.0,14.6,5,20
2024-01-03T03:00,18.8,73,0.00,1014.0,5.2,10.7,16,20
2024-01-03T04:00,21.4,61,0.00,1014.1,6.3,8.4,31,31
2024-01-03T05:00,23.4,52,0.00,1013.3,7.6,9.7,45,45
2024-01-03T06:00,24.8,48,0.00,1012.2,7.0,8.5,55,54
2024-01-03T07:00,25.8,46,0.00,1010.7,5.6,6.9,63,62
2024-01-03T08:00,26.4,44,0.00,1009.3,5.0,6.3,69,66
2024-01-03T09:00,26.6,43,0.00,1008.5,5.4,6.6,82,81
2024-01-03T10:00,26.3,44,0.00,1008.3,6.5,8.3,93,90
2024-01-03T11:00,25.0,50,0.00,1008.5,5.5,11.2,101,96
2024-01-03T12:00,21.6,62,0.00,1008.9,9.7,13.4,94,85
2024-01-03T13:00,21.3,61,0.00,1010.2,6.3,15.4,103,106
2024-01-03T14:00,19.7,68,0.00,1010.5,6.0,13.8,123,123
