Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,145.72,167.14,6.5,6.0,12.04,13.62,3.17,0.86,12.54,4.08,6.42,,,0.11,,14.81,95.08,0.26,66.07,,,27.29,,
2024-01-01 01:00:00,143.23,180.47,6.4,5.96,11.93,13.62,2.4,0.8,12.18,4.11,6.46,,,0.11,,14.23,95.74,0.25,69.76,,,27.34,,
2024-01-01 02:00:00,135.62,169.57,6.38,5.98,11.92,13.62,2.19,0.78,12.59,3.92,6.03,,,0.1,,13.87,96.55,0.25,74.82,,,27.32,,
2024-01-01 03:00:00,129.13,165.06,6.5,6.03,12.04,13.61,1.93,0.76,12.48,3.76,5.59,,,0.09,,13.5,97.67,0.28,46.01,,,27.36,,
2024-01-01 04:00:00,110.94,152.08,6.55,5.96,12.05,13.62,2.07,0.72,11.37,3.59,5.21,,,0.08,,13.73,96.98,0.16,111.48,,,27.53,,
2024-01-01 05:00:00,109.58,146.53,6.5,5.98,12.02,13.62,1.96,0.72,1.53,3.51,4.92,,,0.09,,13.36,97.58,0.26,246.38,,,27.38,,
2024-01-01 06:00:00,105.52,136.34,6.56,6.04,12.11,13.57,1.78,0.8,1.44,3.62,4.98,,,0.09,,12.95,97.85,0.23,183.75,,,33.57,,
2024-01-01 07:00:00,112.14,144.93,6.58,6.02,12.1,13.62,2.2,0.92,2.01,4.01,6.36,,,0.11,,13.62,96.26,0.25,141.62,,,71.62,,
2024-01-01 08:00:00,119.74,157.67,6.47,6.04,12.03,13.61,3.26,0.9,8.61,4.7,7.52,,,0.12,,15.23,91.14,0.34,165.93,,,137.31,,
2024-01-01 09:00:00,125.54,163.16,6.58,5.99,12.1,13.61,5.76,0.86,29.63,4.54,6.99,,,0.11,,17.61,82.44,0.36,168.81,,,176.12,,
2024-01-01 10:00:00,132.75,170.92,6.5,5.95,12.01,13.59,9.36,0.86,50.04,4.53,6.96,,,0.11,,20.12,71.02,0.21,241.11,,,328.28,,
2024-01-01 11:00:00,136.28,171.28,6.24,5.94,11.79,13.6,15.25,0.8,75.69,4.44,6.85,,,0.11,,22.88,57.56,0.26,173.26,,,506.57,,
2024-01-01 12:00:00,134.82,166.77,6.51,5.93,12.0,13.61,27.6,0.73,90.54,4.07,6.4,,,0.1,,24.35,56.15,0.27,236.6,,,531.64,,
2024-01-01 13:00:00,129.7,168.81,6.36,5.95,11.9,13.63,29.67,0.69,93.32,3.78,5.8,,,0.1,,25.38,52.68,0.38,310.9,,,503.1,,
2024-01-01 14:00:00,124.82,161.34,6.39,6.04,11.96,13.62,22.97,0.64,89.24,3.54,5.51,,,0.08,,25.81,49.55,0.36,313.21,,,391.94,,
2024-01-01 15:00:00,117.93,154.38,6.66,5.94,12.12,13.6,22.63,0.61,96.65,3.3,5.3,,,0.08,,24.98,49.81,0.39,342.75,,,214.2,,
2024-01-01 16:00:00,117.82,150.72,6.82,6.02,12.31,13.57,17.9,0.76,71.74,3.22,5.26,,,0.09,,22.98,59.52,0.22,213.9,,,68.07,,
2024-01-01 17:00:00,115.0,157.36,6.8,5.96,12.26,13.58,12.54,0.88,54.92,3.62,6.96,,,0.11,,20.16,73.42,0.22,103.26,,,29.56,,
2024-01-01 18:00:00,123.73,155.98,6.29,6.06,11.89,13.6,7.8,1.04,19.2,4.17,8.25,,,0.12,,18.57,82.09,0.26,92.46,,,28.23,,
2024-01-01 19:00:00,135.06,179.7,6.65,5.93,12.12,13.61,5.58,1.06,20.36,4.79,9.43,,,0.14,,17.5,87.75,0.22,91.48,,,28.17,,
2024-01-01 20:00:00,150.1,201.52,6.52,6.04,12.06,13.59,4.85,1.02,15.49,4.81,9.3,,,0.12,,16.99,90.4,0.17,193.98,,,28.14,,
2024-01-01 21:00:00,156.81,213.01,6.5,6.06,12.06,13.58,3.8,0.92,18.07,5.04,9.75,,,0.12,,16.02,93.38,0.28,78.84,,,28.0,,
2024-01-01 22:00:00,142.91,196.42,6.86,6.03,12.34,13.56,3.51,0.84,20.26,4.67,8.44,,,0.08,,15.66,95.18,0.27,79.86,,,27.92,,
2024-01-01 23:00:00,147.96,178.07,7.0,6.04,12.46,13.56,2.98,0.77,18.47,4.47,7.56,,,0.07,2.66,14.89,96.29,0.26,60.68,,,28.02,,
2024-01-02 00:00:00,134.13,170.04,6.51,5.86,11.96,13.64,2.64,0.79,16.36,4.23,6.65,,,0.08,,14.38,97.09,0.31,201.52,,,28.12,,
2024-01-02 01:00:00,123.87,164.06,6.6,6.08,12.16,13.6,2.22,0.8,11.05,4.31,6.34,,,0.11,,13.71,98.96,0.22,100.23,,,28.17,,
2024-01-02 02:00:00,116.35,152.96,6.16,6.03,11.77,13.61,1.98,0.76,10.81,4.09,5.84,,,0.11,,13.38,98.93,0.25,95.58,,,28.17,,
2024-01-02 03:00:00,115.49,138.98,6.16,6.01,11.76,13.6,1.94,0.73,3.26,3.92,5.48,,,0.09,,12.91,98.33,0.22,122.1,,,28.08,,
2024-01-02 04:00:00,101.78,124.64,6.29,6.07,11.9,13.61,1.83,0.72,5.47,3.87,5.31,,,0.09,,12.61,99.54,0.38,167.82,,,28.74,,
2024-01-02 05:00:00,88.2,113.26,6.56,5.96,12.06,13.62,1.72,0.68,5.63,3.73,4.92,,,0.07,2.08,12.39,,0.27,35.67,,,28.61,,
2024-01-02 06:00:00,74.65,94.92,6.43,5.97,11.96,13.56,1.62,0.72,2.72,3.66,4.79,,,0.06,2.02,12.46,,0.33,97.94,,,33.01,,
2024-01-02 07:00:00,73.08,86.44,6.34,6.0,11.9,13.6,2.18,0.74,17.12,3.71,4.8,,,0.08,,12.54,,0.32,158.58,,,63.17,,
2024-01-02 08:00:00,70.32,93.83,6.33,5.98,11.88,13.62,2.39,0.83,14.77,3.88,4.91,,,0.07,,13.23,,0.36,154.0,,,112.17,,
2024-01-02 09:00:00,78.35,103.98,6.31,5.95,11.85,13.65,2.74,0.84,22.82,4.17,5.35,,,0.09,,14.45,98.71,0.3,179.94,,,171.2,,
2024-01-02 10:00:00,92.36,111.81,6.3,6.02,11.88,13.6,5.88,0.8,39.67,4.26,5.46,,,0.09,,17.52,85.6,0.27,264.09,,,365.66,,
2024-01-02 11:00:00,98.13,119.09,6.3,6.02,11.87,13.61,19.79,0.72,65.94,4.08,4.92,,,0.07,,21.69,62.97,0.35,265.13,,,572.05,,
2024-01-02 12:00:00,98.09,120.21,6.61,6.08,12.17,13.56,26.52,0.6,77.11,3.63,4.61,,,0.07,,24.52,47.07,0.34,327.61,,,596.49,,
2024-01-02 13:00:00,92.86,112.3,6.5,5.94,12.0,13.62,15.75,0.57,80.67,3.13,4.5,,,0.08,,26.02,43.66,0.18,177.59,,,537.82,,
2024-01-02 14:00:00,84.18,121.66,6.35,5.88,11.84,13.64,15.46,0.56,86.7,2.89,4.78,,,0.08,,25.91,44.48,0.28,173.1,,,392.42,,
2024-01-02 15:00:00,89.51,128.57,6.68,5.98,12.17,13.59,16.85,0.46,91.3,2.64,4.73,,,0.08,,24.59,47.05,0.42,337.53,,,216.22,,
2024-01-02 16:00:00,92.2,131.68,6.84,5.88,12.24,13.62,11.1,0.47,82.76,2.42,4.55,,,0.08,,22.4,52.7,0.37,320.83,,,69.09,,
2024-01-02 17:00:00,84.17,121.59,6.97,5.95,12.39,13.61,8.94,0.68,49.46,2.67,5.53,,,0.1,,19.58,65.16,0.22,147.83,,,29.34,,
2024-01-02 18:00:00,85.7,130.04,6.33,5.99,11.89,13.61,7.56,0.94,19.44,3.3,7.39,,,0.11,,17.72,74.89,0.22,102.1,,,27.84,,
2024-01-02 19:00:00,98.73,147.7,6.44,5.91,11.94,13.62,5.32,1.16,8.02,4.58,10.23,,,0.14,,16.72,82.28,0.22,79.02,,,27.69,,
2024-01-02 20:00:00,118.01,177.39,6.56,6.0,12.08,13.6,3.88,1.19,5.5,5.4,10.86,,,0.16,,15.73,87.6,0.23,78.36,,,27.56,,
2024-01-02 21:00:00,139.49,203.98,6.48,6.01,12.02,13.57,3.43,0.94,13.16,5.51,10.66,,,0.15,,14.88,90.41,0.26,62.08,,,27.63,,
2024-01-02 22:00:00,129.91,186.47,6.44,5.98,11.97,13.62,3.15,0.89,9.24,4.88,9.02,,,0.12,,14.38,91.24,0.28,117.48,,,27.52,,
2024-01-02 23:00:00,129.56,171.02,6.57,5.99,12.08,13.58,2.89,0.73,16.18,4.62,8.08,,,0.12,,13.88,91.51,0.26,114.57,,,27.6,,
2024-01-03 00:00:00,117.58,142.98,6.68,5.94,12.15,13.61,2.81,0.66,18.48,4.16,7.05,,,0.11,,13.22,93.46,0.27,46.52,,,27.65,,
2024-01-03 01:00:00,100.54,132.21,6.64,5.91,12.1,13.6,2.43,0.64,9.54,3.8,6.29,,,0.06,,12.77,95.04,0.24,66.01,,,27.6,,
2024-01-03 02:00:00,93.52,120.54,6.68,5.92,12.14,13.63,2.25,0.57,11.28,3.52,5.87,,,0.07,,12.32,95.66,0.27,54.12,,,27.56,,
2024-01-03 03:00:00,90.76,117.74,6.59,6.0,12.11,13.6,2.16,0.52,9.94,3.2,5.27,,,0.08,,11.88,96.17,0.2,119.4,,,27.66,,
2024-01-03 04:00:00,85.07,95.01,6.62,5.98,12.12,13.6,2.0,0.5,7.39,2.98,4.98,,,0.08,,11.45,96.93,0.24,92.59,,,27.56,,
2024-01-03 05:00:00,75.4,85.15,6.65,5.96,12.14,13.6,1.97,0.5,6.46,2.74,4.61,,,0.06,,10.99,97.22,0.3,36.0,,,27.64,,
2024-01-03 06:00:00,61.4,86.72,6.32,5.97,11.87,13.65,1.97,0.53,4.87,2.64,4.47,,,0.06,,10.81,97.1,0.24,107.91,,,34.26,,
2024-01-03 07:00:00,67.05,95.58,6.22,6.02,11.82,13.6,2.56,0.62,7.26,3.11,5.21,,,0.08,,12.07,93.49,0.36,119.51,,,69.15,,
2024-01-03 08:00:00,85.15,107.44,6.29,6.05,11.89,13.57,3.81,0.66,18.47,3.76,5.64,,,0.1,,15.04,82.64,0.33,151.76,,,130.97,,
2024-01-03 09:00:00,93.32,117.37,6.37,5.91,11.88,13.61,5.38,0.63,44.02,3.69,5.78,,,0.1,,17.45,73.68,0.44,206.4,,,145.2,,
2024-01-03 10:00:00,93.41,138.61,6.17,5.91,11.7,13.61,7.91,0.57,57.18,3.55,5.88,,,0.09,,21.13,58.52,0.25,230.45,,,360.85,,
2024-01-03 11:00:00,94.05,129.02,5.94,6.0,11.58,13.6,10.25,0.48,69.57,3.14,5.46,,,0.08,,23.64,50.48,0.26,320.43,,,598.89,,
2024-01-03 12:00:00,89.14,118.53,6.73,5.94,12.19,13.6,10.59,0.39,76.49,2.76,4.94,,,0.08,,25.42,46.53,0.22,253.24,,,606.0,,
2024-01-03 13:00:00,80.86,116.95,7.18,6.02,12.59,13.59,10.68,0.37,82.44,2.52,5.08,,,0.08,,26.14,44.77,0.39,324.73,,,560.24,,
2024-01-03 14:00:00,74.1,109.58,7.52,5.98,12.86,13.58,9.24,0.33,81.1,2.34,4.93,,,0.08,,26.89,40.82,0.22,339.7,,,426.13,,
2024-01-03 15:00:00,70.02,106.36,7.43,5.98,12.78,13.56,10.92,0.33,88.07,2.11,4.91,,,0.08,,25.77,43.02,0.29,337.61,,,231.8,,
2024-01-03 16:00:00,63.85,104.59,7.54,5.93,12.84,13.58,9.97,0.39,77.29,2.04,4.93,,,0.08,,23.02,55.28,0.24,177.26,,,68.34,,
2024-01-03 17:00:00,68.82,108.72,7.63,5.96,12.93,13.56,7.23,0.85,34.2,2.53,6.59,,,0.12,,20.29,67.4,0.26,121.82,,,27.45,,
2024-01-03 18:00:00,90.44,137.31,6.42,6.09,12.02,13.58,6.6,0.81,31.39,3.58,11.26,,,0.18,,18.34,74.78,0.18,99.86,,,25.99,,
2024-01-03 19:00:00,106.26,147.1,6.25,6.01,11.83,13.61,5.76,0.74,30.7,3.76,9.25,,,0.22,,16.91,80.37,0.28,66.44,,,25.75,,
2024-01-03 20:00:00,103.22,151.1,6.57,5.96,12.07,13.57,4.96,0.78,21.74,3.89,9.43,,,0.2,,16.26,84.17,0.18,123.65,,,25.64,,
2024-01-03 21:00:00,110.77,161.89,6.48,5.99,12.01,13.6,4.23,0.71,14.5,3.84,9.01,,,0.14,2.74,15.3,88.09,0.2,55.54,,,25.71,,
2024-01-03 22:00:00,112.23,164.68,6.26,5.99,11.84,13.62,3.36,0.68,18.12,3.68,8.45,,,0.19,,14.51,91.16,0.25,75.2,,,25.54,,
2024-01-03 23:00:00,118.21,157.9,6.34,6.0,11.9,13.6,3.12,0.57,21.78,3.34,7.34,,,0.16,1.94,13.99,92.96,0.28,54.12,,,25.66,,
2024-01-04 00:00:00,105.78,137.94,6.82,5.84,12.21,13.66,2.9,0.52,17.69,3.02,6.48,,,0.13,2.91,13.57,94.02,0.27,83.57,,,25.64,,
2024-01-04 01:00:00,102.45,128.5,6.8,6.02,12.28,13.58,2.77,0.47,17.22,2.74,5.88,,,0.11,,13.23,94.75,0.26,49.0,,,25.63,,
2024-01-04 02:00:00,91.73,121.07,6.83,5.96,12.28,13.59,2.62,0.43,11.46,2.45,5.25,,,0.09,1.71,12.79,95.46,0.25,82.12,,,25.74,,
2024-01-04 03:00:00,94.75,116.56,6.82,6.08,12.34,13.58,2.35,0.41,10.66,2.26,4.99,,,0.08,2.56,12.34,95.82,0.26,55.1,,,25.7,,
2024-01-04 04:00:00,75.02,108.8,6.65,6.02,12.16,13.61,2.42,0.4,7.48,2.11,4.68,,,0.08,,12.03,96.44,0.27,110.51,,,25.69,,
2024-01-04 05:00:00,78.0,96.16,6.76,5.99,12.23,13.6,2.26,0.42,5.27,2.03,4.44,,,0.08,,11.78,96.25,0.27,70.4,,,25.69,,
2024-01-04 06:00:00,78.98,95.1,6.52,6.02,12.06,13.65,2.36,0.54,2.03,2.18,4.54,,,0.06,1.9,11.94,96.23,0.26,23.22,,,31.93,,
2024-01-04 07:00:00,79.36,105.26,6.66,6.01,12.16,13.58,2.78,0.63,4.72,2.77,5.56,,,0.09,,13.13,92.98,0.22,62.23,,,66.08,,
2024-01-04 08:00:00,96.48,137.52,6.64,6.06,12.18,13.59,4.09,0.53,22.82,3.2,5.69,,,0.1,,15.73,85.24,0.26,206.13,,,127.5,,
2024-01-04 09:00:00,99.54,131.39,6.46,6.02,12.02,13.59,4.98,0.52,40.46,3.01,5.44,,,0.08,,18.72,75.34,0.28,143.11,,,148.11,,
2024-01-04 10:00:00,99.05,127.26,6.45,5.9,11.94,13.61,8.54,0.48,64.84,2.86,5.55,,,0.09,,21.75,62.24,0.21,196.96,,,334.73,,
2024-01-04 11:00:00,103.01,129.76,6.29,5.91,11.79,13.62,16.09,0.48,87.01,2.67,5.37,,,0.09,,24.36,52.36,0.26,215.46,,,568.96,,
2024-01-04 12:00:00,,,6.29,5.8,11.76,13.65,15.36,0.46,86.91,2.56,5.0,,,0.09,,25.94,49.09,0.25,284.24,,,567.22,,
2024-01-04 13:00:00,,,6.27,5.9,11.79,13.6,15.03,0.41,86.32,2.33,4.59,,,0.07,,27.06,46.59,0.2,233.0,,,495.74,,
2024-01-04 14:00:00,14.76,34.92,6.23,5.85,11.73,13.64,17.42,0.39,91.66,2.76,4.56,,,0.06,,26.85,47.42,0.31,240.89,,,373.91,,
