Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,64.0,81.0,1.65,13.6,8.57,10.2,5.05,1.25,34.64,0.85,5.98,,,,,25.5,85.0,0.8,52.25,0.0,0.0,2.5,760.25,
2024-01-01 01:00:00,76.25,88.25,2.25,15.65,10.12,10.1,3.48,1.2,35.02,0.88,6.1,,,,,25.35,85.25,1.05,45.75,0.0,0.0,2.5,759.75,
2024-01-01 02:00:00,65.5,79.5,1.5,12.25,7.75,10.05,4.7,1.02,38.98,0.85,5.92,,,,,24.9,85.25,1.27,48.25,0.0,0.0,2.0,759.0,
2024-01-01 03:00:00,57.67,69.75,1.02,8.85,5.55,10.32,7.15,0.97,35.98,0.8,5.18,,,,,24.45,86.25,1.52,55.75,0.0,0.0,2.0,759.0,
2024-01-01 04:00:00,59.75,77.25,1.5,11.55,7.35,11.6,3.8,1.06,25.08,0.8,5.15,,,,,24.1,87.5,1.65,53.25,0.0,0.0,2.0,759.0,
2024-01-01 05:00:00,69.0,93.75,1.85,13.18,8.52,12.05,2.55,0.97,25.42,0.9,5.35,,,,,23.68,88.5,1.68,52.75,0.0,0.0,2.0,759.75,
2024-01-01 06:00:00,72.0,95.5,1.92,15.35,9.73,11.82,4.0,1.01,27.88,0.85,5.05,,,,,23.55,87.75,1.5,51.25,0.0,0.0,3.5,760.5,
2024-01-01 07:00:00,72.75,94.75,2.8,16.68,11.18,11.25,5.95,1.06,32.78,0.88,5.12,,,,,24.12,85.5,1.55,49.25,0.0,0.0,39.0,761.5,
2024-01-01 08:00:00,74.25,95.75,3.25,16.62,11.48,10.68,7.58,1.12,38.62,0.95,5.35,,,,,25.78,80.0,1.68,52.25,0.0,0.0,117.25,762.0,
2024-01-01 09:00:00,70.0,91.75,3.8,15.9,11.52,9.75,9.2,1.04,44.44,1.0,5.45,,,,,28.08,73.5,1.7,56.75,0.0,0.0,228.75,762.0,
2024-01-01 10:00:00,61.5,85.0,2.65,12.92,9.05,9.12,7.87,0.94,55.38,0.98,5.65,,,,,29.58,68.25,2.02,65.5,0.0,0.0,313.5,762.0,
2024-01-01 11:00:00,52.5,74.75,2.77,14.23,9.83,9.23,5.75,0.9,57.68,0.92,6.02,,,,,30.45,64.75,2.08,67.0,0.0,0.0,353.5,761.25,
2024-01-01 12:00:00,48.75,77.5,2.23,14.6,9.6,8.93,6.65,0.88,60.42,1.0,6.7,,,,,30.98,63.0,2.12,87.5,0.0,0.0,365.0,760.25,
2024-01-01 13:00:00,53.75,72.5,2.2,13.95,9.22,9.65,7.7,1.0,67.72,0.8,5.03,,,,,30.32,65.75,3.08,114.5,0.0,0.0,348.0,759.25,
2024-01-01 14:00:00,61.25,80.0,2.33,12.78,8.68,9.82,4.55,1.05,69.8,0.85,5.18,,,,,30.0,69.5,3.2,119.0,0.0,0.0,298.0,758.5,
2024-01-01 15:00:00,61.0,81.75,2.17,12.42,8.38,9.98,5.15,1.01,69.08,0.78,4.72,,,,,29.42,73.75,3.22,115.0,0.0,0.0,198.0,758.0,
2024-01-01 16:00:00,66.75,87.0,1.78,10.92,7.2,11.4,4.47,1.06,68.14,0.7,4.47,,,,,28.95,75.75,2.95,101.5,0.0,0.0,98.0,758.0,
2024-01-01 17:00:00,65.0,86.75,1.42,11.85,7.45,11.98,5.12,1.22,64.04,0.72,4.72,,,,,28.42,76.5,2.55,96.75,0.0,0.0,17.25,758.75,
2024-01-01 18:00:00,61.5,82.5,1.95,16.18,10.2,11.52,5.12,1.55,58.55,0.78,5.6,,,,,28.25,74.0,2.17,98.25,0.0,0.0,2.0,759.25,
2024-01-01 19:00:00,58.75,74.0,1.72,17.6,10.75,11.77,3.98,1.1,61.14,0.82,5.82,,,,,28.15,74.0,2.15,99.0,0.0,0.0,2.0,760.25,
2024-01-01 20:00:00,54.25,79.0,2.05,17.6,11.0,11.9,2.95,1.16,61.49,0.9,6.05,,,,,28.05,74.0,2.0,98.0,0.0,0.0,2.0,761.0,
2024-01-01 21:00:00,52.25,80.0,1.85,17.4,10.75,11.38,3.78,1.1,61.58,0.85,5.9,,,,,27.8,75.75,1.58,83.25,0.0,0.0,2.0,761.0,
2024-01-01 22:00:00,52.5,73.67,1.4,14.48,8.82,10.8,5.8,1.0,64.19,0.82,5.88,,,,,27.85,75.25,1.82,100.0,0.0,0.0,2.0,761.0,
2024-01-01 23:00:00,50.75,63.5,1.27,8.48,5.52,9.88,6.62,0.79,68.95,0.72,5.08,,,,,27.62,75.5,1.55,94.5,0.0,0.0,2.0,760.75,
