latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.193321,74.94737,221.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,5.3,99,0.00,992.1,2.9,8.0,7,8
2024-01-01T01:00,6.1,97,0.00,993.1,2.6,5.2,56,34
2024-01-01T02:00,6.1,93,0.00,993.5,3.9,6.6,56,41
2024-01-01T03:00,5.9,97,0.00,994.1,3.4,7.4,72,51
2024-01-01T04:00,7.6,98,0.00,994.9,3.7,3.4,61,58
2024-01-01T05:00,8.9,97,0.00,995.2,3.1,3.3,54,49
2024-01-01T06:00,11.1,85,0.00,994.8,2.0,2.3,45,51
2024-01-01T07:00,13.9,74,0.00,993.8,1.9,2.3,22,18
2024-01-01T08:00,15.1,71,0.00,992.7,3.8,4.5,17,14
2024-01-01T09:00,15.8,69,0.00,992.0,4.5,5.2,14,16
2024-01-01T10:00,16.1,68,0.00,991.5,5.4,6.5,8,3
2024-01-01T11:00,15.7,70,0.00,991.2,5.8,7.2,356,357
2024-01-01T12:00,12.8,86,0.00,991.0,7.2,9.1,357,351
2024-01-01T13:00,10.9,86,0.00,992.3,5.2,8.0,12,10
2024-01-01T14:00,9.4,93,0.00,992.8,7.3,8.2,9,15
2024-01-01T15:00,8.2,95,0.00,992.9,7.6,7.9,3,16
2024-01-01T16:00,7.5,96,0.00,992.8,5.9,8.0,349,5
2024-01-01T17:00,6.7,97,0.00,992.8,7.1,7.3,345,351
2024-01-01T18:00,6.4,97,0.00,992.4,7.3,6.5,340,341
2024-01-01T19:00,6.2,97,0.00,992.2,6.8,6.5,342,341
2024-01-01T20:00,6.2,98,0.00,991.7,6.3,7.1,347,345
2024-01-01T21:00,6.0,99,0.00,991.6,6.2,8.0,353,350
2024-01-01T22:00,5.4,100,0.00,991.3,6.5,9.0,6,355
2024-01-01T23:00,5.3,100,0.00,991.1,6.2,9.4,21,360
2024-01-02T00:00,5.0,100,0.00,991.3,2.5,8.3,45,2
2024-01-02T01:00,5.4,98,0.00,992.3,1.1,3.9,90,22
