latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.01406,73.34086,232.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,6.6,99,0.00,990.2,10.2,18.7,67,71
2024-01-01T01:00,6.7,99,0.00,990.9,8.9,17.9,76,81
2024-01-01T02:00,6.4,99,0.00,991.5,8.1,14.9,77,82
2024-01-01T03:00,7.1,98,0.00,992.1,8.2,12.0,75,81
2024-01-01T04:00,7.9,97,0.00,993.1,8.4,7.9,80,87
2024-01-01T05:00,9.4,92,0.00,993.6,7.4,6.9,76,81
2024-01-01T06:00,12.4,77,0.00,993.1,6.6,7.3,68,70
2024-01-01T07:00,14.9,65,0.00,991.9,6.9,7.4,47,47
2024-01-01T08:00,16.8,54,0.00,990.7,8.4,8.9,31,32
2024-01-01T09:00,18.1,46,0.00,989.9,10.5,11.3,22,22
2024-01-01T10:00,18.7,43,0.00,989.4,12.9,14.3,18,18
2024-01-01T11:00,18.5,41,0.00,989.2,14.8,16.7,18,19
2024-01-01T12:00,17.5,44,0.00,989.2,12.6,18.5,24,24
2024-01-01T13:00,14.1,61,0.00,990.2,11.8,19.6,31,32
2024-01-01T14:00,13.0,67,0.00,990.9,12.0,21.4,41,42
2024-01-01T15:00,12.0,73,0.00,991.5,12.0,21.7,49,50
2024-01-01T16:00,11.0,78,0.00,991.7,12.6,22.8,53,55
2024-01-01T17:00,10.0,84,0.00,991.6,12.3,22.6,58,61
2024-01-01T18:00,9.1,89,0.00,991.0,11.3,21.2,68,69
2024-01-01T19:00,8.3,92,0.00,990.7,10.7,20.3,78,78
2024-01-01T20:00,7.7,94,0.00,990.2,10.1,18.9,84,82
2024-01-01T21:00,7.1,95,0.00,990.0,9.4,17.7,88,85
2024-01-01T22:00,6.5,96,0.00,989.6,8.7,16.3,85,84
2024-01-01T23:00,6.1,97,0.00,989.5,8.9,15.9,76,77
2024-01-02T00:00,5.6,98,0.00,989.5,9.1,16.6,72,72
2024-01-02T01:00,5.8,98,0.00,990.2,9.0,17.7,85,84
2024-01-02T02:00,5.5,98,0.00,991.0,9.7,18.1,86,84
2024-01-02T03:00,6.3,96,0.00,991.4,9.4,19.5,86,86
2024-01-02T04:00,8.5,85,0.00,992.1,9.0,20.2,92,92
2024-01-02T05:00,11.2,73,0.00,992.4,10.8,14.4,94,94
2024-01-02T06:00,13.8,60,0.00,991.7,10.9,12.6,82,85
2024-01-02T07:00,15.9,48,0.00,990.6,11.4,12.9,66,67
2024-01-02T08:00,17.2,43,0.00,989.8,13.1,14.7,53,54
2024-01-02T09:00,18.0,41,0.00,989.2,14.5,16.1,46,48
2024-01-02T10:00,18.2,41,0.00,988.8,14.8,16.5,45,46
2024-01-02T11:00,17.8,42,0.00,988.7,15.5,17.8,46,47
2024-01-02T12:00,16.7,46,0.00,988.7,12.7,18.6,45,46
2024-01-02T13:00,13.2,65,0.00,989.3,13.5,22.5,46,49
2024-01-02T14:00,12.1,70,0.00,989.8,13.3,23.7,52,54
2024-01-02T15:00,11.1,74,0.00,990.2,13.4,23.4,59,61
2024-01-02T16:00,10.2,78,0.00,990.5,13.0,23.8,71,70
2024-01-02T17:00,9.4,80,0.00,990.6,12.8,23.9,79,78
2024-01-02T18:00,8.7,81,0.00,990.1,12.4,23.2,82,83
2024-01-02T19:00,8.0,82,0.00,989.5,12.6,23.0,90,89
2024-01-02T20:00,7.3,86,0.00,989.2,10.8,20.6,92,94
2024-01-02T21:00,6.5,90,0.00,988.9,10.1,18.4,90,93
2024-01-02T22:00,6.0,92,0.00,988.7,10.4,18.7,88,92
2024-01-02T23:00,5.5,94,0.00,988.6,10.1,18.8,94,94
2024-01-03T00:00,4.8,96,0.00,988.8,7.6,14.4,85,91
2024-01-03T01:00,5.1,97,0.00,989.8,8.2,14.8,52,67
2024-01-03T02:00,4.8,97,0.00,990.4,9.2,17.4,64,68
2024-01-03T03:00,5.7,94,0.00,991.3,8.6,18.3,75,74
2024-01-03T04:00,7.8,83,0.00,992.3,7.5,18.4,73,78
2024-01-03T05:00,10.6,73,0.00,992.8,9.2,13.9,69,73
2024-01-03T06:00,13.3,64,0.00,992.1,12.0,14.1,69,71
2024-01-03T07:00,15.5,54,0.00,991.0,12.2,14.0,66,67
2024-01-03T08:00,17.1,45,0.00,989.7,12.5,14.1,57,58
2024-01-03T09:00,18.2,40,0.00,989.1,12.5,14.1,51,52
2024-01-03T10:00,18.5,38,0.00,988.8,12.7,14.0,47,48
2024-01-03T11:00,18.2,39,0.00,988.7,13.6,15.8,40,41
2024-01-03T12:00,16.8,46,0.00,988.9,11.8,17.7,38,39
2024-01-03T13:00,12.8,69,0.00,989.3,13.6,23.2,40,42
2024-01-03T14:00,11.6,74,0.00,989.7,14.5,25.7,44,46
2024-01-03T15:00,10.5,79,0.00,990.3,14.8,26.0,47,49
2024-01-03T16:00,9.6,84,0.00,990.8,12.9,23.7,54,57
2024-01-03T17:00,8.7,88,0.00,990.9,11.6,21.4,60,63
2024-01-03T18:00,7.9,91,0.00,990.6,10.1,18.5,63,66
2024-01-03T19:00,7.1,94,0.00,990.2,9.5,17.3,65,69
2024-01-03T20:00,6.4,96,0.00,989.8,9.0,16.4,67,71
2024-01-03T21:00,5.8,97,0.00,989.9,8.9,15.6,58,67
2024-01-03T22:00,5.3,98,0.00,989.8,8.7,15.3,60,66
2024-01-03T23:00,4.7,99,0.00,989.7,8.4,15.5,65,65
2024-01-04T00:00,4.3,99,0.00,990.1,8.4,15.0,65,63
2024-01-04T01:00,5.3,99,0.00,991.5,8.0,16.2,54,58
2024-01-04T02:00,5.0,99,0.00,992.3,8.9,17.0,58,58
2024-01-04T03:00,5.7,99,0.00,992.9,7.6,17.2,65,61
2024-01-04T04:00,7.3,92,0.00,993.5,6.8,15.2,72,68
