latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.56063,74.375,186.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),surface_pressure (hPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°)
2024-01-01T00:00,5.8,100,0.00,996.3,4.3,7.9,42,60
2024-01-01T01:00,5.9,99,0.00,997.1,5.6,9.7,45,68
2024-01-01T02:00,6.2,99,0.00,997.6,5.2,10.1,56,73
2024-01-01T03:00,7.0,97,0.00,998.2,4.3,9.2,48,79
2024-01-01T04:00,7.5,96,0.00,998.9,3.9,8.4,68,83
2024-01-01T05:00,9.4,96,0.00,999.5,4.8,5.1,77,82
2024-01-01T06:00,11.8,82,0.00,999.1,4.2,4.9,70,73
2024-01-01T07:00,13.6,73,0.00,997.9,3.3,3.9,49,56
2024-01-01T08:00,14.8,68,0.00,996.8,3.5,4.0,24,27
2024-01-01T09:00,15.7,65,0.00,996.0,4.5,5.2,14,12
2024-01-01T10:00,16.0,64,0.00,995.6,6.2,7.3,7,9
2024-01-01T11:00,15.5,68,0.00,995.4,7.2,9.1,6,7
2024-01-01T12:00,12.5,85,0.00,995.1,8.3,11.3,355,7
2024-01-01T13:00,10.5,90,0.00,996.3,6.8,16.3,18,25
2024-01-01T14:00,10.3,92,0.00,996.8,5.8,14.9,30,32
2024-01-01T15:00,9.0,94,0.00,997.0,8.4,10.9,40,44
2024-01-01T16:00,9.3,93,0.00,997.2,6.1,8.2,50,52
2024-01-01T17:00,8.5,96,0.00,997.3,5.9,7.9,38,47
2024-01-01T18:00,6.7,100,0.00,996.7,7.8,8.9,34,43
2024-01-01T19:00,6.2,100,0.00,996.4,7.7,8.7,37,48
2024-01-01T20:00,5.7,100,0.00,996.0,8.0,8.4,54,59
2024-01-01T21:00,6.0,99,0.00,995.8,4.2,8.0,70,72
2024-01-01T22:00,6.3,100,0.00,995.7,4.0,7.3,85,81
2024-01-01T23:00,5.9,100,0.00,995.5,3.7,6.8,79,87
2024-01-02T00:00,6.2,100,0.00,995.7,2.4,5.2,63,78
2024-01-02T01:00,6.5,98,0.00,996.6,2.0,3.6,135,135
2024-01-02T02:00,6.6,95,0.00,997.1,1.1,1.0,90,135
2024-01-02T03:00,7.1,97,0.00,997.8,1.6,1.5,63,76
2024-01-02T04:00,7.8,98,0.00,998.5,3.7,4.3,79,85
2024-01-02T05:00,9.2,91,0.00,998.8,5.9,6.5,79,84
2024-01-02T06:00,11.4,80,0.00,998.2,6.0,7.1,65,66
2024-01-02T07:00,13.2,73,0.00,997.1,4.9,5.9,54,52
2024-01-02T08:00,14.5,68,0.00,996.1,5.2,6.2,34,36
2024-01-02T09:00,15.3,66,0.00,995.3,6.0,7.1,25,24
2024-01-02T10:00,15.5,66,0.00,994.8,7.4,8.7,23,24
2024-01-02T11:00,15.1,69,0.00,994.6,6.5,8.3,34,34
2024-01-02T12:00,12.9,81,0.00,994.5,6.2,7.7,36,41
2024-01-02T13:00,9.1,91,0.00,995.6,8.2,10.0,38,49
2024-01-02T14:00,8.2,93,0.00,995.7,8.9,10.1,50,55
2024-01-02T15:00,7.5,95,0.00,995.8,8.9,10.3,63,65
2024-01-02T16:00,7.5,96,0.00,996.1,7.5,9.2,73,69
2024-01-02T17:00,6.8,97,0.00,996.1,8.0,9.8,72,73
2024-01-02T18:00,6.3,98,0.00,995.8,7.8,9.7,77,86
2024-01-02T19:00,6.1,98,0.00,995.5,7.9,10.9,93,99
2024-01-02T20:00,5.6,99,0.00,995.5,8.7,12.0,95,106
2024-01-02T21:00,5.2,100,0.00,995.3,7.6,12.6,90,103
2024-01-02T22:00,4.7,100,0.00,995.0,7.3,12.0,79,99
2024-01-02T23:00,4.2,100,0.00,995.0,8.6,10.8,68,88
2024-01-03T00:00,4.1,100,0.00,995.2,7.7,9.2,53,79
2024-01-03T01:00,5.2,99,0.00,996.2,7.4,11.0,47,71
2024-01-03T02:00,4.9,100,0.00,996.6,7.4,10.3,61,78
2024-01-03T03:00,6.4,99,0.00,997.4,4.1,7.3,45,81
2024-01-03T04:00,8.1,95,0.00,998.4,3.1,5.2,45,74
2024-01-03T05:00,10.5,83,0.00,998.9,4.2,4.8,59,63
2024-01-03T06:00,12.1,74,0.00,998.4,3.8,4.3,41,42
2024-01-03T07:00,13.4,70,0.00,997.5,5.5,6.3,23,24
2024-01-03T08:00,14.5,66,0.00,996.3,7.6,9.2,25,26
2024-01-03T09:00,15.2,64,0.00,995.5,9.0,11.1,29,29
